destino_nombre,parada_cercana,tipo_transporte_codigo,distancia_parada_km,costo_traslado_local_q,tiempo_traslado_minutos
Semuc Champey,Estación Central de Shuttle turístico cerca de Semuc Champey - Ref 215,SHUTTLE,6.56,26.57,29
Cuevas de Candelaria,Estación Central de Taxi local cerca de Cuevas de Candelaria - Ref 216,TAXI,5.79,18.43,19
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Tuc-tuc cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 217,TUC_TUC,2.88,23.22,12
Cobán,Estación Central de Autobús extraurbano cerca de Cobán - Ref 218,EXTRAURBANO,10.41,29.38,50
Esquipulas,Estación Central de Lancha colectiva cerca de Esquipulas - Ref 219,LANCHA,8.17,26.57,37
Basílica del Cristo Negro de Esquipulas,Estación Central de Microbús / Fletero cerca de Basílica del Cristo Negro de Esquipulas - Ref 220,FLETERO,8.63,37.49,26
Volcán de Pacaya,Estación Central de Shuttle turístico cerca de Volcán de Pacaya - Ref 221,SHUTTLE,8.35,25.27,36
Monterrico,Estación Central de Taxi local cerca de Monterrico - Ref 222,TAXI,7.5,38.23,34
Parque Nacional Sipacate-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Sipacate-Naranjo - Ref 223,TUC_TUC,0.59,49.45,2
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Autobús extraurbano cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 224,EXTRAURBANO,13.44,29.05,47
Parques Xetulul y Xocomil,Estación Central de Lancha colectiva cerca de Parques Xetulul y Xocomil - Ref 225,LANCHA,1.88,13.67,9
Puerto San José,Estación Central de Microbús / Fletero cerca de Puerto San José - Ref 226,FLETERO,9.36,23.28,37
Playa Tilapa,Estación Central de Shuttle turístico cerca de Playa Tilapa - Ref 227,SHUTTLE,8.85,48.83,22
Fuentes Georginas,Estación Central de Taxi local cerca de Fuentes Georginas - Ref 228,TAXI,0.79,39.14,3
Centro Histórico de Quetzaltenango,Estación Central de Tuc-tuc cerca de Centro Histórico de Quetzaltenango - Ref 229,TUC_TUC,5.16,6.2,19
Volcán Tajumulco,Estación Central de Autobús extraurbano cerca de Volcán Tajumulco - Ref 230,EXTRAURBANO,5.59,40.86,25
Laguna Brava,Estación Central de Lancha colectiva cerca de Laguna Brava - Ref 231,LANCHA,11.96,12.05,52
Cenotes de Candelaria,Estación Central de Microbús / Fletero cerca de Cenotes de Candelaria - Ref 232,FLETERO,3.14,15.32,11
Todos Santos Cuchumatán,Estación Central de Shuttle turístico cerca de Todos Santos Cuchumatán - Ref 233,SHUTTLE,7.89,5.72,32
Nebaj,Estación Central de Taxi local cerca de Nebaj - Ref 234,TAXI,3.42,22.57,10
Museo Nacional de Arqueología y Etnología,Estación Central de Tuc-tuc cerca de Museo Nacional de Arqueología y Etnología - Ref 235,TUC_TUC,11.78,38.03,45
Kaminaljuyú,Estación Central de Autobús extraurbano cerca de Kaminaljuyú - Ref 236,EXTRAURBANO,7.44,17.85,20
Zoológico La Aurora,Estación Central de Lancha colectiva cerca de Zoológico La Aurora - Ref 237,LANCHA,1.64,21.57,6
Centro Histórico de la Ciudad de Guatemala,Estación Central de Microbús / Fletero cerca de Centro Histórico de la Ciudad de Guatemala - Ref 238,FLETERO,3.96,17.1,13
Mixco Viejo,Estación Central de Shuttle turístico cerca de Mixco Viejo - Ref 239,SHUTTLE,2.43,40.0,12
Volcán Acatenango,Estación Central de Taxi local cerca de Volcán Acatenango - Ref 240,TAXI,11.53,47.42,49
Volcán de Agua,Estación Central de Tuc-tuc cerca de Volcán de Agua - Ref 241,TUC_TUC,5.12,16.4,20
Hobbitenango,Estación Central de Autobús extraurbano cerca de Hobbitenango - Ref 242,EXTRAURBANO,12.15,22.5,52
Museo Miraflores,Estación Central de Lancha colectiva cerca de Museo Miraflores - Ref 243,LANCHA,8.39,23.08,22
Reserva de Biosfera Sierra de las Minas,Estación Central de Microbús / Fletero cerca de Reserva de Biosfera Sierra de las Minas - Ref 244,FLETERO,6.09,7.71,16
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Shuttle turístico cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 245,SHUTTLE,0.89,39.74,3
Volcán y Laguna de Ipala,Estación Central de Taxi local cerca de Volcán y Laguna de Ipala - Ref 246,TAXI,11.38,26.14,42
Lago de Güija,Estación Central de Tuc-tuc cerca de Lago de Güija - Ref 247,TUC_TUC,2.15,34.94,8
Volcán Suchitán,Estación Central de Autobús extraurbano cerca de Volcán Suchitán - Ref 248,EXTRAURBANO,13.87,6.36,44
Playa Blanca,Estación Central de Lancha colectiva cerca de Playa Blanca - Ref 249,LANCHA,3.33,20.79,12
Laguna Lachuá,Estación Central de Microbús / Fletero cerca de Laguna Lachuá - Ref 250,FLETERO,1.56,22.66,5
Antigua Guatemala,Estación Central de Shuttle turístico cerca de Antigua Guatemala - Ref 251,SHUTTLE,10.23,31.86,37
Parque Nacional Tikal,Estación Central de Taxi local cerca de Parque Nacional Tikal - Ref 252,TAXI,9.73,18.43,33
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 253,TUC_TUC,8.26,37.94,21
Sitio arqueológico El Mirador,Estación Central de Autobús extraurbano cerca de Sitio arqueológico El Mirador - Ref 254,EXTRAURBANO,12.02,38.56,35
Uaxactún,Estación Central de Lancha colectiva cerca de Uaxactún - Ref 255,LANCHA,6.77,18.95,17
Lago de Atitlán,Estación Central de Microbús / Fletero cerca de Lago de Atitlán - Ref 256,FLETERO,14.92,37.73,48
Panajachel,Estación Central de Shuttle turístico cerca de Panajachel - Ref 257,SHUTTLE,8.34,22.08,23
San Juan La Laguna,Estación Central de Taxi local cerca de San Juan La Laguna - Ref 258,TAXI,10.97,30.24,45
Chichicastenango,Estación Central de Tuc-tuc cerca de Chichicastenango - Ref 259,TUC_TUC,10.18,41.98,48
Iximché,Estación Central de Autobús extraurbano cerca de Iximché - Ref 260,EXTRAURBANO,6.08,20.18,28
Parque Arqueológico Quiriguá,Estación Central de Lancha colectiva cerca de Parque Arqueológico Quiriguá - Ref 261,LANCHA,8.19,8.22,31
Río Dulce,Estación Central de Microbús / Fletero cerca de Río Dulce - Ref 262,FLETERO,4.78,17.87,15
Castillo de San Felipe de Lara,Estación Central de Shuttle turístico cerca de Castillo de San Felipe de Lara - Ref 263,SHUTTLE,1.65,41.78,8
Livingston,Estación Central de Taxi local cerca de Livingston - Ref 264,TAXI,5.53,29.97,17
Semuc Champey,Estación Central de Tuc-tuc cerca de Semuc Champey - Ref 265,TUC_TUC,9.57,17.42,43
Cuevas de Candelaria,Estación Central de Autobús extraurbano cerca de Cuevas de Candelaria - Ref 266,EXTRAURBANO,3.72,22.87,18
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Lancha colectiva cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 267,LANCHA,7.81,16.95,29
Cobán,Estación Central de Microbús / Fletero cerca de Cobán - Ref 268,FLETERO,4.78,45.72,22
Esquipulas,Estación Central de Shuttle turístico cerca de Esquipulas - Ref 269,SHUTTLE,3.09,27.55,12
Basílica del Cristo Negro de Esquipulas,Estación Central de Taxi local cerca de Basílica del Cristo Negro de Esquipulas - Ref 270,TAXI,7.52,13.93,36
Volcán de Pacaya,Estación Central de Tuc-tuc cerca de Volcán de Pacaya - Ref 271,TUC_TUC,4.26,34.96,19
Monterrico,Estación Central de Autobús extraurbano cerca de Monterrico - Ref 272,EXTRAURBANO,14.64,18.41,55
Parque Nacional Sipacate-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Sipacate-Naranjo - Ref 273,LANCHA,4.45,26.43,21
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Microbús / Fletero cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 274,FLETERO,14.07,8.39,47
Parques Xetulul y Xocomil,Estación Central de Shuttle turístico cerca de Parques Xetulul y Xocomil - Ref 275,SHUTTLE,7.28,44.51,29
Puerto San José,Estación Central de Taxi local cerca de Puerto San José - Ref 276,TAXI,10.83,36.81,44
Playa Tilapa,Estación Central de Tuc-tuc cerca de Playa Tilapa - Ref 277,TUC_TUC,0.55,34.39,2
Fuentes Georginas,Estación Central de Autobús extraurbano cerca de Fuentes Georginas - Ref 278,EXTRAURBANO,5.63,15.35,24
Centro Histórico de Quetzaltenango,Estación Central de Lancha colectiva cerca de Centro Histórico de Quetzaltenango - Ref 279,LANCHA,11.3,27.73,41
Volcán Tajumulco,Estación Central de Microbús / Fletero cerca de Volcán Tajumulco - Ref 280,FLETERO,12.63,25.2,56
Laguna Brava,Estación Central de Shuttle turístico cerca de Laguna Brava - Ref 281,SHUTTLE,6.36,44.85,18
Cenotes de Candelaria,Estación Central de Taxi local cerca de Cenotes de Candelaria - Ref 282,TAXI,7.84,34.3,27
Todos Santos Cuchumatán,Estación Central de Tuc-tuc cerca de Todos Santos Cuchumatán - Ref 283,TUC_TUC,8.84,8.36,29
Nebaj,Estación Central de Autobús extraurbano cerca de Nebaj - Ref 284,EXTRAURBANO,2.67,5.05,7
Museo Nacional de Arqueología y Etnología,Estación Central de Lancha colectiva cerca de Museo Nacional de Arqueología y Etnología - Ref 285,LANCHA,10.47,6.06,48
Kaminaljuyú,Estación Central de Microbús / Fletero cerca de Kaminaljuyú - Ref 286,FLETERO,3.06,47.35,13
Zoológico La Aurora,Estación Central de Shuttle turístico cerca de Zoológico La Aurora - Ref 287,SHUTTLE,7.04,37.9,26
Centro Histórico de la Ciudad de Guatemala,Estación Central de Taxi local cerca de Centro Histórico de la Ciudad de Guatemala - Ref 288,TAXI,0.94,15.72,2
Mixco Viejo,Estación Central de Tuc-tuc cerca de Mixco Viejo - Ref 289,TUC_TUC,3.62,11.27,9
Volcán Acatenango,Estación Central de Autobús extraurbano cerca de Volcán Acatenango - Ref 290,EXTRAURBANO,12.31,5.32,57
Volcán de Agua,Estación Central de Lancha colectiva cerca de Volcán de Agua - Ref 291,LANCHA,5.03,8.1,23
Hobbitenango,Estación Central de Microbús / Fletero cerca de Hobbitenango - Ref 292,FLETERO,2.94,25.61,13
Museo Miraflores,Estación Central de Shuttle turístico cerca de Museo Miraflores - Ref 293,SHUTTLE,7.69,34.74,36
Reserva de Biosfera Sierra de las Minas,Estación Central de Taxi local cerca de Reserva de Biosfera Sierra de las Minas - Ref 294,TAXI,5.88,17.46,15
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Tuc-tuc cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 295,TUC_TUC,9.01,34.94,35
Volcán y Laguna de Ipala,Estación Central de Autobús extraurbano cerca de Volcán y Laguna de Ipala - Ref 296,EXTRAURBANO,5.27,45.72,18
Lago de Güija,Estación Central de Lancha colectiva cerca de Lago de Güija - Ref 297,LANCHA,2.57,30.94,7
Volcán Suchitán,Estación Central de Microbús / Fletero cerca de Volcán Suchitán - Ref 298,FLETERO,7.65,16.76,19
Playa Blanca,Estación Central de Shuttle turístico cerca de Playa Blanca - Ref 299,SHUTTLE,1.84,44.03,7
Laguna Lachuá,Estación Central de Taxi local cerca de Laguna Lachuá - Ref 300,TAXI,5.14,9.09,20
Antigua Guatemala,Estación Central de Tuc-tuc cerca de Antigua Guatemala - Ref 301,TUC_TUC,10.65,35.01,29
Parque Nacional Tikal,Estación Central de Autobús extraurbano cerca de Parque Nacional Tikal - Ref 302,EXTRAURBANO,11.03,6.0,47
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 303,LANCHA,4.19,22.49,10
Sitio arqueológico El Mirador,Estación Central de Microbús / Fletero cerca de Sitio arqueológico El Mirador - Ref 304,FLETERO,14.68,11.51,55
Uaxactún,Estación Central de Shuttle turístico cerca de Uaxactún - Ref 305,SHUTTLE,14.6,13.07,69
Lago de Atitlán,Estación Central de Taxi local cerca de Lago de Atitlán - Ref 306,TAXI,6.43,7.63,27
Panajachel,Estación Central de Tuc-tuc cerca de Panajachel - Ref 307,TUC_TUC,2.17,22.42,7
San Juan La Laguna,Estación Central de Autobús extraurbano cerca de San Juan La Laguna - Ref 308,EXTRAURBANO,3.68,9.51,15
Chichicastenango,Estación Central de Lancha colectiva cerca de Chichicastenango - Ref 309,LANCHA,7.2,14.76,31
Iximché,Estación Central de Microbús / Fletero cerca de Iximché - Ref 310,FLETERO,5.15,25.28,18
Parque Arqueológico Quiriguá,Estación Central de Shuttle turístico cerca de Parque Arqueológico Quiriguá - Ref 311,SHUTTLE,12.29,30.67,48
Río Dulce,Estación Central de Taxi local cerca de Río Dulce - Ref 312,TAXI,6.09,23.02,18
Castillo de San Felipe de Lara,Estación Central de Tuc-tuc cerca de Castillo de San Felipe de Lara - Ref 313,TUC_TUC,5.83,24.79,18
Livingston,Estación Central de Autobús extraurbano cerca de Livingston - Ref 314,EXTRAURBANO,11.06,33.7,47
Semuc Champey,Estación Central de Lancha colectiva cerca de Semuc Champey - Ref 315,LANCHA,4.88,42.92,24
Cuevas de Candelaria,Estación Central de Microbús / Fletero cerca de Cuevas de Candelaria - Ref 316,FLETERO,0.9,14.87,3
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Shuttle turístico cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 317,SHUTTLE,3.42,16.4,13
Cobán,Estación Central de Taxi local cerca de Cobán - Ref 318,TAXI,6.36,47.82,28
Esquipulas,Estación Central de Tuc-tuc cerca de Esquipulas - Ref 319,TUC_TUC,2.97,7.01,13
Basílica del Cristo Negro de Esquipulas,Estación Central de Autobús extraurbano cerca de Basílica del Cristo Negro de Esquipulas - Ref 320,EXTRAURBANO,5.95,15.95,19
Volcán de Pacaya,Estación Central de Lancha colectiva cerca de Volcán de Pacaya - Ref 321,LANCHA,8.53,17.09,35
Monterrico,Estación Central de Microbús / Fletero cerca de Monterrico - Ref 322,FLETERO,10.81,10.71,49
Parque Nacional Sipacate-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Sipacate-Naranjo - Ref 323,SHUTTLE,3.25,19.55,8
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Taxi local cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 324,TAXI,10.68,26.35,37
Parques Xetulul y Xocomil,Estación Central de Tuc-tuc cerca de Parques Xetulul y Xocomil - Ref 325,TUC_TUC,5.3,36.47,23
Puerto San José,Estación Central de Autobús extraurbano cerca de Puerto San José - Ref 326,EXTRAURBANO,11.91,36.3,45
Playa Tilapa,Estación Central de Lancha colectiva cerca de Playa Tilapa - Ref 327,LANCHA,1.79,34.63,4
Fuentes Georginas,Estación Central de Microbús / Fletero cerca de Fuentes Georginas - Ref 328,FLETERO,11.67,30.45,40
Centro Histórico de Quetzaltenango,Estación Central de Shuttle turístico cerca de Centro Histórico de Quetzaltenango - Ref 329,SHUTTLE,14.26,20.16,48
Volcán Tajumulco,Estación Central de Taxi local cerca de Volcán Tajumulco - Ref 330,TAXI,2.64,15.1,9
Laguna Brava,Estación Central de Tuc-tuc cerca de Laguna Brava - Ref 331,TUC_TUC,5.01,49.12,23
Cenotes de Candelaria,Estación Central de Autobús extraurbano cerca de Cenotes de Candelaria - Ref 332,EXTRAURBANO,2.69,19.55,7
Todos Santos Cuchumatán,Estación Central de Lancha colectiva cerca de Todos Santos Cuchumatán - Ref 333,LANCHA,8.82,29.33,34
Nebaj,Estación Central de Microbús / Fletero cerca de Nebaj - Ref 334,FLETERO,12.28,42.63,43
Museo Nacional de Arqueología y Etnología,Estación Central de Shuttle turístico cerca de Museo Nacional de Arqueología y Etnología - Ref 335,SHUTTLE,3.32,26.41,9
Kaminaljuyú,Estación Central de Taxi local cerca de Kaminaljuyú - Ref 336,TAXI,7.55,15.2,24
Zoológico La Aurora,Estación Central de Tuc-tuc cerca de Zoológico La Aurora - Ref 337,TUC_TUC,9.0,38.09,43
Centro Histórico de la Ciudad de Guatemala,Estación Central de Autobús extraurbano cerca de Centro Histórico de la Ciudad de Guatemala - Ref 338,EXTRAURBANO,7.44,21.28,31
Mixco Viejo,Estación Central de Lancha colectiva cerca de Mixco Viejo - Ref 339,LANCHA,11.42,24.61,54
Volcán Acatenango,Estación Central de Microbús / Fletero cerca de Volcán Acatenango - Ref 340,FLETERO,5.58,21.57,15
Volcán de Agua,Estación Central de Shuttle turístico cerca de Volcán de Agua - Ref 341,SHUTTLE,1.35,28.98,4
Hobbitenango,Estación Central de Taxi local cerca de Hobbitenango - Ref 342,TAXI,4.79,29.87,19
Museo Miraflores,Estación Central de Tuc-tuc cerca de Museo Miraflores - Ref 343,TUC_TUC,13.62,27.68,65
Reserva de Biosfera Sierra de las Minas,Estación Central de Autobús extraurbano cerca de Reserva de Biosfera Sierra de las Minas - Ref 344,EXTRAURBANO,12.72,8.64,46
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Lancha colectiva cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 345,LANCHA,13.77,37.27,44
Volcán y Laguna de Ipala,Estación Central de Microbús / Fletero cerca de Volcán y Laguna de Ipala - Ref 346,FLETERO,12.48,35.54,51
Lago de Güija,Estación Central de Shuttle turístico cerca de Lago de Güija - Ref 347,SHUTTLE,13.77,12.64,34
Volcán Suchitán,Estación Central de Taxi local cerca de Volcán Suchitán - Ref 348,TAXI,3.94,31.1,19
Playa Blanca,Estación Central de Tuc-tuc cerca de Playa Blanca - Ref 349,TUC_TUC,13.76,23.15,40
Laguna Lachuá,Estación Central de Autobús extraurbano cerca de Laguna Lachuá - Ref 350,EXTRAURBANO,14.69,24.95,51
Antigua Guatemala,Estación Central de Lancha colectiva cerca de Antigua Guatemala - Ref 351,LANCHA,12.77,25.78,55
Parque Nacional Tikal,Estación Central de Microbús / Fletero cerca de Parque Nacional Tikal - Ref 352,FLETERO,9.32,31.43,41
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 353,SHUTTLE,4.07,22.21,11
Sitio arqueológico El Mirador,Estación Central de Taxi local cerca de Sitio arqueológico El Mirador - Ref 354,TAXI,7.87,7.48,24
Uaxactún,Estación Central de Tuc-tuc cerca de Uaxactún - Ref 355,TUC_TUC,2.51,5.25,11
Lago de Atitlán,Estación Central de Autobús extraurbano cerca de Lago de Atitlán - Ref 356,EXTRAURBANO,8.11,21.99,35
Panajachel,Estación Central de Lancha colectiva cerca de Panajachel - Ref 357,LANCHA,13.29,17.46,48
San Juan La Laguna,Estación Central de Microbús / Fletero cerca de San Juan La Laguna - Ref 358,FLETERO,13.85,42.75,61
Chichicastenango,Estación Central de Shuttle turístico cerca de Chichicastenango - Ref 359,SHUTTLE,5.91,33.33,15
Iximché,Estación Central de Taxi local cerca de Iximché - Ref 360,TAXI,12.9,28.46,55
Parque Arqueológico Quiriguá,Estación Central de Tuc-tuc cerca de Parque Arqueológico Quiriguá - Ref 361,TUC_TUC,9.9,7.69,25
Río Dulce,Estación Central de Autobús extraurbano cerca de Río Dulce - Ref 362,EXTRAURBANO,10.4,30.04,46
Castillo de San Felipe de Lara,Estación Central de Lancha colectiva cerca de Castillo de San Felipe de Lara - Ref 363,LANCHA,12.19,45.91,45
Livingston,Estación Central de Microbús / Fletero cerca de Livingston - Ref 364,FLETERO,2.72,36.91,11
Semuc Champey,Estación Central de Shuttle turístico cerca de Semuc Champey - Ref 365,SHUTTLE,11.65,43.72,52
Cuevas de Candelaria,Estación Central de Taxi local cerca de Cuevas de Candelaria - Ref 366,TAXI,10.5,43.71,30
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Tuc-tuc cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 367,TUC_TUC,7.75,6.89,26
Cobán,Estación Central de Autobús extraurbano cerca de Cobán - Ref 368,EXTRAURBANO,1.03,30.53,4
Esquipulas,Estación Central de Lancha colectiva cerca de Esquipulas - Ref 369,LANCHA,3.11,32.25,13
Basílica del Cristo Negro de Esquipulas,Estación Central de Microbús / Fletero cerca de Basílica del Cristo Negro de Esquipulas - Ref 370,FLETERO,14.13,10.84,39
Volcán de Pacaya,Estación Central de Shuttle turístico cerca de Volcán de Pacaya - Ref 371,SHUTTLE,2.59,31.03,7
Monterrico,Estación Central de Taxi local cerca de Monterrico - Ref 372,TAXI,7.88,19.15,30
Parque Nacional Sipacate-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Sipacate-Naranjo - Ref 373,TUC_TUC,7.17,30.01,35
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Autobús extraurbano cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 374,EXTRAURBANO,5.17,41.68,23
Parques Xetulul y Xocomil,Estación Central de Lancha colectiva cerca de Parques Xetulul y Xocomil - Ref 375,LANCHA,3.98,17.08,14
Puerto San José,Estación Central de Microbús / Fletero cerca de Puerto San José - Ref 376,FLETERO,6.71,7.83,19
Playa Tilapa,Estación Central de Shuttle turístico cerca de Playa Tilapa - Ref 377,SHUTTLE,3.84,47.88,16
Fuentes Georginas,Estación Central de Taxi local cerca de Fuentes Georginas - Ref 378,TAXI,13.87,6.95,43
Centro Histórico de Quetzaltenango,Estación Central de Tuc-tuc cerca de Centro Histórico de Quetzaltenango - Ref 379,TUC_TUC,1.69,29.29,5
Volcán Tajumulco,Estación Central de Autobús extraurbano cerca de Volcán Tajumulco - Ref 380,EXTRAURBANO,9.44,22.01,44
Laguna Brava,Estación Central de Lancha colectiva cerca de Laguna Brava - Ref 381,LANCHA,11.49,20.63,32
Cenotes de Candelaria,Estación Central de Microbús / Fletero cerca de Cenotes de Candelaria - Ref 382,FLETERO,12.77,33.28,51
Todos Santos Cuchumatán,Estación Central de Shuttle turístico cerca de Todos Santos Cuchumatán - Ref 383,SHUTTLE,9.45,21.97,28
Nebaj,Estación Central de Taxi local cerca de Nebaj - Ref 384,TAXI,6.95,49.91,21
Museo Nacional de Arqueología y Etnología,Estación Central de Tuc-tuc cerca de Museo Nacional de Arqueología y Etnología - Ref 385,TUC_TUC,9.4,30.17,42
Kaminaljuyú,Estación Central de Autobús extraurbano cerca de Kaminaljuyú - Ref 386,EXTRAURBANO,1.44,40.33,5
Zoológico La Aurora,Estación Central de Lancha colectiva cerca de Zoológico La Aurora - Ref 387,LANCHA,1.37,41.69,6
Centro Histórico de la Ciudad de Guatemala,Estación Central de Microbús / Fletero cerca de Centro Histórico de la Ciudad de Guatemala - Ref 388,FLETERO,13.63,44.04,45
Mixco Viejo,Estación Central de Shuttle turístico cerca de Mixco Viejo - Ref 389,SHUTTLE,8.82,16.58,26
Volcán Acatenango,Estación Central de Taxi local cerca de Volcán Acatenango - Ref 390,TAXI,1.02,15.77,3
Volcán de Agua,Estación Central de Tuc-tuc cerca de Volcán de Agua - Ref 391,TUC_TUC,8.47,34.41,22
Hobbitenango,Estación Central de Autobús extraurbano cerca de Hobbitenango - Ref 392,EXTRAURBANO,11.32,29.28,52
Museo Miraflores,Estación Central de Lancha colectiva cerca de Museo Miraflores - Ref 393,LANCHA,0.84,47.62,3
Reserva de Biosfera Sierra de las Minas,Estación Central de Microbús / Fletero cerca de Reserva de Biosfera Sierra de las Minas - Ref 394,FLETERO,13.38,26.76,44
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Shuttle turístico cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 395,SHUTTLE,10.51,32.9,40
Volcán y Laguna de Ipala,Estación Central de Taxi local cerca de Volcán y Laguna de Ipala - Ref 396,TAXI,6.35,48.52,25
Lago de Güija,Estación Central de Tuc-tuc cerca de Lago de Güija - Ref 397,TUC_TUC,7.05,21.74,33
Volcán Suchitán,Estación Central de Autobús extraurbano cerca de Volcán Suchitán - Ref 398,EXTRAURBANO,4.0,35.81,11
Playa Blanca,Estación Central de Lancha colectiva cerca de Playa Blanca - Ref 399,LANCHA,5.36,45.41,23
Laguna Lachuá,Estación Central de Microbús / Fletero cerca de Laguna Lachuá - Ref 400,FLETERO,0.8,9.57,2
Antigua Guatemala,Estación Central de Shuttle turístico cerca de Antigua Guatemala - Ref 401,SHUTTLE,12.49,31.71,34
Parque Nacional Tikal,Estación Central de Taxi local cerca de Parque Nacional Tikal - Ref 402,TAXI,7.77,9.95,30
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 403,TUC_TUC,12.47,20.91,40
Sitio arqueológico El Mirador,Estación Central de Autobús extraurbano cerca de Sitio arqueológico El Mirador - Ref 404,EXTRAURBANO,11.07,19.92,43
Uaxactún,Estación Central de Lancha colectiva cerca de Uaxactún - Ref 405,LANCHA,3.91,34.32,14
Lago de Atitlán,Estación Central de Microbús / Fletero cerca de Lago de Atitlán - Ref 406,FLETERO,10.35,33.42,37
Panajachel,Estación Central de Shuttle turístico cerca de Panajachel - Ref 407,SHUTTLE,11.83,6.41,48
San Juan La Laguna,Estación Central de Taxi local cerca de San Juan La Laguna - Ref 408,TAXI,13.88,9.82,34
Chichicastenango,Estación Central de Tuc-tuc cerca de Chichicastenango - Ref 409,TUC_TUC,11.8,12.47,44
Iximché,Estación Central de Autobús extraurbano cerca de Iximché - Ref 410,EXTRAURBANO,11.82,33.65,42
Parque Arqueológico Quiriguá,Estación Central de Lancha colectiva cerca de Parque Arqueológico Quiriguá - Ref 411,LANCHA,11.28,40.82,37
Río Dulce,Estación Central de Microbús / Fletero cerca de Río Dulce - Ref 412,FLETERO,8.01,23.97,21
Castillo de San Felipe de Lara,Estación Central de Shuttle turístico cerca de Castillo de San Felipe de Lara - Ref 413,SHUTTLE,9.64,42.04,25
Livingston,Estación Central de Taxi local cerca de Livingston - Ref 414,TAXI,13.37,30.87,50
Semuc Champey,Estación Central de Tuc-tuc cerca de Semuc Champey - Ref 415,TUC_TUC,3.66,40.05,9
Cuevas de Candelaria,Estación Central de Autobús extraurbano cerca de Cuevas de Candelaria - Ref 416,EXTRAURBANO,5.42,23.33,16
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Lancha colectiva cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 417,LANCHA,2.49,11.77,10
Cobán,Estación Central de Microbús / Fletero cerca de Cobán - Ref 418,FLETERO,6.56,44.15,32
Esquipulas,Estación Central de Shuttle turístico cerca de Esquipulas - Ref 419,SHUTTLE,13.71,40.27,63
Basílica del Cristo Negro de Esquipulas,Estación Central de Taxi local cerca de Basílica del Cristo Negro de Esquipulas - Ref 420,TAXI,14.18,46.29,61
Volcán de Pacaya,Estación Central de Tuc-tuc cerca de Volcán de Pacaya - Ref 421,TUC_TUC,4.45,26.35,19
Monterrico,Estación Central de Autobús extraurbano cerca de Monterrico - Ref 422,EXTRAURBANO,9.25,42.43,33
Parque Nacional Sipacate-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Sipacate-Naranjo - Ref 423,LANCHA,12.59,27.52,42
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Microbús / Fletero cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 424,FLETERO,5.98,9.1,17
Parques Xetulul y Xocomil,Estación Central de Shuttle turístico cerca de Parques Xetulul y Xocomil - Ref 425,SHUTTLE,7.58,11.39,20
Puerto San José,Estación Central de Taxi local cerca de Puerto San José - Ref 426,TAXI,7.09,32.21,21
Playa Tilapa,Estación Central de Tuc-tuc cerca de Playa Tilapa - Ref 427,TUC_TUC,3.76,6.31,10
Fuentes Georginas,Estación Central de Autobús extraurbano cerca de Fuentes Georginas - Ref 428,EXTRAURBANO,3.94,35.51,11
