codigo,origen_municipio_nombre,destino_municipio_nombre,tipo_transporte_codigo
RUT_59_106_0400,Escuintla,Santiago Atitlán,SHUTTLE
RUT_60_107_0401,Santa Lucía Cotzumalguapa,Totonicapán,TAXI
RUT_61_108_0402,La Democracia,San Cristóbal Totonicapán,EXTRAURBANO
RUT_62_109_0403,Siquinalá,San Francisco El Alto,SHUTTLE
RUT_63_110_0404,Masagua,San Andrés Xecul,EXTRAURBANO
RUT_64_111_0405,Tiquisate,Momostenango,EXTRAURBANO
RUT_65_112_0406,La Gomera,Santa María Chiquimula,TAXI
RUT_66_113_0407,Guanagazapa,Santa Lucía La Reforma,TAXI
RUT_67_114_0408,San José,San Bartolo,EXTRAURBANO
RUT_68_115_0409,Iztapa,Quetzaltenango,FLETERO
RUT_69_116_0410,Palín,Salcajá,SHUTTLE
RUT_70_117_0411,San Vicente Pacaya,Olintepeque,EXTRAURBANO
RUT_71_118_0412,Nueva Concepción,San Carlos Sija,TAXI
RUT_72_119_0413,Sipacate,Sibilia,SHUTTLE
RUT_73_120_0414,Cuilapa,Cabricán,FLETERO
RUT_74_121_0415,Barberena,Cajolá,EXTRAURBANO
RUT_75_122_0416,Santa Rosa de Lima,San Miguel Sigüila,TAXI
RUT_76_123_0417,Casillas,Ostuncalco,TAXI
RUT_77_124_0418,San Rafael Las Flores,San Mateo,SHUTTLE
RUT_78_125_0419,Oratorio,Concepción Chiquirichapa,TAXI
RUT_79_126_0420,San Juan Tecuaco,San Martín Sacatepéquez,FLETERO
RUT_80_127_0421,Chiquimulilla,Almolonga,FLETERO
RUT_81_128_0422,Taxisco,Cantel,EXTRAURBANO
RUT_82_129_0423,Santa María Ixhuatán,Huitán,SHUTTLE
RUT_83_130_0424,Guazacapán,Zunil,EXTRAURBANO
RUT_84_131_0425,Santa Cruz Naranjo,Colomba,SHUTTLE
RUT_85_132_0426,Pueblo Nuevo Viñas,San Francisco La Unión,EXTRAURBANO
RUT_86_133_0427,Nueva Santa Rosa,El Palmar,SHUTTLE
RUT_87_134_0428,Lago De Atitlan,Coatepeque,SHUTTLE
RUT_88_135_0429,Sololá,Génova,FLETERO
RUT_89_136_0430,San José Chacayá,Flores Costa Cuca,SHUTTLE
RUT_90_137_0431,Santa María Visitación,La Esperanza,SHUTTLE
RUT_91_138_0432,Santa Lucía Utatlán,Palestina de Los Altos,SHUTTLE
RUT_92_139_0433,Nahualá,Mazatenango,TAXI
RUT_93_140_0434,Santa Catarina Ixtahuacán,Cuyotenango,FLETERO
RUT_94_141_0435,Santa Clara La Laguna,San Francisco Zapotitlán,TAXI
RUT_95_142_0436,Concepción,San Bernardino,SHUTTLE
RUT_96_143_0437,San Andrés Semetabaj,San José El Ídolo,EXTRAURBANO
RUT_97_144_0438,Panajachel,Santo Domingo Suchitepéquez,LANCHA
RUT_98_145_0439,Santa Catarina Palopó,San Lorenzo,TAXI
RUT_99_146_0440,San Antonio Palopó,Samayac,SHUTTLE
RUT_100_147_0441,San Lucas Tolimán,San Pablo Jocopilas,LANCHA
RUT_101_148_0442,Santa Cruz La Laguna,San Antonio Suchitepéquez,LANCHA
RUT_102_149_0443,San Pablo La Laguna,San Miguel Panán,EXTRAURBANO
RUT_103_150_0444,San Marcos La Laguna,San Gabriel,LANCHA
RUT_104_151_0445,San Juan La Laguna,Chicacao,TAXI
RUT_105_152_0446,San Pedro La Laguna,Patulul,LANCHA
RUT_106_153_0447,Santiago Atitlán,Santa Bárbara,LANCHA
RUT_107_154_0448,Totonicapán,San Juan Bautista,EXTRAURBANO
RUT_108_155_0449,San Cristóbal Totonicapán,Santo Tomás La Unión,SHUTTLE
RUT_109_156_0450,San Francisco El Alto,Zunilito,EXTRAURBANO
RUT_110_157_0451,San Andrés Xecul,Pueblo Nuevo,FLETERO
RUT_111_158_0452,Momostenango,Río Bravo,SHUTTLE
RUT_112_159_0453,Santa María Chiquimula,San José La Máquina,TAXI
RUT_113_160_0454,Santa Lucía La Reforma,Retalhuleu,SHUTTLE
RUT_114_161_0455,San Bartolo,San Sebastián,FLETERO
RUT_115_162_0456,Quetzaltenango,Santa Cruz Muluá,FLETERO
RUT_116_163_0457,Salcajá,San Martín Zapotitlán,TAXI
RUT_117_164_0458,Olintepeque,San Felipe,TAXI
RUT_118_165_0459,San Carlos Sija,San Andrés Villa Seca,SHUTTLE
RUT_119_166_0460,Sibilia,Champerico,SHUTTLE
RUT_120_167_0461,Cabricán,Nuevo San Carlos,TAXI
RUT_121_168_0462,Cajolá,El Asintal,TAXI
RUT_122_169_0463,San Miguel Sigüila,San Marcos,FLETERO
RUT_123_170_0464,Ostuncalco,San Pedro Sacatepéquez,FLETERO
RUT_124_171_0465,San Mateo,San Antonio Sacatepéquez,FLETERO
RUT_125_172_0466,Concepción Chiquirichapa,Comitancillo,FLETERO
RUT_126_173_0467,San Martín Sacatepéquez,San Miguel Ixtahuacán,FLETERO
RUT_127_174_0468,Almolonga,Concepción Tutuapa,TAXI
RUT_128_175_0469,Cantel,Tacaná,FLETERO
RUT_129_176_0470,Huitán,Sibinal,TAXI
RUT_130_177_0471,Zunil,Tajumulco,FLETERO
RUT_131_178_0472,Colomba,Tejutla,SHUTTLE
RUT_132_179_0473,San Francisco La Unión,San Rafael Pie de la Cuesta,TAXI
RUT_133_180_0474,El Palmar,Nuevo Progreso,TAXI
RUT_134_181_0475,Coatepeque,El Tumbador,TAXI
RUT_135_182_0476,Génova,El Rodeo,FLETERO
RUT_136_183_0477,Flores Costa Cuca,Malacatán,SHUTTLE
RUT_137_184_0478,La Esperanza,Catarina,SHUTTLE
RUT_138_185_0479,Palestina de Los Altos,Ayutla,EXTRAURBANO
RUT_139_186_0480,Mazatenango,Ocós,EXTRAURBANO
RUT_140_187_0481,Cuyotenango,San Pablo,SHUTTLE
RUT_141_188_0482,San Francisco Zapotitlán,El Quetzal,TAXI
RUT_142_189_0483,San Bernardino,La Reforma,SHUTTLE
RUT_143_190_0484,San José El Ídolo,Pajapita,EXTRAURBANO
RUT_144_191_0485,Santo Domingo Suchitepéquez,Ixchiguán,TAXI
RUT_145_192_0486,San Lorenzo,San José Ojetenam,SHUTTLE
RUT_146_193_0487,Samayac,San Cristóbal Cucho,SHUTTLE
RUT_147_194_0488,San Pablo Jocopilas,Sipacapa,EXTRAURBANO
RUT_148_195_0489,San Antonio Suchitepéquez,Esquipulas Palo Gordo,FLETERO
RUT_149_196_0490,San Miguel Panán,Río Blanco,SHUTTLE
RUT_150_197_0491,San Gabriel,San Lorenzo,SHUTTLE
RUT_151_198_0492,Chicacao,La Blanca,SHUTTLE
RUT_152_199_0493,Patulul,Huehuetenango,FLETERO
RUT_153_200_0494,Santa Bárbara,Chiantla,TAXI
RUT_154_201_0495,San Juan Bautista,Malacatancito,TAXI
RUT_155_202_0496,Santo Tomás La Unión,Cuilco,EXTRAURBANO
RUT_156_203_0497,Zunilito,Nentón,TAXI
RUT_157_204_0498,Pueblo Nuevo,San Pedro Necta,SHUTTLE
RUT_158_205_0499,Río Bravo,Jacaltenango,FLETERO
RUT_159_206_0500,San José La Máquina,Soloma,TAXI
RUT_160_207_0501,Retalhuleu,Ixtahuacán,FLETERO
RUT_161_208_0502,San Sebastián,Santa Bárbara,SHUTTLE
RUT_162_209_0503,Santa Cruz Muluá,La Libertad,EXTRAURBANO
RUT_163_210_0504,San Martín Zapotitlán,La Democracia,SHUTTLE
RUT_164_211_0505,San Felipe,San Miguel Acatán,SHUTTLE
RUT_165_212_0506,San Andrés Villa Seca,San Rafael La Independencia,EXTRAURBANO
RUT_166_213_0507,Champerico,Todos Santos Cuchumatán,SHUTTLE
RUT_167_214_0508,Nuevo San Carlos,San Juan Atitán,TAXI
RUT_168_215_0509,El Asintal,Santa Eulalia,TAXI
RUT_169_216_0510,San Marcos,San Mateo Ixtatán,EXTRAURBANO
RUT_170_217_0511,San Pedro Sacatepéquez,Colotenango,FLETERO
RUT_171_218_0512,San Antonio Sacatepéquez,San Sebastián Huehuetenango,FLETERO
RUT_172_219_0513,Comitancillo,Tectitán,TAXI
RUT_173_220_0514,San Miguel Ixtahuacán,Concepción Huista,TAXI
RUT_174_221_0515,Concepción Tutuapa,San Juan Ixcoy,EXTRAURBANO
RUT_175_222_0516,Tacaná,San Antonio Huista,FLETERO
RUT_176_223_0517,Sibinal,San Sebastián Coatán,TAXI
RUT_177_224_0518,Tajumulco,Barillas,SHUTTLE
RUT_178_225_0519,Tejutla,Aguacatán,TAXI
RUT_179_226_0520,San Rafael Pie de la Cuesta,San Rafael Petzal,FLETERO
RUT_180_227_0521,Nuevo Progreso,San Gaspar Ixchil,TAXI
RUT_181_228_0522,El Tumbador,Santiago Chimaltenango,TAXI
RUT_182_229_0523,El Rodeo,Santa Ana Huista,FLETERO
RUT_183_230_0524,Malacatán,Unión Cantinil,TAXI
RUT_184_231_0525,Catarina,Petatán,SHUTTLE
RUT_185_232_0526,Ayutla,Santa Cruz del Quiché,TAXI
RUT_186_233_0527,Ocós,Chiché,FLETERO
RUT_187_234_0528,San Pablo,Chinique,SHUTTLE
RUT_188_235_0529,El Quetzal,Zacualpa,SHUTTLE
RUT_189_236_0530,La Reforma,Chajul,SHUTTLE
RUT_190_237_0531,Pajapita,Chichicastenango,EXTRAURBANO
RUT_191_238_0532,Ixchiguán,Patzité,FLETERO
RUT_192_239_0533,San José Ojetenam,San Antonio Ilotenango,EXTRAURBANO
RUT_193_240_0534,San Cristóbal Cucho,San Pedro Jocopilas,FLETERO
RUT_194_241_0535,Sipacapa,Cunén,SHUTTLE
RUT_195_242_0536,Esquipulas Palo Gordo,San Juan Cotzal,EXTRAURBANO
RUT_196_243_0537,Río Blanco,Joyabaj,TAXI
RUT_197_244_0538,San Lorenzo,Nebaj,EXTRAURBANO
RUT_198_245_0539,La Blanca,San Andrés Sajcabajá,FLETERO
RUT_199_246_0540,Huehuetenango,Uspantán,FLETERO
RUT_200_247_0541,Chiantla,Sacapulas,TAXI
RUT_201_248_0542,Malacatancito,San Bartolomé Jocotenango,FLETERO
RUT_202_249_0543,Cuilco,Canillá,FLETERO
RUT_203_250_0544,Nentón,Chicamán,SHUTTLE
RUT_204_251_0545,San Pedro Necta,Ixcán,SHUTTLE
RUT_205_252_0546,Jacaltenango,Pachalum,EXTRAURBANO
RUT_206_253_0547,Soloma,Salamá,TAXI
RUT_207_254_0548,Ixtahuacán,San Miguel Chicaj,EXTRAURBANO
RUT_208_255_0549,Santa Bárbara,Rabinal,FLETERO
RUT_209_256_0550,La Libertad,Cubulco,EXTRAURBANO
RUT_210_257_0551,La Democracia,Granados,EXTRAURBANO
RUT_211_258_0552,San Miguel Acatán,El Chol,EXTRAURBANO
RUT_212_259_0553,San Rafael La Independencia,San Jerónimo,EXTRAURBANO
RUT_213_260_0554,Todos Santos Cuchumatán,Purulhá,EXTRAURBANO
RUT_214_261_0555,San Juan Atitán,Cobán,EXTRAURBANO
RUT_215_262_0556,Santa Eulalia,Santa Cruz Verapaz,TAXI
RUT_216_263_0557,San Mateo Ixtatán,San Cristóbal Verapaz,SHUTTLE
RUT_217_264_0558,Colotenango,Tactic,FLETERO
RUT_218_265_0559,San Sebastián Huehuetenango,Tamahú,SHUTTLE
RUT_219_266_0560,Tectitán,Tucurú,FLETERO
RUT_220_267_0561,Concepción Huista,Panzós,SHUTTLE
RUT_221_268_0562,San Juan Ixcoy,Senahú,EXTRAURBANO
RUT_222_269_0563,San Antonio Huista,San Pedro Carchá,EXTRAURBANO
RUT_223_270_0564,San Sebastián Coatán,San Juan Chamelco,SHUTTLE
RUT_224_271_0565,Barillas,Lanquín,TAXI
RUT_225_272_0566,Aguacatán,Cahabón,EXTRAURBANO
RUT_226_273_0567,San Rafael Petzal,Chisec,SHUTTLE
RUT_227_274_0568,San Gaspar Ixchil,Chahal,TAXI
RUT_228_275_0569,Santiago Chimaltenango,Fray Bartolomé de Las Casas,FLETERO
RUT_229_276_0570,Santa Ana Huista,Santa Catalina La Tinta,TAXI
RUT_230_277_0571,Unión Cantinil,Raxruhá,EXTRAURBANO
RUT_231_278_0572,Petatán,Flores,SHUTTLE
RUT_232_279_0573,Santa Cruz del Quiché,San José,FLETERO
RUT_233_280_0574,Chiché,San Benito,EXTRAURBANO
RUT_234_281_0575,Chinique,San Andrés,FLETERO
RUT_235_282_0576,Zacualpa,La Libertad,TAXI
RUT_236_283_0577,Chajul,San Francisco,EXTRAURBANO
RUT_237_284_0578,Chichicastenango,Santa Ana,SHUTTLE
RUT_238_285_0579,Patzité,Dolores,SHUTTLE
RUT_239_286_0580,San Antonio Ilotenango,San Luis,FLETERO
RUT_240_287_0581,San Pedro Jocopilas,Sayaxché,SHUTTLE
RUT_241_288_0582,Cunén,Melchor de Mencos,SHUTTLE
RUT_242_289_0583,San Juan Cotzal,Poptún,FLETERO
RUT_243_290_0584,Joyabaj,Las Cruces,SHUTTLE
RUT_244_291_0585,Nebaj,El Chal,FLETERO
RUT_245_292_0586,San Andrés Sajcabajá,Puerto Barrios,SHUTTLE
RUT_246_293_0587,Uspantán,Lívingston,FLETERO
RUT_247_294_0588,Sacapulas,El Estor,SHUTTLE
RUT_248_295_0589,San Bartolomé Jocotenango,Morales,EXTRAURBANO
RUT_249_296_0590,Canillá,Los Amates,TAXI
RUT_250_297_0591,Chicamán,Zacapa,EXTRAURBANO
RUT_251_298_0592,Ixcán,Estanzuela,EXTRAURBANO
RUT_252_299_0593,Pachalum,Río Hondo,EXTRAURBANO
RUT_253_300_0594,Salamá,Gualán,FLETERO
RUT_254_301_0595,San Miguel Chicaj,Teculután,SHUTTLE
RUT_255_302_0596,Rabinal,Usumatlán,FLETERO
RUT_256_303_0597,Cubulco,Cabañas,TAXI
RUT_257_304_0598,Granados,San Diego,EXTRAURBANO
RUT_258_305_0599,El Chol,La Unión,EXTRAURBANO
RUT_259_306_0600,San Jerónimo,Huité,FLETERO
RUT_260_307_0601,Purulhá,San Jorge,TAXI
RUT_261_308_0602,Cobán,Chiquimula,FLETERO
RUT_262_309_0603,Santa Cruz Verapaz,San José La Arada,TAXI
RUT_263_310_0604,San Cristóbal Verapaz,San Juan Ermita,FLETERO
RUT_264_311_0605,Tactic,Jocotán,SHUTTLE
RUT_265_312_0606,Tamahú,Camotán,FLETERO
RUT_266_313_0607,Tucurú,Olopa,EXTRAURBANO
RUT_267_314_0608,Panzós,Esquipulas,SHUTTLE
RUT_268_315_0609,Senahú,Concepción Las Minas,EXTRAURBANO
RUT_269_316_0610,San Pedro Carchá,Quezaltepeque,TAXI
RUT_270_317_0611,San Juan Chamelco,San Jacinto,FLETERO
RUT_271_318_0612,Lanquín,Ipala,EXTRAURBANO
RUT_272_319_0613,Cahabón,Jalapa,SHUTTLE
RUT_273_320_0614,Chisec,San Pedro Pinula,EXTRAURBANO
RUT_274_321_0615,Chahal,San Luis Jilotepeque,TAXI
RUT_275_322_0616,Fray Bartolomé de Las Casas,San Manuel Chaparrón,FLETERO
RUT_276_323_0617,Santa Catalina La Tinta,San Carlos Alzatate,EXTRAURBANO
RUT_277_324_0618,Raxruhá,Monjas,EXTRAURBANO
RUT_278_325_0619,Flores,Mataquescuintla,EXTRAURBANO
RUT_279_326_0620,San José,Jutiapa,TAXI
RUT_280_327_0621,San Benito,El Progreso,SHUTTLE
RUT_281_328_0622,San Andrés,Santa Catarina Mita,TAXI
RUT_282_329_0623,La Libertad,Agua Blanca,FLETERO
RUT_283_330_0624,San Francisco,Asunción Mita,SHUTTLE
RUT_284_331_0625,Santa Ana,Yupiltepeque,FLETERO
RUT_285_332_0626,Dolores,Atescatempa,FLETERO
RUT_286_333_0627,San Luis,Jerez,TAXI
RUT_287_334_0628,Sayaxché,El Adelanto,TAXI
RUT_288_335_0629,Melchor de Mencos,Zapotitlán,EXTRAURBANO
RUT_289_336_0630,Poptún,Comapa,SHUTTLE
RUT_290_337_0631,Las Cruces,Jalpatagua,SHUTTLE
RUT_291_338_0632,El Chal,Conguaco,SHUTTLE
RUT_292_339_0633,Puerto Barrios,Moyuta,SHUTTLE
RUT_293_340_0634,Lívingston,Pasaco,EXTRAURBANO
RUT_294_341_0635,El Estor,San José Acatempa,EXTRAURBANO
RUT_295_342_0636,Morales,Quesada,EXTRAURBANO
RUT_296_1_0637,Los Amates,Lago De Amatitlan,SHUTTLE
RUT_297_2_0638,Zacapa,Guatemala,TAXI
RUT_298_3_0639,Estanzuela,Santa Catarina Pinula,FLETERO
RUT_299_4_0640,Río Hondo,San José Pinula,TAXI
RUT_300_5_0641,Gualán,San José del Golfo,TAXI
RUT_301_6_0642,Teculután,Palencia,FLETERO
RUT_302_7_0643,Usumatlán,Chinautla,TAXI
RUT_303_8_0644,Cabañas,San Pedro Ayampuc,SHUTTLE
RUT_304_9_0645,San Diego,Mixco,TAXI
RUT_305_10_0646,La Unión,San Pedro Sacatepéquez,EXTRAURBANO
RUT_306_11_0647,Huité,San Juan Sacatepéquez,SHUTTLE
RUT_307_12_0648,San Jorge,San Raimundo,FLETERO
RUT_308_13_0649,Chiquimula,Chuarrancho,EXTRAURBANO
RUT_309_14_0650,San José La Arada,Fraijanes,EXTRAURBANO
RUT_310_15_0651,San Juan Ermita,Amatitlán,FLETERO
RUT_311_16_0652,Jocotán,Villa Nueva,FLETERO
RUT_312_17_0653,Camotán,Villa Canales,FLETERO
RUT_313_18_0654,Olopa,Petapa,SHUTTLE
RUT_314_19_0655,Esquipulas,Guastatoya,FLETERO
RUT_315_20_0656,Concepción Las Minas,Morazán,FLETERO
RUT_316_21_0657,Quezaltepeque,San Agustín Acasaguastlán,FLETERO
RUT_317_22_0658,San Jacinto,San Cristóbal Acasaguastlán,SHUTTLE
RUT_318_23_0659,Ipala,El Jícaro,EXTRAURBANO
RUT_319_24_0660,Jalapa,Sanarate,TAXI
RUT_320_25_0661,San Pedro Pinula,Sansare,SHUTTLE
RUT_321_26_0662,San Luis Jilotepeque,San Antonio La Paz,SHUTTLE
RUT_322_27_0663,San Manuel Chaparrón,Antigua Guatemala,TAXI
RUT_323_28_0664,San Carlos Alzatate,Jocotenango,TAXI
RUT_324_29_0665,Monjas,Pastores,TAXI
RUT_325_30_0666,Mataquescuintla,Sumpango,FLETERO
RUT_326_31_0667,Jutiapa,Santo Domingo Xenacoj,SHUTTLE
RUT_327_32_0668,El Progreso,Santiago Sacatepéquez,EXTRAURBANO
RUT_328_33_0669,Santa Catarina Mita,San Bartolomé Milpas Altas,SHUTTLE
RUT_329_34_0670,Agua Blanca,San Lucas Sacatepéquez,SHUTTLE
RUT_330_35_0671,Asunción Mita,Santa Lucía Milpas Altas,FLETERO
RUT_331_36_0672,Yupiltepeque,Magdalena Milpas Altas,SHUTTLE
RUT_332_37_0673,Atescatempa,Santa María de Jesús,EXTRAURBANO
RUT_333_38_0674,Jerez,Ciudad Vieja,SHUTTLE
RUT_334_39_0675,El Adelanto,San Miguel Dueñas,TAXI
RUT_335_40_0676,Zapotitlán,Alotenango,FLETERO
RUT_336_41_0677,Comapa,San Antonio Aguas Calientes,TAXI
RUT_337_42_0678,Jalpatagua,Santa Catarina Barahona,TAXI
RUT_338_43_0679,Conguaco,Chimaltenango,EXTRAURBANO
RUT_339_44_0680,Moyuta,San José Poaquil,EXTRAURBANO
RUT_340_45_0681,Pasaco,San Martín Jilotepeque,SHUTTLE
RUT_341_46_0682,San José Acatempa,Comalapa,TAXI
RUT_342_47_0683,Quesada,Santa Apolonia,EXTRAURBANO
RUT_1_48_0684,Lago De Amatitlan,Tecpán Guatemala,EXTRAURBANO
RUT_2_49_0685,Guatemala,Patzún,TAXI
RUT_3_50_0686,Santa Catarina Pinula,Pochuta,EXTRAURBANO
RUT_4_51_0687,San José Pinula,Patzicía,TAXI
RUT_5_52_0688,San José del Golfo,Santa Cruz Balanyá,EXTRAURBANO
RUT_6_53_0689,Palencia,Acatenango,TAXI
RUT_7_54_0690,Chinautla,Yepocapa,TAXI
RUT_8_55_0691,San Pedro Ayampuc,San Andrés Itzapa,SHUTTLE
RUT_9_56_0692,Mixco,Parramos,FLETERO
RUT_10_57_0693,San Pedro Sacatepéquez,Zaragoza,EXTRAURBANO
RUT_11_58_0694,San Juan Sacatepéquez,El Tejar,EXTRAURBANO
RUT_12_59_0695,San Raimundo,Escuintla,FLETERO
RUT_13_60_0696,Chuarrancho,Santa Lucía Cotzumalguapa,SHUTTLE
RUT_14_61_0697,Fraijanes,La Democracia,EXTRAURBANO
RUT_15_62_0698,Amatitlán,Siquinalá,FLETERO
RUT_16_63_0699,Villa Nueva,Masagua,SHUTTLE
RUT_17_64_0700,Villa Canales,Tiquisate,FLETERO
RUT_18_65_0701,Petapa,La Gomera,EXTRAURBANO
RUT_19_66_0702,Guastatoya,Guanagazapa,SHUTTLE
RUT_20_67_0703,Morazán,San José,SHUTTLE
RUT_21_68_0704,San Agustín Acasaguastlán,Iztapa,SHUTTLE
RUT_22_69_0705,San Cristóbal Acasaguastlán,Palín,EXTRAURBANO
RUT_23_70_0706,El Jícaro,San Vicente Pacaya,TAXI
RUT_24_71_0707,Sanarate,Nueva Concepción,FLETERO
RUT_25_72_0708,Sansare,Sipacate,EXTRAURBANO
RUT_26_73_0709,San Antonio La Paz,Cuilapa,FLETERO
RUT_27_74_0710,Antigua Guatemala,Barberena,EXTRAURBANO
RUT_28_75_0711,Jocotenango,Santa Rosa de Lima,SHUTTLE
RUT_29_76_0712,Pastores,Casillas,FLETERO
RUT_30_77_0713,Sumpango,San Rafael Las Flores,TAXI
RUT_31_78_0714,Santo Domingo Xenacoj,Oratorio,FLETERO
RUT_32_79_0715,Santiago Sacatepéquez,San Juan Tecuaco,EXTRAURBANO
RUT_33_80_0716,San Bartolomé Milpas Altas,Chiquimulilla,SHUTTLE
RUT_34_81_0717,San Lucas Sacatepéquez,Taxisco,TAXI
RUT_35_82_0718,Santa Lucía Milpas Altas,Santa María Ixhuatán,EXTRAURBANO
RUT_36_83_0719,Magdalena Milpas Altas,Guazacapán,SHUTTLE
RUT_37_84_0720,Santa María de Jesús,Santa Cruz Naranjo,FLETERO
RUT_38_85_0721,Ciudad Vieja,Pueblo Nuevo Viñas,SHUTTLE
RUT_39_86_0722,San Miguel Dueñas,Nueva Santa Rosa,FLETERO
RUT_40_87_0723,Alotenango,Lago De Atitlan,SHUTTLE
RUT_41_88_0724,San Antonio Aguas Calientes,Sololá,FLETERO
RUT_42_89_0725,Santa Catarina Barahona,San José Chacayá,EXTRAURBANO
RUT_43_90_0726,Chimaltenango,Santa María Visitación,SHUTTLE
RUT_44_91_0727,San José Poaquil,Santa Lucía Utatlán,EXTRAURBANO
RUT_45_92_0728,San Martín Jilotepeque,Nahualá,SHUTTLE
RUT_46_93_0729,Comalapa,Santa Catarina Ixtahuacán,FLETERO
RUT_47_94_0730,Santa Apolonia,Santa Clara La Laguna,EXTRAURBANO
RUT_48_95_0731,Tecpán Guatemala,Concepción,TAXI
RUT_49_96_0732,Patzún,San Andrés Semetabaj,SHUTTLE
RUT_50_97_0733,Pochuta,Panajachel,LANCHA
RUT_51_98_0734,Patzicía,Santa Catarina Palopó,EXTRAURBANO
RUT_52_99_0735,Santa Cruz Balanyá,San Antonio Palopó,LANCHA
RUT_53_100_0736,Acatenango,San Lucas Tolimán,SHUTTLE
RUT_54_101_0737,Yepocapa,Santa Cruz La Laguna,TAXI
RUT_55_102_0738,San Andrés Itzapa,San Pablo La Laguna,SHUTTLE
RUT_56_103_0739,Parramos,San Marcos La Laguna,LANCHA
RUT_57_104_0740,Zaragoza,San Juan La Laguna,SHUTTLE
RUT_58_105_0741,El Tejar,San Pedro La Laguna,LANCHA
RUT_59_106_0742,Escuintla,Santiago Atitlán,LANCHA
RUT_60_107_0743,Santa Lucía Cotzumalguapa,Totonicapán,SHUTTLE
RUT_61_108_0744,La Democracia,San Cristóbal Totonicapán,EXTRAURBANO
RUT_62_109_0745,Siquinalá,San Francisco El Alto,SHUTTLE
RUT_63_110_0746,Masagua,San Andrés Xecul,TAXI
RUT_64_111_0747,Tiquisate,Momostenango,SHUTTLE
RUT_65_112_0748,La Gomera,Santa María Chiquimula,TAXI
RUT_66_113_0749,Guanagazapa,Santa Lucía La Reforma,TAXI
RUT_67_114_0750,San José,San Bartolo,TAXI
RUT_68_115_0751,Iztapa,Quetzaltenango,FLETERO
RUT_69_116_0752,Palín,Salcajá,FLETERO
RUT_70_117_0753,San Vicente Pacaya,Olintepeque,SHUTTLE
RUT_71_118_0754,Nueva Concepción,San Carlos Sija,SHUTTLE
RUT_72_119_0755,Sipacate,Sibilia,FLETERO
RUT_73_120_0756,Cuilapa,Cabricán,EXTRAURBANO
RUT_74_121_0757,Barberena,Cajolá,SHUTTLE
RUT_75_122_0758,Santa Rosa de Lima,San Miguel Sigüila,FLETERO
RUT_76_123_0759,Casillas,Ostuncalco,EXTRAURBANO
RUT_77_124_0760,San Rafael Las Flores,San Mateo,TAXI
RUT_78_125_0761,Oratorio,Concepción Chiquirichapa,FLETERO
RUT_79_126_0762,San Juan Tecuaco,San Martín Sacatepéquez,SHUTTLE
RUT_80_127_0763,Chiquimulilla,Almolonga,TAXI
RUT_81_128_0764,Taxisco,Cantel,FLETERO
RUT_82_129_0765,Santa María Ixhuatán,Huitán,FLETERO
RUT_83_130_0766,Guazacapán,Zunil,FLETERO
RUT_84_131_0767,Santa Cruz Naranjo,Colomba,TAXI
RUT_85_132_0768,Pueblo Nuevo Viñas,San Francisco La Unión,FLETERO
RUT_86_133_0769,Nueva Santa Rosa,El Palmar,FLETERO
RUT_87_134_0770,Lago De Atitlan,Coatepeque,SHUTTLE
RUT_88_135_0771,Sololá,Génova,SHUTTLE
RUT_89_136_0772,San José Chacayá,Flores Costa Cuca,EXTRAURBANO
RUT_90_137_0773,Santa María Visitación,La Esperanza,FLETERO
RUT_91_138_0774,Santa Lucía Utatlán,Palestina de Los Altos,SHUTTLE
RUT_92_139_0775,Nahualá,Mazatenango,TAXI
RUT_93_140_0776,Santa Catarina Ixtahuacán,Cuyotenango,TAXI
RUT_94_141_0777,Santa Clara La Laguna,San Francisco Zapotitlán,EXTRAURBANO
RUT_95_142_0778,Concepción,San Bernardino,TAXI
RUT_96_143_0779,San Andrés Semetabaj,San José El Ídolo,SHUTTLE
RUT_97_144_0780,Panajachel,Santo Domingo Suchitepéquez,LANCHA
RUT_98_145_0781,Santa Catarina Palopó,San Lorenzo,SHUTTLE
RUT_99_146_0782,San Antonio Palopó,Samayac,SHUTTLE
RUT_100_147_0783,San Lucas Tolimán,San Pablo Jocopilas,LANCHA
RUT_101_148_0784,Santa Cruz La Laguna,San Antonio Suchitepéquez,LANCHA
RUT_102_149_0785,San Pablo La Laguna,San Miguel Panán,FLETERO
RUT_103_150_0786,San Marcos La Laguna,San Gabriel,LANCHA
RUT_104_151_0787,San Juan La Laguna,Chicacao,TAXI
RUT_105_152_0788,San Pedro La Laguna,Patulul,FLETERO
RUT_106_153_0789,Santiago Atitlán,Santa Bárbara,LANCHA
RUT_107_154_0790,Totonicapán,San Juan Bautista,TAXI
RUT_108_155_0791,San Cristóbal Totonicapán,Santo Tomás La Unión,FLETERO
RUT_109_156_0792,San Francisco El Alto,Zunilito,TAXI
RUT_110_157_0793,San Andrés Xecul,Pueblo Nuevo,FLETERO
RUT_111_158_0794,Momostenango,Río Bravo,EXTRAURBANO
RUT_112_159_0795,Santa María Chiquimula,San José La Máquina,TAXI
RUT_113_160_0796,Santa Lucía La Reforma,Retalhuleu,FLETERO
RUT_114_161_0797,San Bartolo,San Sebastián,FLETERO
RUT_115_162_0798,Quetzaltenango,Santa Cruz Muluá,TAXI
RUT_116_163_0799,Salcajá,San Martín Zapotitlán,FLETERO
RUT_117_164_0800,Olintepeque,San Felipe,TAXI
RUT_118_165_0801,San Carlos Sija,San Andrés Villa Seca,TAXI
