municipio_nombre,tipo_vehiculo,distancia_cabecera_km,tiempo_cabecera_minutos,distancia_capital_km,tiempo_capital_minutos
El Asintal,LIVIANO,62.28,89,271.38,511
El Asintal,PESADO,48.53,123,203.85,892
El Asintal,AUTOBUS,3.33,7,257.63,972
San Marcos,LIVIANO,16.74,40,192.98,589
San Marcos,PESADO,38.71,117,280.86,817
San Marcos,AUTOBUS,84.28,249,273.07,1178
San Pedro Sacatepéquez,LIVIANO,60.14,87,134.41,246
San Pedro Sacatepéquez,PESADO,30.92,58,234.94,833
San Pedro Sacatepéquez,AUTOBUS,7.5,23,160.58,763
San Antonio Sacatepéquez,LIVIANO,65.23,108,300.21,719
San Antonio Sacatepéquez,PESADO,75.36,240,155.98,833
San Antonio Sacatepéquez,AUTOBUS,78.1,179,182.68,501
Comitancillo,LIVIANO,7.91,9,148.9,481
Comitancillo,PESADO,88.48,196,215.42,691
Comitancillo,AUTOBUS,78.95,130,134.78,456
San Miguel Ixtahuacán,LIVIANO,56.39,110,160.66,482
San Miguel Ixtahuacán,PESADO,80.38,166,254.49,992
San Miguel Ixtahuacán,AUTOBUS,28.84,67,167.53,473
Concepción Tutuapa,LIVIANO,70.95,122,154.57,389
Concepción Tutuapa,PESADO,79.94,196,239.33,1131
Concepción Tutuapa,AUTOBUS,25.26,65,192.33,491
Tacaná,LIVIANO,73.85,156,297.6,873
Tacaná,PESADO,20.86,46,304.63,1126
Tacaná,AUTOBUS,22.97,48,243.28,1092
Sibinal,LIVIANO,84.21,109,132.92,275
Sibinal,PESADO,17.2,39,305.24,1387
Sibinal,AUTOBUS,94.98,232,133.3,389
Tajumulco,LIVIANO,75.65,151,303.21,991
Tajumulco,PESADO,5.87,10,219.22,820
Tajumulco,AUTOBUS,2.31,5,123.16,466
Tejutla,LIVIANO,69.96,79,308.02,780
Tejutla,PESADO,92.9,277,173.74,814
Tejutla,AUTOBUS,14.32,37,142.54,638
San Rafael Pie de la Cuesta,LIVIANO,84.71,207,244.58,552
San Rafael Pie de la Cuesta,PESADO,34.2,97,236.65,1081
San Rafael Pie de la Cuesta,AUTOBUS,52.63,102,144.85,655
Nuevo Progreso,LIVIANO,78.56,149,309.99,962
Nuevo Progreso,PESADO,72.85,199,208.21,1006
Nuevo Progreso,AUTOBUS,9.03,18,234.46,1034
El Tumbador,LIVIANO,68.68,118,237.06,597
El Tumbador,PESADO,82.14,135,201.15,596
El Tumbador,AUTOBUS,84.34,210,151.56,534
El Rodeo,LIVIANO,94.93,162,182.23,406
El Rodeo,PESADO,20.89,45,218.83,993
El Rodeo,AUTOBUS,89.21,152,232.99,923
Malacatán,LIVIANO,10.33,19,280.99,948
Malacatán,PESADO,94.19,289,113.47,545
Malacatán,AUTOBUS,73.3,222,179.23,791
Catarina,LIVIANO,48.85,88,204.97,710
Catarina,PESADO,85.1,282,123.4,376
Catarina,AUTOBUS,47.97,88,214.1,978
Ayutla,LIVIANO,66.86,164,252.2,573
Ayutla,PESADO,38.47,91,263.64,1078
Ayutla,AUTOBUS,56.97,81,271.31,786
Ocós,LIVIANO,61.33,138,176.41,415
Ocós,PESADO,68.82,181,234.63,1094
Ocós,AUTOBUS,55.97,131,125.91,537
San Pablo,LIVIANO,70.41,158,155.58,354
San Pablo,PESADO,56.87,159,306.52,928
San Pablo,AUTOBUS,57.25,156,110.54,422
El Quetzal,LIVIANO,17.49,23,247.72,577
El Quetzal,PESADO,60.23,163,276.14,886
El Quetzal,AUTOBUS,17.27,29,281.25,798
La Reforma,LIVIANO,85.2,165,151.47,344
La Reforma,PESADO,19.38,54,276.97,1270
La Reforma,AUTOBUS,47.03,146,176.02,513
Pajapita,LIVIANO,51.03,96,160.42,310
Pajapita,PESADO,89.32,198,157.38,502
Pajapita,AUTOBUS,18.4,54,291.71,1092
Ixchiguán,LIVIANO,89.26,213,217.44,439
Ixchiguán,PESADO,53.71,190,199.31,956
Ixchiguán,AUTOBUS,11.18,24,271.09,1043
San José Ojetenam,LIVIANO,19.51,47,296.34,667
San José Ojetenam,PESADO,66.62,129,259.7,1052
San José Ojetenam,AUTOBUS,91.55,269,127.9,562
San Cristóbal Cucho,LIVIANO,58.85,134,263.56,661
San Cristóbal Cucho,PESADO,34.96,94,193.24,800
San Cristóbal Cucho,AUTOBUS,10.0,23,308.08,1370
Sipacapa,LIVIANO,44.15,84,204.88,661
Sipacapa,PESADO,86.56,166,239.21,843
Sipacapa,AUTOBUS,17.2,29,187.96,586
Esquipulas Palo Gordo,LIVIANO,2.41,5,281.6,634
Esquipulas Palo Gordo,PESADO,45.28,117,290.41,841
Esquipulas Palo Gordo,AUTOBUS,78.7,179,155.61,550
Río Blanco,LIVIANO,73.65,114,282.13,842
Río Blanco,PESADO,48.77,154,222.45,1201
Río Blanco,AUTOBUS,58.49,130,204.12,926
San Lorenzo,LIVIANO,7.85,14,296.58,762
San Lorenzo,PESADO,30.0,64,127.89,516
San Lorenzo,AUTOBUS,19.93,55,226.17,578
La Blanca,LIVIANO,42.51,51,306.78,715
La Blanca,PESADO,26.96,49,214.5,894
La Blanca,AUTOBUS,29.87,54,270.58,875
Huehuetenango,LIVIANO,47.39,103,151.68,295
Huehuetenango,PESADO,61.49,148,167.75,662
Huehuetenango,AUTOBUS,67.83,179,154.26,508
Chiantla,LIVIANO,8.63,10,157.51,315
Chiantla,PESADO,12.64,37,236.1,1067
Chiantla,AUTOBUS,85.33,270,265.88,939
Malacatancito,LIVIANO,55.79,91,140.0,485
Malacatancito,PESADO,90.92,280,158.33,804
Malacatancito,AUTOBUS,43.9,139,249.15,893
Cuilco,LIVIANO,28.01,44,137.29,335
Cuilco,PESADO,16.38,30,265.52,1097
Cuilco,AUTOBUS,31.48,66,223.67,1093
Nentón,LIVIANO,56.87,89,234.72,542
Nentón,PESADO,42.53,85,280.41,1360
Nentón,AUTOBUS,40.42,62,303.77,911
San Pedro Necta,LIVIANO,29.25,40,217.99,675
San Pedro Necta,PESADO,50.96,189,113.29,361
San Pedro Necta,AUTOBUS,75.62,144,135.41,415
Jacaltenango,LIVIANO,92.79,132,298.0,769
Jacaltenango,PESADO,57.1,102,240.65,1289
Jacaltenango,AUTOBUS,2.13,6,167.61,431
Soloma,LIVIANO,70.85,159,126.79,432
Soloma,PESADO,31.67,87,263.16,1080
Soloma,AUTOBUS,53.29,143,249.45,1080
Ixtahuacán,LIVIANO,57.03,110,125.51,392
Ixtahuacán,PESADO,70.25,139,306.75,1640
Ixtahuacán,AUTOBUS,44.9,88,161.63,571
Santa Bárbara,LIVIANO,74.92,86,169.87,563
Santa Bárbara,PESADO,64.81,231,159.84,630
Santa Bárbara,AUTOBUS,58.71,144,215.76,649
La Libertad,LIVIANO,37.78,58,243.01,828
La Libertad,PESADO,45.72,87,295.38,1451
La Libertad,AUTOBUS,84.37,214,135.0,532
La Democracia,LIVIANO,32.08,68,301.09,786
La Democracia,PESADO,89.34,285,266.26,1070
La Democracia,AUTOBUS,47.29,135,178.28,768
San Miguel Acatán,LIVIANO,93.46,202,289.42,823
San Miguel Acatán,PESADO,33.36,115,130.49,705
San Miguel Acatán,AUTOBUS,76.53,182,202.67,970
San Rafael La Independencia,LIVIANO,37.5,85,224.02,500
San Rafael La Independencia,PESADO,44.19,94,239.12,700
San Rafael La Independencia,AUTOBUS,50.12,145,194.82,882
Todos Santos Cuchumatán,LIVIANO,69.99,156,239.77,733
Todos Santos Cuchumatán,PESADO,76.83,271,278.94,1160
Todos Santos Cuchumatán,AUTOBUS,77.77,215,260.77,1264
San Juan Atitán,LIVIANO,80.8,107,233.49,799
San Juan Atitán,PESADO,84.62,291,295.11,1265
San Juan Atitán,AUTOBUS,20.35,49,209.73,901
Santa Eulalia,LIVIANO,28.24,60,175.1,573
Santa Eulalia,PESADO,56.09,174,261.93,1009
Santa Eulalia,AUTOBUS,53.32,157,266.71,781
San Mateo Ixtatán,LIVIANO,41.56,46,117.7,371
San Mateo Ixtatán,PESADO,51.57,168,121.47,571
San Mateo Ixtatán,AUTOBUS,64.42,202,220.98,730
Colotenango,LIVIANO,48.4,111,150.04,302
Colotenango,PESADO,22.18,48,263.78,1347
Colotenango,AUTOBUS,59.74,96,248.11,1183
San Sebastián Huehuetenango,LIVIANO,30.38,48,286.17,916
San Sebastián Huehuetenango,PESADO,76.32,250,115.46,608
San Sebastián Huehuetenango,AUTOBUS,28.81,80,189.26,648
Tectitán,LIVIANO,59.19,102,268.59,840
Tectitán,PESADO,18.33,39,206.4,944
Tectitán,AUTOBUS,92.8,230,243.88,1097
Concepción Huista,LIVIANO,64.6,131,247.7,564
Concepción Huista,PESADO,53.95,172,132.46,408
Concepción Huista,AUTOBUS,6.71,16,146.03,502
San Juan Ixcoy,LIVIANO,35.14,47,197.22,423
San Juan Ixcoy,PESADO,15.19,43,303.55,963
San Juan Ixcoy,AUTOBUS,44.6,132,187.5,627
San Antonio Huista,LIVIANO,69.71,77,163.88,335
San Antonio Huista,PESADO,34.49,61,157.85,529
San Antonio Huista,AUTOBUS,40.46,80,220.26,930
San Sebastián Coatán,LIVIANO,44.86,89,301.44,977
San Sebastián Coatán,PESADO,31.4,55,207.73,859
San Sebastián Coatán,AUTOBUS,37.65,78,271.96,770
Barillas,LIVIANO,29.63,65,181.64,353
Barillas,PESADO,28.23,72,216.24,748
Barillas,AUTOBUS,26.75,44,239.44,660
Aguacatán,LIVIANO,76.54,162,260.18,673
Aguacatán,PESADO,41.56,100,277.63,904
Aguacatán,AUTOBUS,34.63,84,256.22,902
San Rafael Petzal,LIVIANO,79.97,149,290.69,752
San Rafael Petzal,PESADO,7.06,12,145.23,792
San Rafael Petzal,AUTOBUS,92.36,245,266.78,1213
San Gaspar Ixchil,LIVIANO,2.65,6,277.94,878
San Gaspar Ixchil,PESADO,36.77,63,157.84,512
San Gaspar Ixchil,AUTOBUS,87.96,171,194.17,627
Santiago Chimaltenango,LIVIANO,30.54,42,287.06,609
Santiago Chimaltenango,PESADO,69.41,258,270.96,1428
Santiago Chimaltenango,AUTOBUS,32.1,85,112.8,432
Santa Ana Huista,LIVIANO,78.0,96,113.88,309
Santa Ana Huista,PESADO,67.63,211,206.56,926
Santa Ana Huista,AUTOBUS,48.5,81,247.64,639
Unión Cantinil,LIVIANO,88.45,170,285.43,664
Unión Cantinil,PESADO,2.84,5,150.77,612
Unión Cantinil,AUTOBUS,62.13,107,219.39,614
Petatán,LIVIANO,65.66,84,242.89,750
Petatán,PESADO,74.83,151,236.7,1104
Petatán,AUTOBUS,61.11,96,232.77,617
Santa Cruz del Quiché,LIVIANO,79.75,96,263.58,598
Santa Cruz del Quiché,PESADO,85.47,229,309.45,1641
Santa Cruz del Quiché,AUTOBUS,60.02,159,263.43,861
Chiché,LIVIANO,24.03,34,185.26,406
Chiché,PESADO,10.62,34,309.67,1614
Chiché,AUTOBUS,5.47,9,162.24,565
Chinique,LIVIANO,84.15,124,156.64,536
Chinique,PESADO,65.2,216,240.67,732
Chinique,AUTOBUS,68.79,139,274.16,1163
Zacualpa,LIVIANO,82.31,123,197.02,445
Zacualpa,PESADO,54.23,181,127.7,596
Zacualpa,AUTOBUS,12.73,39,137.99,568
Chajul,LIVIANO,45.63,61,146.21,314
Chajul,PESADO,8.37,25,157.6,673
Chajul,AUTOBUS,20.8,57,224.17,946
Chichicastenango,LIVIANO,91.19,213,150.03,355
Chichicastenango,PESADO,21.49,36,122.77,496
Chichicastenango,AUTOBUS,4.28,10,307.57,1474
Patzité,LIVIANO,74.68,180,141.52,265
Patzité,PESADO,92.9,213,281.5,1286
Patzité,AUTOBUS,23.76,71,193.55,909
San Antonio Ilotenango,LIVIANO,4.15,7,172.19,389
San Antonio Ilotenango,PESADO,39.96,136,186.71,1019
San Antonio Ilotenango,AUTOBUS,5.43,15,120.03,403
San Pedro Jocopilas,LIVIANO,40.19,75,177.6,319
San Pedro Jocopilas,PESADO,71.45,163,191.64,552
San Pedro Jocopilas,AUTOBUS,38.17,105,221.38,868
Cunén,LIVIANO,54.19,86,176.11,576
Cunén,PESADO,25.48,55,205.66,798
Cunén,AUTOBUS,78.25,137,238.28,844
San Juan Cotzal,LIVIANO,76.9,105,127.09,432
San Juan Cotzal,PESADO,86.95,310,240.84,1177
San Juan Cotzal,AUTOBUS,44.87,91,192.07,704
Joyabaj,LIVIANO,83.18,139,219.28,557
Joyabaj,PESADO,23.43,81,240.01,1099
Joyabaj,AUTOBUS,87.07,153,156.62,404
Nebaj,LIVIANO,83.89,122,170.52,374
Nebaj,PESADO,68.31,121,296.57,1377
Nebaj,AUTOBUS,38.69,58,214.61,922
San Andrés Sajcabajá,LIVIANO,13.39,19,299.99,654
San Andrés Sajcabajá,PESADO,94.43,165,299.88,1584
San Andrés Sajcabajá,AUTOBUS,5.44,13,113.34,392
Uspantán,LIVIANO,87.55,187,143.45,406
Uspantán,PESADO,76.2,228,235.81,756
Uspantán,AUTOBUS,44.44,136,149.66,631
Sacapulas,LIVIANO,29.21,69,174.8,400
Sacapulas,PESADO,22.36,67,274.96,985
Sacapulas,AUTOBUS,59.37,101,137.7,652
San Bartolomé Jocotenango,LIVIANO,15.55,31,217.25,442
San Bartolomé Jocotenango,PESADO,68.62,210,149.3,580
San Bartolomé Jocotenango,AUTOBUS,76.72,146,292.47,1202
Canillá,LIVIANO,69.66,157,191.05,514
Canillá,PESADO,78.63,252,158.64,732
Canillá,AUTOBUS,33.34,59,267.01,802
Chicamán,LIVIANO,51.5,128,292.61,658
Chicamán,PESADO,71.04,153,214.61,684
Chicamán,AUTOBUS,10.93,20,245.08,799
Ixcán,LIVIANO,14.03,24,307.23,1050
Ixcán,PESADO,85.66,255,289.32,1425
Ixcán,AUTOBUS,49.83,150,237.07,951
Pachalum,LIVIANO,70.77,129,264.13,811
Pachalum,PESADO,56.04,96,278.77,1412
Pachalum,AUTOBUS,79.27,232,290.4,1373
Salamá,LIVIANO,22.42,30,199.56,366
Salamá,PESADO,15.04,55,248.1,851
Salamá,AUTOBUS,81.3,192,137.25,438
San Miguel Chicaj,LIVIANO,54.92,136,187.47,461
San Miguel Chicaj,PESADO,15.11,30,138.4,584
San Miguel Chicaj,AUTOBUS,88.68,253,246.85,784
Rabinal,LIVIANO,89.94,141,239.1,594
Rabinal,PESADO,45.29,142,259.9,1414
Rabinal,AUTOBUS,7.75,16,124.06,436
Cubulco,LIVIANO,18.94,23,171.96,320
Cubulco,PESADO,7.49,15,141.74,516
Cubulco,AUTOBUS,47.69,144,243.8,970
Granados,LIVIANO,73.32,103,164.63,371
Granados,PESADO,91.53,310,299.78,1524
Granados,AUTOBUS,11.92,27,249.33,894
El Chol,LIVIANO,55.88,79,117.9,284
El Chol,PESADO,47.51,99,117.83,531
El Chol,AUTOBUS,67.87,141,293.04,1311
San Jerónimo,LIVIANO,90.56,104,250.92,456
San Jerónimo,PESADO,53.45,93,145.16,603
San Jerónimo,AUTOBUS,17.17,33,203.15,530
Purulhá,LIVIANO,54.61,66,144.03,497
Purulhá,PESADO,21.61,51,120.43,600
Purulhá,AUTOBUS,83.74,145,250.96,814
Cobán,LIVIANO,27.89,52,215.3,460
Cobán,PESADO,15.59,51,128.68,556
Cobán,AUTOBUS,47.08,126,266.93,1234
Santa Cruz Verapaz,LIVIANO,71.09,128,122.66,333
Santa Cruz Verapaz,PESADO,61.29,172,218.4,1076
Santa Cruz Verapaz,AUTOBUS,20.22,37,275.6,1036
San Cristóbal Verapaz,LIVIANO,16.22,27,226.14,635
San Cristóbal Verapaz,PESADO,84.19,139,224.21,740
San Cristóbal Verapaz,AUTOBUS,85.6,178,194.76,520
Tactic,LIVIANO,41.41,87,159.03,351
Tactic,PESADO,53.81,201,160.11,540
Tactic,AUTOBUS,6.21,13,120.67,347
Tamahú,LIVIANO,82.78,95,237.48,570
Tamahú,PESADO,85.39,205,261.67,1371
Tamahú,AUTOBUS,42.55,78,297.26,1171
Tucurú,LIVIANO,10.22,14,261.35,897
Tucurú,PESADO,81.05,277,179.55,704
Tucurú,AUTOBUS,77.63,150,171.26,536
Panzós,LIVIANO,94.94,126,156.96,519
Panzós,PESADO,3.67,6,182.81,684
Panzós,AUTOBUS,22.63,57,278.97,1281
Senahú,LIVIANO,35.29,63,147.5,463
Senahú,PESADO,5.75,12,259.87,1198
Senahú,AUTOBUS,68.13,136,221.72,958
San Pedro Carchá,LIVIANO,2.81,5,174.23,454
San Pedro Carchá,PESADO,64.19,118,114.17,414
San Pedro Carchá,AUTOBUS,32.83,46,266.81,1037
San Juan Chamelco,LIVIANO,84.71,144,268.79,615
San Juan Chamelco,PESADO,85.86,280,117.68,460
San Juan Chamelco,AUTOBUS,5.05,11,265.67,923
Lanquín,LIVIANO,34.03,57,295.85,584
Lanquín,PESADO,56.94,198,166.52,838
Lanquín,AUTOBUS,20.07,45,248.38,841
Cahabón,LIVIANO,9.64,17,249.64,795
Cahabón,PESADO,9.59,16,269.18,932
Cahabón,AUTOBUS,57.76,158,203.33,810
Chisec,LIVIANO,56.52,97,297.16,581
Chisec,PESADO,62.95,228,189.57,859
Chisec,AUTOBUS,4.44,7,257.53,1012
Chahal,LIVIANO,17.92,29,208.21,416
Chahal,PESADO,8.44,18,280.19,985
Chahal,AUTOBUS,36.06,68,227.67,852
Fray Bartolomé de Las Casas,LIVIANO,79.35,160,253.38,879
Fray Bartolomé de Las Casas,PESADO,75.53,259,123.36,681
Fray Bartolomé de Las Casas,AUTOBUS,56.96,174,273.91,791
Santa Catalina La Tinta,LIVIANO,39.1,97,271.51,679
Santa Catalina La Tinta,PESADO,86.23,162,245.82,1241
Santa Catalina La Tinta,AUTOBUS,9.62,18,291.47,893
Raxruhá,LIVIANO,42.57,89,289.04,869
Raxruhá,PESADO,88.01,172,212.18,1126
Raxruhá,AUTOBUS,23.67,62,246.53,943
Flores,LIVIANO,27.89,45,288.98,681
Flores,PESADO,35.09,124,152.88,601
Flores,AUTOBUS,50.53,102,175.09,806
San José,LIVIANO,64.21,134,162.39,527
San José,PESADO,20.74,51,140.42,753
San José,AUTOBUS,24.98,54,207.85,673
San Benito,LIVIANO,65.74,95,144.08,301
San Benito,PESADO,58.1,105,205.48,675
San Benito,AUTOBUS,51.6,118,188.64,757
San Andrés,LIVIANO,2.22,5,138.69,375
San Andrés,PESADO,72.56,243,284.4,1248
San Andrés,AUTOBUS,65.6,93,223.85,863
La Libertad,LIVIANO,75.81,94,142.2,449
La Libertad,PESADO,3.83,10,140.29,752
La Libertad,AUTOBUS,84.33,163,304.29,1262
San Francisco,LIVIANO,51.62,104,141.89,303
San Francisco,PESADO,79.43,294,292.54,952
San Francisco,AUTOBUS,35.84,63,120.77,406
Santa Ana,LIVIANO,51.5,71,300.31,834
Santa Ana,PESADO,94.86,184,168.49,540
Santa Ana,AUTOBUS,42.82,78,262.44,1023
Dolores,LIVIANO,66.45,117,220.88,736
Dolores,PESADO,26.83,54,220.81,1072
Dolores,AUTOBUS,26.54,48,250.12,1218
San Luis,LIVIANO,5.01,12,199.43,624
San Luis,PESADO,31.67,93,254.18,817
San Luis,AUTOBUS,33.79,91,110.1,292
Sayaxché,LIVIANO,83.06,189,174.17,483
Sayaxché,PESADO,73.19,189,289.64,1169
Sayaxché,AUTOBUS,61.78,197,309.41,1304
Melchor de Mencos,LIVIANO,53.66,95,264.86,708
Melchor de Mencos,PESADO,17.33,48,271.87,929
Melchor de Mencos,AUTOBUS,52.55,89,133.65,543
Poptún,LIVIANO,5.07,9,287.95,519
Poptún,PESADO,28.5,93,225.42,1096
Poptún,AUTOBUS,66.25,191,295.31,972
Las Cruces,LIVIANO,93.78,206,287.9,630
Las Cruces,PESADO,52.99,178,157.81,774
Las Cruces,AUTOBUS,84.39,158,276.51,1020
El Chal,LIVIANO,74.82,153,191.08,650
El Chal,PESADO,12.8,39,272.45,1196
El Chal,AUTOBUS,66.33,143,222.2,984
Puerto Barrios,LIVIANO,30.53,71,227.68,507
Puerto Barrios,PESADO,39.43,81,307.28,1238
Puerto Barrios,AUTOBUS,15.24,36,174.27,558
Lívingston,LIVIANO,13.28,27,119.82,357
Lívingston,PESADO,61.29,204,260.64,1334
Lívingston,AUTOBUS,90.65,217,193.35,739
El Estor,LIVIANO,63.49,150,192.54,466
El Estor,PESADO,74.23,249,280.04,1003
El Estor,AUTOBUS,83.9,130,201.05,676
Morales,LIVIANO,64.68,80,195.94,358
Morales,PESADO,75.62,253,112.16,531
Morales,AUTOBUS,59.91,126,289.78,792
Los Amates,LIVIANO,4.99,10,202.96,642
Los Amates,PESADO,70.17,162,142.09,411
Los Amates,AUTOBUS,41.94,71,126.07,456
Zacapa,LIVIANO,70.03,111,305.92,1017
Zacapa,PESADO,10.49,21,262.14,804
Zacapa,AUTOBUS,14.04,37,300.89,1446
Estanzuela,LIVIANO,59.62,67,121.47,318
Estanzuela,PESADO,34.17,60,134.88,412
Estanzuela,AUTOBUS,73.84,162,186.81,708
Río Hondo,LIVIANO,80.54,128,125.69,234
Río Hondo,PESADO,18.13,49,252.98,1185
Río Hondo,AUTOBUS,52.29,128,139.8,630
Gualán,LIVIANO,81.37,178,217.06,747
Gualán,PESADO,51.26,186,267.52,1088
Gualán,AUTOBUS,36.87,89,116.83,471
Teculután,LIVIANO,83.87,110,148.14,388
Teculután,PESADO,87.72,258,271.24,1104
Teculután,AUTOBUS,86.98,200,146.19,386
Usumatlán,LIVIANO,15.26,30,132.43,273
Usumatlán,PESADO,70.98,129,300.97,1054
Usumatlán,AUTOBUS,66.88,209,290.68,1330
Cabañas,LIVIANO,51.27,114,257.82,710
Cabañas,PESADO,47.27,174,133.72,444
Cabañas,AUTOBUS,78.9,243,232.66,859
San Diego,LIVIANO,25.48,55,216.97,484
San Diego,PESADO,76.79,153,143.56,777
San Diego,AUTOBUS,23.95,65,239.01,648
La Unión,LIVIANO,78.54,90,270.05,672
La Unión,PESADO,65.7,115,215.43,1078
La Unión,AUTOBUS,91.85,283,303.33,1064
Huité,LIVIANO,69.57,84,241.56,440
Huité,PESADO,72.61,190,185.46,995
Huité,AUTOBUS,66.23,148,115.09,302
San Jorge,LIVIANO,17.74,40,300.9,957
San Jorge,PESADO,50.17,124,292.15,1462
San Jorge,AUTOBUS,83.17,219,209.99,688
Chiquimula,LIVIANO,5.07,5,264.02,645
Chiquimula,PESADO,78.45,186,212.24,1038
Chiquimula,AUTOBUS,69.33,104,201.29,634
San José La Arada,LIVIANO,64.08,103,262.36,652
San José La Arada,PESADO,4.05,13,220.41,840
San José La Arada,AUTOBUS,13.69,39,284.64,782
San Juan Ermita,LIVIANO,20.36,24,286.26,618
San Juan Ermita,PESADO,22.93,75,205.59,812
San Juan Ermita,AUTOBUS,23.13,45,184.31,534
Jocotán,LIVIANO,85.0,99,280.95,668
Jocotán,PESADO,66.81,228,276.47,1264
Jocotán,AUTOBUS,4.83,7,115.78,550
Camotán,LIVIANO,66.05,155,261.79,675
Camotán,PESADO,85.45,234,279.16,1054
Camotán,AUTOBUS,82.8,252,130.95,561
Olopa,LIVIANO,6.13,13,303.78,736
Olopa,PESADO,76.72,234,277.55,936
Olopa,AUTOBUS,60.56,152,271.51,1089
Esquipulas,LIVIANO,87.86,114,159.09,401
Esquipulas,PESADO,35.98,85,116.17,419
Esquipulas,AUTOBUS,31.75,66,192.41,730
Concepción Las Minas,LIVIANO,81.81,141,272.8,693
Concepción Las Minas,PESADO,17.08,31,214.48,958
Concepción Las Minas,AUTOBUS,78.32,156,208.02,859
Quezaltepeque,LIVIANO,16.58,27,131.45,443
Quezaltepeque,PESADO,85.97,234,199.19,1099
Quezaltepeque,AUTOBUS,88.44,284,253.49,660
San Jacinto,LIVIANO,91.81,222,220.29,450
San Jacinto,PESADO,90.24,156,238.55,1256
San Jacinto,AUTOBUS,16.23,23,125.85,595
Ipala,LIVIANO,56.94,66,212.62,599
Ipala,PESADO,51.85,193,126.13,510
Ipala,AUTOBUS,30.49,50,305.85,1145
Jalapa,LIVIANO,35.67,76,247.58,827
Jalapa,PESADO,4.13,15,191.33,873
Jalapa,AUTOBUS,35.52,88,279.03,1313
San Pedro Pinula,LIVIANO,2.25,5,265.58,714
San Pedro Pinula,PESADO,55.07,192,228.44,918
San Pedro Pinula,AUTOBUS,7.65,16,224.58,607
San Luis Jilotepeque,LIVIANO,45.65,94,308.33,989
San Luis Jilotepeque,PESADO,4.91,10,266.23,859
San Luis Jilotepeque,AUTOBUS,59.8,166,307.35,855
San Manuel Chaparrón,LIVIANO,85.91,208,198.26,404
San Manuel Chaparrón,PESADO,53.78,165,267.1,1259
San Manuel Chaparrón,AUTOBUS,45.47,114,241.06,807
San Carlos Alzatate,LIVIANO,65.78,141,275.61,604
San Carlos Alzatate,PESADO,56.22,172,152.84,508
San Carlos Alzatate,AUTOBUS,85.0,133,258.53,849
Monjas,LIVIANO,11.4,14,115.93,293
Monjas,PESADO,74.79,151,119.32,377
Monjas,AUTOBUS,85.0,224,127.43,357
Mataquescuintla,LIVIANO,74.36,129,245.5,851
Mataquescuintla,PESADO,43.61,120,138.03,625
Mataquescuintla,AUTOBUS,17.35,35,194.29,539
Jutiapa,LIVIANO,74.63,183,225.04,438
Jutiapa,PESADO,69.52,244,200.18,601
Jutiapa,AUTOBUS,38.17,57,296.24,1075
El Progreso,LIVIANO,72.7,112,156.02,450
El Progreso,PESADO,40.63,147,179.63,792
El Progreso,AUTOBUS,8.28,24,112.78,411
Santa Catarina Mita,LIVIANO,32.43,45,218.45,503
Santa Catarina Mita,PESADO,48.46,171,284.2,1224
Santa Catarina Mita,AUTOBUS,48.99,110,268.8,725
Agua Blanca,LIVIANO,90.26,168,184.48,607
Agua Blanca,PESADO,39.18,85,268.01,1062
Agua Blanca,AUTOBUS,81.67,118,260.73,779
Asunción Mita,LIVIANO,13.25,20,118.15,286
Asunción Mita,PESADO,29.48,103,248.26,1350
Asunción Mita,AUTOBUS,16.48,33,249.29,1029
Yupiltepeque,LIVIANO,90.14,219,221.02,486
Yupiltepeque,PESADO,16.03,25,174.56,510
Yupiltepeque,AUTOBUS,48.81,140,222.04,879
Atescatempa,LIVIANO,8.56,20,295.85,575
Atescatempa,PESADO,75.68,183,142.06,496
Atescatempa,AUTOBUS,45.98,127,206.21,919
Jerez,LIVIANO,93.91,232,307.71,983
Jerez,PESADO,71.27,165,275.37,1020
Jerez,AUTOBUS,9.71,27,149.43,669
El Adelanto,LIVIANO,72.69,148,274.78,685
El Adelanto,PESADO,38.67,67,164.6,788
El Adelanto,AUTOBUS,70.87,204,182.89,789
Zapotitlán,LIVIANO,20.29,49,190.42,447
Zapotitlán,PESADO,32.72,103,283.26,1216
Zapotitlán,AUTOBUS,90.43,287,207.75,978
Comapa,LIVIANO,31.32,60,160.16,346
Comapa,PESADO,84.58,202,161.26,721
Comapa,AUTOBUS,58.24,118,278.3,1282
Jalpatagua,LIVIANO,88.22,194,300.18,759
Jalpatagua,PESADO,13.8,36,125.48,571
Jalpatagua,AUTOBUS,32.18,70,225.96,838
Conguaco,LIVIANO,37.04,85,170.95,405
Conguaco,PESADO,31.24,103,292.8,1216
Conguaco,AUTOBUS,14.38,32,232.3,960
Moyuta,LIVIANO,68.89,107,139.11,459
Moyuta,PESADO,16.15,51,280.05,985
Moyuta,AUTOBUS,14.56,40,201.53,632
Pasaco,LIVIANO,66.29,150,204.73,638
Pasaco,PESADO,19.08,45,135.51,508
Pasaco,AUTOBUS,39.1,59,133.05,533
San José Acatempa,LIVIANO,51.29,108,194.99,538
San José Acatempa,PESADO,56.54,96,259.31,907
San José Acatempa,AUTOBUS,78.92,219,299.76,1209
Quesada,LIVIANO,88.63,171,163.98,347
Quesada,PESADO,17.29,43,285.47,1166
Quesada,AUTOBUS,69.03,149,307.59,1446
