ruta_transporte_codigo,proveedor_codigo,hora_salida,frecuencia,tarifa_q,duracion_estimada_minutos
RUT_330_35_0329,PROV_GT22_0338,12:15:00,Cada 15 minutos,52.53,214
RUT_331_36_0330,PROV_GT22_0339,13:30:00,Diario,139.05,85
RUT_332_37_0331,PROV_GT22_0340,14:45:00,Cada 30 minutos,19.23,140
RUT_333_38_0332,PROV_GT22_0341,15:00:00,Cada hora,46.68,147
RUT_334_39_0333,PROV_GT01_0342,16:15:00,Lunes a Viernes,131.49,105
RUT_335_40_0334,PROV_GT01_0343,17:30:00,Solo fines de semana,13.09,201
RUT_336_41_0335,PROV_GT01_0344,18:45:00,Cada 15 minutos,55.8,227
RUT_337_42_0336,PROV_GT01_0345,05:00:00,Diario,124.01,95
RUT_338_43_0337,PROV_GT01_0346,06:15:00,Cada 30 minutos,114.12,136
RUT_339_44_0338,PROV_GT01_0347,07:30:00,Cada hora,73.68,237
RUT_340_45_0339,PROV_GT01_0348,08:45:00,Lunes a Viernes,40.22,68
RUT_341_46_0340,PROV_GT01_0349,09:00:00,Solo fines de semana,63.65,230
RUT_342_47_0341,PROV_GT01_0350,10:15:00,Cada 15 minutos,97.54,32
RUT_1_48_0342,PROV_GT01_0351,11:30:00,Diario,29.38,201
RUT_2_49_0343,PROV_GT01_0352,12:45:00,Cada 30 minutos,34.26,202
RUT_3_50_0344,PROV_GT01_0353,13:00:00,Cada hora,105.67,166
RUT_4_51_0345,PROV_GT01_0354,14:15:00,Lunes a Viernes,103.15,61
RUT_5_52_0346,PROV_GT01_0355,15:30:00,Solo fines de semana,38.7,175
RUT_6_53_0347,PROV_GT01_0356,16:45:00,Cada 15 minutos,30.65,240
RUT_7_54_0348,PROV_GT01_0357,17:00:00,Diario,24.29,138
RUT_8_55_0349,PROV_GT01_0358,18:15:00,Cada 30 minutos,115.09,179
RUT_9_56_0350,PROV_GT01_0359,05:30:00,Cada hora,32.82,173
RUT_10_57_0351,PROV_GT02_0360,06:45:00,Lunes a Viernes,35.62,149
RUT_11_58_0352,PROV_GT02_0361,07:00:00,Solo fines de semana,85.25,89
RUT_12_59_0353,PROV_GT02_0362,08:15:00,Cada 15 minutos,101.1,62
RUT_13_60_0354,PROV_GT02_0363,09:30:00,Diario,89.5,43
RUT_14_61_0355,PROV_GT02_0364,10:45:00,Cada 30 minutos,65.84,55
RUT_15_62_0356,PROV_GT02_0365,11:00:00,Cada hora,57.19,39
RUT_16_63_0357,PROV_GT02_0366,12:15:00,Lunes a Viernes,61.29,102
RUT_17_64_0358,PROV_GT02_0367,13:30:00,Solo fines de semana,115.32,240
RUT_18_65_0359,PROV_GT03_0368,14:45:00,Cada 15 minutos,126.11,84
RUT_19_66_0360,PROV_GT03_0369,15:00:00,Diario,18.47,113
RUT_20_67_0361,PROV_GT03_0370,16:15:00,Cada 30 minutos,18.7,43
RUT_21_68_0362,PROV_GT03_0371,17:30:00,Cada hora,105.58,36
RUT_22_69_0363,PROV_GT03_0372,18:45:00,Lunes a Viernes,103.73,191
RUT_23_70_0364,PROV_GT03_0373,05:00:00,Solo fines de semana,7.46,43
RUT_24_71_0365,PROV_GT03_0374,06:15:00,Cada 15 minutos,140.19,139
RUT_25_72_0366,PROV_GT03_0375,07:30:00,Diario,108.08,107
RUT_26_73_0367,PROV_GT03_0376,08:45:00,Cada 30 minutos,37.76,173
RUT_27_74_0368,PROV_GT03_0377,09:00:00,Cada hora,118.89,40
RUT_28_75_0369,PROV_GT03_0378,10:15:00,Lunes a Viernes,116.1,104
RUT_29_76_0370,PROV_GT03_0379,11:30:00,Solo fines de semana,133.62,131
RUT_30_77_0371,PROV_GT03_0380,12:45:00,Cada 15 minutos,45.26,99
RUT_31_78_0372,PROV_GT03_0381,13:00:00,Diario,33.98,162
RUT_32_79_0373,PROV_GT03_0382,14:15:00,Cada 30 minutos,127.32,116
RUT_33_80_0374,PROV_GT03_0383,15:30:00,Cada hora,32.35,174
RUT_34_81_0375,PROV_GT04_0384,16:45:00,Lunes a Viernes,126.17,108
RUT_35_82_0376,PROV_GT04_0385,17:00:00,Solo fines de semana,60.24,56
RUT_36_83_0377,PROV_GT04_0386,18:15:00,Cada 15 minutos,123.67,125
RUT_37_84_0378,PROV_GT04_0387,05:30:00,Diario,31.45,164
RUT_38_85_0379,PROV_GT04_0388,06:45:00,Cada 30 minutos,89.71,215
RUT_39_86_0380,PROV_GT04_0389,07:00:00,Cada hora,16.77,228
RUT_40_87_0381,PROV_GT04_0390,08:15:00,Lunes a Viernes,117.52,119
RUT_41_88_0382,PROV_GT04_0391,09:30:00,Solo fines de semana,130.57,93
RUT_42_89_0383,PROV_GT04_0392,10:45:00,Cada 15 minutos,133.41,163
RUT_43_90_0384,PROV_GT04_0393,11:00:00,Diario,97.97,56
RUT_44_91_0385,PROV_GT04_0394,12:15:00,Cada 30 minutos,67.15,48
RUT_45_92_0386,PROV_GT04_0395,13:30:00,Cada hora,71.19,132
RUT_46_93_0387,PROV_GT04_0396,14:45:00,Lunes a Viernes,57.49,229
RUT_47_94_0388,PROV_GT04_0397,15:00:00,Solo fines de semana,27.96,41
RUT_48_95_0389,PROV_GT04_0398,16:15:00,Cada 15 minutos,104.03,143
RUT_49_96_0390,PROV_GT04_0399,17:30:00,Diario,108.29,54
RUT_50_97_0391,PROV_GT05_0400,18:45:00,Cada 30 minutos,119.81,24
RUT_51_98_0392,PROV_GT05_0401,05:00:00,Cada hora,82.35,196
RUT_52_99_0393,PROV_GT05_0402,06:15:00,Lunes a Viernes,139.23,25
RUT_53_100_0394,PROV_GT05_0403,07:30:00,Solo fines de semana,137.85,184
RUT_54_101_0395,PROV_GT05_0404,08:45:00,Cada 15 minutos,63.38,76
RUT_55_102_0396,PROV_GT05_0405,09:00:00,Diario,7.25,216
RUT_56_103_0397,PROV_GT05_0406,10:15:00,Cada 30 minutos,24.65,175
RUT_57_104_0398,PROV_GT05_0407,11:30:00,Cada hora,25.36,78
RUT_58_105_0399,PROV_GT05_0408,12:45:00,Lunes a Viernes,115.64,206
RUT_59_106_0400,PROV_GT05_0409,13:00:00,Solo fines de semana,79.29,127
RUT_60_107_0401,PROV_GT05_0410,14:15:00,Cada 15 minutos,34.61,31
RUT_61_108_0402,PROV_GT05_0411,15:30:00,Diario,62.01,15
RUT_62_109_0403,PROV_GT05_0412,16:45:00,Cada 30 minutos,5.59,125
RUT_63_110_0404,PROV_GT05_0413,17:00:00,Cada hora,15.21,29
RUT_64_111_0405,PROV_GT06_0414,18:15:00,Lunes a Viernes,69.37,208
RUT_65_112_0406,PROV_GT06_0415,05:30:00,Solo fines de semana,113.88,132
RUT_66_113_0407,PROV_GT06_0416,06:45:00,Cada 15 minutos,115.28,132
RUT_67_114_0408,PROV_GT06_0417,07:00:00,Diario,51.16,52
RUT_68_115_0409,PROV_GT06_0418,08:15:00,Cada 30 minutos,17.31,232
RUT_69_116_0410,PROV_GT06_0419,09:30:00,Cada hora,94.29,140
RUT_70_117_0411,PROV_GT06_0420,10:45:00,Lunes a Viernes,38.32,178
RUT_71_118_0412,PROV_GT06_0421,11:00:00,Solo fines de semana,63.99,104
RUT_72_119_0413,PROV_GT06_0422,12:15:00,Cada 15 minutos,104.2,176
RUT_73_120_0414,PROV_GT06_0423,13:30:00,Diario,82.91,180
RUT_74_121_0415,PROV_GT06_0424,14:45:00,Cada 30 minutos,113.06,154
RUT_75_122_0416,PROV_GT06_0425,15:00:00,Cada hora,120.75,91
RUT_76_123_0417,PROV_GT06_0426,16:15:00,Lunes a Viernes,70.38,129
RUT_77_124_0418,PROV_GT06_0427,17:30:00,Solo fines de semana,60.73,143
RUT_78_125_0419,PROV_GT07_0428,18:45:00,Cada 15 minutos,88.18,89
RUT_79_126_0420,PROV_GT07_0429,05:00:00,Diario,122.44,183
RUT_80_127_0421,PROV_GT07_0430,06:15:00,Cada 30 minutos,85.26,40
RUT_81_128_0422,PROV_GT07_0431,07:30:00,Cada hora,149.5,159
RUT_82_129_0423,PROV_GT07_0432,08:45:00,Lunes a Viernes,82.82,57
RUT_83_130_0424,PROV_GT07_0433,09:00:00,Solo fines de semana,100.2,65
RUT_84_131_0425,PROV_GT07_0434,10:15:00,Cada 15 minutos,59.96,185
RUT_85_132_0426,PROV_GT07_0435,11:30:00,Diario,34.38,130
RUT_86_133_0427,PROV_GT07_0436,12:45:00,Cada 30 minutos,27.18,128
RUT_87_134_0428,PROV_GT07_0437,13:00:00,Cada hora,122.22,15
RUT_88_135_0429,PROV_GT07_0438,14:15:00,Lunes a Viernes,76.12,114
RUT_89_136_0430,PROV_GT07_0439,15:30:00,Solo fines de semana,141.93,53
RUT_90_137_0431,PROV_GT07_0440,16:45:00,Cada 15 minutos,129.36,189
RUT_91_138_0432,PROV_GT07_0441,17:00:00,Diario,8.63,94
RUT_92_139_0433,PROV_GT07_0442,18:15:00,Cada 30 minutos,133.04,191
RUT_93_140_0434,PROV_GT07_0443,05:30:00,Cada hora,40.04,129
RUT_94_141_0435,PROV_GT07_0444,06:45:00,Lunes a Viernes,99.21,232
RUT_95_142_0436,PROV_GT07_0445,07:00:00,Solo fines de semana,93.31,195
RUT_96_143_0437,PROV_GT07_0446,08:15:00,Cada 15 minutos,133.54,214
RUT_97_144_0438,PROV_GT07_0447,09:30:00,Diario,36.92,98
RUT_98_145_0439,PROV_GT08_0448,10:45:00,Cada 30 minutos,76.64,32
RUT_99_146_0440,PROV_GT08_0449,11:00:00,Cada hora,39.46,225
RUT_100_147_0441,PROV_GT08_0450,12:15:00,Lunes a Viernes,39.85,219
RUT_101_148_0442,PROV_GT08_0451,13:30:00,Solo fines de semana,109.22,193
RUT_102_149_0443,PROV_GT08_0452,14:45:00,Cada 15 minutos,142.58,21
RUT_103_150_0444,PROV_GT08_0453,15:00:00,Diario,111.01,101
RUT_104_151_0445,PROV_GT08_0454,16:15:00,Cada 30 minutos,143.12,39
RUT_105_152_0446,PROV_GT08_0455,17:30:00,Cada hora,47.63,177
RUT_106_153_0447,PROV_GT09_0456,18:45:00,Lunes a Viernes,53.72,63
RUT_107_154_0448,PROV_GT09_0457,05:00:00,Solo fines de semana,132.56,214
RUT_108_155_0449,PROV_GT09_0458,06:15:00,Cada 15 minutos,37.59,105
RUT_109_156_0450,PROV_GT09_0459,07:30:00,Diario,99.78,195
RUT_110_157_0451,PROV_GT09_0460,08:45:00,Cada 30 minutos,20.37,166
RUT_111_158_0452,PROV_GT09_0461,09:00:00,Cada hora,95.18,80
RUT_112_159_0453,PROV_GT09_0462,10:15:00,Lunes a Viernes,34.0,67
RUT_113_160_0454,PROV_GT09_0463,11:30:00,Solo fines de semana,110.28,226
RUT_114_161_0455,PROV_GT09_0464,12:45:00,Cada 15 minutos,88.0,134
RUT_115_162_0456,PROV_GT09_0465,13:00:00,Diario,126.86,187
RUT_116_163_0457,PROV_GT09_0466,14:15:00,Cada 30 minutos,144.93,236
RUT_117_164_0458,PROV_GT09_0467,15:30:00,Cada hora,7.72,176
RUT_118_165_0459,PROV_GT09_0468,16:45:00,Lunes a Viernes,130.99,58
RUT_119_166_0460,PROV_GT09_0469,17:00:00,Solo fines de semana,104.77,100
RUT_120_167_0461,PROV_GT09_0470,18:15:00,Cada 15 minutos,63.56,28
RUT_121_168_0462,PROV_GT09_0471,05:30:00,Diario,11.47,166
RUT_122_169_0463,PROV_GT09_0472,06:45:00,Cada 30 minutos,45.4,188
RUT_123_170_0464,PROV_GT09_0473,07:00:00,Cada hora,121.21,183
RUT_124_171_0465,PROV_GT09_0474,08:15:00,Lunes a Viernes,142.38,30
RUT_125_172_0466,PROV_GT09_0475,09:30:00,Solo fines de semana,56.58,71
RUT_126_173_0467,PROV_GT09_0476,10:45:00,Cada 15 minutos,122.51,143
RUT_127_174_0468,PROV_GT09_0477,11:00:00,Diario,60.41,231
RUT_128_175_0469,PROV_GT09_0478,12:15:00,Cada 30 minutos,28.02,222
RUT_129_176_0470,PROV_GT09_0479,13:30:00,Cada hora,51.6,144
RUT_130_177_0471,PROV_GT10_0480,14:45:00,Lunes a Viernes,117.54,201
RUT_131_178_0472,PROV_GT10_0481,15:00:00,Solo fines de semana,84.12,20
RUT_132_179_0473,PROV_GT10_0482,16:15:00,Cada 15 minutos,7.21,99
RUT_133_180_0474,PROV_GT10_0483,17:30:00,Diario,107.11,37
RUT_134_181_0475,PROV_GT10_0484,18:45:00,Cada 30 minutos,12.93,111
RUT_135_182_0476,PROV_GT10_0485,05:00:00,Cada hora,16.86,133
RUT_136_183_0477,PROV_GT10_0486,06:15:00,Lunes a Viernes,69.27,160
RUT_137_184_0478,PROV_GT10_0487,07:30:00,Solo fines de semana,62.91,114
RUT_138_185_0479,PROV_GT10_0488,08:45:00,Cada 15 minutos,99.43,47
RUT_139_186_0480,PROV_GT10_0489,09:00:00,Diario,137.41,97
RUT_140_187_0481,PROV_GT10_0490,10:15:00,Cada 30 minutos,111.66,166
RUT_141_188_0482,PROV_GT10_0491,11:30:00,Cada hora,21.01,104
RUT_142_189_0483,PROV_GT10_0492,12:45:00,Lunes a Viernes,53.63,229
RUT_143_190_0484,PROV_GT10_0493,13:00:00,Solo fines de semana,6.23,15
RUT_144_191_0485,PROV_GT10_0494,14:15:00,Cada 15 minutos,100.47,25
RUT_145_192_0486,PROV_GT10_0495,15:30:00,Diario,76.78,208
RUT_146_193_0487,PROV_GT10_0496,16:45:00,Cada 30 minutos,115.08,70
RUT_147_194_0488,PROV_GT10_0497,17:00:00,Cada hora,34.02,30
RUT_148_195_0489,PROV_GT10_0498,18:15:00,Lunes a Viernes,63.63,35
RUT_149_196_0490,PROV_GT10_0499,05:30:00,Solo fines de semana,9.77,165
RUT_150_197_0491,PROV_GT10_0500,06:45:00,Cada 15 minutos,38.93,136
RUT_151_198_0492,PROV_GT11_0501,07:00:00,Diario,57.02,184
RUT_152_199_0493,PROV_GT11_0502,08:15:00,Cada 30 minutos,62.2,167
RUT_153_200_0494,PROV_GT11_0503,09:30:00,Cada hora,51.88,25
RUT_154_201_0495,PROV_GT11_0504,10:45:00,Lunes a Viernes,64.28,157
RUT_155_202_0496,PROV_GT11_0505,11:00:00,Solo fines de semana,37.99,169
RUT_156_203_0497,PROV_GT11_0506,12:15:00,Cada 15 minutos,119.1,126
RUT_157_204_0498,PROV_GT11_0507,13:30:00,Diario,35.7,39
RUT_158_205_0499,PROV_GT11_0508,14:45:00,Cada 30 minutos,101.3,21
RUT_159_206_0500,PROV_GT11_0509,15:00:00,Cada hora,108.35,203
RUT_160_207_0501,PROV_GT12_0510,16:15:00,Lunes a Viernes,79.05,235
RUT_161_208_0502,PROV_GT12_0511,17:30:00,Solo fines de semana,134.01,128
RUT_162_209_0503,PROV_GT12_0512,18:45:00,Cada 15 minutos,85.49,38
RUT_163_210_0504,PROV_GT12_0513,05:00:00,Diario,18.55,64
RUT_164_211_0505,PROV_GT12_0514,06:15:00,Cada 30 minutos,89.02,93
RUT_165_212_0506,PROV_GT12_0515,07:30:00,Cada hora,67.12,170
RUT_166_213_0507,PROV_GT12_0516,08:45:00,Lunes a Viernes,14.31,16
RUT_167_214_0508,PROV_GT12_0517,09:00:00,Solo fines de semana,137.65,134
RUT_168_215_0509,PROV_GT12_0518,10:15:00,Cada 15 minutos,46.46,77
RUT_169_216_0510,PROV_GT12_0519,11:30:00,Diario,134.46,107
RUT_170_217_0511,PROV_GT12_0520,12:45:00,Cada 30 minutos,64.16,111
RUT_171_218_0512,PROV_GT12_0521,13:00:00,Cada hora,100.77,61
RUT_172_219_0513,PROV_GT12_0522,14:15:00,Lunes a Viernes,6.41,173
RUT_173_220_0514,PROV_GT12_0523,15:30:00,Solo fines de semana,107.86,43
RUT_174_221_0515,PROV_GT12_0524,16:45:00,Cada 15 minutos,90.44,142
RUT_175_222_0516,PROV_GT12_0525,17:00:00,Diario,50.24,172
RUT_176_223_0517,PROV_GT12_0526,18:15:00,Cada 30 minutos,50.42,17
RUT_177_224_0518,PROV_GT12_0527,05:30:00,Cada hora,100.77,154
RUT_178_225_0519,PROV_GT12_0528,06:45:00,Lunes a Viernes,144.87,17
RUT_179_226_0520,PROV_GT12_0529,07:00:00,Solo fines de semana,148.67,35
RUT_180_227_0521,PROV_GT12_0530,08:15:00,Cada 15 minutos,139.57,237
RUT_181_228_0522,PROV_GT12_0531,09:30:00,Diario,105.64,124
RUT_182_229_0523,PROV_GT12_0532,10:45:00,Cada 30 minutos,129.97,193
RUT_183_230_0524,PROV_GT12_0533,11:00:00,Cada hora,64.95,161
RUT_184_231_0525,PROV_GT12_0534,12:15:00,Lunes a Viernes,72.37,172
RUT_185_232_0526,PROV_GT12_0535,13:30:00,Solo fines de semana,5.66,65
RUT_186_233_0527,PROV_GT12_0536,14:45:00,Cada 15 minutos,106.76,50
RUT_187_234_0528,PROV_GT12_0537,15:00:00,Diario,133.75,73
RUT_188_235_0529,PROV_GT12_0538,16:15:00,Cada 30 minutos,54.47,154
RUT_189_236_0530,PROV_GT12_0539,17:30:00,Cada hora,50.86,36
RUT_190_237_0531,PROV_GT13_0540,18:45:00,Lunes a Viernes,100.87,221
RUT_191_238_0532,PROV_GT13_0541,05:00:00,Solo fines de semana,115.02,76
RUT_192_239_0533,PROV_GT13_0542,06:15:00,Cada 15 minutos,146.02,159
RUT_193_240_0534,PROV_GT13_0543,07:30:00,Diario,63.64,228
RUT_194_241_0535,PROV_GT13_0544,08:45:00,Cada 30 minutos,30.22,66
RUT_195_242_0536,PROV_GT13_0545,09:00:00,Cada hora,149.02,183
RUT_196_243_0537,PROV_GT13_0546,10:15:00,Lunes a Viernes,43.99,17
RUT_197_244_0538,PROV_GT13_0547,11:30:00,Solo fines de semana,115.89,180
RUT_198_245_0539,PROV_GT13_0548,12:45:00,Cada 15 minutos,103.95,32
RUT_199_246_0540,PROV_GT13_0549,13:00:00,Diario,79.4,39
RUT_200_247_0541,PROV_GT13_0550,14:15:00,Cada 30 minutos,26.03,150
RUT_201_248_0542,PROV_GT13_0551,15:30:00,Cada hora,66.51,226
RUT_202_249_0543,PROV_GT13_0552,16:45:00,Lunes a Viernes,60.78,221
RUT_203_250_0544,PROV_GT13_0553,17:00:00,Solo fines de semana,72.76,215
RUT_204_251_0545,PROV_GT13_0554,18:15:00,Cada 15 minutos,13.54,90
RUT_205_252_0546,PROV_GT13_0555,05:30:00,Diario,142.97,100
RUT_206_253_0547,PROV_GT13_0556,06:45:00,Cada 30 minutos,126.11,56
RUT_207_254_0548,PROV_GT13_0557,07:00:00,Cada hora,68.95,221
RUT_208_255_0549,PROV_GT13_0558,08:15:00,Lunes a Viernes,95.93,140
RUT_209_256_0550,PROV_GT13_0559,09:30:00,Solo fines de semana,124.25,135
RUT_210_257_0551,PROV_GT13_0560,10:45:00,Cada 15 minutos,42.47,29
RUT_211_258_0552,PROV_GT13_0561,11:00:00,Diario,110.15,146
RUT_212_259_0553,PROV_GT13_0562,12:15:00,Cada 30 minutos,106.13,44
RUT_213_260_0554,PROV_GT13_0563,13:30:00,Cada hora,134.68,240
RUT_214_261_0555,PROV_GT13_0564,14:45:00,Lunes a Viernes,73.5,118
RUT_215_262_0556,PROV_GT13_0565,15:00:00,Solo fines de semana,95.88,158
RUT_216_263_0557,PROV_GT13_0566,16:15:00,Cada 15 minutos,19.91,187
RUT_217_264_0558,PROV_GT13_0567,17:30:00,Diario,56.78,199
RUT_218_265_0559,PROV_GT13_0568,18:45:00,Cada 30 minutos,37.53,186
RUT_219_266_0560,PROV_GT13_0569,05:00:00,Cada hora,32.38,28
RUT_220_267_0561,PROV_GT13_0570,06:15:00,Lunes a Viernes,17.23,52
RUT_221_268_0562,PROV_GT13_0571,07:30:00,Solo fines de semana,5.8,174
RUT_222_269_0563,PROV_GT13_0572,08:45:00,Cada 15 minutos,7.89,121
RUT_223_270_0564,PROV_GT14_0573,09:00:00,Diario,125.09,228
RUT_224_271_0565,PROV_GT14_0574,10:15:00,Cada 30 minutos,90.27,66
RUT_225_272_0566,PROV_GT14_0575,11:30:00,Cada hora,39.44,181
RUT_226_273_0567,PROV_GT14_0576,12:45:00,Lunes a Viernes,145.66,150
RUT_227_274_0568,PROV_GT14_0577,13:00:00,Solo fines de semana,9.12,175
RUT_228_275_0569,PROV_GT14_0578,14:15:00,Cada 15 minutos,92.79,157
RUT_229_276_0570,PROV_GT14_0579,15:30:00,Diario,67.99,229
RUT_230_277_0571,PROV_GT14_0580,16:45:00,Cada 30 minutos,134.63,202
RUT_231_278_0572,PROV_GT14_0581,17:00:00,Cada hora,19.57,120
RUT_232_279_0573,PROV_GT14_0582,18:15:00,Lunes a Viernes,43.92,29
RUT_233_280_0574,PROV_GT14_0583,05:30:00,Solo fines de semana,110.66,219
RUT_234_281_0575,PROV_GT14_0584,06:45:00,Cada 15 minutos,17.28,155
RUT_235_282_0576,PROV_GT14_0585,07:00:00,Diario,64.95,61
RUT_236_283_0577,PROV_GT14_0586,08:15:00,Cada 30 minutos,69.09,92
RUT_237_284_0578,PROV_GT14_0587,09:30:00,Cada hora,66.56,28
RUT_238_285_0579,PROV_GT14_0588,10:45:00,Lunes a Viernes,83.37,224
RUT_239_286_0580,PROV_GT14_0589,11:00:00,Solo fines de semana,53.66,199
RUT_240_287_0581,PROV_GT14_0590,12:15:00,Cada 15 minutos,26.45,110
RUT_241_288_0582,PROV_GT14_0591,13:30:00,Diario,60.54,210
RUT_242_289_0583,PROV_GT14_0592,14:45:00,Cada 30 minutos,47.45,19
RUT_243_290_0584,PROV_GT14_0593,15:00:00,Cada hora,81.76,123
RUT_244_291_0585,PROV_GT15_0594,16:15:00,Lunes a Viernes,74.99,20
RUT_245_292_0586,PROV_GT15_0595,17:30:00,Solo fines de semana,88.87,70
RUT_246_293_0587,PROV_GT15_0596,18:45:00,Cada 15 minutos,138.62,72
RUT_247_294_0588,PROV_GT15_0597,05:00:00,Diario,94.81,28
RUT_248_295_0589,PROV_GT15_0598,06:15:00,Cada 30 minutos,29.31,46
RUT_249_296_0590,PROV_GT15_0599,07:30:00,Cada hora,113.36,40
RUT_250_297_0591,PROV_GT15_0600,08:45:00,Lunes a Viernes,17.69,178
RUT_251_298_0592,PROV_GT15_0601,09:00:00,Solo fines de semana,23.09,35
RUT_252_299_0593,PROV_GT16_0602,10:15:00,Cada 15 minutos,34.53,75
RUT_253_300_0594,PROV_GT16_0603,11:30:00,Diario,24.93,171
RUT_254_301_0595,PROV_GT16_0604,12:45:00,Cada 30 minutos,136.3,154
RUT_255_302_0596,PROV_GT16_0605,13:00:00,Cada hora,67.55,110
RUT_256_303_0597,PROV_GT16_0606,14:15:00,Lunes a Viernes,22.46,83
RUT_257_304_0598,PROV_GT16_0607,15:30:00,Solo fines de semana,76.31,128
RUT_258_305_0599,PROV_GT16_0608,16:45:00,Cada 15 minutos,123.9,48
RUT_259_306_0600,PROV_GT16_0609,17:00:00,Diario,89.43,152
RUT_260_307_0601,PROV_GT16_0610,18:15:00,Cada 30 minutos,73.09,131
RUT_261_308_0602,PROV_GT16_0611,05:30:00,Cada hora,54.06,17
RUT_262_309_0603,PROV_GT16_0612,06:45:00,Lunes a Viernes,66.0,44
RUT_263_310_0604,PROV_GT16_0613,07:00:00,Solo fines de semana,46.53,150
RUT_264_311_0605,PROV_GT16_0614,08:15:00,Cada 15 minutos,39.35,223
RUT_265_312_0606,PROV_GT16_0615,09:30:00,Diario,89.08,161
RUT_266_313_0607,PROV_GT16_0616,10:45:00,Cada 30 minutos,126.65,236
RUT_267_314_0608,PROV_GT16_0617,11:00:00,Cada hora,145.24,125
RUT_268_315_0609,PROV_GT16_0618,12:15:00,Lunes a Viernes,118.05,117
RUT_269_316_0610,PROV_GT17_0619,13:30:00,Solo fines de semana,45.77,190
RUT_270_317_0611,PROV_GT17_0620,14:45:00,Cada 15 minutos,22.84,119
RUT_271_318_0612,PROV_GT17_0621,15:00:00,Diario,39.69,82
RUT_272_319_0613,PROV_GT17_0622,16:15:00,Cada 30 minutos,60.19,37
RUT_273_320_0614,PROV_GT17_0623,17:30:00,Cada hora,105.4,68
RUT_274_321_0615,PROV_GT17_0624,18:45:00,Lunes a Viernes,32.67,102
RUT_275_322_0616,PROV_GT17_0625,05:00:00,Solo fines de semana,147.2,192
RUT_276_323_0617,PROV_GT17_0626,06:15:00,Cada 15 minutos,49.94,98
RUT_277_324_0618,PROV_GT17_0627,07:30:00,Diario,70.46,216
RUT_278_325_0619,PROV_GT17_0628,08:45:00,Cada 30 minutos,65.9,180
RUT_279_326_0620,PROV_GT17_0629,09:00:00,Cada hora,52.94,157
RUT_280_327_0621,PROV_GT17_0630,10:15:00,Lunes a Viernes,146.67,121
RUT_281_328_0622,PROV_GT17_0631,11:30:00,Solo fines de semana,146.97,69
RUT_282_329_0623,PROV_GT17_0632,12:45:00,Cada 15 minutos,47.36,103
RUT_283_330_0624,PROV_GT18_0633,13:00:00,Diario,34.56,144
RUT_284_331_0625,PROV_GT18_0634,14:15:00,Cada 30 minutos,62.75,104
RUT_285_332_0626,PROV_GT18_0635,15:30:00,Cada hora,27.43,30
RUT_286_333_0627,PROV_GT18_0636,16:45:00,Lunes a Viernes,17.79,179
RUT_287_334_0628,PROV_GT18_0637,17:00:00,Solo fines de semana,44.77,64
RUT_288_335_0629,PROV_GT19_0638,18:15:00,Cada 15 minutos,109.23,163
RUT_289_336_0630,PROV_GT19_0639,05:30:00,Diario,79.51,228
RUT_290_337_0631,PROV_GT19_0640,06:45:00,Cada 30 minutos,105.22,171
RUT_291_338_0632,PROV_GT19_0641,07:00:00,Cada hora,49.38,225
RUT_292_339_0633,PROV_GT19_0642,08:15:00,Lunes a Viernes,76.76,26
RUT_293_340_0634,PROV_GT19_0643,09:30:00,Solo fines de semana,15.88,172
RUT_294_341_0635,PROV_GT19_0644,10:45:00,Cada 15 minutos,12.54,69
RUT_295_342_0636,PROV_GT19_0645,11:00:00,Diario,90.45,196
RUT_296_1_0637,PROV_GT19_0646,12:15:00,Cada 30 minutos,125.64,214
RUT_297_2_0638,PROV_GT19_0647,13:30:00,Cada hora,59.48,198
RUT_298_3_0639,PROV_GT19_0648,14:45:00,Lunes a Viernes,50.57,215
RUT_299_4_0640,PROV_GT20_0649,15:00:00,Solo fines de semana,20.84,164
RUT_300_5_0641,PROV_GT20_0650,16:15:00,Cada 15 minutos,131.91,158
RUT_301_6_0642,PROV_GT20_0651,17:30:00,Diario,25.46,198
RUT_302_7_0643,PROV_GT20_0652,18:45:00,Cada 30 minutos,130.87,124
RUT_303_8_0644,PROV_GT20_0653,05:00:00,Cada hora,128.72,154
RUT_304_9_0645,PROV_GT20_0654,06:15:00,Lunes a Viernes,59.45,194
RUT_305_10_0646,PROV_GT20_0655,07:30:00,Solo fines de semana,43.53,60
RUT_306_11_0647,PROV_GT20_0656,08:45:00,Cada 15 minutos,145.61,53
RUT_307_12_0648,PROV_GT20_0657,09:00:00,Diario,8.07,106
RUT_308_13_0649,PROV_GT20_0658,10:15:00,Cada 30 minutos,77.59,226
RUT_309_14_0650,PROV_GT20_0659,11:30:00,Cada hora,10.0,180
RUT_310_15_0651,PROV_GT21_0660,12:45:00,Lunes a Viernes,24.78,33
RUT_311_16_0652,PROV_GT21_0661,13:00:00,Solo fines de semana,127.65,122
RUT_312_17_0653,PROV_GT21_0662,14:15:00,Cada 15 minutos,22.43,179
RUT_313_18_0654,PROV_GT21_0663,15:30:00,Diario,18.2,198
RUT_314_19_0655,PROV_GT21_0664,16:45:00,Cada 30 minutos,5.15,22
RUT_315_20_0656,PROV_GT21_0665,17:00:00,Cada hora,124.73,233
RUT_316_21_0657,PROV_GT21_0666,18:15:00,Lunes a Viernes,46.79,99
RUT_317_22_0658,PROV_GT22_0667,05:30:00,Solo fines de semana,20.93,120
