codigo,nombre,origen_municipio_nombre,destino_municipio_nombre,tipo_via_codigo,distancia_km,tiempo_promedio_minutos,estado_transitabilidad
TRM_154_185_0153,Tramo RN-9 Salcajá (San Juan Bautista - Ayutla) - Ref 154,San Juan Bautista,Ayutla,PEATONAL,31.65,75,BUENO
TRM_155_186_0154,Tramo Ruta Nacional RN-1 (Santo Tomás La Unión - Ocós) - Ref 155,Santo Tomás La Unión,Ocós,NACIONAL_ASFALTO,39.87,120,BUENO
TRM_156_187_0155,Tramo Ruta Nacional RN-1 (Zunilito - San Pablo) - Ref 156,Zunilito,San Pablo,PEATONAL,47.05,77,BUENO
TRM_157_188_0156,Tramo CA-1 Occidente (Pueblo Nuevo - El Quetzal) - Ref 157,Pueblo Nuevo,El Quetzal,ACUATICA,72.94,217,BUENO
TRM_158_189_0157,Tramo RN-7 Cobán-Quiché (Río Bravo - La Reforma) - Ref 158,Río Bravo,La Reforma,PEATONAL,60.1,88,REGULAR
TRM_159_190_0158,Tramo CA-1 Occidente (San José La Máquina - Pajapita) - Ref 159,San José La Máquina,Pajapita,PEATONAL,33.61,99,MALO
TRM_160_191_0159,Tramo RN-7 Cobán-Quiché (Retalhuleu - Ixchiguán) - Ref 160,Retalhuleu,Ixchiguán,PEATONAL,30.92,41,REGULAR
TRM_161_192_0160,Tramo RN-11 Panajachel (San Sebastián - San José Ojetenam) - Ref 161,San Sebastián,San José Ojetenam,NACIONAL_ASFALTO,53.22,106,REGULAR
TRM_162_193_0161,Tramo RN-7 Cobán-Quiché (Santa Cruz Muluá - San Cristóbal Cucho) - Ref 162,Santa Cruz Muluá,San Cristóbal Cucho,TERRACERIA,39.59,130,BUENO
TRM_163_194_0162,Tramo Ruta Nacional RN-1 (San Martín Zapotitlán - Sipacapa) - Ref 163,San Martín Zapotitlán,Sipacapa,PEATONAL,38.21,116,REGULAR
TRM_164_195_0163,Tramo RN-11 Panajachel (San Felipe - Esquipulas Palo Gordo) - Ref 164,San Felipe,Esquipulas Palo Gordo,ACUATICA,19.48,65,BUENO
TRM_165_196_0164,Tramo RN-7 Cobán-Quiché (San Andrés Villa Seca - Río Blanco) - Ref 165,San Andrés Villa Seca,Río Blanco,TERRACERIA,62.41,210,BUENO
TRM_166_197_0165,Tramo CA-1 Occidente (Champerico - San Lorenzo) - Ref 166,Champerico,San Lorenzo,TERRACERIA,51.57,68,REGULAR
TRM_167_198_0166,Tramo Ruta Nacional RN-1 (Nuevo San Carlos - La Blanca) - Ref 167,Nuevo San Carlos,La Blanca,NACIONAL_ASFALTO,24.76,65,REGULAR
TRM_168_199_0167,Tramo RN-11 Panajachel (El Asintal - Huehuetenango) - Ref 168,El Asintal,Huehuetenango,INTERAMERICANA,14.33,22,BUENO
TRM_169_200_0168,Tramo RN-7 Cobán-Quiché (San Marcos - Chiantla) - Ref 169,San Marcos,Chiantla,NACIONAL_ASFALTO,71.87,209,MALO
TRM_170_201_0169,Tramo Ruta Nacional RN-1 (San Pedro Sacatepéquez - Malacatancito) - Ref 170,San Pedro Sacatepéquez,Malacatancito,NACIONAL_ASFALTO,46.6,65,REGULAR
TRM_171_202_0170,Tramo RN-15 Sacapulas (San Antonio Sacatepéquez - Cuilco) - Ref 171,San Antonio Sacatepéquez,Cuilco,TERRACERIA,31.97,39,BUENO
TRM_172_203_0171,Tramo RN-7 Cobán-Quiché (Comitancillo - Nentón) - Ref 172,Comitancillo,Nentón,TERRACERIA,29.89,65,BUENO
TRM_173_204_0172,Tramo CA-1 Occidente (San Miguel Ixtahuacán - San Pedro Necta) - Ref 173,San Miguel Ixtahuacán,San Pedro Necta,PEATONAL,15.57,24,BUENO
TRM_174_205_0173,Tramo RN-9 Salcajá (Concepción Tutuapa - Jacaltenango) - Ref 174,Concepción Tutuapa,Jacaltenango,ACUATICA,16.28,26,BUENO
TRM_175_206_0174,Tramo RN-11 Panajachel (Tacaná - Soloma) - Ref 175,Tacaná,Soloma,TERRACERIA,50.25,105,BUENO
TRM_176_207_0175,Tramo Ruta Nacional RN-1 (Sibinal - Ixtahuacán) - Ref 176,Sibinal,Ixtahuacán,TERRACERIA,72.9,104,BUENO
TRM_177_208_0176,Tramo RN-7 Cobán-Quiché (Tajumulco - Santa Bárbara) - Ref 177,Tajumulco,Santa Bárbara,TERRACERIA,42.92,81,BUENO
TRM_178_209_0177,Tramo RN-11 Panajachel (Tejutla - La Libertad) - Ref 178,Tejutla,La Libertad,ACUATICA,9.77,25,BUENO
TRM_179_210_0178,Tramo Ruta Nacional RN-1 (San Rafael Pie de la Cuesta - La Democracia) - Ref 179,San Rafael Pie de la Cuesta,La Democracia,NACIONAL_ASFALTO,54.64,76,BUENO
TRM_180_211_0179,Tramo RN-9 Salcajá (Nuevo Progreso - San Miguel Acatán) - Ref 180,Nuevo Progreso,San Miguel Acatán,PEATONAL,25.59,51,BUENO
TRM_181_212_0180,Tramo RN-7 Cobán-Quiché (El Tumbador - San Rafael La Independencia) - Ref 181,El Tumbador,San Rafael La Independencia,PEATONAL,12.32,34,BUENO
TRM_182_213_0181,Tramo RN-7 Cobán-Quiché (El Rodeo - Todos Santos Cuchumatán) - Ref 182,El Rodeo,Todos Santos Cuchumatán,ACUATICA,50.43,134,REGULAR
TRM_183_214_0182,Tramo RN-15 Sacapulas (Malacatán - San Juan Atitán) - Ref 183,Malacatán,San Juan Atitán,PEATONAL,13.19,30,BUENO
TRM_184_215_0183,Tramo RN-9 Salcajá (Catarina - Santa Eulalia) - Ref 184,Catarina,Santa Eulalia,ACUATICA,59.42,102,BUENO
TRM_185_216_0184,Tramo RN-7 Cobán-Quiché (Ayutla - San Mateo Ixtatán) - Ref 185,Ayutla,San Mateo Ixtatán,NACIONAL_ASFALTO,28.97,73,BUENO
TRM_186_217_0185,Tramo RN-9 Salcajá (Ocós - Colotenango) - Ref 186,Ocós,Colotenango,ACUATICA,19.04,37,BUENO
TRM_187_218_0186,Tramo RN-9 Salcajá (San Pablo - San Sebastián Huehuetenango) - Ref 187,San Pablo,San Sebastián Huehuetenango,NACIONAL_ASFALTO,37.51,131,BUENO
TRM_188_219_0187,Tramo RN-15 Sacapulas (El Quetzal - Tectitán) - Ref 188,El Quetzal,Tectitán,ACUATICA,49.08,163,REGULAR
TRM_189_220_0188,Tramo Ruta Nacional RN-1 (La Reforma - Concepción Huista) - Ref 189,La Reforma,Concepción Huista,NACIONAL_ASFALTO,8.48,23,BUENO
TRM_190_221_0189,Tramo RN-11 Panajachel (Pajapita - San Juan Ixcoy) - Ref 190,Pajapita,San Juan Ixcoy,TERRACERIA,45.49,129,BUENO
TRM_191_222_0190,Tramo RN-15 Sacapulas (Ixchiguán - San Antonio Huista) - Ref 191,Ixchiguán,San Antonio Huista,INTERAMERICANA,17.45,44,BUENO
TRM_192_223_0191,Tramo Ruta Nacional RN-1 (San José Ojetenam - San Sebastián Coatán) - Ref 192,San José Ojetenam,San Sebastián Coatán,NACIONAL_ASFALTO,11.62,27,MALO
TRM_193_224_0192,Tramo RN-11 Panajachel (San Cristóbal Cucho - Barillas) - Ref 193,San Cristóbal Cucho,Barillas,PEATONAL,71.76,169,BUENO
TRM_194_225_0193,Tramo RN-11 Panajachel (Sipacapa - Aguacatán) - Ref 194,Sipacapa,Aguacatán,NACIONAL_ASFALTO,42.7,119,BUENO
TRM_195_226_0194,Tramo Ruta Nacional RN-1 (Esquipulas Palo Gordo - San Rafael Petzal) - Ref 195,Esquipulas Palo Gordo,San Rafael Petzal,ACUATICA,48.3,117,BUENO
TRM_196_227_0195,Tramo RN-15 Sacapulas (Río Blanco - San Gaspar Ixchil) - Ref 196,Río Blanco,San Gaspar Ixchil,TERRACERIA,11.42,33,BUENO
TRM_197_228_0196,Tramo RN-7 Cobán-Quiché (San Lorenzo - Santiago Chimaltenango) - Ref 197,San Lorenzo,Santiago Chimaltenango,NACIONAL_ASFALTO,72.31,148,BUENO
TRM_198_229_0197,Tramo RN-11 Panajachel (La Blanca - Santa Ana Huista) - Ref 198,La Blanca,Santa Ana Huista,NACIONAL_ASFALTO,21.71,38,BUENO
TRM_199_230_0198,Tramo RN-15 Sacapulas (Huehuetenango - Unión Cantinil) - Ref 199,Huehuetenango,Unión Cantinil,ACUATICA,68.48,223,BUENO
TRM_200_231_0199,Tramo RN-11 Panajachel (Chiantla - Petatán) - Ref 200,Chiantla,Petatán,PEATONAL,52.64,155,BUENO
TRM_201_232_0200,Tramo CA-1 Occidente (Malacatancito - Santa Cruz del Quiché) - Ref 201,Malacatancito,Santa Cruz del Quiché,PEATONAL,47.32,90,BUENO
TRM_202_233_0201,Tramo RN-11 Panajachel (Cuilco - Chiché) - Ref 202,Cuilco,Chiché,NACIONAL_ASFALTO,24.5,29,BUENO
TRM_203_234_0202,Tramo RN-7 Cobán-Quiché (Nentón - Chinique) - Ref 203,Nentón,Chinique,INTERAMERICANA,12.08,18,BUENO
TRM_204_235_0203,Tramo CA-1 Occidente (San Pedro Necta - Zacualpa) - Ref 204,San Pedro Necta,Zacualpa,NACIONAL_ASFALTO,40.3,58,BUENO
TRM_205_236_0204,Tramo RN-7 Cobán-Quiché (Jacaltenango - Chajul) - Ref 205,Jacaltenango,Chajul,PEATONAL,7.67,25,BUENO
TRM_206_237_0205,Tramo RN-9 Salcajá (Soloma - Chichicastenango) - Ref 206,Soloma,Chichicastenango,INTERAMERICANA,57.01,148,BUENO
TRM_207_238_0206,Tramo RN-11 Panajachel (Ixtahuacán - Patzité) - Ref 207,Ixtahuacán,Patzité,TERRACERIA,34.04,77,BUENO
TRM_208_239_0207,Tramo RN-7 Cobán-Quiché (Santa Bárbara - San Antonio Ilotenango) - Ref 208,Santa Bárbara,San Antonio Ilotenango,ACUATICA,61.77,192,REGULAR
TRM_209_240_0208,Tramo CA-1 Occidente (La Libertad - San Pedro Jocopilas) - Ref 209,La Libertad,San Pedro Jocopilas,PEATONAL,20.09,49,BUENO
TRM_210_241_0209,Tramo CA-1 Occidente (La Democracia - Cunén) - Ref 210,La Democracia,Cunén,ACUATICA,31.1,58,BUENO
TRM_211_242_0210,Tramo RN-7 Cobán-Quiché (San Miguel Acatán - San Juan Cotzal) - Ref 211,San Miguel Acatán,San Juan Cotzal,NACIONAL_ASFALTO,28.99,97,BUENO
TRM_212_243_0211,Tramo CA-1 Occidente (San Rafael La Independencia - Joyabaj) - Ref 212,San Rafael La Independencia,Joyabaj,TERRACERIA,61.15,79,BUENO
TRM_213_244_0212,Tramo RN-15 Sacapulas (Todos Santos Cuchumatán - Nebaj) - Ref 213,Todos Santos Cuchumatán,Nebaj,TERRACERIA,64.4,91,BUENO
TRM_214_245_0213,Tramo CA-1 Occidente (San Juan Atitán - San Andrés Sajcabajá) - Ref 214,San Juan Atitán,San Andrés Sajcabajá,TERRACERIA,60.59,146,BUENO
TRM_215_246_0214,Tramo RN-9 Salcajá (Santa Eulalia - Uspantán) - Ref 215,Santa Eulalia,Uspantán,NACIONAL_ASFALTO,51.75,89,MALO
TRM_216_247_0215,Tramo RN-15 Sacapulas (San Mateo Ixtatán - Sacapulas) - Ref 216,San Mateo Ixtatán,Sacapulas,INTERAMERICANA,40.5,125,BUENO
TRM_217_248_0216,Tramo RN-9 Salcajá (Colotenango - San Bartolomé Jocotenango) - Ref 217,Colotenango,San Bartolomé Jocotenango,TERRACERIA,66.45,218,BUENO
TRM_218_249_0217,Tramo RN-9 Salcajá (San Sebastián Huehuetenango - Canillá) - Ref 218,San Sebastián Huehuetenango,Canillá,INTERAMERICANA,31.33,90,BUENO
TRM_219_250_0218,Tramo RN-11 Panajachel (Tectitán - Chicamán) - Ref 219,Tectitán,Chicamán,PEATONAL,67.13,131,BUENO
TRM_220_251_0219,Tramo Ruta Nacional RN-1 (Concepción Huista - Ixcán) - Ref 220,Concepción Huista,Ixcán,ACUATICA,10.9,33,BUENO
TRM_221_252_0220,Tramo RN-15 Sacapulas (San Juan Ixcoy - Pachalum) - Ref 221,San Juan Ixcoy,Pachalum,NACIONAL_ASFALTO,31.41,76,REGULAR
TRM_222_253_0221,Tramo RN-9 Salcajá (San Antonio Huista - Salamá) - Ref 222,San Antonio Huista,Salamá,PEATONAL,65.63,115,REGULAR
TRM_223_254_0222,Tramo RN-11 Panajachel (San Sebastián Coatán - San Miguel Chicaj) - Ref 223,San Sebastián Coatán,San Miguel Chicaj,NACIONAL_ASFALTO,71.33,131,BUENO
TRM_224_255_0223,Tramo RN-7 Cobán-Quiché (Barillas - Rabinal) - Ref 224,Barillas,Rabinal,INTERAMERICANA,6.77,12,BUENO
TRM_225_256_0224,Tramo RN-11 Panajachel (Aguacatán - Cubulco) - Ref 225,Aguacatán,Cubulco,ACUATICA,72.22,222,BUENO
TRM_226_257_0225,Tramo RN-15 Sacapulas (San Rafael Petzal - Granados) - Ref 226,San Rafael Petzal,Granados,ACUATICA,9.74,23,BUENO
TRM_227_258_0226,Tramo RN-9 Salcajá (San Gaspar Ixchil - El Chol) - Ref 227,San Gaspar Ixchil,El Chol,TERRACERIA,26.06,85,REGULAR
TRM_228_259_0227,Tramo CA-1 Occidente (Santiago Chimaltenango - San Jerónimo) - Ref 228,Santiago Chimaltenango,San Jerónimo,PEATONAL,13.47,17,BUENO
TRM_229_260_0228,Tramo RN-11 Panajachel (Santa Ana Huista - Purulhá) - Ref 229,Santa Ana Huista,Purulhá,ACUATICA,38.19,51,BUENO
TRM_230_261_0229,Tramo CA-1 Occidente (Unión Cantinil - Cobán) - Ref 230,Unión Cantinil,Cobán,INTERAMERICANA,64.94,80,REGULAR
TRM_231_262_0230,Tramo RN-11 Panajachel (Petatán - Santa Cruz Verapaz) - Ref 231,Petatán,Santa Cruz Verapaz,ACUATICA,8.6,15,BUENO
TRM_232_263_0231,Tramo CA-1 Occidente (Santa Cruz del Quiché - San Cristóbal Verapaz) - Ref 232,Santa Cruz del Quiché,San Cristóbal Verapaz,NACIONAL_ASFALTO,72.02,153,BUENO
TRM_233_264_0232,Tramo RN-7 Cobán-Quiché (Chiché - Tactic) - Ref 233,Chiché,Tactic,TERRACERIA,43.43,129,REGULAR
TRM_234_265_0233,Tramo Ruta Nacional RN-1 (Chinique - Tamahú) - Ref 234,Chinique,Tamahú,TERRACERIA,15.87,49,BUENO
TRM_235_266_0234,Tramo Ruta Nacional RN-1 (Zacualpa - Tucurú) - Ref 235,Zacualpa,Tucurú,INTERAMERICANA,13.62,36,MALO
TRM_236_267_0235,Tramo RN-15 Sacapulas (Chajul - Panzós) - Ref 236,Chajul,Panzós,PEATONAL,43.37,71,BUENO
TRM_237_268_0236,Tramo RN-15 Sacapulas (Chichicastenango - Senahú) - Ref 237,Chichicastenango,Senahú,INTERAMERICANA,41.05,128,BUENO
TRM_238_269_0237,Tramo RN-11 Panajachel (Patzité - San Pedro Carchá) - Ref 238,Patzité,San Pedro Carchá,PEATONAL,45.34,66,BUENO
TRM_239_270_0238,Tramo RN-11 Panajachel (San Antonio Ilotenango - San Juan Chamelco) - Ref 239,San Antonio Ilotenango,San Juan Chamelco,NACIONAL_ASFALTO,21.54,31,BUENO
TRM_240_271_0239,Tramo RN-11 Panajachel (San Pedro Jocopilas - Lanquín) - Ref 240,San Pedro Jocopilas,Lanquín,INTERAMERICANA,9.03,17,BUENO
TRM_241_272_0240,Tramo RN-11 Panajachel (Cunén - Cahabón) - Ref 241,Cunén,Cahabón,NACIONAL_ASFALTO,15.18,27,BUENO
TRM_242_273_0241,Tramo CA-1 Occidente (San Juan Cotzal - Chisec) - Ref 242,San Juan Cotzal,Chisec,NACIONAL_ASFALTO,59.84,190,REGULAR
TRM_243_274_0242,Tramo RN-9 Salcajá (Joyabaj - Chahal) - Ref 243,Joyabaj,Chahal,INTERAMERICANA,41.39,133,BLOQUEADO
TRM_244_275_0243,Tramo Ruta Nacional RN-1 (Nebaj - Fray Bartolomé de Las Casas) - Ref 244,Nebaj,Fray Bartolomé de Las Casas,NACIONAL_ASFALTO,26.28,70,REGULAR
TRM_245_276_0244,Tramo RN-11 Panajachel (San Andrés Sajcabajá - Santa Catalina La Tinta) - Ref 245,San Andrés Sajcabajá,Santa Catalina La Tinta,PEATONAL,68.59,152,BUENO
TRM_246_277_0245,Tramo RN-15 Sacapulas (Uspantán - Raxruhá) - Ref 246,Uspantán,Raxruhá,ACUATICA,57.12,96,BUENO
TRM_247_278_0246,Tramo RN-11 Panajachel (Sacapulas - Flores) - Ref 247,Sacapulas,Flores,ACUATICA,30.63,58,BUENO
TRM_248_279_0247,Tramo RN-11 Panajachel (San Bartolomé Jocotenango - San José) - Ref 248,San Bartolomé Jocotenango,San José,INTERAMERICANA,29.2,60,BUENO
TRM_249_280_0248,Tramo RN-11 Panajachel (Canillá - San Benito) - Ref 249,Canillá,San Benito,ACUATICA,47.78,134,BUENO
TRM_250_281_0249,Tramo Ruta Nacional RN-1 (Chicamán - San Andrés) - Ref 250,Chicamán,San Andrés,INTERAMERICANA,72.94,231,BUENO
TRM_251_282_0250,Tramo CA-1 Occidente (Ixcán - La Libertad) - Ref 251,Ixcán,La Libertad,INTERAMERICANA,15.24,30,BUENO
TRM_252_283_0251,Tramo RN-11 Panajachel (Pachalum - San Francisco) - Ref 252,Pachalum,San Francisco,NACIONAL_ASFALTO,35.35,104,REGULAR
TRM_253_284_0252,Tramo RN-7 Cobán-Quiché (Salamá - Santa Ana) - Ref 253,Salamá,Santa Ana,ACUATICA,74.12,161,BUENO
TRM_254_285_0253,Tramo Ruta Nacional RN-1 (San Miguel Chicaj - Dolores) - Ref 254,San Miguel Chicaj,Dolores,PEATONAL,43.2,122,BUENO
TRM_255_286_0254,Tramo RN-15 Sacapulas (Rabinal - San Luis) - Ref 255,Rabinal,San Luis,ACUATICA,55.24,157,BUENO
TRM_256_287_0255,Tramo RN-11 Panajachel (Cubulco - Sayaxché) - Ref 256,Cubulco,Sayaxché,INTERAMERICANA,73.61,175,BUENO
TRM_257_288_0256,Tramo RN-15 Sacapulas (Granados - Melchor de Mencos) - Ref 257,Granados,Melchor de Mencos,PEATONAL,60.17,141,MALO
TRM_258_289_0257,Tramo RN-9 Salcajá (El Chol - Poptún) - Ref 258,El Chol,Poptún,ACUATICA,34.1,64,REGULAR
TRM_259_290_0258,Tramo RN-9 Salcajá (San Jerónimo - Las Cruces) - Ref 259,San Jerónimo,Las Cruces,INTERAMERICANA,10.7,28,BUENO
TRM_260_291_0259,Tramo RN-7 Cobán-Quiché (Purulhá - El Chal) - Ref 260,Purulhá,El Chal,NACIONAL_ASFALTO,26.96,89,REGULAR
TRM_261_292_0260,Tramo CA-1 Occidente (Cobán - Puerto Barrios) - Ref 261,Cobán,Puerto Barrios,INTERAMERICANA,44.93,138,BUENO
TRM_262_293_0261,Tramo RN-15 Sacapulas (Santa Cruz Verapaz - Lívingston) - Ref 262,Santa Cruz Verapaz,Lívingston,PEATONAL,56.44,74,BUENO
TRM_263_294_0262,Tramo CA-1 Occidente (San Cristóbal Verapaz - El Estor) - Ref 263,San Cristóbal Verapaz,El Estor,TERRACERIA,33.37,97,BUENO
TRM_264_295_0263,Tramo RN-7 Cobán-Quiché (Tactic - Morales) - Ref 264,Tactic,Morales,ACUATICA,32.99,41,BUENO
TRM_265_296_0264,Tramo RN-11 Panajachel (Tamahú - Los Amates) - Ref 265,Tamahú,Los Amates,INTERAMERICANA,47.24,149,BUENO
TRM_266_297_0265,Tramo RN-7 Cobán-Quiché (Tucurú - Zacapa) - Ref 266,Tucurú,Zacapa,TERRACERIA,52.29,139,BUENO
TRM_267_298_0266,Tramo RN-15 Sacapulas (Panzós - Estanzuela) - Ref 267,Panzós,Estanzuela,ACUATICA,32.33,43,BUENO
TRM_268_299_0267,Tramo CA-1 Occidente (Senahú - Río Hondo) - Ref 268,Senahú,Río Hondo,INTERAMERICANA,56.68,170,REGULAR
TRM_269_300_0268,Tramo RN-15 Sacapulas (San Pedro Carchá - Gualán) - Ref 269,San Pedro Carchá,Gualán,PEATONAL,43.53,142,BUENO
TRM_270_301_0269,Tramo RN-15 Sacapulas (San Juan Chamelco - Teculután) - Ref 270,San Juan Chamelco,Teculután,NACIONAL_ASFALTO,39.3,92,BUENO
TRM_271_302_0270,Tramo RN-15 Sacapulas (Lanquín - Usumatlán) - Ref 271,Lanquín,Usumatlán,PEATONAL,7.3,20,BUENO
TRM_272_303_0271,Tramo RN-15 Sacapulas (Cahabón - Cabañas) - Ref 272,Cahabón,Cabañas,TERRACERIA,55.07,154,BUENO
TRM_273_304_0272,Tramo RN-15 Sacapulas (Chisec - San Diego) - Ref 273,Chisec,San Diego,NACIONAL_ASFALTO,68.29,116,BUENO
TRM_274_305_0273,Tramo RN-7 Cobán-Quiché (Chahal - La Unión) - Ref 274,Chahal,La Unión,TERRACERIA,40.1,75,MALO
TRM_275_306_0274,Tramo RN-7 Cobán-Quiché (Fray Bartolomé de Las Casas - Huité) - Ref 275,Fray Bartolomé de Las Casas,Huité,TERRACERIA,26.22,59,BUENO
TRM_276_307_0275,Tramo RN-9 Salcajá (Santa Catalina La Tinta - San Jorge) - Ref 276,Santa Catalina La Tinta,San Jorge,PEATONAL,16.74,22,BUENO
TRM_277_308_0276,Tramo RN-7 Cobán-Quiché (Raxruhá - Chiquimula) - Ref 277,Raxruhá,Chiquimula,NACIONAL_ASFALTO,51.71,162,BUENO
TRM_278_309_0277,Tramo RN-9 Salcajá (Flores - San José La Arada) - Ref 278,Flores,San José La Arada,INTERAMERICANA,38.5,74,BUENO
TRM_279_310_0278,Tramo CA-1 Occidente (San José - San Juan Ermita) - Ref 279,San José,San Juan Ermita,TERRACERIA,61.52,105,BUENO
TRM_280_311_0279,Tramo Ruta Nacional RN-1 (San Benito - Jocotán) - Ref 280,San Benito,Jocotán,ACUATICA,48.56,127,BUENO
TRM_281_312_0280,Tramo RN-15 Sacapulas (San Andrés - Camotán) - Ref 281,San Andrés,Camotán,ACUATICA,17.93,26,BUENO
TRM_282_313_0281,Tramo CA-1 Occidente (La Libertad - Olopa) - Ref 282,La Libertad,Olopa,NACIONAL_ASFALTO,23.29,43,BUENO
TRM_283_314_0282,Tramo CA-1 Occidente (San Francisco - Esquipulas) - Ref 283,San Francisco,Esquipulas,PEATONAL,46.42,113,BUENO
TRM_284_315_0283,Tramo RN-15 Sacapulas (Santa Ana - Concepción Las Minas) - Ref 284,Santa Ana,Concepción Las Minas,NACIONAL_ASFALTO,33.19,77,BUENO
TRM_285_316_0284,Tramo Ruta Nacional RN-1 (Dolores - Quezaltepeque) - Ref 285,Dolores,Quezaltepeque,ACUATICA,31.69,39,REGULAR
TRM_286_317_0285,Tramo RN-9 Salcajá (San Luis - San Jacinto) - Ref 286,San Luis,San Jacinto,PEATONAL,8.01,21,REGULAR
TRM_287_318_0286,Tramo RN-7 Cobán-Quiché (Sayaxché - Ipala) - Ref 287,Sayaxché,Ipala,INTERAMERICANA,30.76,57,MALO
TRM_288_319_0287,Tramo RN-11 Panajachel (Melchor de Mencos - Jalapa) - Ref 288,Melchor de Mencos,Jalapa,INTERAMERICANA,27.68,67,BUENO
TRM_289_320_0288,Tramo RN-15 Sacapulas (Poptún - San Pedro Pinula) - Ref 289,Poptún,San Pedro Pinula,PEATONAL,71.85,198,REGULAR
TRM_290_321_0289,Tramo RN-15 Sacapulas (Las Cruces - San Luis Jilotepeque) - Ref 290,Las Cruces,San Luis Jilotepeque,INTERAMERICANA,28.67,60,BUENO
TRM_291_322_0290,Tramo Ruta Nacional RN-1 (El Chal - San Manuel Chaparrón) - Ref 291,El Chal,San Manuel Chaparrón,NACIONAL_ASFALTO,17.82,53,BUENO
TRM_292_323_0291,Tramo Ruta Nacional RN-1 (Puerto Barrios - San Carlos Alzatate) - Ref 292,Puerto Barrios,San Carlos Alzatate,INTERAMERICANA,10.36,26,BUENO
TRM_293_324_0292,Tramo CA-1 Occidente (Lívingston - Monjas) - Ref 293,Lívingston,Monjas,PEATONAL,46.64,75,BUENO
TRM_294_325_0293,Tramo CA-1 Occidente (El Estor - Mataquescuintla) - Ref 294,El Estor,Mataquescuintla,NACIONAL_ASFALTO,71.24,98,BUENO
TRM_295_326_0294,Tramo RN-15 Sacapulas (Morales - Jutiapa) - Ref 295,Morales,Jutiapa,INTERAMERICANA,33.1,49,REGULAR
TRM_296_327_0295,Tramo RN-9 Salcajá (Los Amates - El Progreso) - Ref 296,Los Amates,El Progreso,NACIONAL_ASFALTO,34.41,67,BUENO
TRM_297_328_0296,Tramo RN-9 Salcajá (Zacapa - Santa Catarina Mita) - Ref 297,Zacapa,Santa Catarina Mita,NACIONAL_ASFALTO,55.18,121,BUENO
TRM_298_329_0297,Tramo CA-1 Occidente (Estanzuela - Agua Blanca) - Ref 298,Estanzuela,Agua Blanca,PEATONAL,17.04,33,REGULAR
TRM_299_330_0298,Tramo RN-7 Cobán-Quiché (Río Hondo - Asunción Mita) - Ref 299,Río Hondo,Asunción Mita,ACUATICA,44.83,124,BUENO
TRM_300_331_0299,Tramo RN-11 Panajachel (Gualán - Yupiltepeque) - Ref 300,Gualán,Yupiltepeque,INTERAMERICANA,14.87,33,BUENO
TRM_301_332_0300,Tramo RN-11 Panajachel (Teculután - Atescatempa) - Ref 301,Teculután,Atescatempa,NACIONAL_ASFALTO,57.87,106,BUENO
TRM_302_333_0301,Tramo RN-7 Cobán-Quiché (Usumatlán - Jerez) - Ref 302,Usumatlán,Jerez,TERRACERIA,67.74,173,BUENO
TRM_303_334_0302,Tramo RN-11 Panajachel (Cabañas - El Adelanto) - Ref 303,Cabañas,El Adelanto,NACIONAL_ASFALTO,33.63,106,BUENO
TRM_304_335_0303,Tramo Ruta Nacional RN-1 (San Diego - Zapotitlán) - Ref 304,San Diego,Zapotitlán,INTERAMERICANA,59.78,168,BUENO
TRM_305_336_0304,Tramo CA-1 Occidente (La Unión - Comapa) - Ref 305,La Unión,Comapa,PEATONAL,15.56,33,BUENO
TRM_306_337_0305,Tramo CA-1 Occidente (Huité - Jalpatagua) - Ref 306,Huité,Jalpatagua,TERRACERIA,60.26,156,BUENO
TRM_307_338_0306,Tramo RN-7 Cobán-Quiché (San Jorge - Conguaco) - Ref 307,San Jorge,Conguaco,NACIONAL_ASFALTO,45.47,87,BUENO
TRM_308_339_0307,Tramo CA-1 Occidente (Chiquimula - Moyuta) - Ref 308,Chiquimula,Moyuta,NACIONAL_ASFALTO,53.75,153,BUENO
TRM_309_340_0308,Tramo RN-15 Sacapulas (San José La Arada - Pasaco) - Ref 309,San José La Arada,Pasaco,NACIONAL_ASFALTO,25.47,61,REGULAR
TRM_310_341_0309,Tramo RN-7 Cobán-Quiché (San Juan Ermita - San José Acatempa) - Ref 310,San Juan Ermita,San José Acatempa,INTERAMERICANA,7.29,16,MALO
TRM_311_342_0310,Tramo RN-9 Salcajá (Jocotán - Quesada) - Ref 311,Jocotán,Quesada,ACUATICA,14.96,30,REGULAR
TRM_312_1_0311,Tramo RN-11 Panajachel (Camotán - Lago De Amatitlan) - Ref 312,Camotán,Lago De Amatitlan,TERRACERIA,48.83,90,BUENO
TRM_313_2_0312,Tramo RN-7 Cobán-Quiché (Olopa - Guatemala) - Ref 313,Olopa,Guatemala,INTERAMERICANA,32.13,79,BUENO
TRM_314_3_0313,Tramo RN-9 Salcajá (Esquipulas - Santa Catarina Pinula) - Ref 314,Esquipulas,Santa Catarina Pinula,NACIONAL_ASFALTO,6.56,11,REGULAR
TRM_315_4_0314,Tramo RN-7 Cobán-Quiché (Concepción Las Minas - San José Pinula) - Ref 315,Concepción Las Minas,San José Pinula,TERRACERIA,29.26,39,REGULAR
TRM_316_5_0315,Tramo CA-1 Occidente (Quezaltepeque - San José del Golfo) - Ref 316,Quezaltepeque,San José del Golfo,ACUATICA,41.15,87,BUENO
