id_taller,codigo,nombre,representante,departamento_pcode,municipio_pcode,direccion,anio_fundacion,cantidad_miembros,contacto
142,TAL_GT1411_0141,Taller Familiar de Arte Tradicional Hunapu en San Juan Cotzal,Maestro Juan Tupul,GT14,GT1411,"Cantón Pachoc, Lote 28",2014,14,+502 5727-9141
143,TAL_GT1412_0142,Cooperativa de Producción Artesanal Xelaju de R.L. (Joyabaj),Maestro María Tax,GT14,GT1412,"Cantón Centro, Lote 72",1995,25,+502 5197-1258
144,TAL_GT1413_0143,Asociación de Artesanos Kiche Utatlan de Nebaj,Maestro Manuel Coché,GT14,GT1413,"Cantón Xabajal, Lote 10",1999,11,+502 5648-3576
145,TAL_GT1414_0144,Taller Familiar de Arte Tradicional Mam en San Andrés Sajcabajá,Maestro Juan  Fuentes,GT14,GT1414,"Cantón El Carmen, Lote 19",1981,31,+502 5179-9596
146,TAL_GT1415_0145,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (Uspantán),Maestro Rosa  Fuentes,GT14,GT1415,"Cantón El Carmen, Lote 67",1985,8,+502 5389-3707
147,TAL_GT1416_0146,Asociación de Artesanos Qeqchi Pacaya de Sacapulas,Maestro Pedro Mazariegos,GT14,GT1416,"Cantón El Carmen, Lote 39",2014,28,+502 5413-9860
148,TAL_GT1417_0147,Taller Familiar de Arte Tradicional Popol en San Bartolomé Jocotenango,Maestro Manuel Mazariegos,GT14,GT1417,"Cantón Pachoc, Lote 63",1988,21,+502 4929-5271
149,TAL_GT1418_0148,Cooperativa de Producción Artesanal Cholsamaj de R.L. (Canillá),Maestro Juan Tupul,GT14,GT1418,"Cantón Xabajal, Lote 53",2018,29,+502 4868-1326
150,TAL_GT1419_0149,Asociación de Artesanos Xelaju Sop de Chicamán,Maestro Santiago  Fuentes,GT14,GT1419,"Cantón Pachoc, Lote 70",1975,6,+502 5899-6586
151,TAL_GT1420_0150,Taller Familiar de Arte Tradicional Utatlan en Ixcán,Maestro Juan Tax,GT14,GT1420,"Cantón Centro, Lote 92",2000,25,+502 4361-5311
152,TAL_GT1421_0151,Cooperativa de Producción Artesanal Chup de R.L. (Pachalum),Maestro Santiago Mazariegos,GT14,GT1421,"Cantón Tzanjuyup, Lote 52",1987,25,+502 4981-4681
153,TAL_GT1501_0152,Asociación de Artesanos Cuchumatanes Patzun de Salamá,Maestro Juana Tupul,GT15,GT1501,"Cantón Centro, Lote 22",2000,42,+502 4471-4382
154,TAL_GT1502_0153,Taller Familiar de Arte Tradicional Pacaya en San Miguel Chicaj,Maestro Juan Tax,GT15,GT1502,"Cantón Pachoc, Lote 5",1986,43,+502 4946-5754
155,TAL_GT1503_0154,Cooperativa de Producción Artesanal Almolonga de R.L. (Rabinal),Maestro María Coché,GT15,GT1503,"Cantón Pachoc, Lote 5",1973,8,+502 5586-7391
156,TAL_GT1504_0155,Asociación de Artesanos Cholsamaj Ixchel de Cubulco,Maestro Manuel Tax,GT15,GT1504,"Cantón Tzanjuyup, Lote 24",1999,29,+502 4771-6816
157,TAL_GT1505_0156,Taller Familiar de Arte Tradicional Sop en Granados,Maestro Pedro Chox,GT15,GT1505,"Cantón Pachoc, Lote 70",2016,45,+502 4066-4344
158,TAL_GT1506_0157,Cooperativa de Producción Artesanal Atitlan de R.L. (El Chol),Maestro Tomasa Mazariegos,GT15,GT1506,"Cantón El Carmen, Lote 26",2020,40,+502 5332-6844
159,TAL_GT1507_0158,Asociación de Artesanos Chup Iximche de San Jerónimo,Maestro Juan  Fuentes,GT15,GT1507,"Cantón Pachoc, Lote 82",1986,37,+502 5956-1557
160,TAL_GT1508_0159,Taller Familiar de Arte Tradicional Patzun en Purulhá,Maestro María Coché,GT15,GT1508,"Cantón Tzanjuyup, Lote 22",2007,9,+502 4539-3976
161,TAL_GT0401_0160,Cooperativa de Producción Artesanal Jaspe de R.L. (Chimaltenango),Maestro Manuel Chox,GT04,GT0401,"Cantón Tzanjuyup, Lote 68",2008,42,+502 4213-8418
162,TAL_GT0402_0161,Asociación de Artesanos Almolonga Hunapu de San José Poaquil,Maestro Juana Chox,GT04,GT0402,"Cantón Pachoc, Lote 68",1998,34,+502 5268-5168
163,TAL_GT0403_0162,Taller Familiar de Arte Tradicional Ixchel en San Martín Jilotepeque,Maestro Manuel Tupul,GT04,GT0403,"Cantón Pachoc, Lote 100",1972,23,+502 5557-1261
164,TAL_GT0404_0163,Cooperativa de Producción Artesanal Kiche de R.L. (Comalapa),Maestro Santiago Tax,GT04,GT0404,"Cantón Tzanjuyup, Lote 23",1978,12,+502 5881-3695
165,TAL_GT0405_0164,Asociación de Artesanos Atitlan Mam de Santa Apolonia,Maestro Rosa Tupul,GT04,GT0405,"Cantón Xabajal, Lote 49",2011,20,+502 5616-9959
166,TAL_GT0406_0165,Taller Familiar de Arte Tradicional Iximche en Tecpán Guatemala,Maestro Tomasa Coché,GT04,GT0406,"Cantón El Carmen, Lote 78",1987,30,+502 4410-5047
167,TAL_GT0407_0166,Cooperativa de Producción Artesanal Qeqchi de R.L. (Patzún),Maestro Pedro Mazariegos,GT04,GT0407,"Cantón Pachoc, Lote 24",1976,45,+502 5143-2937
168,TAL_GT0408_0167,Asociación de Artesanos Jaspe Popol de Pochuta,Maestro Santiago Chox,GT04,GT0408,"Cantón Centro, Lote 5",1978,38,+502 4182-6366
169,TAL_GT0409_0168,Taller Familiar de Arte Tradicional Hunapu en Patzicía,Maestro Tomasa Tupul,GT04,GT0409,"Cantón Xabajal, Lote 88",1982,12,+502 5384-5196
170,TAL_GT0410_0169,Cooperativa de Producción Artesanal Xelaju de R.L. (Santa Cruz Balanyá),Maestro Rosa Mazariegos,GT04,GT0410,"Cantón El Carmen, Lote 11",1988,10,+502 4430-7523
171,TAL_GT0411_0170,Asociación de Artesanos Kiche Utatlan de Acatenango,Maestro Pedro Chox,GT04,GT0411,"Cantón Centro, Lote 83",1987,13,+502 4488-6005
172,TAL_GT0412_0171,Taller Familiar de Arte Tradicional Mam en Yepocapa,Maestro Rosa Tzoc,GT04,GT0412,"Cantón Xabajal, Lote 41",1992,13,+502 4431-9536
173,TAL_GT0413_0172,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (San Andrés Itzapa),Maestro Pedro Coché,GT04,GT0413,"Cantón Xabajal, Lote 11",1983,9,+502 5938-6502
174,TAL_GT0414_0173,Asociación de Artesanos Qeqchi Pacaya de Parramos,Maestro Tomasa Chox,GT04,GT0414,"Cantón Centro, Lote 44",1987,42,+502 4499-6699
175,TAL_GT0415_0174,Taller Familiar de Arte Tradicional Popol en Zaragoza,Maestro Santiago Tzoc,GT04,GT0415,"Cantón El Carmen, Lote 31",2022,42,+502 5492-3066
176,TAL_GT0416_0175,Cooperativa de Producción Artesanal Cholsamaj de R.L. (El Tejar),Maestro Tomasa Mazariegos,GT04,GT0416,"Cantón Tzanjuyup, Lote 20",2002,16,+502 5930-7200
177,TAL_GT0700_0176,Asociación de Artesanos Xelaju Sop de Lago De Atitlan,Maestro Pedro  Fuentes,GT07,GT0700,"Cantón El Carmen, Lote 100",1981,43,+502 5306-7429
178,TAL_GT0701_0177,Taller Familiar de Arte Tradicional Utatlan en Sololá,Maestro Tomasa Chox,GT07,GT0701,"Cantón Xabajal, Lote 27",2010,23,+502 4601-8228
179,TAL_GT0702_0178,Cooperativa de Producción Artesanal Chup de R.L. (San José Chacayá),Maestro Santiago Chox,GT07,GT0702,"Cantón El Carmen, Lote 6",1975,19,+502 5073-8967
180,TAL_GT0703_0179,Asociación de Artesanos Cuchumatanes Patzun de Santa María Visitación,Maestro Tomasa Tzoc,GT07,GT0703,"Cantón Xabajal, Lote 83",2011,30,+502 5930-9724
181,TAL_GT0704_0180,Taller Familiar de Arte Tradicional Pacaya en Santa Lucía Utatlán,Maestro Rosa Ixcol,GT07,GT0704,"Cantón Centro, Lote 33",1994,28,+502 5956-8236
182,TAL_GT0705_0181,Cooperativa de Producción Artesanal Almolonga de R.L. (Nahualá),Maestro Juana Chox,GT07,GT0705,"Cantón Xabajal, Lote 5",1986,35,+502 5395-8134
183,TAL_GT0706_0182,Asociación de Artesanos Cholsamaj Ixchel de Santa Catarina Ixtahuacán,Maestro Tomasa Chox,GT07,GT0706,"Cantón Pachoc, Lote 10",1998,39,+502 4095-3812
184,TAL_GT0707_0183,Taller Familiar de Arte Tradicional Sop en Santa Clara La Laguna,Maestro Rosa Coché,GT07,GT0707,"Cantón Pachoc, Lote 22",2000,34,+502 5847-9637
185,TAL_GT0708_0184,Cooperativa de Producción Artesanal Atitlan de R.L. (Concepción),Maestro Rosa Tupul,GT07,GT0708,"Cantón El Carmen, Lote 75",1976,38,+502 4517-7741
186,TAL_GT0709_0185,Asociación de Artesanos Chup Iximche de San Andrés Semetabaj,Maestro Manuel Tzoc,GT07,GT0709,"Cantón Tzanjuyup, Lote 55",2012,18,+502 4896-2320
187,TAL_GT0710_0186,Taller Familiar de Arte Tradicional Patzun en Panajachel,Maestro Santiago Chox,GT07,GT0710,"Cantón Xabajal, Lote 59",1977,35,+502 5263-3597
188,TAL_GT0711_0187,Cooperativa de Producción Artesanal Jaspe de R.L. (Santa Catarina Palopó),Maestro Pedro  Fuentes,GT07,GT0711,"Cantón Tzanjuyup, Lote 27",2003,21,+502 4576-1633
189,TAL_GT0712_0188,Asociación de Artesanos Almolonga Hunapu de San Antonio Palopó,Maestro Manuel  Fuentes,GT07,GT0712,"Cantón Centro, Lote 22",1998,32,+502 4818-8516
190,TAL_GT0713_0189,Taller Familiar de Arte Tradicional Ixchel en San Lucas Tolimán,Maestro Juan  Fuentes,GT07,GT0713,"Cantón El Carmen, Lote 57",2020,32,+502 5405-6262
191,TAL_GT0714_0190,Cooperativa de Producción Artesanal Kiche de R.L. (Santa Cruz La Laguna),Maestro Manuel  Fuentes,GT07,GT0714,"Cantón Centro, Lote 65",1981,28,+502 4336-4582
192,TAL_GT0715_0191,Asociación de Artesanos Atitlan Mam de San Pablo La Laguna,Maestro Tomasa Chox,GT07,GT0715,"Cantón Pachoc, Lote 93",1993,36,+502 4427-8257
193,TAL_GT0716_0192,Taller Familiar de Arte Tradicional Iximche en San Marcos La Laguna,Maestro Santiago Coché,GT07,GT0716,"Cantón Centro, Lote 13",1986,33,+502 4114-3829
194,TAL_GT0717_0193,Cooperativa de Producción Artesanal Qeqchi de R.L. (San Juan La Laguna),Maestro Tomasa Chox,GT07,GT0717,"Cantón Tzanjuyup, Lote 9",2011,27,+502 5166-4291
195,TAL_GT0718_0194,Asociación de Artesanos Jaspe Popol de San Pedro La Laguna,Maestro Manuel Mazariegos,GT07,GT0718,"Cantón Pachoc, Lote 69",1986,17,+502 5706-2997
196,TAL_GT0719_0195,Taller Familiar de Arte Tradicional Hunapu en Santiago Atitlán,Maestro Pedro  Fuentes,GT07,GT0719,"Cantón Centro, Lote 18",1970,6,+502 4030-3179
197,TAL_GT0801_0196,Cooperativa de Producción Artesanal Xelaju de R.L. (Totonicapán),Maestro Juan Tzoc,GT08,GT0801,"Cantón Tzanjuyup, Lote 35",1974,21,+502 4187-4314
198,TAL_GT0802_0197,Asociación de Artesanos Kiche Utatlan de San Cristóbal Totonicapán,Maestro Santiago Mazariegos,GT08,GT0802,"Cantón Pachoc, Lote 98",1990,10,+502 4861-6115
199,TAL_GT0803_0198,Taller Familiar de Arte Tradicional Mam en San Francisco El Alto,Maestro Santiago Coché,GT08,GT0803,"Cantón El Carmen, Lote 1",1995,14,+502 4676-6626
200,TAL_GT0804_0199,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (San Andrés Xecul),Maestro Juan Coché,GT08,GT0804,"Cantón Centro, Lote 5",2014,39,+502 5482-9705
201,TAL_GT0805_0200,Asociación de Artesanos Qeqchi Pacaya de Momostenango,Maestro Tomasa Mazariegos,GT08,GT0805,"Cantón Xabajal, Lote 89",1987,16,+502 4908-8642
202,TAL_GT0806_0201,Taller Familiar de Arte Tradicional Popol en Santa María Chiquimula,Maestro Juan Tax,GT08,GT0806,"Cantón Pachoc, Lote 30",1985,42,+502 4864-3675
203,TAL_GT0807_0202,Cooperativa de Producción Artesanal Cholsamaj de R.L. (Santa Lucía La Reforma),Maestro Santiago Tupul,GT08,GT0807,"Cantón Tzanjuyup, Lote 7",2011,24,+502 5684-6888
204,TAL_GT0808_0203,Asociación de Artesanos Xelaju Sop de San Bartolo,Maestro Juan  Fuentes,GT08,GT0808,"Cantón Xabajal, Lote 50",2005,45,+502 4529-3594
205,TAL_GT0901_0204,Taller Familiar de Arte Tradicional Utatlan en Quetzaltenango,Maestro Juana Tax,GT09,GT0901,"Cantón El Carmen, Lote 39",1973,10,+502 4459-4094
206,TAL_GT0902_0205,Cooperativa de Producción Artesanal Chup de R.L. (Salcajá),Maestro Tomasa Chox,GT09,GT0902,"Cantón Centro, Lote 16",1996,43,+502 5126-7080
207,TAL_GT0903_0206,Asociación de Artesanos Cuchumatanes Patzun de Olintepeque,Maestro Tomasa Chox,GT09,GT0903,"Cantón Pachoc, Lote 5",2016,36,+502 4751-5705
208,TAL_GT0904_0207,Taller Familiar de Arte Tradicional Pacaya en San Carlos Sija,Maestro Pedro Tzoc,GT09,GT0904,"Cantón Centro, Lote 84",1977,41,+502 4501-4134
209,TAL_GT0905_0208,Cooperativa de Producción Artesanal Almolonga de R.L. (Sibilia),Maestro Manuel Chox,GT09,GT0905,"Cantón Pachoc, Lote 67",1999,12,+502 4027-9490
210,TAL_GT0906_0209,Asociación de Artesanos Cholsamaj Ixchel de Cabricán,Maestro Juana Mazariegos,GT09,GT0906,"Cantón Xabajal, Lote 47",1992,10,+502 5932-1914
211,TAL_GT0907_0210,Taller Familiar de Arte Tradicional Sop en Cajolá,Maestro Santiago Tzoc,GT09,GT0907,"Cantón Pachoc, Lote 93",1998,23,+502 4996-2036
212,TAL_GT0908_0211,Cooperativa de Producción Artesanal Atitlan de R.L. (San Miguel Sigüila),Maestro Pedro Tax,GT09,GT0908,"Cantón Pachoc, Lote 39",1999,12,+502 5924-2608
213,TAL_GT0909_0212,Asociación de Artesanos Chup Iximche de Ostuncalco,Maestro Manuel Chox,GT09,GT0909,"Cantón Tzanjuyup, Lote 46",1991,37,+502 5500-7933
214,TAL_GT0910_0213,Taller Familiar de Arte Tradicional Patzun en San Mateo,Maestro Tomasa Mazariegos,GT09,GT0910,"Cantón Centro, Lote 82",1985,43,+502 5766-4556
215,TAL_GT0911_0214,Cooperativa de Producción Artesanal Jaspe de R.L. (Concepción Chiquirichapa),Maestro Tomasa Tzoc,GT09,GT0911,"Cantón Pachoc, Lote 48",2010,31,+502 4551-7974
216,TAL_GT0912_0215,Asociación de Artesanos Almolonga Hunapu de San Martín Sacatepéquez,Maestro Manuel Coché,GT09,GT0912,"Cantón El Carmen, Lote 61",2020,33,+502 4118-3271
217,TAL_GT0913_0216,Taller Familiar de Arte Tradicional Ixchel en Almolonga,Maestro Juana Ixcol,GT09,GT0913,"Cantón Tzanjuyup, Lote 46",1977,10,+502 4601-1137
218,TAL_GT0914_0217,Cooperativa de Producción Artesanal Kiche de R.L. (Cantel),Maestro Pedro Tax,GT09,GT0914,"Cantón Pachoc, Lote 92",1989,38,+502 4424-4028
219,TAL_GT0915_0218,Asociación de Artesanos Atitlan Mam de Huitán,Maestro Manuel Ixcol,GT09,GT0915,"Cantón Pachoc, Lote 71",2005,45,+502 5507-7713
220,TAL_GT0916_0219,Taller Familiar de Arte Tradicional Iximche en Zunil,Maestro Rosa Tupul,GT09,GT0916,"Cantón El Carmen, Lote 16",2020,10,+502 4197-1431
221,TAL_GT0917_0220,Cooperativa de Producción Artesanal Qeqchi de R.L. (Colomba),Maestro Juana  Fuentes,GT09,GT0917,"Cantón Centro, Lote 13",2022,24,+502 4244-2848
222,TAL_GT0918_0221,Asociación de Artesanos Jaspe Popol de San Francisco La Unión,Maestro Juan Mazariegos,GT09,GT0918,"Cantón Tzanjuyup, Lote 77",1992,21,+502 5760-1554
223,TAL_GT0919_0222,Taller Familiar de Arte Tradicional Hunapu en El Palmar,Maestro Santiago Chox,GT09,GT0919,"Cantón Centro, Lote 16",1996,43,+502 5933-3993
224,TAL_GT0920_0223,Cooperativa de Producción Artesanal Xelaju de R.L. (Coatepeque),Maestro María  Fuentes,GT09,GT0920,"Cantón Centro, Lote 63",2014,29,+502 4019-5283
225,TAL_GT0921_0224,Asociación de Artesanos Kiche Utatlan de Génova,Maestro Juana Tupul,GT09,GT0921,"Cantón Pachoc, Lote 67",1978,6,+502 5975-8606
226,TAL_GT0922_0225,Taller Familiar de Arte Tradicional Mam en Flores Costa Cuca,Maestro Juan Tzoc,GT09,GT0922,"Cantón Xabajal, Lote 82",2010,11,+502 4572-3667
227,TAL_GT0923_0226,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (La Esperanza),Maestro Santiago Ixcol,GT09,GT0923,"Cantón El Carmen, Lote 60",2007,13,+502 5809-6692
228,TAL_GT0924_0227,Asociación de Artesanos Qeqchi Pacaya de Palestina de Los Altos,Maestro Pedro Tzoc,GT09,GT0924,"Cantón Centro, Lote 18",2008,23,+502 5433-3946
229,TAL_GT1201_0228,Taller Familiar de Arte Tradicional Popol en San Marcos,Maestro Juana Tzoc,GT12,GT1201,"Cantón Centro, Lote 33",2011,5,+502 4346-6244
230,TAL_GT1202_0229,Cooperativa de Producción Artesanal Cholsamaj de R.L. (San Pedro Sacatepéquez),Maestro Tomasa Mazariegos,GT12,GT1202,"Cantón Centro, Lote 79",1979,8,+502 4479-2656
231,TAL_GT1203_0230,Asociación de Artesanos Xelaju Sop de San Antonio Sacatepéquez,Maestro Juan Tax,GT12,GT1203,"Cantón Centro, Lote 66",2005,33,+502 5686-7933
232,TAL_GT1204_0231,Taller Familiar de Arte Tradicional Utatlan en Comitancillo,Maestro Santiago Ixcol,GT12,GT1204,"Cantón Tzanjuyup, Lote 61",1998,14,+502 5169-2672
233,TAL_GT1205_0232,Cooperativa de Producción Artesanal Chup de R.L. (San Miguel Ixtahuacán),Maestro Juan Tax,GT12,GT1205,"Cantón Centro, Lote 25",2005,21,+502 5379-1709
234,TAL_GT1206_0233,Asociación de Artesanos Cuchumatanes Patzun de Concepción Tutuapa,Maestro María Coché,GT12,GT1206,"Cantón Pachoc, Lote 1",1986,26,+502 5163-6818
235,TAL_GT1207_0234,Taller Familiar de Arte Tradicional Pacaya en Tacaná,Maestro Juan Chox,GT12,GT1207,"Cantón Centro, Lote 74",1999,9,+502 4251-2935
236,TAL_GT1208_0235,Cooperativa de Producción Artesanal Almolonga de R.L. (Sibinal),Maestro Pedro Tupul,GT12,GT1208,"Cantón Tzanjuyup, Lote 61",2010,24,+502 4256-7250
237,TAL_GT1209_0236,Asociación de Artesanos Cholsamaj Ixchel de Tajumulco,Maestro Rosa Ixcol,GT12,GT1209,"Cantón Centro, Lote 98",2022,30,+502 4054-9295
238,TAL_GT1210_0237,Taller Familiar de Arte Tradicional Sop en Tejutla,Maestro Juan Tupul,GT12,GT1210,"Cantón Centro, Lote 21",2008,16,+502 5456-4110
239,TAL_GT1211_0238,Cooperativa de Producción Artesanal Atitlan de R.L. (San Rafael Pie de la Cuesta),Maestro María Tupul,GT12,GT1211,"Cantón Pachoc, Lote 55",1979,19,+502 4357-1429
240,TAL_GT1212_0239,Asociación de Artesanos Chup Iximche de Nuevo Progreso,Maestro Rosa  Fuentes,GT12,GT1212,"Cantón Pachoc, Lote 87",1971,35,+502 5780-5009
241,TAL_GT1213_0240,Taller Familiar de Arte Tradicional Patzun en El Tumbador,Maestro Santiago Tax,GT12,GT1213,"Cantón Tzanjuyup, Lote 1",1998,45,+502 5116-1861
242,TAL_GT1214_0241,Cooperativa de Producción Artesanal Jaspe de R.L. (El Rodeo),Maestro Rosa Mazariegos,GT12,GT1214,"Cantón El Carmen, Lote 29",2018,5,+502 5581-5483
243,TAL_GT1215_0242,Asociación de Artesanos Almolonga Hunapu de Malacatán,Maestro Tomasa Tupul,GT12,GT1215,"Cantón Pachoc, Lote 65",1996,37,+502 4613-1157
244,TAL_GT1216_0243,Taller Familiar de Arte Tradicional Ixchel en Catarina,Maestro María Chox,GT12,GT1216,"Cantón Tzanjuyup, Lote 58",2013,27,+502 5351-5540
245,TAL_GT1217_0244,Cooperativa de Producción Artesanal Kiche de R.L. (Ayutla),Maestro Tomasa  Fuentes,GT12,GT1217,"Cantón El Carmen, Lote 65",1973,24,+502 5496-8075
246,TAL_GT1218_0245,Asociación de Artesanos Atitlan Mam de Ocós,Maestro Juan Tax,GT12,GT1218,"Cantón El Carmen, Lote 1",2021,30,+502 4291-4898
247,TAL_GT1219_0246,Taller Familiar de Arte Tradicional Iximche en San Pablo,Maestro María  Fuentes,GT12,GT1219,"Cantón Tzanjuyup, Lote 64",2013,30,+502 4255-6264
248,TAL_GT1220_0247,Cooperativa de Producción Artesanal Qeqchi de R.L. (El Quetzal),Maestro Rosa Mazariegos,GT12,GT1220,"Cantón Xabajal, Lote 75",1993,36,+502 4363-7424
249,TAL_GT1221_0248,Asociación de Artesanos Jaspe Popol de La Reforma,Maestro María Chox,GT12,GT1221,"Cantón Centro, Lote 31",1978,25,+502 4212-6585
250,TAL_GT1222_0249,Taller Familiar de Arte Tradicional Hunapu en Pajapita,Maestro María Tzoc,GT12,GT1222,"Cantón Pachoc, Lote 88",1984,30,+502 5777-8739
251,TAL_GT1223_0250,Cooperativa de Producción Artesanal Xelaju de R.L. (Ixchiguán),Maestro María Tax,GT12,GT1223,"Cantón Tzanjuyup, Lote 70",1970,18,+502 5221-4231
252,TAL_GT1224_0251,Asociación de Artesanos Kiche Utatlan de San José Ojetenam,Maestro Manuel  Fuentes,GT12,GT1224,"Cantón Centro, Lote 98",1989,36,+502 4181-3127
253,TAL_GT1225_0252,Taller Familiar de Arte Tradicional Mam en San Cristóbal Cucho,Maestro Juana  Fuentes,GT12,GT1225,"Cantón Tzanjuyup, Lote 61",1987,20,+502 5341-7863
254,TAL_GT1226_0253,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (Sipacapa),Maestro Juan Mazariegos,GT12,GT1226,"Cantón Xabajal, Lote 97",2009,10,+502 5968-2557
255,TAL_GT1227_0254,Asociación de Artesanos Qeqchi Pacaya de Esquipulas Palo Gordo,Maestro Juana Tax,GT12,GT1227,"Cantón Tzanjuyup, Lote 4",1993,43,+502 4121-8631
256,TAL_GT1228_0255,Taller Familiar de Arte Tradicional Popol en Río Blanco,Maestro Rosa Tzoc,GT12,GT1228,"Cantón Pachoc, Lote 23",2017,32,+502 4820-2162
257,TAL_GT1229_0256,Cooperativa de Producción Artesanal Cholsamaj de R.L. (San Lorenzo),Maestro María Coché,GT12,GT1229,"Cantón Tzanjuyup, Lote 80",2013,16,+502 5058-4264
258,TAL_GT1230_0257,Asociación de Artesanos Xelaju Sop de La Blanca,Maestro Santiago Mazariegos,GT12,GT1230,"Cantón Pachoc, Lote 31",1995,13,+502 4806-6157
259,TAL_GT1301_0258,Taller Familiar de Arte Tradicional Utatlan en Huehuetenango,Maestro Rosa Tzoc,GT13,GT1301,"Cantón Centro, Lote 60",1987,28,+502 5279-7532
260,TAL_GT1302_0259,Cooperativa de Producción Artesanal Chup de R.L. (Chiantla),Maestro María Tax,GT13,GT1302,"Cantón Centro, Lote 47",2002,10,+502 4590-6584
261,TAL_GT1303_0260,Asociación de Artesanos Cuchumatanes Patzun de Malacatancito,Maestro Juan Mazariegos,GT13,GT1303,"Cantón Xabajal, Lote 61",1979,12,+502 5544-8428
262,TAL_GT1304_0261,Taller Familiar de Arte Tradicional Pacaya en Cuilco,Maestro Juan  Fuentes,GT13,GT1304,"Cantón Pachoc, Lote 89",1975,28,+502 5685-5978
263,TAL_GT1305_0262,Cooperativa de Producción Artesanal Almolonga de R.L. (Nentón),Maestro Juana Mazariegos,GT13,GT1305,"Cantón Xabajal, Lote 58",2007,31,+502 4027-9565
264,TAL_GT1306_0263,Asociación de Artesanos Cholsamaj Ixchel de San Pedro Necta,Maestro María Mazariegos,GT13,GT1306,"Cantón El Carmen, Lote 46",2019,24,+502 4028-7866
265,TAL_GT1307_0264,Taller Familiar de Arte Tradicional Sop en Jacaltenango,Maestro María Mazariegos,GT13,GT1307,"Cantón El Carmen, Lote 75",2003,43,+502 4469-2459
266,TAL_GT1308_0265,Cooperativa de Producción Artesanal Atitlan de R.L. (Soloma),Maestro Manuel Ixcol,GT13,GT1308,"Cantón Xabajal, Lote 5",2007,12,+502 5601-4236
267,TAL_GT1309_0266,Asociación de Artesanos Chup Iximche de Ixtahuacán,Maestro Juan Mazariegos,GT13,GT1309,"Cantón Pachoc, Lote 42",1995,15,+502 4862-1663
268,TAL_GT1310_0267,Taller Familiar de Arte Tradicional Patzun en Santa Bárbara,Maestro Tomasa Coché,GT13,GT1310,"Cantón Tzanjuyup, Lote 44",2000,29,+502 5741-7908
269,TAL_GT1311_0268,Cooperativa de Producción Artesanal Jaspe de R.L. (La Libertad),Maestro Rosa Tupul,GT13,GT1311,"Cantón Centro, Lote 14",2022,35,+502 5116-2093
270,TAL_GT1312_0269,Asociación de Artesanos Almolonga Hunapu de La Democracia,Maestro Santiago Tupul,GT13,GT1312,"Cantón Xabajal, Lote 6",1995,28,+502 5967-7126
271,TAL_GT1313_0270,Taller Familiar de Arte Tradicional Ixchel en San Miguel Acatán,Maestro Santiago Chox,GT13,GT1313,"Cantón Tzanjuyup, Lote 62",2011,6,+502 5953-1000
272,TAL_GT1314_0271,Cooperativa de Producción Artesanal Kiche de R.L. (San Rafael La Independencia),Maestro Santiago Tax,GT13,GT1314,"Cantón Tzanjuyup, Lote 29",1989,7,+502 4837-5857
273,TAL_GT1315_0272,Asociación de Artesanos Atitlan Mam de Todos Santos Cuchumatán,Maestro Pedro Tax,GT13,GT1315,"Cantón Pachoc, Lote 69",1976,31,+502 4086-4333
274,TAL_GT1316_0273,Taller Familiar de Arte Tradicional Iximche en San Juan Atitán,Maestro María Tzoc,GT13,GT1316,"Cantón Pachoc, Lote 54",1999,22,+502 4521-1628
275,TAL_GT1317_0274,Cooperativa de Producción Artesanal Qeqchi de R.L. (Santa Eulalia),Maestro Tomasa Ixcol,GT13,GT1317,"Cantón Xabajal, Lote 95",1970,14,+502 4183-8805
276,TAL_GT1318_0275,Asociación de Artesanos Jaspe Popol de San Mateo Ixtatán,Maestro Santiago Tupul,GT13,GT1318,"Cantón El Carmen, Lote 59",1978,8,+502 5974-9153
277,TAL_GT1319_0276,Taller Familiar de Arte Tradicional Hunapu en Colotenango,Maestro Manuel Tax,GT13,GT1319,"Cantón Centro, Lote 100",2002,17,+502 5263-3638
278,TAL_GT1320_0277,Cooperativa de Producción Artesanal Xelaju de R.L. (San Sebastián Huehuetenango),Maestro Tomasa Tax,GT13,GT1320,"Cantón Centro, Lote 49",2005,21,+502 5283-8356
279,TAL_GT1321_0278,Asociación de Artesanos Kiche Utatlan de Tectitán,Maestro María Tupul,GT13,GT1321,"Cantón El Carmen, Lote 19",2007,45,+502 5425-9747
280,TAL_GT1322_0279,Taller Familiar de Arte Tradicional Mam en Concepción Huista,Maestro Pedro  Fuentes,GT13,GT1322,"Cantón Tzanjuyup, Lote 63",1995,41,+502 5193-1547
281,TAL_GT1323_0280,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (San Juan Ixcoy),Maestro Juana Tzoc,GT13,GT1323,"Cantón Pachoc, Lote 83",2008,13,+502 5479-3571
282,TAL_GT1324_0281,Asociación de Artesanos Qeqchi Pacaya de San Antonio Huista,Maestro María Ixcol,GT13,GT1324,"Cantón El Carmen, Lote 23",2011,28,+502 5227-9652
283,TAL_GT1325_0282,Taller Familiar de Arte Tradicional Popol en San Sebastián Coatán,Maestro Juan Coché,GT13,GT1325,"Cantón Xabajal, Lote 27",2007,44,+502 5574-5173
