id_tecnica,codigo,nombre,origen_historico,descripcion
241,TELAR_CINTURA_GT0713,Telar de Cintura de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Lucas Tolimán.
242,TELAR_PIE_GT0713,Telar de Pie de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Lucas Tolimán.
243,JASPEADO_HILO_GT0713,Jaspeado de Hilos de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Lucas Tolimán.
244,BARRO_MODELADO_GT0713,Barro Modelado a Mano de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Lucas Tolimán."
245,BARRO_TORNO_GT0713,Barro en Torno de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Lucas Tolimán.
246,TALLADO_CEDRO_GT0713,Tallado en Madera de Cedro de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Lucas Tolimán.
247,JADE_PULIDO_GT0713,Pulido de Jade de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Lucas Tolimán.
248,AFINACION_ACUSTICA_GT0713,Afinación Acústica de Teclados de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Lucas Tolimán.
249,PINTURA_PRIMITIVA_GT0713,Pintura Primitivista de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Lucas Tolimán.
250,TEJIDO_MIMBRE_GT0713,Tejido en Fibras de Mimbre de San Lucas Tolimán,Técnica heredada de generación en generación en San Lucas Tolimán.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Lucas Tolimán.
251,TELAR_CINTURA_GT0714,Telar de Cintura de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Santa Cruz La Laguna.
252,TELAR_PIE_GT0714,Telar de Pie de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Santa Cruz La Laguna.
253,JASPEADO_HILO_GT0714,Jaspeado de Hilos de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Santa Cruz La Laguna.
254,BARRO_MODELADO_GT0714,Barro Modelado a Mano de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Santa Cruz La Laguna."
255,BARRO_TORNO_GT0714,Barro en Torno de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Santa Cruz La Laguna.
256,TALLADO_CEDRO_GT0714,Tallado en Madera de Cedro de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Santa Cruz La Laguna.
257,JADE_PULIDO_GT0714,Pulido de Jade de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Santa Cruz La Laguna.
258,AFINACION_ACUSTICA_GT0714,Afinación Acústica de Teclados de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Santa Cruz La Laguna.
259,PINTURA_PRIMITIVA_GT0714,Pintura Primitivista de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Santa Cruz La Laguna.
260,TEJIDO_MIMBRE_GT0714,Tejido en Fibras de Mimbre de Santa Cruz La Laguna,Técnica heredada de generación en generación en Santa Cruz La Laguna.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Santa Cruz La Laguna.
261,TELAR_CINTURA_GT0715,Telar de Cintura de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Pablo La Laguna.
262,TELAR_PIE_GT0715,Telar de Pie de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Pablo La Laguna.
263,JASPEADO_HILO_GT0715,Jaspeado de Hilos de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Pablo La Laguna.
264,BARRO_MODELADO_GT0715,Barro Modelado a Mano de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Pablo La Laguna."
265,BARRO_TORNO_GT0715,Barro en Torno de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Pablo La Laguna.
266,TALLADO_CEDRO_GT0715,Tallado en Madera de Cedro de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Pablo La Laguna.
267,JADE_PULIDO_GT0715,Pulido de Jade de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Pablo La Laguna.
268,AFINACION_ACUSTICA_GT0715,Afinación Acústica de Teclados de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Pablo La Laguna.
269,PINTURA_PRIMITIVA_GT0715,Pintura Primitivista de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Pablo La Laguna.
270,TEJIDO_MIMBRE_GT0715,Tejido en Fibras de Mimbre de San Pablo La Laguna,Técnica heredada de generación en generación en San Pablo La Laguna.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Pablo La Laguna.
271,TELAR_CINTURA_GT0716,Telar de Cintura de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Marcos La Laguna.
272,TELAR_PIE_GT0716,Telar de Pie de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Marcos La Laguna.
273,JASPEADO_HILO_GT0716,Jaspeado de Hilos de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Marcos La Laguna.
274,BARRO_MODELADO_GT0716,Barro Modelado a Mano de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Marcos La Laguna."
275,BARRO_TORNO_GT0716,Barro en Torno de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Marcos La Laguna.
276,TALLADO_CEDRO_GT0716,Tallado en Madera de Cedro de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Marcos La Laguna.
277,JADE_PULIDO_GT0716,Pulido de Jade de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Marcos La Laguna.
278,AFINACION_ACUSTICA_GT0716,Afinación Acústica de Teclados de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Marcos La Laguna.
279,PINTURA_PRIMITIVA_GT0716,Pintura Primitivista de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Marcos La Laguna.
280,TEJIDO_MIMBRE_GT0716,Tejido en Fibras de Mimbre de San Marcos La Laguna,Técnica heredada de generación en generación en San Marcos La Laguna.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Marcos La Laguna.
281,TELAR_CINTURA_GT0717,Telar de Cintura de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Juan La Laguna.
282,TELAR_PIE_GT0717,Telar de Pie de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Juan La Laguna.
283,JASPEADO_HILO_GT0717,Jaspeado de Hilos de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Juan La Laguna.
284,BARRO_MODELADO_GT0717,Barro Modelado a Mano de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Juan La Laguna."
285,BARRO_TORNO_GT0717,Barro en Torno de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Juan La Laguna.
286,TALLADO_CEDRO_GT0717,Tallado en Madera de Cedro de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Juan La Laguna.
287,JADE_PULIDO_GT0717,Pulido de Jade de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Juan La Laguna.
288,AFINACION_ACUSTICA_GT0717,Afinación Acústica de Teclados de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Juan La Laguna.
289,PINTURA_PRIMITIVA_GT0717,Pintura Primitivista de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Juan La Laguna.
290,TEJIDO_MIMBRE_GT0717,Tejido en Fibras de Mimbre de San Juan La Laguna,Técnica heredada de generación en generación en San Juan La Laguna.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Juan La Laguna.
291,TELAR_CINTURA_GT0718,Telar de Cintura de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Pedro La Laguna.
292,TELAR_PIE_GT0718,Telar de Pie de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Pedro La Laguna.
293,JASPEADO_HILO_GT0718,Jaspeado de Hilos de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Pedro La Laguna.
294,BARRO_MODELADO_GT0718,Barro Modelado a Mano de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Pedro La Laguna."
295,BARRO_TORNO_GT0718,Barro en Torno de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Pedro La Laguna.
296,TALLADO_CEDRO_GT0718,Tallado en Madera de Cedro de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Pedro La Laguna.
297,JADE_PULIDO_GT0718,Pulido de Jade de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Pedro La Laguna.
298,AFINACION_ACUSTICA_GT0718,Afinación Acústica de Teclados de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Pedro La Laguna.
299,PINTURA_PRIMITIVA_GT0718,Pintura Primitivista de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Pedro La Laguna.
300,TEJIDO_MIMBRE_GT0718,Tejido en Fibras de Mimbre de San Pedro La Laguna,Técnica heredada de generación en generación en San Pedro La Laguna.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Pedro La Laguna.
301,TELAR_CINTURA_GT0719,Telar de Cintura de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Santiago Atitlán.
302,TELAR_PIE_GT0719,Telar de Pie de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Santiago Atitlán.
303,JASPEADO_HILO_GT0719,Jaspeado de Hilos de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Santiago Atitlán.
304,BARRO_MODELADO_GT0719,Barro Modelado a Mano de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Santiago Atitlán."
305,BARRO_TORNO_GT0719,Barro en Torno de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Santiago Atitlán.
306,TALLADO_CEDRO_GT0719,Tallado en Madera de Cedro de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Santiago Atitlán.
307,JADE_PULIDO_GT0719,Pulido de Jade de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Santiago Atitlán.
308,AFINACION_ACUSTICA_GT0719,Afinación Acústica de Teclados de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Santiago Atitlán.
309,PINTURA_PRIMITIVA_GT0719,Pintura Primitivista de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Santiago Atitlán.
310,TEJIDO_MIMBRE_GT0719,Tejido en Fibras de Mimbre de Santiago Atitlán,Técnica heredada de generación en generación en Santiago Atitlán.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Santiago Atitlán.
311,TELAR_CINTURA_GT0801,Telar de Cintura de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Totonicapán.
312,TELAR_PIE_GT0801,Telar de Pie de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Totonicapán.
313,JASPEADO_HILO_GT0801,Jaspeado de Hilos de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Totonicapán.
314,BARRO_MODELADO_GT0801,Barro Modelado a Mano de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Totonicapán."
315,BARRO_TORNO_GT0801,Barro en Torno de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Totonicapán.
316,TALLADO_CEDRO_GT0801,Tallado en Madera de Cedro de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Totonicapán.
317,JADE_PULIDO_GT0801,Pulido de Jade de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Totonicapán.
318,AFINACION_ACUSTICA_GT0801,Afinación Acústica de Teclados de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Totonicapán.
319,PINTURA_PRIMITIVA_GT0801,Pintura Primitivista de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Totonicapán.
320,TEJIDO_MIMBRE_GT0801,Tejido en Fibras de Mimbre de Totonicapán,Técnica heredada de generación en generación en Totonicapán.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Totonicapán.
321,TELAR_CINTURA_GT0802,Telar de Cintura de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Cristóbal Totonicapán.
322,TELAR_PIE_GT0802,Telar de Pie de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Cristóbal Totonicapán.
323,JASPEADO_HILO_GT0802,Jaspeado de Hilos de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Cristóbal Totonicapán.
324,BARRO_MODELADO_GT0802,Barro Modelado a Mano de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Cristóbal Totonicapán."
325,BARRO_TORNO_GT0802,Barro en Torno de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Cristóbal Totonicapán.
326,TALLADO_CEDRO_GT0802,Tallado en Madera de Cedro de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Cristóbal Totonicapán.
327,JADE_PULIDO_GT0802,Pulido de Jade de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Cristóbal Totonicapán.
328,AFINACION_ACUSTICA_GT0802,Afinación Acústica de Teclados de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Cristóbal Totonicapán.
329,PINTURA_PRIMITIVA_GT0802,Pintura Primitivista de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Cristóbal Totonicapán.
330,TEJIDO_MIMBRE_GT0802,Tejido en Fibras de Mimbre de San Cristóbal Totonicapán,Técnica heredada de generación en generación en San Cristóbal Totonicapán.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Cristóbal Totonicapán.
331,TELAR_CINTURA_GT0803,Telar de Cintura de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Francisco El Alto.
332,TELAR_PIE_GT0803,Telar de Pie de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Francisco El Alto.
333,JASPEADO_HILO_GT0803,Jaspeado de Hilos de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Francisco El Alto.
334,BARRO_MODELADO_GT0803,Barro Modelado a Mano de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Francisco El Alto."
335,BARRO_TORNO_GT0803,Barro en Torno de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Francisco El Alto.
336,TALLADO_CEDRO_GT0803,Tallado en Madera de Cedro de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Francisco El Alto.
337,JADE_PULIDO_GT0803,Pulido de Jade de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Francisco El Alto.
338,AFINACION_ACUSTICA_GT0803,Afinación Acústica de Teclados de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Francisco El Alto.
339,PINTURA_PRIMITIVA_GT0803,Pintura Primitivista de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Francisco El Alto.
340,TEJIDO_MIMBRE_GT0803,Tejido en Fibras de Mimbre de San Francisco El Alto,Técnica heredada de generación en generación en San Francisco El Alto.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Francisco El Alto.
341,TELAR_CINTURA_GT0804,Telar de Cintura de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Andrés Xecul.
342,TELAR_PIE_GT0804,Telar de Pie de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Andrés Xecul.
343,JASPEADO_HILO_GT0804,Jaspeado de Hilos de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Andrés Xecul.
344,BARRO_MODELADO_GT0804,Barro Modelado a Mano de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Andrés Xecul."
345,BARRO_TORNO_GT0804,Barro en Torno de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Andrés Xecul.
346,TALLADO_CEDRO_GT0804,Tallado en Madera de Cedro de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Andrés Xecul.
347,JADE_PULIDO_GT0804,Pulido de Jade de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Andrés Xecul.
348,AFINACION_ACUSTICA_GT0804,Afinación Acústica de Teclados de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Andrés Xecul.
349,PINTURA_PRIMITIVA_GT0804,Pintura Primitivista de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Andrés Xecul.
350,TEJIDO_MIMBRE_GT0804,Tejido en Fibras de Mimbre de San Andrés Xecul,Técnica heredada de generación en generación en San Andrés Xecul.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Andrés Xecul.
351,TELAR_CINTURA_GT0805,Telar de Cintura de Momostenango,Técnica heredada de generación en generación en Momostenango.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Momostenango.
352,TELAR_PIE_GT0805,Telar de Pie de Momostenango,Técnica heredada de generación en generación en Momostenango.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Momostenango.
353,JASPEADO_HILO_GT0805,Jaspeado de Hilos de Momostenango,Técnica heredada de generación en generación en Momostenango.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Momostenango.
354,BARRO_MODELADO_GT0805,Barro Modelado a Mano de Momostenango,Técnica heredada de generación en generación en Momostenango.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Momostenango."
355,BARRO_TORNO_GT0805,Barro en Torno de Momostenango,Técnica heredada de generación en generación en Momostenango.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Momostenango.
356,TALLADO_CEDRO_GT0805,Tallado en Madera de Cedro de Momostenango,Técnica heredada de generación en generación en Momostenango.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Momostenango.
357,JADE_PULIDO_GT0805,Pulido de Jade de Momostenango,Técnica heredada de generación en generación en Momostenango.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Momostenango.
358,AFINACION_ACUSTICA_GT0805,Afinación Acústica de Teclados de Momostenango,Técnica heredada de generación en generación en Momostenango.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Momostenango.
359,PINTURA_PRIMITIVA_GT0805,Pintura Primitivista de Momostenango,Técnica heredada de generación en generación en Momostenango.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Momostenango.
