id_material,codigo,nombre,descripcion
160,PINTURA_ACRILICA_GT0711,Pintura Acrílica Profesional Seleccionado de Santa Catarina Palopó,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
161,ALGODON_BLANCO_GT0712,Hilo de Algodón Blanco Seleccionado de San Antonio Palopó,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
162,ALGODON_CUYUSCATE_GT0712,Hilo de Algodón Cuyuscate Natural Seleccionado de San Antonio Palopó,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
163,BARRO_ROJO_GT0712,Arcilla de Barro Rojo Seleccionado de San Antonio Palopó,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
164,JADE_JADEITA_GT0712,Jadeita Verde Seleccionado de San Antonio Palopó,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
165,MADERA_HORMIGO_GT0712,Madera de Hormigo Seleccionado de San Antonio Palopó,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
166,MADERA_CEDRO_GT0712,Madera de Cedro Seleccionado de San Antonio Palopó,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
167,TINTE_NATURAL_MANZANILLA_GT0712,Tinte Orgánico de Manzanilla de San Antonio Palopó,Tinte de origen vegetal/animal obtenido de Manzanilla en San Antonio Palopó.
168,LANA_OVEJA_GT0712,Lana de Oveja Natural Seleccionado de San Antonio Palopó,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
169,FIBRA_MIMBRE_GT0712,Fibras de Mimbre Seleccionado de San Antonio Palopó,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
170,PINTURA_ACRILICA_GT0712,Pintura Acrílica Profesional Seleccionado de San Antonio Palopó,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Antonio Palopó.
171,ALGODON_BLANCO_GT0713,Hilo de Algodón Blanco Seleccionado de San Lucas Tolimán,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
172,ALGODON_CUYUSCATE_GT0713,Hilo de Algodón Cuyuscate Natural Seleccionado de San Lucas Tolimán,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
173,BARRO_ROJO_GT0713,Arcilla de Barro Rojo Seleccionado de San Lucas Tolimán,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
174,JADE_JADEITA_GT0713,Jadeita Verde Seleccionado de San Lucas Tolimán,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
175,MADERA_HORMIGO_GT0713,Madera de Hormigo Seleccionado de San Lucas Tolimán,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
176,MADERA_CEDRO_GT0713,Madera de Cedro Seleccionado de San Lucas Tolimán,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
177,TINTE_NATURAL_MORAS_GT0713,Tinte Orgánico de Moras de San Lucas Tolimán,Tinte de origen vegetal/animal obtenido de Moras en San Lucas Tolimán.
178,LANA_OVEJA_GT0713,Lana de Oveja Natural Seleccionado de San Lucas Tolimán,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
179,FIBRA_MIMBRE_GT0713,Fibras de Mimbre Seleccionado de San Lucas Tolimán,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
180,PINTURA_ACRILICA_GT0713,Pintura Acrílica Profesional Seleccionado de San Lucas Tolimán,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Lucas Tolimán.
181,ALGODON_BLANCO_GT0714,Hilo de Algodón Blanco Seleccionado de Santa Cruz La Laguna,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
182,ALGODON_CUYUSCATE_GT0714,Hilo de Algodón Cuyuscate Natural Seleccionado de Santa Cruz La Laguna,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
183,BARRO_ROJO_GT0714,Arcilla de Barro Rojo Seleccionado de Santa Cruz La Laguna,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
184,JADE_JADEITA_GT0714,Jadeita Verde Seleccionado de Santa Cruz La Laguna,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
185,MADERA_HORMIGO_GT0714,Madera de Hormigo Seleccionado de Santa Cruz La Laguna,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
186,MADERA_CEDRO_GT0714,Madera de Cedro Seleccionado de Santa Cruz La Laguna,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
187,TINTE_NATURAL_CAMPANILLA_GT0714,Tinte Orgánico de Campanilla de Santa Cruz La Laguna,Tinte de origen vegetal/animal obtenido de Campanilla en Santa Cruz La Laguna.
188,LANA_OVEJA_GT0714,Lana de Oveja Natural Seleccionado de Santa Cruz La Laguna,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
189,FIBRA_MIMBRE_GT0714,Fibras de Mimbre Seleccionado de Santa Cruz La Laguna,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
190,PINTURA_ACRILICA_GT0714,Pintura Acrílica Profesional Seleccionado de Santa Cruz La Laguna,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santa Cruz La Laguna.
191,ALGODON_BLANCO_GT0715,Hilo de Algodón Blanco Seleccionado de San Pablo La Laguna,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
192,ALGODON_CUYUSCATE_GT0715,Hilo de Algodón Cuyuscate Natural Seleccionado de San Pablo La Laguna,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
193,BARRO_ROJO_GT0715,Arcilla de Barro Rojo Seleccionado de San Pablo La Laguna,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
194,JADE_JADEITA_GT0715,Jadeita Verde Seleccionado de San Pablo La Laguna,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
195,MADERA_HORMIGO_GT0715,Madera de Hormigo Seleccionado de San Pablo La Laguna,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
196,MADERA_CEDRO_GT0715,Madera de Cedro Seleccionado de San Pablo La Laguna,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
197,TINTE_NATURAL_CANELA_GT0715,Tinte Orgánico de Canela de San Pablo La Laguna,Tinte de origen vegetal/animal obtenido de Canela en San Pablo La Laguna.
198,LANA_OVEJA_GT0715,Lana de Oveja Natural Seleccionado de San Pablo La Laguna,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
199,FIBRA_MIMBRE_GT0715,Fibras de Mimbre Seleccionado de San Pablo La Laguna,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
200,PINTURA_ACRILICA_GT0715,Pintura Acrílica Profesional Seleccionado de San Pablo La Laguna,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Pablo La Laguna.
201,ALGODON_BLANCO_GT0716,Hilo de Algodón Blanco Seleccionado de San Marcos La Laguna,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
202,ALGODON_CUYUSCATE_GT0716,Hilo de Algodón Cuyuscate Natural Seleccionado de San Marcos La Laguna,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
203,BARRO_ROJO_GT0716,Arcilla de Barro Rojo Seleccionado de San Marcos La Laguna,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
204,JADE_JADEITA_GT0716,Jadeita Verde Seleccionado de San Marcos La Laguna,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
205,MADERA_HORMIGO_GT0716,Madera de Hormigo Seleccionado de San Marcos La Laguna,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
206,MADERA_CEDRO_GT0716,Madera de Cedro Seleccionado de San Marcos La Laguna,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
207,TINTE_NATURAL_COCHINILLA_GT0716,Tinte Orgánico de Cochinilla de San Marcos La Laguna,Tinte de origen vegetal/animal obtenido de Cochinilla en San Marcos La Laguna.
208,LANA_OVEJA_GT0716,Lana de Oveja Natural Seleccionado de San Marcos La Laguna,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
209,FIBRA_MIMBRE_GT0716,Fibras de Mimbre Seleccionado de San Marcos La Laguna,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
210,PINTURA_ACRILICA_GT0716,Pintura Acrílica Profesional Seleccionado de San Marcos La Laguna,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Marcos La Laguna.
211,ALGODON_BLANCO_GT0717,Hilo de Algodón Blanco Seleccionado de San Juan La Laguna,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
212,ALGODON_CUYUSCATE_GT0717,Hilo de Algodón Cuyuscate Natural Seleccionado de San Juan La Laguna,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
213,BARRO_ROJO_GT0717,Arcilla de Barro Rojo Seleccionado de San Juan La Laguna,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
214,JADE_JADEITA_GT0717,Jadeita Verde Seleccionado de San Juan La Laguna,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
215,MADERA_HORMIGO_GT0717,Madera de Hormigo Seleccionado de San Juan La Laguna,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
216,MADERA_CEDRO_GT0717,Madera de Cedro Seleccionado de San Juan La Laguna,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
217,TINTE_NATURAL_AÑIL_GT0717,Tinte Orgánico de Añil de San Juan La Laguna,Tinte de origen vegetal/animal obtenido de Añil en San Juan La Laguna.
218,LANA_OVEJA_GT0717,Lana de Oveja Natural Seleccionado de San Juan La Laguna,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
219,FIBRA_MIMBRE_GT0717,Fibras de Mimbre Seleccionado de San Juan La Laguna,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
220,PINTURA_ACRILICA_GT0717,Pintura Acrílica Profesional Seleccionado de San Juan La Laguna,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Juan La Laguna.
221,ALGODON_BLANCO_GT0718,Hilo de Algodón Blanco Seleccionado de San Pedro La Laguna,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
222,ALGODON_CUYUSCATE_GT0718,Hilo de Algodón Cuyuscate Natural Seleccionado de San Pedro La Laguna,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
223,BARRO_ROJO_GT0718,Arcilla de Barro Rojo Seleccionado de San Pedro La Laguna,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
224,JADE_JADEITA_GT0718,Jadeita Verde Seleccionado de San Pedro La Laguna,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
225,MADERA_HORMIGO_GT0718,Madera de Hormigo Seleccionado de San Pedro La Laguna,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
226,MADERA_CEDRO_GT0718,Madera de Cedro Seleccionado de San Pedro La Laguna,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
227,TINTE_NATURAL_PALO_DE_CAMPECHE_GT0718,Tinte Orgánico de Palo de Campeche de San Pedro La Laguna,Tinte de origen vegetal/animal obtenido de Palo de Campeche en San Pedro La Laguna.
228,LANA_OVEJA_GT0718,Lana de Oveja Natural Seleccionado de San Pedro La Laguna,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
229,FIBRA_MIMBRE_GT0718,Fibras de Mimbre Seleccionado de San Pedro La Laguna,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
230,PINTURA_ACRILICA_GT0718,Pintura Acrílica Profesional Seleccionado de San Pedro La Laguna,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Pedro La Laguna.
231,ALGODON_BLANCO_GT0719,Hilo de Algodón Blanco Seleccionado de Santiago Atitlán,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
232,ALGODON_CUYUSCATE_GT0719,Hilo de Algodón Cuyuscate Natural Seleccionado de Santiago Atitlán,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
233,BARRO_ROJO_GT0719,Arcilla de Barro Rojo Seleccionado de Santiago Atitlán,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
234,JADE_JADEITA_GT0719,Jadeita Verde Seleccionado de Santiago Atitlán,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
235,MADERA_HORMIGO_GT0719,Madera de Hormigo Seleccionado de Santiago Atitlán,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
236,MADERA_CEDRO_GT0719,Madera de Cedro Seleccionado de Santiago Atitlán,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
237,TINTE_NATURAL_SACCHIL_GT0719,Tinte Orgánico de Sacchil de Santiago Atitlán,Tinte de origen vegetal/animal obtenido de Sacchil en Santiago Atitlán.
238,LANA_OVEJA_GT0719,Lana de Oveja Natural Seleccionado de Santiago Atitlán,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
239,FIBRA_MIMBRE_GT0719,Fibras de Mimbre Seleccionado de Santiago Atitlán,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
240,PINTURA_ACRILICA_GT0719,Pintura Acrílica Profesional Seleccionado de Santiago Atitlán,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santiago Atitlán.
241,ALGODON_BLANCO_GT0801,Hilo de Algodón Blanco Seleccionado de Totonicapán,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Totonicapán.
242,ALGODON_CUYUSCATE_GT0801,Hilo de Algodón Cuyuscate Natural Seleccionado de Totonicapán,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Totonicapán.
243,BARRO_ROJO_GT0801,Arcilla de Barro Rojo Seleccionado de Totonicapán,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Totonicapán.
244,JADE_JADEITA_GT0801,Jadeita Verde Seleccionado de Totonicapán,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Totonicapán.
245,MADERA_HORMIGO_GT0801,Madera de Hormigo Seleccionado de Totonicapán,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Totonicapán.
246,MADERA_CEDRO_GT0801,Madera de Cedro Seleccionado de Totonicapán,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Totonicapán.
247,TINTE_NATURAL_EUCALIPTO_GT0801,Tinte Orgánico de Eucalipto de Totonicapán,Tinte de origen vegetal/animal obtenido de Eucalipto en Totonicapán.
248,LANA_OVEJA_GT0801,Lana de Oveja Natural Seleccionado de Totonicapán,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Totonicapán.
249,FIBRA_MIMBRE_GT0801,Fibras de Mimbre Seleccionado de Totonicapán,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Totonicapán.
250,PINTURA_ACRILICA_GT0801,Pintura Acrílica Profesional Seleccionado de Totonicapán,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Totonicapán.
251,ALGODON_BLANCO_GT0802,Hilo de Algodón Blanco Seleccionado de San Cristóbal Totonicapán,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
252,ALGODON_CUYUSCATE_GT0802,Hilo de Algodón Cuyuscate Natural Seleccionado de San Cristóbal Totonicapán,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
253,BARRO_ROJO_GT0802,Arcilla de Barro Rojo Seleccionado de San Cristóbal Totonicapán,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
254,JADE_JADEITA_GT0802,Jadeita Verde Seleccionado de San Cristóbal Totonicapán,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
255,MADERA_HORMIGO_GT0802,Madera de Hormigo Seleccionado de San Cristóbal Totonicapán,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
256,MADERA_CEDRO_GT0802,Madera de Cedro Seleccionado de San Cristóbal Totonicapán,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
257,TINTE_NATURAL_NOGAL_GT0802,Tinte Orgánico de Nogal de San Cristóbal Totonicapán,Tinte de origen vegetal/animal obtenido de Nogal en San Cristóbal Totonicapán.
258,LANA_OVEJA_GT0802,Lana de Oveja Natural Seleccionado de San Cristóbal Totonicapán,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
259,FIBRA_MIMBRE_GT0802,Fibras de Mimbre Seleccionado de San Cristóbal Totonicapán,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
260,PINTURA_ACRILICA_GT0802,Pintura Acrílica Profesional Seleccionado de San Cristóbal Totonicapán,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Cristóbal Totonicapán.
261,ALGODON_BLANCO_GT0803,Hilo de Algodón Blanco Seleccionado de San Francisco El Alto,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
262,ALGODON_CUYUSCATE_GT0803,Hilo de Algodón Cuyuscate Natural Seleccionado de San Francisco El Alto,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
263,BARRO_ROJO_GT0803,Arcilla de Barro Rojo Seleccionado de San Francisco El Alto,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
264,JADE_JADEITA_GT0803,Jadeita Verde Seleccionado de San Francisco El Alto,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
265,MADERA_HORMIGO_GT0803,Madera de Hormigo Seleccionado de San Francisco El Alto,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
266,MADERA_CEDRO_GT0803,Madera de Cedro Seleccionado de San Francisco El Alto,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
267,TINTE_NATURAL_CEBOLLA_GT0803,Tinte Orgánico de Cebolla de San Francisco El Alto,Tinte de origen vegetal/animal obtenido de Cebolla en San Francisco El Alto.
268,LANA_OVEJA_GT0803,Lana de Oveja Natural Seleccionado de San Francisco El Alto,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
269,FIBRA_MIMBRE_GT0803,Fibras de Mimbre Seleccionado de San Francisco El Alto,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
270,PINTURA_ACRILICA_GT0803,Pintura Acrílica Profesional Seleccionado de San Francisco El Alto,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Francisco El Alto.
271,ALGODON_BLANCO_GT0804,Hilo de Algodón Blanco Seleccionado de San Andrés Xecul,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
272,ALGODON_CUYUSCATE_GT0804,Hilo de Algodón Cuyuscate Natural Seleccionado de San Andrés Xecul,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
273,BARRO_ROJO_GT0804,Arcilla de Barro Rojo Seleccionado de San Andrés Xecul,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
274,JADE_JADEITA_GT0804,Jadeita Verde Seleccionado de San Andrés Xecul,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
275,MADERA_HORMIGO_GT0804,Madera de Hormigo Seleccionado de San Andrés Xecul,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
276,MADERA_CEDRO_GT0804,Madera de Cedro Seleccionado de San Andrés Xecul,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
277,TINTE_NATURAL_CAFÉ_GT0804,Tinte Orgánico de Café de San Andrés Xecul,Tinte de origen vegetal/animal obtenido de Café en San Andrés Xecul.
278,LANA_OVEJA_GT0804,Lana de Oveja Natural Seleccionado de San Andrés Xecul,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
279,FIBRA_MIMBRE_GT0804,Fibras de Mimbre Seleccionado de San Andrés Xecul,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
280,PINTURA_ACRILICA_GT0804,Pintura Acrílica Profesional Seleccionado de San Andrés Xecul,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Andrés Xecul.
281,ALGODON_BLANCO_GT0805,Hilo de Algodón Blanco Seleccionado de Momostenango,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Momostenango.
282,ALGODON_CUYUSCATE_GT0805,Hilo de Algodón Cuyuscate Natural Seleccionado de Momostenango,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Momostenango.
283,BARRO_ROJO_GT0805,Arcilla de Barro Rojo Seleccionado de Momostenango,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Momostenango.
284,JADE_JADEITA_GT0805,Jadeita Verde Seleccionado de Momostenango,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Momostenango.
285,MADERA_HORMIGO_GT0805,Madera de Hormigo Seleccionado de Momostenango,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Momostenango.
286,MADERA_CEDRO_GT0805,Madera de Cedro Seleccionado de Momostenango,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Momostenango.
287,TINTE_NATURAL_SACATE_GT0805,Tinte Orgánico de Sacate de Momostenango,Tinte de origen vegetal/animal obtenido de Sacate en Momostenango.
288,LANA_OVEJA_GT0805,Lana de Oveja Natural Seleccionado de Momostenango,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Momostenango.
289,FIBRA_MIMBRE_GT0805,Fibras de Mimbre Seleccionado de Momostenango,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Momostenango.
290,PINTURA_ACRILICA_GT0805,Pintura Acrílica Profesional Seleccionado de Momostenango,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Momostenango.
291,ALGODON_BLANCO_GT0806,Hilo de Algodón Blanco Seleccionado de Santa María Chiquimula,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
292,ALGODON_CUYUSCATE_GT0806,Hilo de Algodón Cuyuscate Natural Seleccionado de Santa María Chiquimula,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
293,BARRO_ROJO_GT0806,Arcilla de Barro Rojo Seleccionado de Santa María Chiquimula,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
294,JADE_JADEITA_GT0806,Jadeita Verde Seleccionado de Santa María Chiquimula,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
295,MADERA_HORMIGO_GT0806,Madera de Hormigo Seleccionado de Santa María Chiquimula,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
296,MADERA_CEDRO_GT0806,Madera de Cedro Seleccionado de Santa María Chiquimula,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
297,TINTE_NATURAL_CÚRCUMA_GT0806,Tinte Orgánico de Cúrcuma de Santa María Chiquimula,Tinte de origen vegetal/animal obtenido de Cúrcuma en Santa María Chiquimula.
298,LANA_OVEJA_GT0806,Lana de Oveja Natural Seleccionado de Santa María Chiquimula,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
299,FIBRA_MIMBRE_GT0806,Fibras de Mimbre Seleccionado de Santa María Chiquimula,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
300,PINTURA_ACRILICA_GT0806,Pintura Acrílica Profesional Seleccionado de Santa María Chiquimula,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santa María Chiquimula.
301,ALGODON_BLANCO_GT0807,Hilo de Algodón Blanco Seleccionado de Santa Lucía La Reforma,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
302,ALGODON_CUYUSCATE_GT0807,Hilo de Algodón Cuyuscate Natural Seleccionado de Santa Lucía La Reforma,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
303,BARRO_ROJO_GT0807,Arcilla de Barro Rojo Seleccionado de Santa Lucía La Reforma,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
304,JADE_JADEITA_GT0807,Jadeita Verde Seleccionado de Santa Lucía La Reforma,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
305,MADERA_HORMIGO_GT0807,Madera de Hormigo Seleccionado de Santa Lucía La Reforma,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
306,MADERA_CEDRO_GT0807,Madera de Cedro Seleccionado de Santa Lucía La Reforma,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
307,TINTE_NATURAL_PÚRPURA_GT0807,Tinte Orgánico de Púrpura de Santa Lucía La Reforma,Tinte de origen vegetal/animal obtenido de Púrpura en Santa Lucía La Reforma.
308,LANA_OVEJA_GT0807,Lana de Oveja Natural Seleccionado de Santa Lucía La Reforma,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
309,FIBRA_MIMBRE_GT0807,Fibras de Mimbre Seleccionado de Santa Lucía La Reforma,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
310,PINTURA_ACRILICA_GT0807,Pintura Acrílica Profesional Seleccionado de Santa Lucía La Reforma,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santa Lucía La Reforma.
311,ALGODON_BLANCO_GT0808,Hilo de Algodón Blanco Seleccionado de San Bartolo,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Bartolo.
312,ALGODON_CUYUSCATE_GT0808,Hilo de Algodón Cuyuscate Natural Seleccionado de San Bartolo,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Bartolo.
313,BARRO_ROJO_GT0808,Arcilla de Barro Rojo Seleccionado de San Bartolo,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Bartolo.
