núm_corre,año_denuncia,Reg_mes,día_denuncia,día_sem_denuncia,año_hecho,mes_hecho,día_hecho,dia_sem_hecho,depto_ocu_hecho,mupio_ocu_hecho,zona_ocu_hecho,sexo_per,edad_sind,g_edad_60ymás,g_edad_80ymás,g_edad_de0_80ymás,est_conyugal,delito_com,hora_denuncia,g_hora_denuncia,g_hora_denuncia_mañ.tar.noch,principales_delitos
250,2023,Febrero,15,Miercoles,2023,Febrero,14,Jueves,El Progreso,Morazán,Ignorada,Ignorado,45,45-49,45-49,45 - 49,Ignorado,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
251,2023,Febrero,20,Lunes,2023,Febrero,16,Martes,El Progreso,San Antonio La Paz,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Robo agravado,10,06:00 a 11:59,00:00 a 11:59,Robo agravado
252,2023,Febrero,21,Martes,2023,Febrero,20,Miercoles,El Progreso,Morazán,Ignorada,Hombre,28,25-29,25-29,25 - 29,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
253,2023,Febrero,24,Viernes,2023,Febrero,23,Sábado,El Progreso,Morazán,Ignorada,Hombre,28,25-29,25-29,25 - 29,Soltero,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
254,2023,Febrero,27,Lunes,2023,Febrero,26,Martes,El Progreso,Morazán,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,11,06:00 a 11:59,00:00 a 11:59,Otros
255,2023,Febrero,27,Lunes,2023,Febrero,26,Martes,El Progreso,Morazán,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,12,12:00 a 17:59,12:00 a 17:59,Otros
256,2023,Febrero,28,Martes,2023,Febrero,28,Miercoles,El Progreso,Morazán,Ignorada,Hombre,45,45-49,45-49,45 - 49,Casado,Otros,14,12:00 a 17:59,12:00 a 17:59,Otros
257,2023,Marzo,14,Martes,2023,Marzo,11,Miercoles,El Progreso,Morazán,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Extorsión,13,12:00 a 17:59,12:00 a 17:59,Extorsión
258,2023,Marzo,15,Miercoles,2023,Marzo,10,Jueves,El Progreso,Morazán,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,8,06:00 a 11:59,00:00 a 11:59,Otros
259,2023,Marzo,15,Miercoles,2023,Marzo,10,Jueves,El Progreso,San Agustín Acasaguastlán,Ignorada,Hombre,50,50-54,50-54,50 - 54,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
260,2023,Marzo,15,Miercoles,2023,Febrero,27,Jueves,El Progreso,Morazán,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Robo agravado,15,12:00 a 17:59,12:00 a 17:59,Robo agravado
261,2023,Marzo,16,Jueves,2023,Marzo,14,Viernes,El Progreso,Morazán,Ignorada,Ignorado,28,25-29,25-29,25 - 29,Ignorado,Casos especiales de estafa,12,12:00 a 17:59,12:00 a 17:59,Otros
262,2023,Marzo,21,Martes,2023,Marzo,21,Miercoles,El Progreso,Morazán,Ignorada,Ignorado,41,40-44,40-44,40 - 44,Ignorado,Otros,12,12:00 a 17:59,12:00 a 17:59,Otros
263,2023,Febrero,28,Martes,2023,Febrero,26,Miercoles,Suchitepéquez,San Lorenzo,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
264,2023,Enero,2,Lunes,2022,Diciembre,18,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Mujer,47,45-49,45-49,45 - 49,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
265,2023,Enero,2,Lunes,2023,Enero,1,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,39,35-39,35-39,35 - 39,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
266,2023,Enero,4,Miercoles,2023,Enero,2,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,41,40-44,40-44,40 - 44,Ignorado,Lesiones culposas,10,06:00 a 11:59,00:00 a 11:59,Lesiones culposas
267,2023,Enero,6,Viernes,2022,Diciembre,29,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,44,40-44,40-44,40 - 44,Ignorado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
268,2023,Enero,9,Lunes,2023,Enero,6,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Estafa propia,10,06:00 a 11:59,00:00 a 11:59,Otros
269,2023,Enero,9,Lunes,2023,Enero,7,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,21,20-24,20-24,20 - 24,Soltero,Lesiones culposas,12,12:00 a 17:59,12:00 a 17:59,Lesiones culposas
270,2023,Enero,10,Martes,2023,Enero,7,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,20,20-24,20-24,20 - 24,Ignorado,Lesiones leves,9,06:00 a 11:59,00:00 a 11:59,Lesiones leves
271,2023,Enero,10,Martes,2023,Enero,7,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Mujer,31,30-34,30-34,30 - 34,Soltero,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
272,2023,Enero,10,Martes,2023,Enero,9,Miercoles,San Marcos,San Pedro Sacatepéquez,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Extorsión,10,06:00 a 11:59,00:00 a 11:59,Extorsión
273,2023,Enero,13,Viernes,2023,Enero,12,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
274,2023,Enero,23,Lunes,2023,Enero,17,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,36,35-39,35-39,35 - 39,Soltero,Otros,14,12:00 a 17:59,12:00 a 17:59,Otros
275,2023,Enero,23,Lunes,2023,Enero,22,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,16,12:00 a 17:59,12:00 a 17:59,Otros
276,2023,Enero,24,Martes,2023,Enero,22,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,19,15-19,15-19,15 - 19,Ignorado,Lesiones culposas,9,06:00 a 11:59,00:00 a 11:59,Lesiones culposas
277,2023,Enero,24,Martes,2023,Enero,21,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,23,20-24,20-24,20 - 24,Soltero,Otros,12,12:00 a 17:59,12:00 a 17:59,Otros
278,2023,Enero,25,Miercoles,2023,Enero,15,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,45,45-49,45-49,45 - 49,Ignorado,Lesiones leves,8,06:00 a 11:59,00:00 a 11:59,Lesiones leves
279,2023,Enero,30,Lunes,2023,Enero,29,Martes,Chiquimula,Ipala,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,8,06:00 a 11:59,00:00 a 11:59,Amenazas
280,2023,Enero,30,Lunes,2023,Enero,28,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,27,25-29,25-29,25 - 29,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
281,2023,Enero,30,Lunes,2023,Enero,28,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,26,25-29,25-29,25 - 29,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
282,2023,Enero,30,Lunes,2023,Enero,28,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,20,20-24,20-24,20 - 24,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
283,2023,Febrero,2,Jueves,2023,Enero,28,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,36,35-39,35-39,35 - 39,Soltero,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
284,2023,Febrero,2,Jueves,2023,Enero,31,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Casado,Apropiación irregular,10,06:00 a 11:59,00:00 a 11:59,Otros
285,2023,Febrero,2,Jueves,2023,Enero,8,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Mujer,36,35-39,35-39,35 - 39,Ignorado,Amenazas,16,12:00 a 17:59,12:00 a 17:59,Amenazas
286,2023,Febrero,2,Jueves,2023,Febrero,2,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,38,35-39,35-39,35 - 39,Ignorado,Amenazas,16,12:00 a 17:59,12:00 a 17:59,Amenazas
287,2023,Febrero,3,Viernes,2023,Febrero,1,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,23,20-24,20-24,20 - 24,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
288,2023,Febrero,6,Lunes,2023,Febrero,3,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,20,20-24,20-24,20 - 24,Ignorado,Hurto,9,06:00 a 11:59,00:00 a 11:59,Hurto
289,2023,Febrero,6,Lunes,2023,Febrero,4,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,35,35-39,35-39,35 - 39,Soltero,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
290,2023,Febrero,7,Martes,2023,Febrero,3,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
291,2023,Febrero,15,Miercoles,2023,Febrero,13,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,21,20-24,20-24,20 - 24,Soltero,Lesiones culposas,10,06:00 a 11:59,00:00 a 11:59,Lesiones culposas
292,2023,Febrero,16,Jueves,2023,Febrero,15,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,34,30-34,30-34,30 - 34,Casado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
293,2023,Febrero,20,Lunes,2023,Febrero,18,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,8,06:00 a 11:59,00:00 a 11:59,Lesiones leves
294,2023,Febrero,20,Lunes,2023,Febrero,18,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,8,06:00 a 11:59,00:00 a 11:59,Lesiones leves
295,2023,Febrero,20,Lunes,2023,Febrero,18,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,8,06:00 a 11:59,00:00 a 11:59,Lesiones leves
296,2023,Febrero,20,Lunes,2023,Febrero,18,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,41,40-44,40-44,40 - 44,Ignorado,Lesiones leves,8,06:00 a 11:59,00:00 a 11:59,Lesiones leves
297,2023,Febrero,20,Lunes,2023,Febrero,18,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,28,25-29,25-29,25 - 29,Ignorado,Hurto,9,06:00 a 11:59,00:00 a 11:59,Hurto
298,2023,Febrero,20,Lunes,2023,Febrero,18,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,35,35-39,35-39,35 - 39,Ignorado,Lesiones leves,9,06:00 a 11:59,00:00 a 11:59,Lesiones leves
299,2023,Febrero,21,Martes,2021,Junio,21,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,26,25-29,25-29,25 - 29,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
300,2023,Febrero,21,Martes,2023,Febrero,19,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,32,30-34,30-34,30 - 34,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
301,2023,Febrero,22,Miercoles,2022,Noviembre,4,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Robo agravado,16,12:00 a 17:59,12:00 a 17:59,Robo agravado
302,2023,Febrero,24,Viernes,2023,Febrero,23,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,20,20-24,20-24,20 - 24,Soltero,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
303,2023,Febrero,27,Lunes,2023,Febrero,26,Martes,Chiquimula,Ipala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,15,12:00 a 17:59,12:00 a 17:59,Otros
304,2023,Febrero,28,Martes,2023,Febrero,4,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,46,45-49,45-49,45 - 49,Ignorado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
305,2023,Marzo,1,Miercoles,2023,Marzo,1,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,26,25-29,25-29,25 - 29,Soltero,Otros,11,06:00 a 11:59,00:00 a 11:59,Otros
306,2023,Marzo,2,Jueves,2023,Febrero,27,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Soltero,Otros,12,12:00 a 17:59,12:00 a 17:59,Otros
307,2023,Marzo,2,Jueves,2023,Febrero,27,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,22,20-24,20-24,20 - 24,Ignorado,Otros,16,12:00 a 17:59,12:00 a 17:59,Otros
308,2023,Marzo,2,Jueves,2022,Agosto,10,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Soltero,Otros,17,12:00 a 17:59,12:00 a 17:59,Otros
309,2023,Marzo,3,Viernes,2023,Febrero,26,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,42,40-44,40-44,40 - 44,Ignorado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
310,2023,Marzo,3,Viernes,2023,Febrero,26,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Mujer,58,55-59,55-59,55 - 59,Casado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
311,2023,Marzo,7,Martes,2023,Marzo,1,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,28,25-29,25-29,25 - 29,Ignorado,Abandono de cargo,11,06:00 a 11:59,00:00 a 11:59,Otros
312,2023,Marzo,7,Martes,2023,Marzo,4,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,41,40-44,40-44,40 - 44,Ignorado,Amenazas,12,12:00 a 17:59,12:00 a 17:59,Amenazas
313,2023,Marzo,7,Martes,2023,Febrero,13,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,34,30-34,30-34,30 - 34,Ignorado,Otros,13,12:00 a 17:59,12:00 a 17:59,Otros
314,2023,Marzo,7,Martes,2023,Marzo,3,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Mujer,26,25-29,25-29,25 - 29,Ignorado,Daño,16,12:00 a 17:59,12:00 a 17:59,Otros
315,2023,Marzo,8,Miercoles,2023,Marzo,5,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,33,30-34,30-34,30 - 34,Ignorado,Otros,8,06:00 a 11:59,00:00 a 11:59,Otros
316,2023,Marzo,8,Miercoles,2023,Marzo,6,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,42,40-44,40-44,40 - 44,Ignorado,Allanamiento agravado,9,06:00 a 11:59,00:00 a 11:59,Otros
317,2023,Marzo,9,Jueves,2023,Marzo,8,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,34,30-34,30-34,30 - 34,Ignorado,Amenazas,12,12:00 a 17:59,12:00 a 17:59,Amenazas
318,2023,Marzo,10,Viernes,2023,Febrero,1,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,51,50-54,50-54,50 - 54,Ignorado,Otros,10,06:00 a 11:59,00:00 a 11:59,Otros
319,2023,Marzo,13,Lunes,2023,Marzo,11,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,26,25-29,25-29,25 - 29,Ignorado,Amenazas,15,12:00 a 17:59,12:00 a 17:59,Amenazas
320,2023,Marzo,13,Lunes,2023,Marzo,11,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,26,25-29,25-29,25 - 29,Ignorado,Lesiones leves,15,12:00 a 17:59,12:00 a 17:59,Lesiones leves
321,2023,Marzo,13,Lunes,2023,Marzo,11,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,37,35-39,35-39,35 - 39,Casado,Amenazas,15,12:00 a 17:59,12:00 a 17:59,Amenazas
322,2023,Marzo,13,Lunes,2023,Febrero,23,Martes,Guatemala,Santa Catarina Pinula,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,15,12:00 a 17:59,12:00 a 17:59,Amenazas
323,2023,Marzo,14,Martes,2023,Marzo,11,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,46,45-49,45-49,45 - 49,Casado,Otros,16,12:00 a 17:59,12:00 a 17:59,Otros
324,2023,Marzo,15,Miercoles,2023,Marzo,14,Jueves,Chiquimula,Ipala,Ignorada,Hombre,41,40-44,40-44,40 - 44,Soltero,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
325,2023,Marzo,15,Miercoles,2023,Marzo,14,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,37,35-39,35-39,35 - 39,Casado,Amenazas,13,12:00 a 17:59,12:00 a 17:59,Amenazas
326,2023,Marzo,16,Jueves,2023,Marzo,14,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,37,35-39,35-39,35 - 39,Soltero,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
327,2023,Marzo,16,Jueves,2023,Marzo,15,Viernes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,25,25-29,25-29,25 - 29,Ignorado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
328,2023,Marzo,20,Lunes,2023,Marzo,19,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Allanamiento,9,06:00 a 11:59,00:00 a 11:59,Otros
329,2023,Marzo,20,Lunes,2023,Marzo,19,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
330,2023,Marzo,21,Martes,2023,Marzo,20,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,31,30-34,30-34,30 - 34,Casado,Amenazas,8,06:00 a 11:59,00:00 a 11:59,Amenazas
331,2023,Marzo,21,Martes,2022,Noviembre,22,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,43,40-44,40-44,40 - 44,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
332,2023,Marzo,21,Martes,2022,Noviembre,22,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Mujer,57,55-59,55-59,55 - 59,Soltero,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
333,2023,Marzo,21,Martes,2022,Noviembre,22,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Mujer,30,30-34,30-34,30 - 34,Soltero,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
334,2023,Marzo,21,Martes,2022,Noviembre,22,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,78,60-100,75-79,75 - 79,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
335,2023,Marzo,22,Miercoles,2023,Marzo,9,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,24,20-24,20-24,20 - 24,Ignorado,Otros,8,06:00 a 11:59,00:00 a 11:59,Otros
336,2023,Marzo,27,Lunes,2023,Marzo,26,Martes,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,13,12:00 a 17:59,12:00 a 17:59,Otros
337,2023,Marzo,28,Martes,2023,Marzo,25,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,37,35-39,35-39,35 - 39,Ignorado,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
338,2023,Marzo,28,Martes,2023,Marzo,25,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,37,35-39,35-39,35 - 39,Ignorado,Lesiones leves,9,06:00 a 11:59,00:00 a 11:59,Lesiones leves
339,2023,Marzo,28,Martes,2023,Marzo,27,Miercoles,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,16,12:00 a 17:59,12:00 a 17:59,Otros
340,2023,Marzo,28,Martes,2023,Marzo,20,Miercoles,Jalapa,San Pedro Pinula,Ignorada,Hombre,42,40-44,40-44,40 - 44,Soltero,Otros,16,12:00 a 17:59,12:00 a 17:59,Otros
341,2023,Marzo,29,Miercoles,2023,Marzo,24,Jueves,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,20,20-24,20-24,20 - 24,Soltero,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
342,2023,Marzo,31,Viernes,2023,Marzo,28,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Ignorado,46,45-49,45-49,45 - 49,Ignorado,Otros,12,12:00 a 17:59,12:00 a 17:59,Otros
343,2023,Marzo,31,Viernes,2023,Marzo,29,Sábado,Jalapa,San Luis Jilotepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Casado,Otros,15,12:00 a 17:59,12:00 a 17:59,Otros
344,2023,Marzo,31,Viernes,2023,Marzo,31,Sábado,Sacatepéquez,Antigua Guatemala,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto,15,12:00 a 17:59,12:00 a 17:59,Hurto
345,2023,Enero,9,Lunes,2023,Enero,7,Martes,Totonicapán,Santa Lucía La Reforma,Ignorada,Mujer,50,50-54,50-54,50 - 54,Soltero,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
346,2023,Enero,17,Martes,2023,Enero,16,Miercoles,Totonicapán,Santa Lucía La Reforma,Ignorada,Mujer,32,30-34,30-34,30 - 34,Soltero,Otros,10,06:00 a 11:59,00:00 a 11:59,Otros
347,2023,Marzo,1,Miercoles,2023,Febrero,25,Jueves,Totonicapán,Santa Lucía La Reforma,Ignorada,Ignorado,50,50-54,50-54,50 - 54,Ignorado,Apropiación y retención indebidas,14,12:00 a 17:59,12:00 a 17:59,Otros
348,2023,Marzo,8,Miercoles,2023,Marzo,8,Jueves,Totonicapán,Santa Lucía La Reforma,Ignorada,Ignorado,23,20-24,20-24,20 - 24,Ignorado,Otros,12,12:00 a 17:59,12:00 a 17:59,Otros
349,2023,Marzo,23,Jueves,2023,Marzo,23,Viernes,Totonicapán,Santa Lucía La Reforma,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,15,12:00 a 17:59,12:00 a 17:59,Amenazas
350,2023,Enero,27,Viernes,2023,Enero,27,Sábado,Guatemala,Guatemala,5,Ignorado,37,35-39,35-39,35 - 39,Ignorado,"Producción de medicamentos falsificados, productos farmacéuticos falsificados, dispositivos médicos y material médico qu",9,06:00 a 11:59,00:00 a 11:59,Otros
351,2023,Enero,27,Viernes,2023,Enero,27,Sábado,Guatemala,Guatemala,5,Mujer,29,25-29,25-29,25 - 29,Soltero,"Producción de medicamentos falsificados, productos farmacéuticos falsificados, dispositivos médicos y material médico qu",9,06:00 a 11:59,00:00 a 11:59,Otros
352,2023,Enero,27,Viernes,2023,Enero,27,Sábado,Guatemala,Guatemala,5,Ignorado,35,35-39,35-39,35 - 39,Ignorado,"Producción de medicamentos falsificados, productos farmacéuticos falsificados, dispositivos médicos y material médico qu",9,06:00 a 11:59,00:00 a 11:59,Otros
353,2023,Enero,27,Viernes,2023,Enero,27,Sábado,Guatemala,Guatemala,5,Ignorado,49,45-49,45-49,45 - 49,Ignorado,"Producción de medicamentos falsificados, productos farmacéuticos falsificados, dispositivos médicos y material médico qu",9,06:00 a 11:59,00:00 a 11:59,Otros
354,2023,Enero,2,Lunes,2022,Diciembre,30,Martes,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,9,06:00 a 11:59,00:00 a 11:59,Otros
355,2023,Enero,5,Jueves,2023,Enero,4,Viernes,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Hombre,27,25-29,25-29,25 - 29,Ignorado,Lesiones culposas,9,06:00 a 11:59,00:00 a 11:59,Lesiones culposas
356,2023,Enero,6,Viernes,2023,Enero,5,Sábado,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
357,2023,Enero,20,Viernes,2023,Enero,19,Sábado,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
358,2023,Enero,20,Viernes,2023,Enero,19,Sábado,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
359,2023,Enero,20,Viernes,2023,Enero,19,Sábado,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
360,2023,Enero,30,Lunes,2023,Enero,27,Martes,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,8,06:00 a 11:59,00:00 a 11:59,Otros
361,2023,Enero,30,Lunes,2023,Enero,27,Martes,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,8,06:00 a 11:59,00:00 a 11:59,Otros
362,2023,Enero,30,Lunes,2023,Enero,27,Martes,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,8,06:00 a 11:59,00:00 a 11:59,Otros
363,2023,Febrero,6,Lunes,2023,Febrero,3,Martes,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,9,06:00 a 11:59,00:00 a 11:59,Lesiones leves
364,2023,Febrero,6,Lunes,2023,Febrero,3,Martes,Totonicapán,San Bartolo Aguas Calientes,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,9,06:00 a 11:59,00:00 a 11:59,Lesiones leves
