núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,área_geo_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
8279,2023,Marzo,6,Lunes,12,12:00 a 17:59,12:00 a 17:59,Rural,Suchitepéquez,Mazatenango,Ignorada,Hombre,15,15-19,15-19,15 - 19,Otras causas,Otras causas
8280,2023,Marzo,6,Lunes,23,18:00 a 23:59,18:00 a 23:59,Rural,Suchitepéquez,San Bernardino,Ignorada,Hombre,44,40-44,40-44,40 - 44,Otras causas,Otras causas
8281,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Retalhuleu,San Felipe Retalhuleu,Ignorada,Hombre,21,20-24,20-24,20 - 24,Ebriedad y escándalo,Otras causas
8282,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Retalhuleu,Champerico,Ignorada,Hombre,26,25-29,25-29,25 - 29,Otras causas,Otras causas
8283,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Retalhuleu,Champerico,Ignorada,Hombre,28,25-29,25-29,25 - 29,Otras causas,Otras causas
8284,2023,Marzo,6,Lunes,7,06:00 a 11:59,00:00 a 11:59,Urbano,Retalhuleu,Retalhuleu,Ignorada,Hombre,28,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
8285,2023,Marzo,6,Lunes,21,18:00 a 23:59,18:00 a 23:59,Rural,Quetzaltenango,Coatepeque,Ignorada,Hombre,28,25-29,25-29,25 - 29,Otras causas,Otras causas
8286,2023,Marzo,6,Lunes,23,18:00 a 23:59,18:00 a 23:59,Urbano,Quetzaltenango,Quetzaltenango,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
8287,2023,Marzo,6,Lunes,3,00:00 a 05:59,00:00 a 11:59,Rural,Quetzaltenango,Coatepeque,Ignorada,Hombre,36,35-39,35-39,35 - 39,Ebriedad y escándalo,Otras causas
8288,2023,Marzo,6,Lunes,11,06:00 a 11:59,00:00 a 11:59,Urbano,Quetzaltenango,Quetzaltenango,Ignorada,Hombre,33,30-34,30-34,30 - 34,Tenencia de droga,Otras causas
8289,2023,Marzo,6,Lunes,14,12:00 a 17:59,12:00 a 17:59,Rural,Quetzaltenango,Quetzaltenango,Ignorada,Hombre,28,25-29,25-29,25 - 29,Orden de captura,Otras causas
8290,2023,Marzo,6,Lunes,16,12:00 a 17:59,12:00 a 17:59,Rural,Quetzaltenango,Salcajá,Ignorada,Hombre,45,45-49,45-49,45 - 49,Ebriedad y escándalo,Otras causas
8291,2023,Marzo,6,Lunes,16,12:00 a 17:59,12:00 a 17:59,Rural,Quetzaltenango,Salcajá,Ignorada,Hombre,19,15-19,15-19,15 - 19,Ebriedad y escándalo,Otras causas
8292,2023,Marzo,6,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,Quetzaltenango,Quetzaltenango,Ignorada,Hombre,30,30-34,30-34,30 - 34,Orden de captura,Otras causas
8293,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,37,35-39,35-39,35 - 39,Ebriedad y escándalo,Otras causas
8294,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,30,30-34,30-34,30 - 34,Otras causas,Otras causas
8295,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,El Tumbador,Ignorada,Hombre,20,20-24,20-24,20 - 24,Daños,Otras causas
8296,2023,Marzo,6,Lunes,1,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,San Marcos,Ignorada,Hombre,52,50-54,50-54,50 - 54,Ebriedad y escándalo,Otras causas
8297,2023,Marzo,6,Lunes,2,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,Malacatán,Ignorada,Hombre,31,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8298,2023,Marzo,6,Lunes,8,06:00 a 11:59,00:00 a 11:59,Rural,San Marcos,Pajapita,Ignorada,Hombre,45,45-49,45-49,45 - 49,Otras causas,Otras causas
8299,2023,Marzo,6,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,Malacatán,Ignorada,Hombre,39,35-39,35-39,35 - 39,Otras causas,Otras causas
8300,2023,Marzo,6,Lunes,18,18:00 a 23:59,18:00 a 23:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,48,45-49,45-49,45 - 49,Otras causas,Otras causas
8301,2023,Marzo,6,Lunes,20,18:00 a 23:59,18:00 a 23:59,Rural,San Marcos,San Marcos,Ignorada,Hombre,29,25-29,25-29,25 - 29,Otras causas,Otras causas
8302,2023,Marzo,6,Lunes,21,18:00 a 23:59,18:00 a 23:59,Urbano,San Marcos,San Pedro Sacatepéquez,Ignorada,Hombre,30,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8303,2023,Marzo,6,Lunes,22,18:00 a 23:59,18:00 a 23:59,Rural,San Marcos,San Pedro Sacatepéquez,Ignorada,Mujer,38,35-39,35-39,35 - 39,Otras causas,Otras causas
8304,2023,Marzo,6,Lunes,12,12:00 a 17:59,12:00 a 17:59,Urbano,Huehuetenango,Huehuetenango,Ignorada,Hombre,46,45-49,45-49,45 - 49,Orden de captura,Otras causas
8305,2023,Marzo,6,Lunes,22,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,San Pedro Necta,Ignorada,Hombre,46,45-49,45-49,45 - 49,Homicidio por arma blanca,Homicidios
8306,2023,Marzo,6,Lunes,15,12:00 a 17:59,12:00 a 17:59,Urbano,Huehuetenango,Huehuetenango,Ignorada,Hombre,32,30-34,30-34,30 - 34,Lesiones por arma blanca,Lesiones
8307,2023,Marzo,6,Lunes,15,12:00 a 17:59,12:00 a 17:59,Rural,Huehuetenango,San Sebastián Huehuetenango,Ignorada,Hombre,33,30-34,30-34,30 - 34,Otras causas,Otras causas
8308,2023,Marzo,6,Lunes,19,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Huehuetenango,Ignorada,Hombre,20,20-24,20-24,20 - 24,Lesiones por arma contundente,Lesiones
8309,2023,Marzo,6,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,Totonicapán,Totonicapán,Ignorada,Hombre,26,25-29,25-29,25 - 29,Orden de captura,Otras causas
8310,2023,Marzo,6,Lunes,1,00:00 a 05:59,00:00 a 11:59,Rural,Alta Verapaz,Fray Bartolomé de las Casas,Ignorada,Hombre,28,25-29,25-29,25 - 29,Agresión,Otras causas
8311,2023,Marzo,6,Lunes,9,06:00 a 11:59,00:00 a 11:59,Rural,Alta Verapaz,Santa Catarina La Tinta,Ignorada,Hombre,28,25-29,25-29,25 - 29,Otras causas,Otras causas
8312,2023,Marzo,6,Lunes,11,06:00 a 11:59,00:00 a 11:59,Rural,Alta Verapaz,Chisec,Ignorada,Hombre,29,25-29,25-29,25 - 29,Orden de captura,Otras causas
8313,2023,Marzo,6,Lunes,13,12:00 a 17:59,12:00 a 17:59,Urbano,Alta Verapaz,Cobán,Ignorada,Hombre,27,25-29,25-29,25 - 29,Orden de captura,Otras causas
8314,2023,Marzo,6,Lunes,15,12:00 a 17:59,12:00 a 17:59,Rural,Alta Verapaz,Chisec,Ignorada,Hombre,30,30-34,30-34,30 - 34,Orden de captura,Otras causas
8315,2023,Marzo,6,Lunes,19,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,Chisec,Ignorada,Hombre,24,20-24,20-24,20 - 24,Allanamiento de morada,Otras causas
8316,2023,Marzo,6,Lunes,19,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,Santa Cruz Verapaz,Ignorada,Hombre,32,30-34,30-34,30 - 34,Otras causas,Otras causas
8317,2023,Marzo,6,Lunes,20,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,Panzós,Ignorada,Hombre,20,20-24,20-24,20 - 24,Otras causas,Otras causas
8318,2023,Marzo,6,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,Baja Verapaz,Salamá,Ignorada,Hombre,41,40-44,40-44,40 - 44,Ebriedad y escándalo,Otras causas
8319,2023,Marzo,6,Lunes,22,18:00 a 23:59,18:00 a 23:59,Rural,Baja Verapaz,Rabinal,Ignorada,Hombre,31,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8320,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Petén,Sayaxché,Ignorada,Hombre,46,45-49,45-49,45 - 49,Otras causas,Otras causas
8321,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Petén,Dolores,Ignorada,Hombre,30,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8322,2023,Marzo,6,Lunes,2,00:00 a 05:59,00:00 a 11:59,Rural,Petén,Flores,Ignorada,Hombre,38,35-39,35-39,35 - 39,Ebriedad y escándalo,Otras causas
8323,2023,Marzo,6,Lunes,10,06:00 a 11:59,00:00 a 11:59,Rural,Petén,Las Cruces,Ignorada,Hombre,26,25-29,25-29,25 - 29,Otras causas,Otras causas
8324,2023,Marzo,6,Lunes,14,12:00 a 17:59,12:00 a 17:59,Rural,Petén,Flores,Ignorada,Mujer,30,30-34,30-34,30 - 34,Orden de captura,Otras causas
8325,2023,Marzo,6,Lunes,18,18:00 a 23:59,18:00 a 23:59,Rural,Petén,Poptún,Ignorada,Hombre,38,35-39,35-39,35 - 39,Portación ilegal arma de fuego,Otras causas
8326,2023,Marzo,6,Lunes,18,18:00 a 23:59,18:00 a 23:59,Rural,Petén,Poptún,Ignorada,Hombre,32,30-34,30-34,30 - 34,Otras causas,Otras causas
8327,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Quiché,San Miguel Uspantán,Ignorada,Mujer,46,45-49,45-49,45 - 49,Otras causas,Otras causas
8328,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Quiché,San Miguel Uspantán,Ignorada,Hombre,26,25-29,25-29,25 - 29,Otras causas,Otras causas
8329,2023,Marzo,6,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Quiché,San Miguel Uspantán,Ignorada,Hombre,27,25-29,25-29,25 - 29,Otras causas,Otras causas
8330,2023,Marzo,6,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,Quiché,Joyabaj,Ignorada,Hombre,29,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
8331,2023,Marzo,6,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,Quiché,Zacualpa,Ignorada,Hombre,19,15-19,15-19,15 - 19,Ebriedad y escándalo,Otras causas
8332,2023,Marzo,6,Lunes,1,00:00 a 05:59,00:00 a 11:59,Rural,Sololá,Panajachel,Ignorada,Mujer,38,35-39,35-39,35 - 39,Ebriedad y escándalo,Otras causas
8333,2023,Marzo,6,Lunes,1,00:00 a 05:59,00:00 a 11:59,Rural,Sololá,Sololá,Ignorada,Hombre,26,25-29,25-29,25 - 29,Otras causas,Otras causas
8334,2023,Marzo,6,Lunes,1,00:00 a 05:59,00:00 a 11:59,Rural,Sololá,Sololá,Ignorada,Hombre,22,20-24,20-24,20 - 24,Otras causas,Otras causas
8335,2023,Marzo,6,Lunes,14,12:00 a 17:59,12:00 a 17:59,Rural,Sololá,Santiago Atitlán,Ignorada,Hombre,23,20-24,20-24,20 - 24,Otras causas,Otras causas
8336,2023,Marzo,6,Lunes,15,12:00 a 17:59,12:00 a 17:59,Rural,Sololá,Sololá,Ignorada,Hombre,43,40-44,40-44,40 - 44,Otras causas,Otras causas
8337,2023,Marzo,6,Lunes,13,12:00 a 17:59,12:00 a 17:59,Rural,Chimaltenango,Chimaltenango,Ignorada,Mujer,23,20-24,20-24,20 - 24,Orden de captura,Otras causas
8338,2023,Marzo,6,Lunes,15,12:00 a 17:59,12:00 a 17:59,Rural,Chimaltenango,San Martín Jilotepeque,Ignorada,Hombre,30,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8339,2023,Marzo,6,Lunes,22,18:00 a 23:59,18:00 a 23:59,Rural,Chimaltenango,San Martín Jilotepeque,Ignorada,Hombre,60,60 y más,60-64,60 - 64,Ebriedad y escándalo,Otras causas
8340,2023,Marzo,6,Lunes,21,18:00 a 23:59,18:00 a 23:59,Rural,Sacatepéquez,Santa Catarina Barahona,Ignorada,Hombre,42,40-44,40-44,40 - 44,Otras causas,Otras causas
8341,2023,Marzo,6,Lunes,21,18:00 a 23:59,18:00 a 23:59,Rural,Sacatepéquez,Santa Catarina Barahona,Ignorada,Mujer,43,40-44,40-44,40 - 44,Otras causas,Otras causas
8342,2023,Marzo,6,Lunes,12,12:00 a 17:59,12:00 a 17:59,Rural,Sacatepéquez,Antigua Guatemala,Ignorada,Hombre,29,25-29,25-29,25 - 29,Daños,Otras causas
8343,2023,Marzo,6,Lunes,12,12:00 a 17:59,12:00 a 17:59,Rural,Sacatepéquez,Antigua Guatemala,Ignorada,Hombre,56,55-59,55-59,55 - 59,Otras causas,Otras causas
8344,2023,Marzo,7,Martes,6,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,3,Hombre,59,55-59,55-59,55 - 59,Otras causas,Otras causas
8345,2023,Marzo,7,Martes,10,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,1,Hombre,24,20-24,20-24,20 - 24,Otras causas,Otras causas
8346,2023,Marzo,7,Martes,14,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,1,Hombre,18,15-19,15-19,15 - 19,Otras causas,Otras causas
8347,2023,Marzo,7,Martes,14,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,1,Hombre,18,15-19,15-19,15 - 19,Otras causas,Otras causas
8348,2023,Marzo,7,Martes,15,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,1,Hombre,35,35-39,35-39,35 - 39,Orden de captura,Otras causas
8349,2023,Marzo,7,Martes,14,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,1,Hombre,56,55-59,55-59,55 - 59,Orden de captura,Otras causas
8350,2023,Marzo,7,Martes,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,18,Hombre,26,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
8351,2023,Marzo,7,Martes,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,18,Hombre,18,15-19,15-19,15 - 19,Ebriedad y escándalo,Otras causas
8352,2023,Marzo,7,Martes,10,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,18,Hombre,37,35-39,35-39,35 - 39,Orden de captura,Otras causas
8353,2023,Marzo,7,Martes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,17,Hombre,37,35-39,35-39,35 - 39,Portación ilegal arma de fuego,Otras causas
8354,2023,Marzo,7,Martes,17,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Chinautla,Ignorada,Hombre,26,25-29,25-29,25 - 29,Riña,Otras causas
8355,2023,Marzo,7,Martes,17,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Chinautla,Ignorada,Hombre,25,25-29,25-29,25 - 29,Riña,Otras causas
8356,2023,Marzo,7,Martes,17,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Chinautla,Ignorada,Hombre,28,25-29,25-29,25 - 29,Otras causas,Otras causas
8357,2023,Marzo,7,Martes,20,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,6,Hombre,35,35-39,35-39,35 - 39,Agresión,Otras causas
8358,2023,Marzo,7,Martes,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,25,Hombre,42,40-44,40-44,40 - 44,Otras causas,Otras causas
8359,2023,Marzo,7,Martes,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,25,Mujer,32,30-34,30-34,30 - 34,Otras causas,Otras causas
8360,2023,Marzo,7,Martes,21,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,6,Hombre,38,35-39,35-39,35 - 39,Otras causas,Otras causas
8361,2023,Marzo,7,Martes,21,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,6,Hombre,46,45-49,45-49,45 - 49,Otras causas,Otras causas
8362,2023,Marzo,7,Martes,14,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,13,Hombre,40,40-44,40-44,40 - 44,Orden de captura,Otras causas
8363,2023,Marzo,7,Martes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,10,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Otras causas,Otras causas
8364,2023,Marzo,7,Martes,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Santa Catarina Pinula,Ignorada,Hombre,22,20-24,20-24,20 - 24,Otras causas,Otras causas
8365,2023,Marzo,7,Martes,12,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Villa Nueva,Ignorada,Hombre,27,25-29,25-29,25 - 29,Orden de captura,Otras causas
8366,2023,Marzo,7,Martes,19,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,7,Hombre,20,20-24,20-24,20 - 24,Otras causas,Otras causas
8367,2023,Marzo,7,Martes,20,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Villa Nueva,Ignorada,Hombre,26,25-29,25-29,25 - 29,Agresión,Otras causas
8368,2023,Marzo,7,Martes,10,06:00 a 11:59,00:00 a 11:59,Rural,Guatemala,Villa Canales,Ignorada,Hombre,35,35-39,35-39,35 - 39,Orden de captura,Otras causas
8369,2023,Marzo,7,Martes,14,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Villa Nueva,Ignorada,Mujer,30,30-34,30-34,30 - 34,Orden de captura,Otras causas
8370,2023,Marzo,7,Martes,19,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Ignorada,Hombre,40,40-44,40-44,40 - 44,Agresión,Otras causas
8371,2023,Marzo,7,Martes,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Ignorada,Hombre,46,45-49,45-49,45 - 49,Ebriedad y escándalo,Otras causas
8372,2023,Marzo,7,Martes,0,00:00 a 05:59,00:00 a 11:59,Rural,Guatemala,San Juan Sacatepéquez,Ignorada,Hombre,29,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
8373,2023,Marzo,7,Martes,17,12:00 a 17:59,12:00 a 17:59,Rural,Chiquimula,Chiquimula,Ignorada,Hombre,54,50-54,50-54,50 - 54,Orden de captura,Otras causas
8374,2023,Marzo,7,Martes,23,18:00 a 23:59,18:00 a 23:59,Rural,Chiquimula,Jocotán,Ignorada,Hombre,26,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
8375,2023,Marzo,7,Martes,0,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,San José,Ignorada,Hombre,21,20-24,20-24,20 - 24,Otras causas,Otras causas
8376,2023,Marzo,7,Martes,17,12:00 a 17:59,12:00 a 17:59,Rural,Escuintla,San José,Ignorada,Hombre,27,25-29,25-29,25 - 29,Orden de captura,Otras causas
8377,2023,Marzo,7,Martes,19,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Iztapa,Ignorada,Hombre,33,30-34,30-34,30 - 34,Portación ilegal arma de fuego,Otras causas
8378,2023,Marzo,7,Martes,19,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Iztapa,Ignorada,Hombre,22,20-24,20-24,20 - 24,Otras causas,Otras causas
8379,2023,Marzo,7,Martes,18,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Escuintla,Ignorada,Hombre,29,25-29,25-29,25 - 29,Portación ilegal arma de fuego,Otras causas
8380,2023,Marzo,7,Martes,20,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Escuintla,Ignorada,Hombre,19,15-19,15-19,15 - 19,Robo de motocicletas,Contra el patrimonio
8381,2023,Marzo,7,Martes,14,12:00 a 17:59,12:00 a 17:59,Rural,Santa Rosa,Guazacapán,Ignorada,Hombre,25,25-29,25-29,25 - 29,Otras causas,Otras causas
8382,2023,Marzo,7,Martes,6,06:00 a 11:59,00:00 a 11:59,Rural,Suchitepéquez,Santo Tomas la Unión,Ignorada,Mujer,59,55-59,55-59,55 - 59,En allanamientos judiciales,Otras causas
8383,2023,Marzo,7,Martes,12,12:00 a 17:59,12:00 a 17:59,Urbano,Suchitepéquez,Santo Domingo Suchitepéquez,Ignorada,Hombre,21,20-24,20-24,20 - 24,Orden de captura,Otras causas
8384,2023,Marzo,7,Martes,15,12:00 a 17:59,12:00 a 17:59,Urbano,Suchitepéquez,San Bernardino,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
8385,2023,Marzo,7,Martes,15,12:00 a 17:59,12:00 a 17:59,Rural,Suchitepéquez,San Antonio Suchitepéquez,Ignorada,Hombre,58,55-59,55-59,55 - 59,Orden de captura,Otras causas
8386,2023,Marzo,7,Martes,22,18:00 a 23:59,18:00 a 23:59,Rural,Suchitepéquez,San Antonio Suchitepéquez,Ignorada,Hombre,41,40-44,40-44,40 - 44,Tráfico de droga,Otras causas
8387,2023,Marzo,7,Martes,18,18:00 a 23:59,18:00 a 23:59,Rural,Retalhuleu,Retalhuleu,Ignorada,Hombre,32,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8388,2023,Marzo,7,Martes,19,18:00 a 23:59,18:00 a 23:59,Rural,Retalhuleu,Nuevo San Carlos,Ignorada,Hombre,48,45-49,45-49,45 - 49,Ebriedad y escándalo,Otras causas
8389,2023,Marzo,7,Martes,13,12:00 a 17:59,12:00 a 17:59,Urbano,Quetzaltenango,Quetzaltenango,Ignorada,Hombre,28,25-29,25-29,25 - 29,Orden de captura,Otras causas
8390,2023,Marzo,7,Martes,13,12:00 a 17:59,12:00 a 17:59,Rural,Quetzaltenango,Concepción Chiquirichapa,Ignorada,Hombre,47,45-49,45-49,45 - 49,Allanamiento de morada,Otras causas
8391,2023,Marzo,7,Martes,15,12:00 a 17:59,12:00 a 17:59,Urbano,Quetzaltenango,Quetzaltenango,Ignorada,Hombre,24,20-24,20-24,20 - 24,En allanamientos judiciales,Otras causas
8392,2023,Marzo,7,Martes,1,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,Pajapita,Ignorada,Hombre,34,30-34,30-34,30 - 34,Otras causas,Otras causas
8393,2023,Marzo,7,Martes,9,06:00 a 11:59,00:00 a 11:59,Rural,San Marcos,San Rafael Pie de la Cuesta,Ignorada,Hombre,43,40-44,40-44,40 - 44,Orden de captura,Otras causas
8394,2023,Marzo,7,Martes,17,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,Sibinal,Ignorada,Hombre,42,40-44,40-44,40 - 44,Otras causas,Otras causas
8395,2023,Marzo,7,Martes,19,18:00 a 23:59,18:00 a 23:59,Rural,San Marcos,Malacatán,Ignorada,Hombre,19,15-19,15-19,15 - 19,Allanamiento de morada,Otras causas
8396,2023,Marzo,7,Martes,21,18:00 a 23:59,18:00 a 23:59,Rural,San Marcos,Ayutla,Ignorada,Hombre,35,35-39,35-39,35 - 39,Orden de captura,Otras causas
8397,2023,Marzo,7,Martes,21,18:00 a 23:59,18:00 a 23:59,Rural,San Marcos,Malacatán,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
8398,2023,Marzo,7,Martes,5,00:00 a 05:59,00:00 a 11:59,Urbano,Huehuetenango,Huehuetenango,Ignorada,Hombre,22,20-24,20-24,20 - 24,Otras causas,Otras causas
8399,2023,Marzo,7,Martes,13,12:00 a 17:59,12:00 a 17:59,Rural,Huehuetenango,Huehuetenango,Ignorada,Hombre,28,25-29,25-29,25 - 29,Portación ilegal arma de fuego,Otras causas
8400,2023,Marzo,7,Martes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Huehuetenango,Huehuetenango,Ignorada,Mujer,30,30-34,30-34,30 - 34,Otras causas,Otras causas
8401,2023,Marzo,7,Martes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Huehuetenango,Chiantla,Ignorada,Hombre,24,20-24,20-24,20 - 24,Ebriedad y escándalo,Otras causas
8402,2023,Marzo,7,Martes,19,18:00 a 23:59,18:00 a 23:59,Urbano,Huehuetenango,Barrillas,Ignorada,Hombre,32,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8403,2023,Marzo,7,Martes,21,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,San Ildefonso Ixtahuacán,Ignorada,Hombre,37,35-39,35-39,35 - 39,Ebriedad y escándalo,Otras causas
8404,2023,Marzo,7,Martes,21,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Colotenango,Ignorada,Hombre,27,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
8405,2023,Marzo,7,Martes,22,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Santa Eulalia,Ignorada,Hombre,44,40-44,40-44,40 - 44,Agresión,Otras causas
8406,2023,Marzo,7,Martes,22,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Todos Santos Cuchumatán,Ignorada,Hombre,32,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8407,2023,Marzo,7,Martes,22,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Todos Santos Cuchumatán,Ignorada,Hombre,32,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
8408,2023,Marzo,7,Martes,18,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Todos Santos Cuchumatán,Ignorada,Hombre,39,35-39,35-39,35 - 39,Orden de captura,Otras causas
8409,2023,Marzo,7,Martes,0,00:00 a 05:59,00:00 a 11:59,Rural,Alta Verapaz,Santa Cruz Verapaz,Ignorada,Mujer,37,35-39,35-39,35 - 39,Ebriedad y escándalo,Otras causas
8410,2023,Marzo,7,Martes,3,00:00 a 05:59,00:00 a 11:59,Rural,Alta Verapaz,Tactic,Ignorada,Hombre,36,35-39,35-39,35 - 39,Agresión,Otras causas
8411,2023,Marzo,7,Martes,10,06:00 a 11:59,00:00 a 11:59,Rural,Alta Verapaz,Santa Cruz Verapaz,Ignorada,Hombre,33,30-34,30-34,30 - 34,Agresión,Otras causas
8412,2023,Marzo,7,Martes,16,12:00 a 17:59,12:00 a 17:59,Rural,Alta Verapaz,Chahal,Ignorada,Mujer,47,45-49,45-49,45 - 49,Orden de captura,Otras causas
8413,2023,Marzo,7,Martes,13,12:00 a 17:59,12:00 a 17:59,Rural,Baja Verapaz,Purulhá,Ignorada,Hombre,21,20-24,20-24,20 - 24,Portación ilegal arma de fuego,Otras causas
8414,2023,Marzo,7,Martes,10,06:00 a 11:59,00:00 a 11:59,Rural,Izabal,El Estor,Ignorada,Hombre,38,35-39,35-39,35 - 39,Homicidio por arma blanca,Homicidios
8415,2023,Marzo,7,Martes,11,06:00 a 11:59,00:00 a 11:59,Rural,Izabal,Los Amates,Ignorada,Hombre,31,30-34,30-34,30 - 34,Otras causas,Otras causas
8416,2023,Marzo,7,Martes,9,06:00 a 11:59,00:00 a 11:59,Rural,Petén,La Libertad,Ignorada,Mujer,31,30-34,30-34,30 - 34,Orden de captura,Otras causas
8417,2023,Marzo,7,Martes,12,12:00 a 17:59,12:00 a 17:59,Rural,Petén,Poptún,Ignorada,Hombre,53,50-54,50-54,50 - 54,Ebriedad y escándalo,Otras causas
