núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,área_geo_ocu,depto_ocu,mupio_ocu,sexo_per,zona_ocu,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
2697,2023,Enero,14,Sábado,9,06:00 a 11:59,00:00 a 11:59,Rural,Huehuetenango,Huehuetenango,Hombre,Ignorada,5,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2698,2023,Enero,14,Sábado,9,06:00 a 11:59,00:00 a 11:59,Rural,Huehuetenango,Huehuetenango,Mujer,Ignorada,3,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2699,2023,Enero,14,Sábado,9,06:00 a 11:59,00:00 a 11:59,Rural,Huehuetenango,Huehuetenango,Mujer,Ignorada,24,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2700,2023,Enero,14,Sábado,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Petapa,Hombre,Ignorada,5,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2701,2023,Enero,15,Domingo,12,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Desaparecidos,Contra la libertad
2702,2023,Enero,15,Domingo,6,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Mujer,Ignorada,24,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2703,2023,Enero,15,Domingo,6,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,24,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2704,2023,Enero,15,Domingo,15,12:00 a 17:59,12:00 a 17:59,Rural,Chiquimula,Chiquimula,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2705,2023,Enero,15,Domingo,17,12:00 a 17:59,12:00 a 17:59,Urbano,Escuintla,Palín,Mujer,Ignorada,26,25-29,25-29,25 - 29,Desaparecidos,Contra la libertad
2706,2023,Enero,15,Domingo,17,12:00 a 17:59,12:00 a 17:59,Urbano,Escuintla,Palín,Mujer,Ignorada,9,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2707,2023,Enero,15,Domingo,17,12:00 a 17:59,12:00 a 17:59,Urbano,Escuintla,Palín,Hombre,Ignorada,3,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2708,2023,Enero,15,Domingo,17,12:00 a 17:59,12:00 a 17:59,Urbano,Escuintla,Palín,Hombre,Ignorada,2,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2709,2023,Enero,15,Domingo,9,06:00 a 11:59,00:00 a 11:59,Rural,Baja Verapaz,San Jerónimo,Mujer,Ignorada,13,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2710,2023,Enero,15,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,Petén,Flores,Hombre,Ignorada,79,60 y más,75-79,75 - 79,Desaparecidos,Contra la libertad
2711,2023,Enero,15,Domingo,7,06:00 a 11:59,00:00 a 11:59,Rural,Chimaltenango,Patzicía,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2712,2023,Enero,15,Domingo,13,12:00 a 17:59,12:00 a 17:59,Rural,Sacatepéquez,Jocotenango,Mujer,Ignorada,13,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2713,2023,Enero,16,Lunes,11,06:00 a 11:59,00:00 a 11:59,Rural,Jutiapa,Jutiapa,Hombre,Ignorada,17,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2714,2023,Enero,16,Lunes,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,18,22,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2715,2023,Enero,16,Lunes,6,06:00 a 11:59,00:00 a 11:59,Rural,Guatemala,Chinautla,Hombre,Ignorada,12,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2716,2023,Enero,16,Lunes,14,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Mujer,18,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2717,2023,Enero,16,Lunes,14,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Mujer,18,8,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2718,2023,Enero,16,Lunes,16,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Villa Nueva,Mujer,Ignorada,23,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2719,2023,Enero,16,Lunes,15,12:00 a 17:59,12:00 a 17:59,Rural,Escuintla,Palín,Mujer,Ignorada,29,25-29,25-29,25 - 29,Desaparecidos,Contra la libertad
2720,2023,Enero,16,Lunes,16,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,El Rodeo,Mujer,Ignorada,31,30-34,30-34,30 - 34,Desaparecidos,Contra la libertad
2721,2023,Enero,16,Lunes,16,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,El Rodeo,Hombre,Ignorada,5,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2722,2023,Enero,16,Lunes,16,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,El Rodeo,Mujer,Ignorada,2,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2723,2023,Enero,16,Lunes,0,00:00 a 05:59,00:00 a 11:59,Rural,Baja Verapaz,Salamá,Mujer,Ignorada,16,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2724,2023,Enero,16,Lunes,0,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,12,13,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2725,2023,Enero,16,Lunes,17,12:00 a 17:59,12:00 a 17:59,Urbano,Chimaltenango,Chimaltenango,Hombre,Ignorada,43,40-44,40-44,40 - 44,Desaparecidos,Contra la libertad
2726,2023,Enero,17,Martes,16,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Hombre,18,25,25-29,25-29,25 - 29,Desaparecidos,Contra la libertad
2727,2023,Enero,17,Martes,12,12:00 a 17:59,12:00 a 17:59,Rural,Santa Rosa,Cuilapa,Hombre,Ignorada,55,55-59,55-59,55 - 59,Desaparecidos,Contra la libertad
2728,2023,Enero,17,Martes,16,12:00 a 17:59,12:00 a 17:59,Rural,Santa Rosa,Oratorio,Mujer,Ignorada,26,25-29,25-29,25 - 29,Desaparecidos,Contra la libertad
2729,2023,Enero,17,Martes,16,12:00 a 17:59,12:00 a 17:59,Rural,Santa Rosa,Oratorio,Hombre,Ignorada,3,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2730,2023,Enero,17,Martes,16,12:00 a 17:59,12:00 a 17:59,Rural,Santa Rosa,Oratorio,Mujer,Ignorada,1,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2731,2023,Enero,17,Martes,16,12:00 a 17:59,12:00 a 17:59,Urbano,Suchitepéquez,Mazatenango,Hombre,Ignorada,37,35-39,35-39,35 - 39,Desaparecidos,Contra la libertad
2732,2023,Enero,18,Miércoles,9,06:00 a 11:59,00:00 a 11:59,Rural,Santa Rosa,Pueblo Nuevo Viñas,Hombre,Ignorada,65,60 y más,65-69,65 - 69,Desaparecidos,Contra la libertad
2733,2023,Enero,18,Miércoles,14,12:00 a 17:59,12:00 a 17:59,Urbano,Quiché,Santa Cruz del Quiché,Mujer,Ignorada,78,60 y más,75-79,75 - 79,Desaparecidos,Contra la libertad
2734,2023,Enero,18,Miércoles,14,12:00 a 17:59,12:00 a 17:59,Urbano,Retalhuleu,Retalhuleu,Mujer,Ignorada,23,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2735,2023,Enero,18,Miércoles,19,18:00 a 23:59,18:00 a 23:59,Rural,Totonicapán,San Francisco el Alto,Hombre,Ignorada,14,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2736,2023,Enero,18,Miércoles,20,18:00 a 23:59,18:00 a 23:59,Rural,Petén,Dolores,Mujer,Ignorada,13,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2737,2023,Enero,19,Jueves,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Mujer,Ignorada,16,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2738,2023,Enero,19,Jueves,11,06:00 a 11:59,00:00 a 11:59,Rural,Guatemala,Chinautla,Mujer,Ignorada,20,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2739,2023,Enero,19,Jueves,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,18,16,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2740,2023,Enero,19,Jueves,4,00:00 a 05:59,00:00 a 11:59,Rural,Guatemala,San José Pinula,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2741,2023,Enero,19,Jueves,0,00:00 a 05:59,00:00 a 11:59,Urbano,Escuintla,Palín,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2742,2023,Enero,20,Viernes,8,06:00 a 11:59,00:00 a 11:59,Rural,Santa Rosa,Pueblo Nuevo Viñas,Mujer,Ignorada,17,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2743,2023,Enero,20,Viernes,19,18:00 a 23:59,18:00 a 23:59,Rural,Petén,Poptún,Mujer,Ignorada,10,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2744,2023,Enero,20,Viernes,13,12:00 a 17:59,12:00 a 17:59,Rural,Quiché,San Miguel Uspantán,Mujer,Ignorada,13,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2745,2023,Enero,20,Viernes,17,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Mixco,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2746,2023,Enero,20,Viernes,16,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,El Quetzal,Mujer,Ignorada,16,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2747,2023,Enero,20,Viernes,18,18:00 a 23:59,18:00 a 23:59,Rural,Sacatepéquez,Antigua Guatemala,Mujer,Ignorada,11,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2748,2023,Enero,20,Viernes,15,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Villa Canales,Hombre,Ignorada,33,30-34,30-34,30 - 34,Desaparecidos,Contra la libertad
2749,2023,Enero,21,Sábado,13,12:00 a 17:59,12:00 a 17:59,Rural,Izabal,Livingston,Mujer,Ignorada,20,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2750,2023,Enero,21,Sábado,13,12:00 a 17:59,12:00 a 17:59,Rural,Izabal,Livingston,Mujer,Ignorada,7,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2751,2023,Enero,21,Sábado,13,12:00 a 17:59,12:00 a 17:59,Rural,Izabal,Livingston,Mujer,Ignorada,7,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2752,2023,Enero,21,Sábado,19,18:00 a 23:59,18:00 a 23:59,Rural,Petén,Sayaxché,Mujer,Ignorada,14,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2753,2023,Enero,21,Sábado,13,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Villa Canales,Mujer,Ignorada,10,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2754,2023,Enero,21,Sábado,16,12:00 a 17:59,12:00 a 17:59,Rural,Baja Verapaz,San Miguel Chicaj,Hombre,Ignorada,22,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2755,2023,Enero,21,Sábado,21,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Mujer,13,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2756,2023,Enero,22,Domingo,9,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Mujer,Ignorada,17,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2757,2023,Enero,22,Domingo,5,00:00 a 05:59,00:00 a 11:59,Rural,Retalhuleu,El Asintal,Mujer,Ignorada,21,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2758,2023,Enero,22,Domingo,5,00:00 a 05:59,00:00 a 11:59,Rural,Retalhuleu,El Asintal,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2759,2023,Enero,22,Domingo,7,06:00 a 11:59,00:00 a 11:59,Rural,San Marcos,San Miguel Ixtahuacán,Hombre,Ignorada,8,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2760,2023,Enero,22,Domingo,7,06:00 a 11:59,00:00 a 11:59,Rural,San Marcos,San Miguel Ixtahuacán,Mujer,Ignorada,9,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2761,2023,Enero,22,Domingo,17,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,El Tumbador,Hombre,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Desaparecidos,Contra la libertad
2762,2023,Enero,23,Lunes,0,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Hombre,Ignorada,27,25-29,25-29,25 - 29,Desaparecidos,Contra la libertad
2763,2023,Enero,23,Lunes,19,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Mujer,Ignorada,16,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2764,2023,Enero,23,Lunes,19,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,San Juan Sacatepéquez,Hombre,Ignorada,8,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2765,2023,Enero,24,Martes,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,7,Ignorada,Ignorado,Ignorado,Ignorado,Desaparecidos,Contra la libertad
2766,2023,Enero,24,Martes,9,06:00 a 11:59,00:00 a 11:59,Urbano,Sacatepéquez,San Antonio Aguas Calientes,Mujer,Ignorada,39,35-39,35-39,35 - 39,Desaparecidos,Contra la libertad
2767,2023,Enero,26,Jueves,20,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Chinautla,Hombre,Ignorada,14,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2768,2023,Enero,26,Jueves,23,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Mixco,Mujer,Ignorada,12,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2769,2023,Enero,26,Jueves,9,06:00 a 11:59,00:00 a 11:59,Rural,Chiquimula,Chiquimula,Mujer,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Desaparecidos,Contra la libertad
2770,2023,Enero,26,Jueves,9,06:00 a 11:59,00:00 a 11:59,Rural,Chiquimula,Chiquimula,Hombre,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Desaparecidos,Contra la libertad
2771,2023,Enero,26,Jueves,9,06:00 a 11:59,00:00 a 11:59,Rural,Chiquimula,Chiquimula,Hombre,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Desaparecidos,Contra la libertad
2772,2023,Enero,27,Viernes,23,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Villa Nueva,Mujer,Ignorada,16,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2773,2023,Enero,27,Viernes,16,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Villa Nueva,Mujer,Ignorada,21,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2774,2023,Enero,27,Viernes,23,18:00 a 23:59,18:00 a 23:59,Rural,Petén,San Luis,Mujer,Ignorada,14,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2775,2023,Enero,27,Viernes,5,00:00 a 05:59,00:00 a 11:59,Rural,Sacatepéquez,Ciudad Vieja,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2776,2023,Enero,27,Viernes,5,00:00 a 05:59,00:00 a 11:59,Rural,Sacatepéquez,Ciudad Vieja,Hombre,Ignorada,12,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2777,2023,Enero,27,Viernes,21,18:00 a 23:59,18:00 a 23:59,Urbano,San Marcos,San Marcos,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2778,2023,Enero,27,Viernes,6,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Mujer,18,2,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2779,2023,Enero,27,Viernes,22,18:00 a 23:59,18:00 a 23:59,Urbano,Chimaltenango,Chimaltenango,Mujer,Ignorada,13,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2780,2023,Enero,28,Sábado,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Mujer,21,17,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2781,2023,Enero,28,Sábado,14,12:00 a 17:59,12:00 a 17:59,Urbano,Chiquimula,Chiquimula,Mujer,Ignorada,35,35-39,35-39,35 - 39,Desaparecidos,Contra la libertad
2782,2023,Enero,28,Sábado,15,12:00 a 17:59,12:00 a 17:59,Rural,Totonicapán,Totonicapán,Mujer,Ignorada,36,35-39,35-39,35 - 39,Desaparecidos,Contra la libertad
2783,2023,Enero,28,Sábado,11,06:00 a 11:59,00:00 a 11:59,Rural,Chimaltenango,Acatenango,Hombre,Ignorada,30,30-34,30-34,30 - 34,Desaparecidos,Contra la libertad
2784,2023,Enero,29,Domingo,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,13,52,50-54,50-54,50 - 54,Desaparecidos,Contra la libertad
2785,2023,Enero,29,Domingo,17,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,38,35-39,35-39,35 - 39,Desaparecidos,Contra la libertad
2786,2023,Enero,29,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,Chiquimula,Chiquimula,Mujer,Ignorada,23,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2787,2023,Enero,29,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,Chiquimula,Chiquimula,Hombre,Ignorada,0,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2788,2023,Enero,29,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,Chiquimula,Chiquimula,Mujer,Ignorada,3,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2789,2023,Enero,29,Domingo,21,18:00 a 23:59,18:00 a 23:59,Urbano,Suchitepéquez,Mazatenango,Mujer,Ignorada,24,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2790,2023,Enero,29,Domingo,21,18:00 a 23:59,18:00 a 23:59,Urbano,Suchitepéquez,Mazatenango,Mujer,Ignorada,3,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2791,2023,Enero,29,Domingo,4,00:00 a 05:59,00:00 a 11:59,Rural,Retalhuleu,San Sebastián,Mujer,Ignorada,24,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2792,2023,Enero,29,Domingo,9,06:00 a 11:59,00:00 a 11:59,Rural,Baja Verapaz,Cubulco,Mujer,Ignorada,19,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2793,2023,Enero,29,Domingo,9,06:00 a 11:59,00:00 a 11:59,Rural,Baja Verapaz,Cubulco,Mujer,Ignorada,0,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2794,2023,Enero,29,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,Petén,Melchor de Mencos,Hombre,Ignorada,24,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2795,2023,Enero,29,Domingo,12,12:00 a 17:59,12:00 a 17:59,Rural,Petén,San Benito,Mujer,Ignorada,22,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2796,2023,Enero,29,Domingo,12,12:00 a 17:59,12:00 a 17:59,Rural,Petén,San Benito,Mujer,Ignorada,0,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2797,2023,Enero,29,Domingo,22,18:00 a 23:59,18:00 a 23:59,Rural,Chimaltenango,Tecpán Guatemala,Hombre,Ignorada,27,25-29,25-29,25 - 29,Desaparecidos,Contra la libertad
2798,2023,Enero,30,Lunes,5,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Mujer,Ignorada,14,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2799,2023,Enero,30,Lunes,5,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Mujer,Ignorada,17,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2800,2023,Enero,30,Lunes,10,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Hombre,Ignorada,20,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2801,2023,Enero,30,Lunes,13,12:00 a 17:59,12:00 a 17:59,Rural,Jutiapa,Atescatempa,Mujer,Ignorada,13,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2802,2023,Enero,30,Lunes,5,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,Palín,Mujer,Ignorada,12,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2803,2023,Enero,30,Lunes,7,06:00 a 11:59,00:00 a 11:59,Urbano,Huehuetenango,Huehuetenango,Mujer,Ignorada,18,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2804,2023,Enero,30,Lunes,11,06:00 a 11:59,00:00 a 11:59,Rural,El Progreso,San Agustín Acasaguastlán,Mujer,Ignorada,27,25-29,25-29,25 - 29,Desaparecidos,Contra la libertad
2805,2023,Enero,30,Lunes,23,18:00 a 23:59,18:00 a 23:59,Rural,Petén,La Libertad,Hombre,Ignorada,13,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2806,2023,Enero,30,Lunes,12,12:00 a 17:59,12:00 a 17:59,Rural,Quiché,Chichicastenango,Mujer,Ignorada,36,35-39,35-39,35 - 39,Desaparecidos,Contra la libertad
2807,2023,Enero,30,Lunes,12,12:00 a 17:59,12:00 a 17:59,Rural,Quiché,Chichicastenango,Mujer,Ignorada,3,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2808,2023,Enero,30,Lunes,12,12:00 a 17:59,12:00 a 17:59,Rural,Quiché,Chichicastenango,Hombre,Ignorada,4,Menor de 15,Menor de 15,0 - 4,Desaparecidos,Contra la libertad
2809,2023,Enero,31,Martes,13,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,45,45-49,45-49,45 - 49,Desaparecidos,Contra la libertad
2810,2023,Enero,31,Martes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Mujer,7,19,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2811,2023,Enero,31,Martes,20,18:00 a 23:59,18:00 a 23:59,Rural,Santa Rosa,San Rafael las Flores,Mujer,Ignorada,18,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2812,2023,Enero,31,Martes,16,12:00 a 17:59,12:00 a 17:59,Rural,Sololá,Santa Lucía Utatlán,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2813,2023,Febrero,1,Miércoles,10,06:00 a 11:59,00:00 a 11:59,Rural,Guatemala,Chinautla,Mujer,Ignorada,14,Menor de 15,Menor de 15,10 - 14,Desaparecidos,Contra la libertad
2814,2023,Febrero,1,Miércoles,18,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Amatitlán,Mujer,Ignorada,19,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2815,2023,Febrero,1,Miércoles,0,00:00 a 05:59,00:00 a 11:59,Urbano,Chiquimula,Quezaltepeque,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2816,2023,Febrero,1,Miércoles,18,18:00 a 23:59,18:00 a 23:59,Urbano,Chiquimula,Esquipulas,Mujer,Ignorada,39,35-39,35-39,35 - 39,Desaparecidos,Contra la libertad
2817,2023,Febrero,1,Miércoles,20,18:00 a 23:59,18:00 a 23:59,Rural,Chiquimula,Chiquimula,Mujer,Ignorada,16,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2818,2023,Febrero,1,Miércoles,12,12:00 a 17:59,12:00 a 17:59,Rural,Escuintla,Siquinalá,Mujer,Ignorada,31,30-34,30-34,30 - 34,Desaparecidos,Contra la libertad
2819,2023,Febrero,1,Miércoles,12,12:00 a 17:59,12:00 a 17:59,Rural,Escuintla,Siquinalá,Hombre,Ignorada,5,Menor de 15,Menor de 15,5 - 9,Desaparecidos,Contra la libertad
2820,2023,Febrero,1,Miércoles,13,12:00 a 17:59,12:00 a 17:59,Urbano,Huehuetenango,Huehuetenango,Mujer,Ignorada,24,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
2821,2023,Febrero,1,Miércoles,12,12:00 a 17:59,12:00 a 17:59,Urbano,Alta Verapaz,Cobán,Hombre,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2822,2023,Febrero,1,Miércoles,Ignorada,Ignorada,Ignorada,Urbano,Petén,Flores,Mujer,Ignorada,34,30-34,30-34,30 - 34,Desaparecidos,Contra la libertad
2823,2023,Febrero,1,Miércoles,9,06:00 a 11:59,00:00 a 11:59,Rural,Petén,Sayaxché,Mujer,Ignorada,19,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2824,2023,Febrero,1,Miércoles,11,06:00 a 11:59,00:00 a 11:59,Rural,Chimaltenango,Acatenango,Hombre,Ignorada,30,30-34,30-34,30 - 34,Desaparecidos,Contra la libertad
2825,2023,Febrero,2,Jueves,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Petapa,Mujer,Ignorada,15,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2826,2023,Febrero,2,Jueves,14,12:00 a 17:59,12:00 a 17:59,Rural,Baja Verapaz,Purulhá,Hombre,Ignorada,42,40-44,40-44,40 - 44,Desaparecidos,Contra la libertad
2827,2023,Febrero,2,Jueves,20,18:00 a 23:59,18:00 a 23:59,Urbano,Izabal,Puerto Barrios,Hombre,Ignorada,32,30-34,30-34,30 - 34,Desaparecidos,Contra la libertad
2828,2023,Febrero,2,Jueves,16,12:00 a 17:59,12:00 a 17:59,Urbano,Petén,Santa Ana,Mujer,Ignorada,16,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2829,2023,Febrero,2,Jueves,6,06:00 a 11:59,00:00 a 11:59,Urbano,Chimaltenango,El Tejar,Mujer,Ignorada,17,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2830,2023,Febrero,2,Jueves,6,06:00 a 11:59,00:00 a 11:59,Urbano,Chimaltenango,El Tejar,Hombre,Ignorada,17,15-19,15-19,15 - 19,Desaparecidos,Contra la libertad
2831,2023,Febrero,3,Viernes,5,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Mujer,Ignorada,21,20-24,20-24,20 - 24,Desaparecidos,Contra la libertad
