nombre,siglas,municipio_pcode,cobertura,descripcion
Cooperativa Integral de Producción Agrícola de Sololá R.L.,COOP-GT0701-A,GT0701,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Sololá.
Cooperativa Integral de Ahorro y Crédito de Sololá R.L.,COOP-GT0701-B,GT0701,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Sololá.
Asociación de Productores y Comercializadores de Sololá,ASO-GT0701-C,GT0701,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Sololá.
Cooperativa Integral de Producción Agrícola de San José Chacayá R.L.,COOP-GT0702-A,GT0702,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San José Chacayá.
Cooperativa Integral de Ahorro y Crédito de San José Chacayá R.L.,COOP-GT0702-B,GT0702,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San José Chacayá.
Asociación de Productores y Comercializadores de San José Chacayá,ASO-GT0702-C,GT0702,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San José Chacayá.
Cooperativa Integral de Producción Agrícola de Santa María Visitación R.L.,COOP-GT0703-A,GT0703,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa María Visitación.
Cooperativa Integral de Ahorro y Crédito de Santa María Visitación R.L.,COOP-GT0703-B,GT0703,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa María Visitación.
Asociación de Productores y Comercializadores de Santa María Visitación,ASO-GT0703-C,GT0703,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa María Visitación.
Cooperativa Integral de Producción Agrícola de Santa Lucía Utatlán R.L.,COOP-GT0704-A,GT0704,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Lucía Utatlán.
Cooperativa Integral de Ahorro y Crédito de Santa Lucía Utatlán R.L.,COOP-GT0704-B,GT0704,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Lucía Utatlán.
Asociación de Productores y Comercializadores de Santa Lucía Utatlán,ASO-GT0704-C,GT0704,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Lucía Utatlán.
Cooperativa Integral de Producción Agrícola de Nahualá R.L.,COOP-GT0705-A,GT0705,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Nahualá.
Cooperativa Integral de Ahorro y Crédito de Nahualá R.L.,COOP-GT0705-B,GT0705,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Nahualá.
Asociación de Productores y Comercializadores de Nahualá,ASO-GT0705-C,GT0705,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Nahualá.
Cooperativa Integral de Producción Agrícola de Santa Catarina Ixtahuacán R.L.,COOP-GT0706-A,GT0706,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Catarina Ixtahuacán.
Cooperativa Integral de Ahorro y Crédito de Santa Catarina Ixtahuacán R.L.,COOP-GT0706-B,GT0706,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Catarina Ixtahuacán.
Asociación de Productores y Comercializadores de Santa Catarina Ixtahuacán,ASO-GT0706-C,GT0706,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Catarina Ixtahuacán.
Cooperativa Integral de Producción Agrícola de Santa Clara La Laguna R.L.,COOP-GT0707-A,GT0707,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Clara La Laguna.
Cooperativa Integral de Ahorro y Crédito de Santa Clara La Laguna R.L.,COOP-GT0707-B,GT0707,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Clara La Laguna.
Asociación de Productores y Comercializadores de Santa Clara La Laguna,ASO-GT0707-C,GT0707,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Clara La Laguna.
Cooperativa Integral de Producción Agrícola de Concepción R.L.,COOP-GT0708-A,GT0708,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Concepción.
Cooperativa Integral de Ahorro y Crédito de Concepción R.L.,COOP-GT0708-B,GT0708,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Concepción.
Asociación de Productores y Comercializadores de Concepción,ASO-GT0708-C,GT0708,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Concepción.
Cooperativa Integral de Producción Agrícola de San Andrés Semetabaj R.L.,COOP-GT0709-A,GT0709,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Andrés Semetabaj.
Cooperativa Integral de Ahorro y Crédito de San Andrés Semetabaj R.L.,COOP-GT0709-B,GT0709,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Andrés Semetabaj.
Asociación de Productores y Comercializadores de San Andrés Semetabaj,ASO-GT0709-C,GT0709,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Andrés Semetabaj.
Cooperativa Integral de Producción Agrícola de Panajachel R.L.,COOP-GT0710-A,GT0710,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Panajachel.
Cooperativa Integral de Ahorro y Crédito de Panajachel R.L.,COOP-GT0710-B,GT0710,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Panajachel.
Asociación de Productores y Comercializadores de Panajachel,ASO-GT0710-C,GT0710,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Panajachel.
Cooperativa Integral de Producción Agrícola de Santa Catarina Palopó R.L.,COOP-GT0711-A,GT0711,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Catarina Palopó.
Cooperativa Integral de Ahorro y Crédito de Santa Catarina Palopó R.L.,COOP-GT0711-B,GT0711,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Catarina Palopó.
Asociación de Productores y Comercializadores de Santa Catarina Palopó,ASO-GT0711-C,GT0711,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Catarina Palopó.
Cooperativa Integral de Producción Agrícola de San Antonio Palopó R.L.,COOP-GT0712-A,GT0712,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Antonio Palopó.
Cooperativa Integral de Ahorro y Crédito de San Antonio Palopó R.L.,COOP-GT0712-B,GT0712,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Antonio Palopó.
Asociación de Productores y Comercializadores de San Antonio Palopó,ASO-GT0712-C,GT0712,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Antonio Palopó.
Cooperativa Integral de Producción Agrícola de San Lucas Tolimán R.L.,COOP-GT0713-A,GT0713,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Lucas Tolimán.
Cooperativa Integral de Ahorro y Crédito de San Lucas Tolimán R.L.,COOP-GT0713-B,GT0713,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Lucas Tolimán.
Asociación de Productores y Comercializadores de San Lucas Tolimán,ASO-GT0713-C,GT0713,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Lucas Tolimán.
Cooperativa Integral de Producción Agrícola de Santa Cruz La Laguna R.L.,COOP-GT0714-A,GT0714,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Cruz La Laguna.
Cooperativa Integral de Ahorro y Crédito de Santa Cruz La Laguna R.L.,COOP-GT0714-B,GT0714,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Cruz La Laguna.
Asociación de Productores y Comercializadores de Santa Cruz La Laguna,ASO-GT0714-C,GT0714,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Cruz La Laguna.
Cooperativa Integral de Producción Agrícola de San Pablo La Laguna R.L.,COOP-GT0715-A,GT0715,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Pablo La Laguna.
Cooperativa Integral de Ahorro y Crédito de San Pablo La Laguna R.L.,COOP-GT0715-B,GT0715,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Pablo La Laguna.
Asociación de Productores y Comercializadores de San Pablo La Laguna,ASO-GT0715-C,GT0715,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Pablo La Laguna.
Cooperativa Integral de Producción Agrícola de San Marcos La Laguna R.L.,COOP-GT0716-A,GT0716,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Marcos La Laguna.
Cooperativa Integral de Ahorro y Crédito de San Marcos La Laguna R.L.,COOP-GT0716-B,GT0716,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Marcos La Laguna.
Asociación de Productores y Comercializadores de San Marcos La Laguna,ASO-GT0716-C,GT0716,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Marcos La Laguna.
Cooperativa Integral de Producción Agrícola de San Juan La Laguna R.L.,COOP-GT0717-A,GT0717,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Juan La Laguna.
Cooperativa Integral de Ahorro y Crédito de San Juan La Laguna R.L.,COOP-GT0717-B,GT0717,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Juan La Laguna.
Asociación de Productores y Comercializadores de San Juan La Laguna,ASO-GT0717-C,GT0717,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Juan La Laguna.
Cooperativa Integral de Producción Agrícola de San Pedro La Laguna R.L.,COOP-GT0718-A,GT0718,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Pedro La Laguna.
Cooperativa Integral de Ahorro y Crédito de San Pedro La Laguna R.L.,COOP-GT0718-B,GT0718,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Pedro La Laguna.
Asociación de Productores y Comercializadores de San Pedro La Laguna,ASO-GT0718-C,GT0718,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Pedro La Laguna.
Cooperativa Integral de Producción Agrícola de Santiago Atitlán R.L.,COOP-GT0719-A,GT0719,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santiago Atitlán.
Cooperativa Integral de Ahorro y Crédito de Santiago Atitlán R.L.,COOP-GT0719-B,GT0719,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santiago Atitlán.
Asociación de Productores y Comercializadores de Santiago Atitlán,ASO-GT0719-C,GT0719,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santiago Atitlán.
Cooperativa Integral de Producción Agrícola de Totonicapán R.L.,COOP-GT0801-A,GT0801,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Totonicapán.
Cooperativa Integral de Ahorro y Crédito de Totonicapán R.L.,COOP-GT0801-B,GT0801,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Totonicapán.
Asociación de Productores y Comercializadores de Totonicapán,ASO-GT0801-C,GT0801,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Totonicapán.
Cooperativa Integral de Producción Agrícola de San Cristóbal Totonicapán R.L.,COOP-GT0802-A,GT0802,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Cristóbal Totonicapán.
Cooperativa Integral de Ahorro y Crédito de San Cristóbal Totonicapán R.L.,COOP-GT0802-B,GT0802,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Cristóbal Totonicapán.
Asociación de Productores y Comercializadores de San Cristóbal Totonicapán,ASO-GT0802-C,GT0802,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Cristóbal Totonicapán.
Cooperativa Integral de Producción Agrícola de San Francisco El Alto R.L.,COOP-GT0803-A,GT0803,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Francisco El Alto.
Cooperativa Integral de Ahorro y Crédito de San Francisco El Alto R.L.,COOP-GT0803-B,GT0803,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Francisco El Alto.
Asociación de Productores y Comercializadores de San Francisco El Alto,ASO-GT0803-C,GT0803,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Francisco El Alto.
Cooperativa Integral de Producción Agrícola de San Andrés Xecul R.L.,COOP-GT0804-A,GT0804,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Andrés Xecul.
Cooperativa Integral de Ahorro y Crédito de San Andrés Xecul R.L.,COOP-GT0804-B,GT0804,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Andrés Xecul.
Asociación de Productores y Comercializadores de San Andrés Xecul,ASO-GT0804-C,GT0804,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Andrés Xecul.
Cooperativa Integral de Producción Agrícola de Momostenango R.L.,COOP-GT0805-A,GT0805,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Momostenango.
Cooperativa Integral de Ahorro y Crédito de Momostenango R.L.,COOP-GT0805-B,GT0805,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Momostenango.
Asociación de Productores y Comercializadores de Momostenango,ASO-GT0805-C,GT0805,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Momostenango.
Cooperativa Integral de Producción Agrícola de Santa María Chiquimula R.L.,COOP-GT0806-A,GT0806,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa María Chiquimula.
Cooperativa Integral de Ahorro y Crédito de Santa María Chiquimula R.L.,COOP-GT0806-B,GT0806,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa María Chiquimula.
Asociación de Productores y Comercializadores de Santa María Chiquimula,ASO-GT0806-C,GT0806,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa María Chiquimula.
Cooperativa Integral de Producción Agrícola de Santa Lucía La Reforma R.L.,COOP-GT0807-A,GT0807,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Lucía La Reforma.
Cooperativa Integral de Ahorro y Crédito de Santa Lucía La Reforma R.L.,COOP-GT0807-B,GT0807,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Lucía La Reforma.
Asociación de Productores y Comercializadores de Santa Lucía La Reforma,ASO-GT0807-C,GT0807,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Lucía La Reforma.
Cooperativa Integral de Producción Agrícola de San Bartolo R.L.,COOP-GT0808-A,GT0808,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Bartolo.
Cooperativa Integral de Ahorro y Crédito de San Bartolo R.L.,COOP-GT0808-B,GT0808,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Bartolo.
Asociación de Productores y Comercializadores de San Bartolo,ASO-GT0808-C,GT0808,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Bartolo.
Cooperativa Integral de Producción Agrícola de Quetzaltenango R.L.,COOP-GT0901-A,GT0901,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Quetzaltenango.
Cooperativa Integral de Ahorro y Crédito de Quetzaltenango R.L.,COOP-GT0901-B,GT0901,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Quetzaltenango.
Asociación de Productores y Comercializadores de Quetzaltenango,ASO-GT0901-C,GT0901,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Quetzaltenango.
Cooperativa Integral de Producción Agrícola de Salcajá R.L.,COOP-GT0902-A,GT0902,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Salcajá.
Cooperativa Integral de Ahorro y Crédito de Salcajá R.L.,COOP-GT0902-B,GT0902,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Salcajá.
Asociación de Productores y Comercializadores de Salcajá,ASO-GT0902-C,GT0902,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Salcajá.
Cooperativa Integral de Producción Agrícola de Olintepeque R.L.,COOP-GT0903-A,GT0903,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Olintepeque.
Cooperativa Integral de Ahorro y Crédito de Olintepeque R.L.,COOP-GT0903-B,GT0903,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Olintepeque.
Asociación de Productores y Comercializadores de Olintepeque,ASO-GT0903-C,GT0903,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Olintepeque.
Cooperativa Integral de Producción Agrícola de San Carlos Sija R.L.,COOP-GT0904-A,GT0904,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Carlos Sija.
Cooperativa Integral de Ahorro y Crédito de San Carlos Sija R.L.,COOP-GT0904-B,GT0904,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Carlos Sija.
Asociación de Productores y Comercializadores de San Carlos Sija,ASO-GT0904-C,GT0904,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Carlos Sija.
Cooperativa Integral de Producción Agrícola de Sibilia R.L.,COOP-GT0905-A,GT0905,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Sibilia.
Cooperativa Integral de Ahorro y Crédito de Sibilia R.L.,COOP-GT0905-B,GT0905,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Sibilia.
Asociación de Productores y Comercializadores de Sibilia,ASO-GT0905-C,GT0905,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Sibilia.
Cooperativa Integral de Producción Agrícola de Cabricán R.L.,COOP-GT0906-A,GT0906,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Cabricán.
Cooperativa Integral de Ahorro y Crédito de Cabricán R.L.,COOP-GT0906-B,GT0906,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Cabricán.
Asociación de Productores y Comercializadores de Cabricán,ASO-GT0906-C,GT0906,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Cabricán.
Cooperativa Integral de Producción Agrícola de Cajolá R.L.,COOP-GT0907-A,GT0907,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Cajolá.
Cooperativa Integral de Ahorro y Crédito de Cajolá R.L.,COOP-GT0907-B,GT0907,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Cajolá.
Asociación de Productores y Comercializadores de Cajolá,ASO-GT0907-C,GT0907,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Cajolá.
Cooperativa Integral de Producción Agrícola de San Miguel Sigüila R.L.,COOP-GT0908-A,GT0908,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Miguel Sigüila.
Cooperativa Integral de Ahorro y Crédito de San Miguel Sigüila R.L.,COOP-GT0908-B,GT0908,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Miguel Sigüila.
Asociación de Productores y Comercializadores de San Miguel Sigüila,ASO-GT0908-C,GT0908,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Miguel Sigüila.
Cooperativa Integral de Producción Agrícola de Ostuncalco R.L.,COOP-GT0909-A,GT0909,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Ostuncalco.
Cooperativa Integral de Ahorro y Crédito de Ostuncalco R.L.,COOP-GT0909-B,GT0909,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Ostuncalco.
Asociación de Productores y Comercializadores de Ostuncalco,ASO-GT0909-C,GT0909,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Ostuncalco.
Cooperativa Integral de Producción Agrícola de San Mateo R.L.,COOP-GT0910-A,GT0910,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Mateo.
Cooperativa Integral de Ahorro y Crédito de San Mateo R.L.,COOP-GT0910-B,GT0910,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Mateo.
Asociación de Productores y Comercializadores de San Mateo,ASO-GT0910-C,GT0910,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Mateo.
Cooperativa Integral de Producción Agrícola de Concepción Chiquirichapa R.L.,COOP-GT0911-A,GT0911,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Concepción Chiquirichapa.
Cooperativa Integral de Ahorro y Crédito de Concepción Chiquirichapa R.L.,COOP-GT0911-B,GT0911,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Concepción Chiquirichapa.
Asociación de Productores y Comercializadores de Concepción Chiquirichapa,ASO-GT0911-C,GT0911,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Concepción Chiquirichapa.
Cooperativa Integral de Producción Agrícola de San Martín Sacatepéquez R.L.,COOP-GT0912-A,GT0912,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Martín Sacatepéquez.
Cooperativa Integral de Ahorro y Crédito de San Martín Sacatepéquez R.L.,COOP-GT0912-B,GT0912,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Martín Sacatepéquez.
Asociación de Productores y Comercializadores de San Martín Sacatepéquez,ASO-GT0912-C,GT0912,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Martín Sacatepéquez.
Cooperativa Integral de Producción Agrícola de Almolonga R.L.,COOP-GT0913-A,GT0913,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Almolonga.
Cooperativa Integral de Ahorro y Crédito de Almolonga R.L.,COOP-GT0913-B,GT0913,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Almolonga.
Asociación de Productores y Comercializadores de Almolonga,ASO-GT0913-C,GT0913,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Almolonga.
Cooperativa Integral de Producción Agrícola de Cantel R.L.,COOP-GT0914-A,GT0914,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Cantel.
Cooperativa Integral de Ahorro y Crédito de Cantel R.L.,COOP-GT0914-B,GT0914,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Cantel.
Asociación de Productores y Comercializadores de Cantel,ASO-GT0914-C,GT0914,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Cantel.
Cooperativa Integral de Producción Agrícola de Huitán R.L.,COOP-GT0915-A,GT0915,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Huitán.
Cooperativa Integral de Ahorro y Crédito de Huitán R.L.,COOP-GT0915-B,GT0915,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Huitán.
Asociación de Productores y Comercializadores de Huitán,ASO-GT0915-C,GT0915,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Huitán.
Cooperativa Integral de Producción Agrícola de Zunil R.L.,COOP-GT0916-A,GT0916,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Zunil.
Cooperativa Integral de Ahorro y Crédito de Zunil R.L.,COOP-GT0916-B,GT0916,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Zunil.
Asociación de Productores y Comercializadores de Zunil,ASO-GT0916-C,GT0916,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Zunil.
Cooperativa Integral de Producción Agrícola de Colomba R.L.,COOP-GT0917-A,GT0917,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Colomba.
Cooperativa Integral de Ahorro y Crédito de Colomba R.L.,COOP-GT0917-B,GT0917,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Colomba.
Asociación de Productores y Comercializadores de Colomba,ASO-GT0917-C,GT0917,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Colomba.
Cooperativa Integral de Producción Agrícola de San Francisco La Unión R.L.,COOP-GT0918-A,GT0918,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Francisco La Unión.
Cooperativa Integral de Ahorro y Crédito de San Francisco La Unión R.L.,COOP-GT0918-B,GT0918,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Francisco La Unión.
Asociación de Productores y Comercializadores de San Francisco La Unión,ASO-GT0918-C,GT0918,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Francisco La Unión.
Cooperativa Integral de Producción Agrícola de El Palmar R.L.,COOP-GT0919-A,GT0919,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de El Palmar.
Cooperativa Integral de Ahorro y Crédito de El Palmar R.L.,COOP-GT0919-B,GT0919,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de El Palmar.
Asociación de Productores y Comercializadores de El Palmar,ASO-GT0919-C,GT0919,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de El Palmar.
Cooperativa Integral de Producción Agrícola de Coatepeque R.L.,COOP-GT0920-A,GT0920,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Coatepeque.
Cooperativa Integral de Ahorro y Crédito de Coatepeque R.L.,COOP-GT0920-B,GT0920,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Coatepeque.
Asociación de Productores y Comercializadores de Coatepeque,ASO-GT0920-C,GT0920,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Coatepeque.
Cooperativa Integral de Producción Agrícola de Génova R.L.,COOP-GT0921-A,GT0921,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Génova.
Cooperativa Integral de Ahorro y Crédito de Génova R.L.,COOP-GT0921-B,GT0921,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Génova.
Asociación de Productores y Comercializadores de Génova,ASO-GT0921-C,GT0921,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Génova.
Cooperativa Integral de Producción Agrícola de Flores Costa Cuca R.L.,COOP-GT0922-A,GT0922,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Flores Costa Cuca.
Cooperativa Integral de Ahorro y Crédito de Flores Costa Cuca R.L.,COOP-GT0922-B,GT0922,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Flores Costa Cuca.
Asociación de Productores y Comercializadores de Flores Costa Cuca,ASO-GT0922-C,GT0922,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Flores Costa Cuca.
Cooperativa Integral de Producción Agrícola de La Esperanza R.L.,COOP-GT0923-A,GT0923,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de La Esperanza.
Cooperativa Integral de Ahorro y Crédito de La Esperanza R.L.,COOP-GT0923-B,GT0923,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de La Esperanza.
Asociación de Productores y Comercializadores de La Esperanza,ASO-GT0923-C,GT0923,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de La Esperanza.
Cooperativa Integral de Producción Agrícola de Palestina de Los Altos R.L.,COOP-GT0924-A,GT0924,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Palestina de Los Altos.
Cooperativa Integral de Ahorro y Crédito de Palestina de Los Altos R.L.,COOP-GT0924-B,GT0924,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Palestina de Los Altos.
