cooperativa_siglas,tipo_servicio,tasa_interes_anual,monto_maximo_quetzales,requisito_principal
ASO-GT0701-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0702-A,Microcrédito Agrícola,12.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0702-B,Remesas Familiares,14.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0702-C,Crédito Artesanal,6.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0703-A,Financiamiento de Equipo,17.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0703-B,Ahorro Plazo Fijo,7.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0703-C,Crédito Artesanal,11.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0704-A,Microcrédito Agrícola,12.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0704-B,Remesas Familiares,16.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0704-C,Crédito Artesanal,11.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0705-A,Financiamiento de Equipo,7.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0705-B,Ahorro Plazo Fijo,18.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0705-C,Crédito Artesanal,16.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0706-A,Microcrédito Agrícola,8.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0706-B,Remesas Familiares,12.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0706-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0707-A,Financiamiento de Equipo,7.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0707-B,Ahorro Plazo Fijo,13.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0707-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0708-A,Microcrédito Agrícola,17.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0708-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0708-C,Crédito Artesanal,9.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0709-A,Financiamiento de Equipo,17.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0709-B,Ahorro Plazo Fijo,13.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0709-C,Crédito Artesanal,7.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0710-A,Microcrédito Agrícola,13.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0710-B,Remesas Familiares,6.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0710-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0711-A,Financiamiento de Equipo,11.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0711-B,Ahorro Plazo Fijo,12.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0711-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0712-A,Microcrédito Agrícola,16.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0712-B,Remesas Familiares,17.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0712-C,Crédito Artesanal,7.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0713-A,Financiamiento de Equipo,17.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0713-B,Ahorro Plazo Fijo,13.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0713-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0714-A,Microcrédito Agrícola,9.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0714-B,Remesas Familiares,6.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0714-C,Crédito Artesanal,16.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0715-A,Financiamiento de Equipo,10.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0715-B,Ahorro Plazo Fijo,13.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0715-C,Crédito Artesanal,15.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0716-A,Microcrédito Agrícola,7.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0716-B,Remesas Familiares,13.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0716-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0717-A,Financiamiento de Equipo,12.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0717-B,Ahorro Plazo Fijo,18.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0717-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0718-A,Microcrédito Agrícola,16.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0718-B,Remesas Familiares,11.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0718-C,Crédito Artesanal,18.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0719-A,Financiamiento de Equipo,15.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0719-B,Ahorro Plazo Fijo,11.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0719-C,Crédito Artesanal,7.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0801-A,Microcrédito Agrícola,8.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0801-B,Remesas Familiares,8.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0801-C,Crédito Artesanal,14.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0802-A,Financiamiento de Equipo,13.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0802-B,Ahorro Plazo Fijo,15.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0802-C,Crédito Artesanal,8.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0803-A,Microcrédito Agrícola,18.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0803-B,Remesas Familiares,18.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0803-C,Crédito Artesanal,6.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0804-A,Financiamiento de Equipo,7.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0804-B,Ahorro Plazo Fijo,6.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0804-C,Crédito Artesanal,7.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0805-A,Microcrédito Agrícola,12.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0805-B,Remesas Familiares,17.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0805-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0806-A,Financiamiento de Equipo,16.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0806-B,Ahorro Plazo Fijo,14.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0806-C,Crédito Artesanal,12.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0807-A,Microcrédito Agrícola,8.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0807-B,Remesas Familiares,15.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0807-C,Crédito Artesanal,17.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0808-A,Financiamiento de Equipo,15.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0808-B,Ahorro Plazo Fijo,16.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0808-C,Crédito Artesanal,11.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0901-A,Microcrédito Agrícola,6.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0901-B,Remesas Familiares,9.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0901-C,Crédito Artesanal,14.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0902-A,Financiamiento de Equipo,15.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0902-B,Ahorro Plazo Fijo,18.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0902-C,Crédito Artesanal,13.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0903-A,Microcrédito Agrícola,10.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0903-B,Remesas Familiares,9.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0903-C,Crédito Artesanal,18.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0904-A,Financiamiento de Equipo,16.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0904-B,Ahorro Plazo Fijo,13.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0904-C,Crédito Artesanal,8.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0905-A,Microcrédito Agrícola,6.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0905-B,Remesas Familiares,10.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0905-C,Crédito Artesanal,12.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0906-A,Financiamiento de Equipo,11.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0906-B,Ahorro Plazo Fijo,6.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0906-C,Crédito Artesanal,17.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0907-A,Microcrédito Agrícola,14.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0907-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0907-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0908-A,Financiamiento de Equipo,7.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0908-B,Ahorro Plazo Fijo,17.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0908-C,Crédito Artesanal,15.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0909-A,Microcrédito Agrícola,12.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0909-B,Remesas Familiares,17.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0909-C,Crédito Artesanal,9.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0910-A,Financiamiento de Equipo,11.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0910-B,Ahorro Plazo Fijo,7.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0910-C,Crédito Artesanal,17.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0911-A,Microcrédito Agrícola,9.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0911-B,Remesas Familiares,9.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0911-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0912-A,Financiamiento de Equipo,6.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0912-B,Ahorro Plazo Fijo,8.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0912-C,Crédito Artesanal,15.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0913-A,Microcrédito Agrícola,8.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0913-B,Remesas Familiares,11.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0913-C,Crédito Artesanal,13.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0914-A,Financiamiento de Equipo,16.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0914-B,Ahorro Plazo Fijo,10.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0914-C,Crédito Artesanal,11.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0915-A,Microcrédito Agrícola,6.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0915-B,Remesas Familiares,10.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0915-C,Crédito Artesanal,7.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0916-A,Financiamiento de Equipo,13.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0916-B,Ahorro Plazo Fijo,8.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0916-C,Crédito Artesanal,9.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0917-A,Microcrédito Agrícola,15.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0917-B,Remesas Familiares,18.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0917-C,Crédito Artesanal,15.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0918-A,Financiamiento de Equipo,7.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0918-B,Ahorro Plazo Fijo,14.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0918-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0919-A,Microcrédito Agrícola,13.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0919-B,Remesas Familiares,6.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0919-C,Crédito Artesanal,17.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0920-A,Financiamiento de Equipo,9.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0920-B,Ahorro Plazo Fijo,12.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0920-C,Crédito Artesanal,15.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0921-A,Microcrédito Agrícola,15.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0921-B,Remesas Familiares,12.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0921-C,Crédito Artesanal,6.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0922-A,Financiamiento de Equipo,17.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0922-B,Ahorro Plazo Fijo,12.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0922-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0923-A,Microcrédito Agrícola,13.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0923-B,Remesas Familiares,9.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0923-C,Crédito Artesanal,14.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0924-A,Financiamiento de Equipo,17.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0924-B,Ahorro Plazo Fijo,9.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0924-C,Crédito Artesanal,11.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1001-A,Microcrédito Agrícola,9.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1001-B,Remesas Familiares,6.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1001-C,Crédito Artesanal,16.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1002-A,Financiamiento de Equipo,8.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1002-B,Ahorro Plazo Fijo,15.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1002-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1003-A,Microcrédito Agrícola,18.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1003-B,Remesas Familiares,17.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1003-C,Crédito Artesanal,8.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1004-A,Financiamiento de Equipo,16.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1004-B,Ahorro Plazo Fijo,17.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1004-C,Crédito Artesanal,16.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1005-A,Microcrédito Agrícola,12.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1005-B,Remesas Familiares,14.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1005-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1006-A,Financiamiento de Equipo,18.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1006-B,Ahorro Plazo Fijo,17.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1006-C,Crédito Artesanal,18.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1007-A,Microcrédito Agrícola,15.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1007-B,Remesas Familiares,17.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1007-C,Crédito Artesanal,14.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1008-A,Financiamiento de Equipo,6.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1008-B,Ahorro Plazo Fijo,12.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1008-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1009-A,Microcrédito Agrícola,11.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1009-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1009-C,Crédito Artesanal,14.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1010-A,Financiamiento de Equipo,8.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1010-B,Ahorro Plazo Fijo,9.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1010-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1011-A,Microcrédito Agrícola,17.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1011-B,Remesas Familiares,18.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1011-C,Crédito Artesanal,11.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1012-A,Financiamiento de Equipo,10.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1012-B,Ahorro Plazo Fijo,10.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1012-C,Crédito Artesanal,7.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1013-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1013-B,Remesas Familiares,13.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1013-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1014-A,Financiamiento de Equipo,13.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1014-B,Ahorro Plazo Fijo,18.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1014-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1015-A,Microcrédito Agrícola,7.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1015-B,Remesas Familiares,12.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1015-C,Crédito Artesanal,10.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1016-A,Financiamiento de Equipo,7.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1016-B,Ahorro Plazo Fijo,10.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1016-C,Crédito Artesanal,17.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1017-A,Microcrédito Agrícola,13.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1017-B,Remesas Familiares,9.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1017-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1018-A,Financiamiento de Equipo,16.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1018-B,Ahorro Plazo Fijo,13.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1018-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1019-A,Microcrédito Agrícola,17.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1019-B,Remesas Familiares,10.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1019-C,Crédito Artesanal,7.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1020-A,Financiamiento de Equipo,18.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1020-B,Ahorro Plazo Fijo,14.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1020-C,Crédito Artesanal,12.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1021-A,Microcrédito Agrícola,16.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1021-B,Remesas Familiares,13.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1021-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1101-A,Financiamiento de Equipo,15.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1101-B,Ahorro Plazo Fijo,18.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1101-C,Crédito Artesanal,8.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1102-A,Microcrédito Agrícola,9.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1102-B,Remesas Familiares,11.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1102-C,Crédito Artesanal,18.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1103-A,Financiamiento de Equipo,8.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1103-B,Ahorro Plazo Fijo,10.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1103-C,Crédito Artesanal,8.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1104-A,Microcrédito Agrícola,17.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1104-B,Remesas Familiares,8.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1104-C,Crédito Artesanal,17.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1105-A,Financiamiento de Equipo,8.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1105-B,Ahorro Plazo Fijo,7.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1105-C,Crédito Artesanal,11.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1106-A,Microcrédito Agrícola,13.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1106-B,Remesas Familiares,11.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1106-C,Crédito Artesanal,9.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1107-A,Financiamiento de Equipo,16.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1107-B,Ahorro Plazo Fijo,11.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1107-C,Crédito Artesanal,11.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1108-A,Microcrédito Agrícola,14.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1108-B,Remesas Familiares,14.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1108-C,Crédito Artesanal,7.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1109-A,Financiamiento de Equipo,12.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1109-B,Ahorro Plazo Fijo,18.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1109-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1201-A,Microcrédito Agrícola,8.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1201-B,Remesas Familiares,17.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1201-C,Crédito Artesanal,16.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1202-A,Financiamiento de Equipo,13.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1202-B,Ahorro Plazo Fijo,18.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1202-C,Crédito Artesanal,18.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1203-A,Microcrédito Agrícola,11.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1203-B,Remesas Familiares,17.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1203-C,Crédito Artesanal,6.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1204-A,Financiamiento de Equipo,16.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1204-B,Ahorro Plazo Fijo,10.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1204-C,Crédito Artesanal,12.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1205-A,Microcrédito Agrícola,13.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1205-B,Remesas Familiares,7.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1205-C,Crédito Artesanal,6.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1206-A,Financiamiento de Equipo,15.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1206-B,Ahorro Plazo Fijo,18.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1206-C,Crédito Artesanal,9.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1207-A,Microcrédito Agrícola,7.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1207-B,Remesas Familiares,16.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1207-C,Crédito Artesanal,14.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1208-A,Financiamiento de Equipo,9.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1208-B,Ahorro Plazo Fijo,11.00,10000.00,Monto de apertura mínimo de Q500.
