nombre,origen,descripcion
Semilla de Frijol de Chiquimulilla,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chiquimulilla.
Abono Orgánico de Chiquimulilla,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chiquimulilla.
Semilla de Maíz de Taxisco,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Taxisco.
Semilla de Frijol de Taxisco,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Taxisco.
Abono Orgánico de Taxisco,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Taxisco.
Semilla de Maíz de Santa María Ixhuatán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa María Ixhuatán.
Semilla de Frijol de Santa María Ixhuatán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa María Ixhuatán.
Abono Orgánico de Santa María Ixhuatán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa María Ixhuatán.
Semilla de Maíz de Guazacapán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Guazacapán.
Semilla de Frijol de Guazacapán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Guazacapán.
Abono Orgánico de Guazacapán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Guazacapán.
Semilla de Maíz de Santa Cruz Naranjo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Cruz Naranjo.
Semilla de Frijol de Santa Cruz Naranjo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Cruz Naranjo.
Abono Orgánico de Santa Cruz Naranjo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Cruz Naranjo.
Semilla de Maíz de Pueblo Nuevo Viñas,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Pueblo Nuevo Viñas.
Semilla de Frijol de Pueblo Nuevo Viñas,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Pueblo Nuevo Viñas.
Abono Orgánico de Pueblo Nuevo Viñas,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Pueblo Nuevo Viñas.
Semilla de Maíz de Nueva Santa Rosa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Nueva Santa Rosa.
Semilla de Frijol de Nueva Santa Rosa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Nueva Santa Rosa.
Abono Orgánico de Nueva Santa Rosa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Nueva Santa Rosa.
Semilla de Maíz de Lago De Atitlan,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Lago De Atitlan.
Semilla de Frijol de Lago De Atitlan,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Lago De Atitlan.
Abono Orgánico de Lago De Atitlan,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Lago De Atitlan.
Semilla de Maíz de Sololá,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Sololá.
Semilla de Frijol de Sololá,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Sololá.
Abono Orgánico de Sololá,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Sololá.
Semilla de Maíz de San José Chacayá,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San José Chacayá.
Semilla de Frijol de San José Chacayá,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San José Chacayá.
Abono Orgánico de San José Chacayá,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San José Chacayá.
Semilla de Maíz de Santa María Visitación,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa María Visitación.
Semilla de Frijol de Santa María Visitación,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa María Visitación.
Abono Orgánico de Santa María Visitación,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa María Visitación.
Semilla de Maíz de Santa Lucía Utatlán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Lucía Utatlán.
Semilla de Frijol de Santa Lucía Utatlán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Lucía Utatlán.
Abono Orgánico de Santa Lucía Utatlán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Lucía Utatlán.
Semilla de Maíz de Nahualá,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Nahualá.
Semilla de Frijol de Nahualá,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Nahualá.
Abono Orgánico de Nahualá,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Nahualá.
Semilla de Maíz de Santa Catarina Ixtahuacán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Catarina Ixtahuacán.
Semilla de Frijol de Santa Catarina Ixtahuacán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Catarina Ixtahuacán.
Abono Orgánico de Santa Catarina Ixtahuacán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Catarina Ixtahuacán.
Semilla de Maíz de Santa Clara La Laguna,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Clara La Laguna.
Semilla de Frijol de Santa Clara La Laguna,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Clara La Laguna.
Abono Orgánico de Santa Clara La Laguna,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Clara La Laguna.
Semilla de Maíz de Concepción,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Concepción.
Semilla de Frijol de Concepción,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Concepción.
Abono Orgánico de Concepción,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Concepción.
Semilla de Maíz de San Andrés Semetabaj,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Andrés Semetabaj.
Semilla de Frijol de San Andrés Semetabaj,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Andrés Semetabaj.
Abono Orgánico de San Andrés Semetabaj,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Andrés Semetabaj.
Semilla de Maíz de Panajachel,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Panajachel.
Semilla de Frijol de Panajachel,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Panajachel.
Abono Orgánico de Panajachel,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Panajachel.
Semilla de Maíz de Santa Catarina Palopó,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Catarina Palopó.
Semilla de Frijol de Santa Catarina Palopó,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Catarina Palopó.
Abono Orgánico de Santa Catarina Palopó,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Catarina Palopó.
Semilla de Maíz de San Antonio Palopó,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Antonio Palopó.
Semilla de Frijol de San Antonio Palopó,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Antonio Palopó.
Abono Orgánico de San Antonio Palopó,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Antonio Palopó.
Semilla de Maíz de San Lucas Tolimán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Lucas Tolimán.
Semilla de Frijol de San Lucas Tolimán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Lucas Tolimán.
Abono Orgánico de San Lucas Tolimán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Lucas Tolimán.
Semilla de Maíz de Santa Cruz La Laguna,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Cruz La Laguna.
Semilla de Frijol de Santa Cruz La Laguna,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Cruz La Laguna.
Abono Orgánico de Santa Cruz La Laguna,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Cruz La Laguna.
Semilla de Maíz de San Pablo La Laguna,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Pablo La Laguna.
Semilla de Frijol de San Pablo La Laguna,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Pablo La Laguna.
Abono Orgánico de San Pablo La Laguna,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Pablo La Laguna.
Semilla de Maíz de San Marcos La Laguna,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Marcos La Laguna.
Semilla de Frijol de San Marcos La Laguna,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Marcos La Laguna.
Abono Orgánico de San Marcos La Laguna,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Marcos La Laguna.
Semilla de Maíz de San Juan La Laguna,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Juan La Laguna.
Semilla de Frijol de San Juan La Laguna,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Juan La Laguna.
Abono Orgánico de San Juan La Laguna,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Juan La Laguna.
Semilla de Maíz de San Pedro La Laguna,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Pedro La Laguna.
Semilla de Frijol de San Pedro La Laguna,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Pedro La Laguna.
Abono Orgánico de San Pedro La Laguna,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Pedro La Laguna.
Semilla de Maíz de Santiago Atitlán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santiago Atitlán.
Semilla de Frijol de Santiago Atitlán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santiago Atitlán.
Abono Orgánico de Santiago Atitlán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santiago Atitlán.
Semilla de Maíz de Totonicapán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Totonicapán.
Semilla de Frijol de Totonicapán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Totonicapán.
Abono Orgánico de Totonicapán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Totonicapán.
Semilla de Maíz de San Cristóbal Totonicapán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Cristóbal Totonicapán.
Semilla de Frijol de San Cristóbal Totonicapán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Cristóbal Totonicapán.
Abono Orgánico de San Cristóbal Totonicapán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Cristóbal Totonicapán.
Semilla de Maíz de San Francisco El Alto,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Francisco El Alto.
Semilla de Frijol de San Francisco El Alto,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Francisco El Alto.
Abono Orgánico de San Francisco El Alto,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Francisco El Alto.
Semilla de Maíz de San Andrés Xecul,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Andrés Xecul.
Semilla de Frijol de San Andrés Xecul,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Andrés Xecul.
Abono Orgánico de San Andrés Xecul,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Andrés Xecul.
Semilla de Maíz de Momostenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Momostenango.
Semilla de Frijol de Momostenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Momostenango.
Abono Orgánico de Momostenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Momostenango.
Semilla de Maíz de Santa María Chiquimula,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa María Chiquimula.
Semilla de Frijol de Santa María Chiquimula,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa María Chiquimula.
Abono Orgánico de Santa María Chiquimula,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa María Chiquimula.
Semilla de Maíz de Santa Lucía La Reforma,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Lucía La Reforma.
Semilla de Frijol de Santa Lucía La Reforma,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Lucía La Reforma.
Abono Orgánico de Santa Lucía La Reforma,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Lucía La Reforma.
Semilla de Maíz de San Bartolo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Bartolo.
Semilla de Frijol de San Bartolo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Bartolo.
Abono Orgánico de San Bartolo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Bartolo.
Semilla de Maíz de Quetzaltenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Quetzaltenango.
Semilla de Frijol de Quetzaltenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Quetzaltenango.
Abono Orgánico de Quetzaltenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Quetzaltenango.
Semilla de Maíz de Salcajá,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Salcajá.
Semilla de Frijol de Salcajá,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Salcajá.
Abono Orgánico de Salcajá,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Salcajá.
Semilla de Maíz de Olintepeque,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Olintepeque.
Semilla de Frijol de Olintepeque,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Olintepeque.
Abono Orgánico de Olintepeque,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Olintepeque.
Semilla de Maíz de San Carlos Sija,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Carlos Sija.
Semilla de Frijol de San Carlos Sija,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Carlos Sija.
Abono Orgánico de San Carlos Sija,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Carlos Sija.
Semilla de Maíz de Sibilia,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Sibilia.
Semilla de Frijol de Sibilia,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Sibilia.
Abono Orgánico de Sibilia,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Sibilia.
Semilla de Maíz de Cabricán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Cabricán.
Semilla de Frijol de Cabricán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Cabricán.
Abono Orgánico de Cabricán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Cabricán.
Semilla de Maíz de Cajolá,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Cajolá.
Semilla de Frijol de Cajolá,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Cajolá.
Abono Orgánico de Cajolá,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Cajolá.
Semilla de Maíz de San Miguel Sigüila,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Miguel Sigüila.
Semilla de Frijol de San Miguel Sigüila,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Miguel Sigüila.
Abono Orgánico de San Miguel Sigüila,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Miguel Sigüila.
Semilla de Maíz de Ostuncalco,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Ostuncalco.
Semilla de Frijol de Ostuncalco,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Ostuncalco.
Abono Orgánico de Ostuncalco,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Ostuncalco.
Semilla de Maíz de San Mateo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Mateo.
Semilla de Frijol de San Mateo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Mateo.
Abono Orgánico de San Mateo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Mateo.
Semilla de Maíz de Concepción Chiquirichapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Concepción Chiquirichapa.
Semilla de Frijol de Concepción Chiquirichapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Concepción Chiquirichapa.
Abono Orgánico de Concepción Chiquirichapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Concepción Chiquirichapa.
Semilla de Maíz de San Martín Sacatepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Martín Sacatepéquez.
Semilla de Frijol de San Martín Sacatepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Martín Sacatepéquez.
Abono Orgánico de San Martín Sacatepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Martín Sacatepéquez.
Semilla de Maíz de Almolonga,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Almolonga.
Semilla de Frijol de Almolonga,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Almolonga.
Abono Orgánico de Almolonga,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Almolonga.
Semilla de Maíz de Cantel,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Cantel.
Semilla de Frijol de Cantel,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Cantel.
Abono Orgánico de Cantel,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Cantel.
Semilla de Maíz de Huitán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Huitán.
Semilla de Frijol de Huitán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Huitán.
Abono Orgánico de Huitán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Huitán.
Semilla de Maíz de Zunil,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Zunil.
Semilla de Frijol de Zunil,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Zunil.
Abono Orgánico de Zunil,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Zunil.
Semilla de Maíz de Colomba,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Colomba.
Semilla de Frijol de Colomba,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Colomba.
Abono Orgánico de Colomba,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Colomba.
Semilla de Maíz de San Francisco La Unión,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Francisco La Unión.
Semilla de Frijol de San Francisco La Unión,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Francisco La Unión.
Abono Orgánico de San Francisco La Unión,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Francisco La Unión.
Semilla de Maíz de El Palmar,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de El Palmar.
Semilla de Frijol de El Palmar,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en El Palmar.
Abono Orgánico de El Palmar,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en El Palmar.
Semilla de Maíz de Coatepeque,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Coatepeque.
Semilla de Frijol de Coatepeque,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Coatepeque.
Abono Orgánico de Coatepeque,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Coatepeque.
Semilla de Maíz de Génova,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Génova.
Semilla de Frijol de Génova,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Génova.
Abono Orgánico de Génova,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Génova.
Semilla de Maíz de Flores Costa Cuca,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Flores Costa Cuca.
Semilla de Frijol de Flores Costa Cuca,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Flores Costa Cuca.
Abono Orgánico de Flores Costa Cuca,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Flores Costa Cuca.
Semilla de Maíz de La Esperanza,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de La Esperanza.
Semilla de Frijol de La Esperanza,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en La Esperanza.
Abono Orgánico de La Esperanza,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en La Esperanza.
Semilla de Maíz de Palestina de Los Altos,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Palestina de Los Altos.
Semilla de Frijol de Palestina de Los Altos,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Palestina de Los Altos.
Abono Orgánico de Palestina de Los Altos,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Palestina de Los Altos.
Semilla de Maíz de Mazatenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Mazatenango.
Semilla de Frijol de Mazatenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Mazatenango.
Abono Orgánico de Mazatenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Mazatenango.
Semilla de Maíz de Cuyotenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Cuyotenango.
Semilla de Frijol de Cuyotenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Cuyotenango.
Abono Orgánico de Cuyotenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Cuyotenango.
Semilla de Maíz de San Francisco Zapotitlán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Francisco Zapotitlán.
Semilla de Frijol de San Francisco Zapotitlán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Francisco Zapotitlán.
Abono Orgánico de San Francisco Zapotitlán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Francisco Zapotitlán.
Semilla de Maíz de San Bernardino,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Bernardino.
Semilla de Frijol de San Bernardino,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Bernardino.
Abono Orgánico de San Bernardino,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Bernardino.
Semilla de Maíz de San José El Ídolo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San José El Ídolo.
Semilla de Frijol de San José El Ídolo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San José El Ídolo.
Abono Orgánico de San José El Ídolo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San José El Ídolo.
Semilla de Maíz de Santo Domingo Suchitepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santo Domingo Suchitepéquez.
Semilla de Frijol de Santo Domingo Suchitepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santo Domingo Suchitepéquez.
Abono Orgánico de Santo Domingo Suchitepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santo Domingo Suchitepéquez.
Semilla de Maíz de San Lorenzo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Lorenzo.
Semilla de Frijol de San Lorenzo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Lorenzo.
Abono Orgánico de San Lorenzo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Lorenzo.
Semilla de Maíz de Samayac,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Samayac.
Semilla de Frijol de Samayac,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Samayac.
Abono Orgánico de Samayac,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Samayac.
Semilla de Maíz de San Pablo Jocopilas,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Pablo Jocopilas.
Semilla de Frijol de San Pablo Jocopilas,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Pablo Jocopilas.
Abono Orgánico de San Pablo Jocopilas,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Pablo Jocopilas.
Semilla de Maíz de San Antonio Suchitepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Antonio Suchitepéquez.
Semilla de Frijol de San Antonio Suchitepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Antonio Suchitepéquez.
Abono Orgánico de San Antonio Suchitepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Antonio Suchitepéquez.
Semilla de Maíz de San Miguel Panán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Miguel Panán.
Semilla de Frijol de San Miguel Panán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Miguel Panán.
Abono Orgánico de San Miguel Panán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Miguel Panán.
Semilla de Maíz de San Gabriel,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Gabriel.
Semilla de Frijol de San Gabriel,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Gabriel.
Abono Orgánico de San Gabriel,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Gabriel.
Semilla de Maíz de Chicacao,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chicacao.
Semilla de Frijol de Chicacao,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chicacao.
Abono Orgánico de Chicacao,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chicacao.
Semilla de Maíz de Patulul,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Patulul.
Semilla de Frijol de Patulul,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Patulul.
Abono Orgánico de Patulul,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Patulul.
Semilla de Maíz de Santa Bárbara,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Bárbara.
Semilla de Frijol de Santa Bárbara,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Bárbara.
Abono Orgánico de Santa Bárbara,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Bárbara.
Semilla de Maíz de San Juan Bautista,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Juan Bautista.
Semilla de Frijol de San Juan Bautista,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Juan Bautista.
Abono Orgánico de San Juan Bautista,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Juan Bautista.
Semilla de Maíz de Santo Tomás La Unión,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santo Tomás La Unión.
Semilla de Frijol de Santo Tomás La Unión,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santo Tomás La Unión.
Abono Orgánico de Santo Tomás La Unión,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santo Tomás La Unión.
Semilla de Maíz de Zunilito,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Zunilito.
Semilla de Frijol de Zunilito,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Zunilito.
Abono Orgánico de Zunilito,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Zunilito.
Semilla de Maíz de Pueblo Nuevo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Pueblo Nuevo.
Semilla de Frijol de Pueblo Nuevo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Pueblo Nuevo.
Abono Orgánico de Pueblo Nuevo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Pueblo Nuevo.
Semilla de Maíz de Río Bravo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Río Bravo.
Semilla de Frijol de Río Bravo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Río Bravo.
