nombre,ente_certificador,descripcion
Certificación Orgánica y de Origen - Reg COOP-GT0513-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Nueva Concepción R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0513-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Nueva Concepción.
Certificación Orgánica y de Origen - Reg COOP-GT0514-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Sipacate R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0514-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Sipacate R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0514-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Sipacate.
Certificación Orgánica y de Origen - Reg COOP-GT0601-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Cuilapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0601-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Cuilapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0601-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Cuilapa.
Certificación Orgánica y de Origen - Reg COOP-GT0602-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Barberena R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0602-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Barberena R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0602-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Barberena.
Certificación Orgánica y de Origen - Reg COOP-GT0603-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Rosa de Lima R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0603-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Rosa de Lima R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0603-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Rosa de Lima.
Certificación Orgánica y de Origen - Reg COOP-GT0604-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Casillas R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0604-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Casillas R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0604-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Casillas.
Certificación Orgánica y de Origen - Reg COOP-GT0605-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Rafael Las Flores R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0605-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Rafael Las Flores R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0605-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Rafael Las Flores.
Certificación Orgánica y de Origen - Reg COOP-GT0606-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Oratorio R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0606-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Oratorio R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0606-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Oratorio.
Certificación Orgánica y de Origen - Reg COOP-GT0607-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Juan Tecuaco R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0607-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Juan Tecuaco R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0607-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Juan Tecuaco.
Certificación Orgánica y de Origen - Reg COOP-GT0608-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Chiquimulilla R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0608-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Chiquimulilla R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0608-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Chiquimulilla.
Certificación Orgánica y de Origen - Reg COOP-GT0609-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Taxisco R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0609-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Taxisco R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0609-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Taxisco.
Certificación Orgánica y de Origen - Reg COOP-GT0610-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa María Ixhuatán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0610-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa María Ixhuatán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0610-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa María Ixhuatán.
Certificación Orgánica y de Origen - Reg COOP-GT0611-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Guazacapán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0611-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Guazacapán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0611-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Guazacapán.
Certificación Orgánica y de Origen - Reg COOP-GT0612-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Cruz Naranjo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0612-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Cruz Naranjo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0612-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Cruz Naranjo.
Certificación Orgánica y de Origen - Reg COOP-GT0613-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Pueblo Nuevo Viñas R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0613-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Pueblo Nuevo Viñas R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0613-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Pueblo Nuevo Viñas.
Certificación Orgánica y de Origen - Reg COOP-GT0614-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Nueva Santa Rosa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0614-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Nueva Santa Rosa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0614-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Nueva Santa Rosa.
Certificación Orgánica y de Origen - Reg COOP-GT0700-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Lago De Atitlan R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0700-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Lago De Atitlan R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0700-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Lago De Atitlan.
Certificación Orgánica y de Origen - Reg COOP-GT0701-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Sololá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0701-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Sololá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0701-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Sololá.
Certificación Orgánica y de Origen - Reg COOP-GT0702-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San José Chacayá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0702-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San José Chacayá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0702-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San José Chacayá.
Certificación Orgánica y de Origen - Reg COOP-GT0703-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa María Visitación R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0703-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa María Visitación R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0703-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa María Visitación.
Certificación Orgánica y de Origen - Reg COOP-GT0704-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Lucía Utatlán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0704-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Lucía Utatlán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0704-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Lucía Utatlán.
Certificación Orgánica y de Origen - Reg COOP-GT0705-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Nahualá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0705-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Nahualá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0705-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Nahualá.
Certificación Orgánica y de Origen - Reg COOP-GT0706-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Catarina Ixtahuacán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0706-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Catarina Ixtahuacán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0706-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Catarina Ixtahuacán.
Certificación Orgánica y de Origen - Reg COOP-GT0707-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Clara La Laguna R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0707-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Clara La Laguna R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0707-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Clara La Laguna.
Certificación Orgánica y de Origen - Reg COOP-GT0708-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Concepción R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0708-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Concepción R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0708-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Concepción.
Certificación Orgánica y de Origen - Reg COOP-GT0709-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Andrés Semetabaj R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0709-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Andrés Semetabaj R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0709-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Andrés Semetabaj.
Certificación Orgánica y de Origen - Reg COOP-GT0710-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Panajachel R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0710-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Panajachel R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0710-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Panajachel.
Certificación Orgánica y de Origen - Reg COOP-GT0711-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Catarina Palopó R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0711-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Catarina Palopó R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0711-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Catarina Palopó.
Certificación Orgánica y de Origen - Reg COOP-GT0712-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Antonio Palopó R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0712-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Antonio Palopó R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0712-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Antonio Palopó.
Certificación Orgánica y de Origen - Reg COOP-GT0713-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Lucas Tolimán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0713-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Lucas Tolimán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0713-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Lucas Tolimán.
Certificación Orgánica y de Origen - Reg COOP-GT0714-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Cruz La Laguna R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0714-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Cruz La Laguna R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0714-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Cruz La Laguna.
Certificación Orgánica y de Origen - Reg COOP-GT0715-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Pablo La Laguna R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0715-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Pablo La Laguna R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0715-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Pablo La Laguna.
Certificación Orgánica y de Origen - Reg COOP-GT0716-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Marcos La Laguna R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0716-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Marcos La Laguna R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0716-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Marcos La Laguna.
Certificación Orgánica y de Origen - Reg COOP-GT0717-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Juan La Laguna R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0717-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Juan La Laguna R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0717-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Juan La Laguna.
Certificación Orgánica y de Origen - Reg COOP-GT0718-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Pedro La Laguna R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0718-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Pedro La Laguna R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0718-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Pedro La Laguna.
Certificación Orgánica y de Origen - Reg COOP-GT0719-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santiago Atitlán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0719-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santiago Atitlán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0719-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santiago Atitlán.
Certificación Orgánica y de Origen - Reg COOP-GT0801-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Totonicapán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0801-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Totonicapán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0801-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Totonicapán.
Certificación Orgánica y de Origen - Reg COOP-GT0802-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Cristóbal Totonicapán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0802-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Cristóbal Totonicapán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0802-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Cristóbal Totonicapán.
Certificación Orgánica y de Origen - Reg COOP-GT0803-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Francisco El Alto R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0803-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Francisco El Alto R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0803-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Francisco El Alto.
Certificación Orgánica y de Origen - Reg COOP-GT0804-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Andrés Xecul R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0804-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Andrés Xecul R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0804-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Andrés Xecul.
Certificación Orgánica y de Origen - Reg COOP-GT0805-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Momostenango R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0805-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Momostenango R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0805-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Momostenango.
Certificación Orgánica y de Origen - Reg COOP-GT0806-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa María Chiquimula R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0806-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa María Chiquimula R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0806-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa María Chiquimula.
Certificación Orgánica y de Origen - Reg COOP-GT0807-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Lucía La Reforma R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0807-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Lucía La Reforma R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0807-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Lucía La Reforma.
Certificación Orgánica y de Origen - Reg COOP-GT0808-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Bartolo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0808-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Bartolo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0808-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Bartolo.
Certificación Orgánica y de Origen - Reg COOP-GT0901-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Quetzaltenango R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0901-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Quetzaltenango R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0901-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Quetzaltenango.
Certificación Orgánica y de Origen - Reg COOP-GT0902-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Salcajá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0902-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Salcajá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0902-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Salcajá.
Certificación Orgánica y de Origen - Reg COOP-GT0903-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Olintepeque R.L..
