origen_municipio_pcode,destino_municipio_pcode,puerto_salida,medio_transporte,distancia_km,tiempo_estimado_horas,producto_principal
GT0709,,Frontera El Florido,Terrestre - Camión de Carga,385.00,6.00,Café y Cardamomo Especial
GT0710,GT0701,,Terrestre - Camión de Carga,39.00,2.00,Maíz y Frijol Negro
GT0710,GT0101,,Terrestre - Camión de Carga,297.00,4.00,Hortalizas y Artesanías
GT0710,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,258.00,12.00,Café y Cardamomo Especial
GT0711,GT0701,,Terrestre - Camión de Carga,71.00,2.00,Maíz y Frijol Negro
GT0711,GT0101,,Terrestre - Camión de Carga,143.00,6.00,Hortalizas y Artesanías
GT0711,,Puerto Quetzal,Terrestre - Camión de Carga,282.00,11.00,Café y Cardamomo Especial
GT0712,GT0701,,Terrestre - Camión de Carga,12.00,1.00,Maíz y Frijol Negro
GT0712,GT0101,,Terrestre - Camión de Carga,101.00,3.00,Hortalizas y Artesanías
GT0712,,Frontera Tecún Umán,Terrestre - Camión de Carga,493.00,7.00,Café y Cardamomo Especial
GT0713,GT0701,,Terrestre - Camión de Carga,27.00,3.00,Maíz y Frijol Negro
GT0713,GT0101,,Terrestre - Camión de Carga,221.00,2.00,Hortalizas y Artesanías
GT0713,,Frontera El Florido,Terrestre - Camión de Carga,493.00,7.00,Café y Cardamomo Especial
GT0714,GT0701,,Terrestre - Camión de Carga,17.00,1.00,Maíz y Frijol Negro
GT0714,GT0101,,Terrestre - Camión de Carga,156.00,3.00,Hortalizas y Artesanías
GT0714,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,464.00,11.00,Café y Cardamomo Especial
GT0715,GT0701,,Terrestre - Camión de Carga,12.00,3.00,Maíz y Frijol Negro
GT0715,GT0101,,Terrestre - Camión de Carga,276.00,7.00,Hortalizas y Artesanías
GT0715,,Puerto Quetzal,Terrestre - Camión de Carga,345.00,6.00,Café y Cardamomo Especial
GT0716,GT0701,,Terrestre - Camión de Carga,37.00,2.00,Maíz y Frijol Negro
GT0716,GT0101,,Terrestre - Camión de Carga,245.00,5.00,Hortalizas y Artesanías
GT0716,,Frontera Tecún Umán,Terrestre - Camión de Carga,446.00,7.00,Café y Cardamomo Especial
GT0717,GT0701,,Terrestre - Camión de Carga,38.00,2.00,Maíz y Frijol Negro
GT0717,GT0101,,Terrestre - Camión de Carga,243.00,3.00,Hortalizas y Artesanías
GT0717,,Frontera El Florido,Terrestre - Camión de Carga,498.00,7.00,Café y Cardamomo Especial
GT0718,GT0701,,Terrestre - Camión de Carga,75.00,2.00,Maíz y Frijol Negro
GT0718,GT0101,,Terrestre - Camión de Carga,132.00,7.00,Hortalizas y Artesanías
GT0718,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,375.00,12.00,Café y Cardamomo Especial
GT0719,GT0701,,Terrestre - Camión de Carga,18.00,1.00,Maíz y Frijol Negro
GT0719,GT0101,,Terrestre - Camión de Carga,186.00,5.00,Hortalizas y Artesanías
GT0719,,Puerto Quetzal,Terrestre - Camión de Carga,267.00,6.00,Café y Cardamomo Especial
GT0801,GT0801,,Terrestre - Camión de Carga,12.00,1.00,Maíz y Frijol Negro
GT0801,GT0101,,Terrestre - Camión de Carga,223.00,6.00,Hortalizas y Artesanías
GT0801,,Frontera Tecún Umán,Terrestre - Camión de Carga,414.00,7.00,Café y Cardamomo Especial
GT0802,GT0801,,Terrestre - Camión de Carga,22.00,1.00,Maíz y Frijol Negro
GT0802,GT0101,,Terrestre - Camión de Carga,211.00,6.00,Hortalizas y Artesanías
GT0802,,Frontera El Florido,Terrestre - Camión de Carga,219.00,6.00,Café y Cardamomo Especial
GT0803,GT0801,,Terrestre - Camión de Carga,21.00,2.00,Maíz y Frijol Negro
GT0803,GT0101,,Terrestre - Camión de Carga,258.00,3.00,Hortalizas y Artesanías
GT0803,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,476.00,5.00,Café y Cardamomo Especial
GT0804,GT0801,,Terrestre - Camión de Carga,65.00,3.00,Maíz y Frijol Negro
GT0804,GT0101,,Terrestre - Camión de Carga,197.00,4.00,Hortalizas y Artesanías
GT0804,,Puerto Quetzal,Terrestre - Camión de Carga,222.00,11.00,Café y Cardamomo Especial
GT0805,GT0801,,Terrestre - Camión de Carga,39.00,2.00,Maíz y Frijol Negro
GT0805,GT0101,,Terrestre - Camión de Carga,292.00,5.00,Hortalizas y Artesanías
GT0805,,Frontera Tecún Umán,Terrestre - Camión de Carga,379.00,6.00,Café y Cardamomo Especial
GT0806,GT0801,,Terrestre - Camión de Carga,64.00,1.00,Maíz y Frijol Negro
GT0806,GT0101,,Terrestre - Camión de Carga,155.00,5.00,Hortalizas y Artesanías
GT0806,,Frontera El Florido,Terrestre - Camión de Carga,319.00,6.00,Café y Cardamomo Especial
GT0807,GT0801,,Terrestre - Camión de Carga,46.00,3.00,Maíz y Frijol Negro
GT0807,GT0101,,Terrestre - Camión de Carga,314.00,6.00,Hortalizas y Artesanías
GT0807,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,409.00,9.00,Café y Cardamomo Especial
GT0808,GT0801,,Terrestre - Camión de Carga,34.00,1.00,Maíz y Frijol Negro
GT0808,GT0101,,Terrestre - Camión de Carga,271.00,7.00,Hortalizas y Artesanías
GT0808,,Puerto Quetzal,Terrestre - Camión de Carga,203.00,6.00,Café y Cardamomo Especial
GT0901,GT0901,,Terrestre - Camión de Carga,76.00,1.00,Maíz y Frijol Negro
GT0901,GT0101,,Terrestre - Camión de Carga,186.00,7.00,Hortalizas y Artesanías
GT0901,,Frontera Tecún Umán,Terrestre - Camión de Carga,305.00,10.00,Café y Cardamomo Especial
GT0902,GT0901,,Terrestre - Camión de Carga,62.00,2.00,Maíz y Frijol Negro
GT0902,GT0101,,Terrestre - Camión de Carga,117.00,3.00,Hortalizas y Artesanías
GT0902,,Frontera El Florido,Terrestre - Camión de Carga,418.00,9.00,Café y Cardamomo Especial
GT0903,GT0901,,Terrestre - Camión de Carga,43.00,3.00,Maíz y Frijol Negro
GT0903,GT0101,,Terrestre - Camión de Carga,198.00,6.00,Hortalizas y Artesanías
GT0903,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,387.00,9.00,Café y Cardamomo Especial
GT0904,GT0901,,Terrestre - Camión de Carga,60.00,1.00,Maíz y Frijol Negro
GT0904,GT0101,,Terrestre - Camión de Carga,195.00,6.00,Hortalizas y Artesanías
GT0904,,Puerto Quetzal,Terrestre - Camión de Carga,485.00,12.00,Café y Cardamomo Especial
GT0905,GT0901,,Terrestre - Camión de Carga,32.00,2.00,Maíz y Frijol Negro
GT0905,GT0101,,Terrestre - Camión de Carga,233.00,6.00,Hortalizas y Artesanías
GT0905,,Frontera Tecún Umán,Terrestre - Camión de Carga,447.00,9.00,Café y Cardamomo Especial
GT0906,GT0901,,Terrestre - Camión de Carga,49.00,3.00,Maíz y Frijol Negro
GT0906,GT0101,,Terrestre - Camión de Carga,178.00,7.00,Hortalizas y Artesanías
GT0906,,Frontera El Florido,Terrestre - Camión de Carga,403.00,7.00,Café y Cardamomo Especial
GT0907,GT0901,,Terrestre - Camión de Carga,25.00,3.00,Maíz y Frijol Negro
GT0907,GT0101,,Terrestre - Camión de Carga,148.00,5.00,Hortalizas y Artesanías
GT0907,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,282.00,6.00,Café y Cardamomo Especial
GT0908,GT0901,,Terrestre - Camión de Carga,37.00,3.00,Maíz y Frijol Negro
GT0908,GT0101,,Terrestre - Camión de Carga,192.00,4.00,Hortalizas y Artesanías
GT0908,,Puerto Quetzal,Terrestre - Camión de Carga,481.00,5.00,Café y Cardamomo Especial
GT0909,GT0901,,Terrestre - Camión de Carga,30.00,2.00,Maíz y Frijol Negro
GT0909,GT0101,,Terrestre - Camión de Carga,252.00,2.00,Hortalizas y Artesanías
GT0909,,Frontera Tecún Umán,Terrestre - Camión de Carga,246.00,7.00,Café y Cardamomo Especial
GT0910,GT0901,,Terrestre - Camión de Carga,70.00,3.00,Maíz y Frijol Negro
GT0910,GT0101,,Terrestre - Camión de Carga,201.00,2.00,Hortalizas y Artesanías
GT0910,,Frontera El Florido,Terrestre - Camión de Carga,232.00,9.00,Café y Cardamomo Especial
GT0911,GT0901,,Terrestre - Camión de Carga,38.00,2.00,Maíz y Frijol Negro
GT0911,GT0101,,Terrestre - Camión de Carga,110.00,6.00,Hortalizas y Artesanías
GT0911,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,219.00,11.00,Café y Cardamomo Especial
GT0912,GT0901,,Terrestre - Camión de Carga,61.00,3.00,Maíz y Frijol Negro
GT0912,GT0101,,Terrestre - Camión de Carga,257.00,6.00,Hortalizas y Artesanías
GT0912,,Puerto Quetzal,Terrestre - Camión de Carga,346.00,5.00,Café y Cardamomo Especial
GT0913,GT0901,,Terrestre - Camión de Carga,32.00,3.00,Maíz y Frijol Negro
GT0913,GT0101,,Terrestre - Camión de Carga,216.00,5.00,Hortalizas y Artesanías
GT0913,,Frontera Tecún Umán,Terrestre - Camión de Carga,205.00,8.00,Café y Cardamomo Especial
GT0914,GT0901,,Terrestre - Camión de Carga,76.00,2.00,Maíz y Frijol Negro
GT0914,GT0101,,Terrestre - Camión de Carga,139.00,2.00,Hortalizas y Artesanías
GT0914,,Frontera El Florido,Terrestre - Camión de Carga,461.00,8.00,Café y Cardamomo Especial
GT0915,GT0901,,Terrestre - Camión de Carga,31.00,3.00,Maíz y Frijol Negro
GT0915,GT0101,,Terrestre - Camión de Carga,99.00,4.00,Hortalizas y Artesanías
GT0915,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,322.00,5.00,Café y Cardamomo Especial
GT0916,GT0901,,Terrestre - Camión de Carga,30.00,1.00,Maíz y Frijol Negro
GT0916,GT0101,,Terrestre - Camión de Carga,160.00,5.00,Hortalizas y Artesanías
GT0916,,Puerto Quetzal,Terrestre - Camión de Carga,380.00,11.00,Café y Cardamomo Especial
GT0917,GT0901,,Terrestre - Camión de Carga,61.00,3.00,Maíz y Frijol Negro
GT0917,GT0101,,Terrestre - Camión de Carga,141.00,6.00,Hortalizas y Artesanías
GT0917,,Frontera Tecún Umán,Terrestre - Camión de Carga,207.00,6.00,Café y Cardamomo Especial
GT0918,GT0901,,Terrestre - Camión de Carga,21.00,3.00,Maíz y Frijol Negro
GT0918,GT0101,,Terrestre - Camión de Carga,162.00,7.00,Hortalizas y Artesanías
GT0918,,Frontera El Florido,Terrestre - Camión de Carga,486.00,10.00,Café y Cardamomo Especial
GT0919,GT0901,,Terrestre - Camión de Carga,54.00,2.00,Maíz y Frijol Negro
GT0919,GT0101,,Terrestre - Camión de Carga,147.00,6.00,Hortalizas y Artesanías
GT0919,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,299.00,12.00,Café y Cardamomo Especial
GT0920,GT0901,,Terrestre - Camión de Carga,61.00,3.00,Maíz y Frijol Negro
GT0920,GT0101,,Terrestre - Camión de Carga,91.00,4.00,Hortalizas y Artesanías
GT0920,,Puerto Quetzal,Terrestre - Camión de Carga,289.00,11.00,Café y Cardamomo Especial
GT0921,GT0901,,Terrestre - Camión de Carga,74.00,1.00,Maíz y Frijol Negro
GT0921,GT0101,,Terrestre - Camión de Carga,233.00,2.00,Hortalizas y Artesanías
GT0921,,Frontera Tecún Umán,Terrestre - Camión de Carga,457.00,9.00,Café y Cardamomo Especial
GT0922,GT0901,,Terrestre - Camión de Carga,53.00,1.00,Maíz y Frijol Negro
GT0922,GT0101,,Terrestre - Camión de Carga,295.00,6.00,Hortalizas y Artesanías
GT0922,,Frontera El Florido,Terrestre - Camión de Carga,331.00,9.00,Café y Cardamomo Especial
GT0923,GT0901,,Terrestre - Camión de Carga,66.00,2.00,Maíz y Frijol Negro
GT0923,GT0101,,Terrestre - Camión de Carga,234.00,5.00,Hortalizas y Artesanías
GT0923,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,324.00,10.00,Café y Cardamomo Especial
GT0924,GT0901,,Terrestre - Camión de Carga,68.00,3.00,Maíz y Frijol Negro
GT0924,GT0101,,Terrestre - Camión de Carga,207.00,6.00,Hortalizas y Artesanías
GT0924,,Puerto Quetzal,Terrestre - Camión de Carga,214.00,12.00,Café y Cardamomo Especial
GT1001,GT1001,,Terrestre - Camión de Carga,24.00,2.00,Maíz y Frijol Negro
GT1001,GT0101,,Terrestre - Camión de Carga,107.00,5.00,Hortalizas y Artesanías
GT1001,,Frontera Tecún Umán,Terrestre - Camión de Carga,312.00,8.00,Café y Cardamomo Especial
GT1002,GT1001,,Terrestre - Camión de Carga,50.00,2.00,Maíz y Frijol Negro
GT1002,GT0101,,Terrestre - Camión de Carga,180.00,6.00,Hortalizas y Artesanías
GT1002,,Frontera El Florido,Terrestre - Camión de Carga,474.00,5.00,Café y Cardamomo Especial
GT1003,GT1001,,Terrestre - Camión de Carga,43.00,1.00,Maíz y Frijol Negro
GT1003,GT0101,,Terrestre - Camión de Carga,163.00,2.00,Hortalizas y Artesanías
GT1003,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,404.00,10.00,Café y Cardamomo Especial
GT1004,GT1001,,Terrestre - Camión de Carga,19.00,3.00,Maíz y Frijol Negro
GT1004,GT0101,,Terrestre - Camión de Carga,135.00,5.00,Hortalizas y Artesanías
GT1004,,Puerto Quetzal,Terrestre - Camión de Carga,360.00,10.00,Café y Cardamomo Especial
GT1005,GT1001,,Terrestre - Camión de Carga,37.00,3.00,Maíz y Frijol Negro
GT1005,GT0101,,Terrestre - Camión de Carga,158.00,3.00,Hortalizas y Artesanías
GT1005,,Frontera Tecún Umán,Terrestre - Camión de Carga,297.00,12.00,Café y Cardamomo Especial
GT1006,GT1001,,Terrestre - Camión de Carga,35.00,1.00,Maíz y Frijol Negro
GT1006,GT0101,,Terrestre - Camión de Carga,278.00,3.00,Hortalizas y Artesanías
GT1006,,Frontera El Florido,Terrestre - Camión de Carga,335.00,8.00,Café y Cardamomo Especial
GT1007,GT1001,,Terrestre - Camión de Carga,39.00,1.00,Maíz y Frijol Negro
GT1007,GT0101,,Terrestre - Camión de Carga,303.00,3.00,Hortalizas y Artesanías
GT1007,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,382.00,7.00,Café y Cardamomo Especial
GT1008,GT1001,,Terrestre - Camión de Carga,23.00,1.00,Maíz y Frijol Negro
GT1008,GT0101,,Terrestre - Camión de Carga,110.00,7.00,Hortalizas y Artesanías
GT1008,,Puerto Quetzal,Terrestre - Camión de Carga,452.00,5.00,Café y Cardamomo Especial
GT1009,GT1001,,Terrestre - Camión de Carga,79.00,1.00,Maíz y Frijol Negro
GT1009,GT0101,,Terrestre - Camión de Carga,307.00,5.00,Hortalizas y Artesanías
GT1009,,Frontera Tecún Umán,Terrestre - Camión de Carga,390.00,10.00,Café y Cardamomo Especial
GT1010,GT1001,,Terrestre - Camión de Carga,73.00,3.00,Maíz y Frijol Negro
GT1010,GT0101,,Terrestre - Camión de Carga,312.00,4.00,Hortalizas y Artesanías
GT1010,,Frontera El Florido,Terrestre - Camión de Carga,451.00,7.00,Café y Cardamomo Especial
GT1011,GT1001,,Terrestre - Camión de Carga,75.00,2.00,Maíz y Frijol Negro
GT1011,GT0101,,Terrestre - Camión de Carga,191.00,3.00,Hortalizas y Artesanías
GT1011,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,495.00,7.00,Café y Cardamomo Especial
GT1012,GT1001,,Terrestre - Camión de Carga,16.00,3.00,Maíz y Frijol Negro
GT1012,GT0101,,Terrestre - Camión de Carga,294.00,5.00,Hortalizas y Artesanías
GT1012,,Puerto Quetzal,Terrestre - Camión de Carga,444.00,5.00,Café y Cardamomo Especial
GT1013,GT1001,,Terrestre - Camión de Carga,74.00,2.00,Maíz y Frijol Negro
GT1013,GT0101,,Terrestre - Camión de Carga,190.00,7.00,Hortalizas y Artesanías
GT1013,,Frontera Tecún Umán,Terrestre - Camión de Carga,289.00,12.00,Café y Cardamomo Especial
GT1014,GT1001,,Terrestre - Camión de Carga,25.00,3.00,Maíz y Frijol Negro
GT1014,GT0101,,Terrestre - Camión de Carga,222.00,5.00,Hortalizas y Artesanías
GT1014,,Frontera El Florido,Terrestre - Camión de Carga,361.00,5.00,Café y Cardamomo Especial
GT1015,GT1001,,Terrestre - Camión de Carga,11.00,3.00,Maíz y Frijol Negro
GT1015,GT0101,,Terrestre - Camión de Carga,143.00,5.00,Hortalizas y Artesanías
GT1015,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,497.00,6.00,Café y Cardamomo Especial
GT1016,GT1001,,Terrestre - Camión de Carga,51.00,2.00,Maíz y Frijol Negro
GT1016,GT0101,,Terrestre - Camión de Carga,246.00,4.00,Hortalizas y Artesanías
GT1016,,Puerto Quetzal,Terrestre - Camión de Carga,295.00,9.00,Café y Cardamomo Especial
GT1017,GT1001,,Terrestre - Camión de Carga,40.00,2.00,Maíz y Frijol Negro
GT1017,GT0101,,Terrestre - Camión de Carga,210.00,6.00,Hortalizas y Artesanías
GT1017,,Frontera Tecún Umán,Terrestre - Camión de Carga,375.00,10.00,Café y Cardamomo Especial
GT1018,GT1001,,Terrestre - Camión de Carga,33.00,2.00,Maíz y Frijol Negro
GT1018,GT0101,,Terrestre - Camión de Carga,198.00,3.00,Hortalizas y Artesanías
GT1018,,Frontera El Florido,Terrestre - Camión de Carga,414.00,10.00,Café y Cardamomo Especial
GT1019,GT1001,,Terrestre - Camión de Carga,56.00,2.00,Maíz y Frijol Negro
GT1019,GT0101,,Terrestre - Camión de Carga,161.00,5.00,Hortalizas y Artesanías
GT1019,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,292.00,7.00,Café y Cardamomo Especial
GT1020,GT1001,,Terrestre - Camión de Carga,39.00,1.00,Maíz y Frijol Negro
GT1020,GT0101,,Terrestre - Camión de Carga,274.00,4.00,Hortalizas y Artesanías
GT1020,,Puerto Quetzal,Terrestre - Camión de Carga,320.00,11.00,Café y Cardamomo Especial
GT1021,GT1001,,Terrestre - Camión de Carga,58.00,1.00,Maíz y Frijol Negro
GT1021,GT0101,,Terrestre - Camión de Carga,127.00,7.00,Hortalizas y Artesanías
GT1021,,Frontera Tecún Umán,Terrestre - Camión de Carga,276.00,12.00,Café y Cardamomo Especial
GT1101,GT1101,,Terrestre - Camión de Carga,11.00,1.00,Maíz y Frijol Negro
GT1101,GT0101,,Terrestre - Camión de Carga,197.00,5.00,Hortalizas y Artesanías
GT1101,,Frontera El Florido,Terrestre - Camión de Carga,268.00,10.00,Café y Cardamomo Especial
GT1102,GT1101,,Terrestre - Camión de Carga,72.00,2.00,Maíz y Frijol Negro
GT1102,GT0101,,Terrestre - Camión de Carga,154.00,6.00,Hortalizas y Artesanías
GT1102,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,490.00,5.00,Café y Cardamomo Especial
GT1103,GT1101,,Terrestre - Camión de Carga,60.00,1.00,Maíz y Frijol Negro
GT1103,GT0101,,Terrestre - Camión de Carga,266.00,3.00,Hortalizas y Artesanías
GT1103,,Puerto Quetzal,Terrestre - Camión de Carga,230.00,8.00,Café y Cardamomo Especial
GT1104,GT1101,,Terrestre - Camión de Carga,42.00,2.00,Maíz y Frijol Negro
GT1104,GT0101,,Terrestre - Camión de Carga,304.00,7.00,Hortalizas y Artesanías
GT1104,,Frontera Tecún Umán,Terrestre - Camión de Carga,249.00,12.00,Café y Cardamomo Especial
GT1105,GT1101,,Terrestre - Camión de Carga,52.00,2.00,Maíz y Frijol Negro
GT1105,GT0101,,Terrestre - Camión de Carga,182.00,4.00,Hortalizas y Artesanías
GT1105,,Frontera El Florido,Terrestre - Camión de Carga,486.00,9.00,Café y Cardamomo Especial
GT1106,GT1101,,Terrestre - Camión de Carga,54.00,1.00,Maíz y Frijol Negro
GT1106,GT0101,,Terrestre - Camión de Carga,195.00,2.00,Hortalizas y Artesanías
GT1106,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,379.00,8.00,Café y Cardamomo Especial
GT1107,GT1101,,Terrestre - Camión de Carga,78.00,1.00,Maíz y Frijol Negro
GT1107,GT0101,,Terrestre - Camión de Carga,289.00,4.00,Hortalizas y Artesanías
GT1107,,Puerto Quetzal,Terrestre - Camión de Carga,381.00,10.00,Café y Cardamomo Especial
GT1108,GT1101,,Terrestre - Camión de Carga,75.00,2.00,Maíz y Frijol Negro
GT1108,GT0101,,Terrestre - Camión de Carga,288.00,7.00,Hortalizas y Artesanías
GT1108,,Frontera Tecún Umán,Terrestre - Camión de Carga,428.00,6.00,Café y Cardamomo Especial
GT1109,GT1101,,Terrestre - Camión de Carga,58.00,3.00,Maíz y Frijol Negro
GT1109,GT0101,,Terrestre - Camión de Carga,163.00,5.00,Hortalizas y Artesanías
GT1109,,Frontera El Florido,Terrestre - Camión de Carga,274.00,7.00,Café y Cardamomo Especial
GT1201,GT1201,,Terrestre - Camión de Carga,53.00,2.00,Maíz y Frijol Negro
GT1201,GT0101,,Terrestre - Camión de Carga,251.00,6.00,Hortalizas y Artesanías
GT1201,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,492.00,11.00,Café y Cardamomo Especial
GT1202,GT1201,,Terrestre - Camión de Carga,19.00,1.00,Maíz y Frijol Negro
GT1202,GT0101,,Terrestre - Camión de Carga,131.00,4.00,Hortalizas y Artesanías
GT1202,,Puerto Quetzal,Terrestre - Camión de Carga,316.00,10.00,Café y Cardamomo Especial
GT1203,GT1201,,Terrestre - Camión de Carga,50.00,3.00,Maíz y Frijol Negro
GT1203,GT0101,,Terrestre - Camión de Carga,164.00,7.00,Hortalizas y Artesanías
GT1203,,Frontera Tecún Umán,Terrestre - Camión de Carga,336.00,11.00,Café y Cardamomo Especial
GT1204,GT1201,,Terrestre - Camión de Carga,44.00,2.00,Maíz y Frijol Negro
GT1204,GT0101,,Terrestre - Camión de Carga,289.00,4.00,Hortalizas y Artesanías
GT1204,,Frontera El Florido,Terrestre - Camión de Carga,500.00,12.00,Café y Cardamomo Especial
GT1205,GT1201,,Terrestre - Camión de Carga,62.00,1.00,Maíz y Frijol Negro
GT1205,GT0101,,Terrestre - Camión de Carga,137.00,2.00,Hortalizas y Artesanías
GT1205,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,264.00,8.00,Café y Cardamomo Especial
GT1206,GT1201,,Terrestre - Camión de Carga,42.00,3.00,Maíz y Frijol Negro
GT1206,GT0101,,Terrestre - Camión de Carga,269.00,7.00,Hortalizas y Artesanías
GT1206,,Puerto Quetzal,Terrestre - Camión de Carga,240.00,8.00,Café y Cardamomo Especial
GT1207,GT1201,,Terrestre - Camión de Carga,31.00,2.00,Maíz y Frijol Negro
GT1207,GT0101,,Terrestre - Camión de Carga,116.00,2.00,Hortalizas y Artesanías
GT1207,,Frontera Tecún Umán,Terrestre - Camión de Carga,232.00,12.00,Café y Cardamomo Especial
GT1208,GT1201,,Terrestre - Camión de Carga,80.00,1.00,Maíz y Frijol Negro
GT1208,GT0101,,Terrestre - Camión de Carga,96.00,5.00,Hortalizas y Artesanías
GT1208,,Frontera El Florido,Terrestre - Camión de Carga,468.00,6.00,Café y Cardamomo Especial
GT1209,GT1201,,Terrestre - Camión de Carga,23.00,2.00,Maíz y Frijol Negro
GT1209,GT0101,,Terrestre - Camión de Carga,248.00,3.00,Hortalizas y Artesanías
GT1209,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,243.00,11.00,Café y Cardamomo Especial
GT1210,GT1201,,Terrestre - Camión de Carga,49.00,1.00,Maíz y Frijol Negro
GT1210,GT0101,,Terrestre - Camión de Carga,153.00,7.00,Hortalizas y Artesanías
GT1210,,Puerto Quetzal,Terrestre - Camión de Carga,345.00,12.00,Café y Cardamomo Especial
GT1211,GT1201,,Terrestre - Camión de Carga,26.00,1.00,Maíz y Frijol Negro
GT1211,GT0101,,Terrestre - Camión de Carga,224.00,3.00,Hortalizas y Artesanías
GT1211,,Frontera Tecún Umán,Terrestre - Camión de Carga,214.00,5.00,Café y Cardamomo Especial
GT1212,GT1201,,Terrestre - Camión de Carga,55.00,2.00,Maíz y Frijol Negro
GT1212,GT0101,,Terrestre - Camión de Carga,311.00,5.00,Hortalizas y Artesanías
GT1212,,Frontera El Florido,Terrestre - Camión de Carga,439.00,9.00,Café y Cardamomo Especial
GT1213,GT1201,,Terrestre - Camión de Carga,80.00,2.00,Maíz y Frijol Negro
GT1213,GT0101,,Terrestre - Camión de Carga,124.00,7.00,Hortalizas y Artesanías
GT1213,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,476.00,7.00,Café y Cardamomo Especial
GT1214,GT1201,,Terrestre - Camión de Carga,68.00,3.00,Maíz y Frijol Negro
GT1214,GT0101,,Terrestre - Camión de Carga,281.00,7.00,Hortalizas y Artesanías
GT1214,,Puerto Quetzal,Terrestre - Camión de Carga,488.00,11.00,Café y Cardamomo Especial
GT1215,GT1201,,Terrestre - Camión de Carga,77.00,3.00,Maíz y Frijol Negro
GT1215,GT0101,,Terrestre - Camión de Carga,253.00,6.00,Hortalizas y Artesanías
GT1215,,Frontera Tecún Umán,Terrestre - Camión de Carga,358.00,10.00,Café y Cardamomo Especial
GT1216,GT1201,,Terrestre - Camión de Carga,71.00,3.00,Maíz y Frijol Negro
GT1216,GT0101,,Terrestre - Camión de Carga,148.00,2.00,Hortalizas y Artesanías
GT1216,,Frontera El Florido,Terrestre - Camión de Carga,426.00,9.00,Café y Cardamomo Especial
GT1217,GT1201,,Terrestre - Camión de Carga,56.00,2.00,Maíz y Frijol Negro
GT1217,GT0101,,Terrestre - Camión de Carga,156.00,3.00,Hortalizas y Artesanías
GT1217,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,355.00,5.00,Café y Cardamomo Especial
GT1218,GT1201,,Terrestre - Camión de Carga,10.00,3.00,Maíz y Frijol Negro
GT1218,GT0101,,Terrestre - Camión de Carga,298.00,3.00,Hortalizas y Artesanías
GT1218,,Puerto Quetzal,Terrestre - Camión de Carga,376.00,9.00,Café y Cardamomo Especial
GT1219,GT1201,,Terrestre - Camión de Carga,70.00,3.00,Maíz y Frijol Negro
GT1219,GT0101,,Terrestre - Camión de Carga,92.00,7.00,Hortalizas y Artesanías
GT1219,,Frontera Tecún Umán,Terrestre - Camión de Carga,451.00,12.00,Café y Cardamomo Especial
GT1220,GT1201,,Terrestre - Camión de Carga,48.00,1.00,Maíz y Frijol Negro
GT1220,GT0101,,Terrestre - Camión de Carga,286.00,5.00,Hortalizas y Artesanías
GT1220,,Frontera El Florido,Terrestre - Camión de Carga,349.00,8.00,Café y Cardamomo Especial
GT1221,GT1201,,Terrestre - Camión de Carga,10.00,3.00,Maíz y Frijol Negro
GT1221,GT0101,,Terrestre - Camión de Carga,185.00,3.00,Hortalizas y Artesanías
GT1221,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,410.00,11.00,Café y Cardamomo Especial
GT1222,GT1201,,Terrestre - Camión de Carga,60.00,1.00,Maíz y Frijol Negro
GT1222,GT0101,,Terrestre - Camión de Carga,131.00,7.00,Hortalizas y Artesanías
GT1222,,Puerto Quetzal,Terrestre - Camión de Carga,399.00,11.00,Café y Cardamomo Especial
GT1223,GT1201,,Terrestre - Camión de Carga,38.00,2.00,Maíz y Frijol Negro
GT1223,GT0101,,Terrestre - Camión de Carga,110.00,5.00,Hortalizas y Artesanías
GT1223,,Frontera Tecún Umán,Terrestre - Camión de Carga,322.00,9.00,Café y Cardamomo Especial
GT1224,GT1201,,Terrestre - Camión de Carga,46.00,3.00,Maíz y Frijol Negro
GT1224,GT0101,,Terrestre - Camión de Carga,280.00,6.00,Hortalizas y Artesanías
