municipio_pcode,actividad_nombre,cooperativa_nombre,es_principal,volumen_estimado,cantidad_productores_est,empleo_generado_est,ciclo_cosecha_meses,destino_principal
GT0613,Producción Ganadera en Pueblo Nuevo Viñas,Asociación de Productores y Comercializadores de Pueblo Nuevo Viñas,true,Alto,954,4657,Diario,Exportación
GT0614,Cultivo de Maíz en Nueva Santa Rosa,Cooperativa Integral de Producción Agrícola de Nueva Santa Rosa R.L.,false,Medio,565,220,Mayo-Noviembre,Autoconsumo
GT0614,Cultivo de Frijol en Nueva Santa Rosa,,false,Bajo,354,139,Mayo-Septiembre,Autoconsumo
GT0614,Cultivo de Caña de Azúcar en Nueva Santa Rosa,Asociación de Productores y Comercializadores de Nueva Santa Rosa,true,Medio,1084,3842,Noviembre-Marzo,Mercado Nacional
GT0614,Cultivo de Banano en Nueva Santa Rosa,Asociación de Productores y Comercializadores de Nueva Santa Rosa,true,Medio,612,3893,Diario,Mercado Nacional
GT0614,Producción Ganadera en Nueva Santa Rosa,Asociación de Productores y Comercializadores de Nueva Santa Rosa,true,Medio,738,1263,Diario,Mercado Nacional
GT0700,Cultivo de Maíz en Lago De Atitlan,Cooperativa Integral de Producción Agrícola de Lago De Atitlan R.L.,false,Medio,1249,358,Mayo-Noviembre,Autoconsumo
GT0700,Cultivo de Frijol en Lago De Atitlan,,false,Bajo,538,218,Mayo-Septiembre,Autoconsumo
GT0700,Producción de Tejidos Mayas en Lago De Atitlan,Asociación de Productores y Comercializadores de Lago De Atitlan,true,Alto,1254,2703,Diario,Autoconsumo
GT0700,Cultivo de Hortalizas en Lago De Atitlan,Asociación de Productores y Comercializadores de Lago De Atitlan,true,Alto,427,1847,Diario,Autoconsumo
GT0700,Producción de Cestería en Lago De Atitlan,Asociación de Productores y Comercializadores de Lago De Atitlan,true,Alto,1160,2595,Diario,Autoconsumo
GT0701,Cultivo de Maíz en Sololá,Cooperativa Integral de Producción Agrícola de Sololá R.L.,false,Medio,440,588,Mayo-Noviembre,Autoconsumo
GT0701,Cultivo de Frijol en Sololá,,false,Bajo,789,177,Mayo-Septiembre,Autoconsumo
GT0701,Producción de Tejidos Mayas en Sololá,Asociación de Productores y Comercializadores de Sololá,true,Medio,1276,1024,Diario,Mixto
GT0701,Cultivo de Hortalizas en Sololá,Asociación de Productores y Comercializadores de Sololá,true,Medio,1020,2223,Diario,Mixto
GT0701,Producción de Cestería en Sololá,Asociación de Productores y Comercializadores de Sololá,true,Medio,1098,4495,Diario,Mixto
GT0702,Cultivo de Maíz en San José Chacayá,Cooperativa Integral de Producción Agrícola de San José Chacayá R.L.,false,Medio,1258,425,Mayo-Noviembre,Autoconsumo
GT0702,Cultivo de Frijol en San José Chacayá,,false,Bajo,759,284,Mayo-Septiembre,Autoconsumo
GT0702,Producción de Tejidos Mayas en San José Chacayá,Asociación de Productores y Comercializadores de San José Chacayá,true,Alto,751,2999,Diario,Exportación
GT0702,Cultivo de Hortalizas en San José Chacayá,Asociación de Productores y Comercializadores de San José Chacayá,true,Alto,749,2117,Diario,Exportación
GT0702,Producción de Cestería en San José Chacayá,Asociación de Productores y Comercializadores de San José Chacayá,true,Alto,1192,2989,Diario,Exportación
GT0703,Cultivo de Maíz en Santa María Visitación,Cooperativa Integral de Producción Agrícola de Santa María Visitación R.L.,false,Medio,459,349,Mayo-Noviembre,Autoconsumo
GT0703,Cultivo de Frijol en Santa María Visitación,,false,Bajo,544,251,Mayo-Septiembre,Autoconsumo
GT0703,Producción de Tejidos Mayas en Santa María Visitación,Asociación de Productores y Comercializadores de Santa María Visitación,true,Medio,1128,3966,Diario,Mercado Nacional
GT0703,Cultivo de Hortalizas en Santa María Visitación,Asociación de Productores y Comercializadores de Santa María Visitación,true,Medio,638,4442,Diario,Mercado Nacional
GT0703,Producción de Cestería en Santa María Visitación,Asociación de Productores y Comercializadores de Santa María Visitación,true,Medio,1257,4766,Diario,Mercado Nacional
GT0704,Cultivo de Maíz en Santa Lucía Utatlán,Cooperativa Integral de Producción Agrícola de Santa Lucía Utatlán R.L.,false,Medio,661,468,Mayo-Noviembre,Autoconsumo
GT0704,Cultivo de Frijol en Santa Lucía Utatlán,,false,Bajo,746,86,Mayo-Septiembre,Autoconsumo
GT0704,Producción de Tejidos Mayas en Santa Lucía Utatlán,Asociación de Productores y Comercializadores de Santa Lucía Utatlán,true,Alto,1106,3424,Diario,Autoconsumo
GT0704,Cultivo de Hortalizas en Santa Lucía Utatlán,Asociación de Productores y Comercializadores de Santa Lucía Utatlán,true,Alto,1455,3715,Diario,Autoconsumo
GT0704,Producción de Cestería en Santa Lucía Utatlán,Asociación de Productores y Comercializadores de Santa Lucía Utatlán,true,Alto,355,1343,Diario,Autoconsumo
GT0705,Cultivo de Maíz en Nahualá,Cooperativa Integral de Producción Agrícola de Nahualá R.L.,false,Medio,1277,219,Mayo-Noviembre,Autoconsumo
GT0705,Cultivo de Frijol en Nahualá,,false,Bajo,672,126,Mayo-Septiembre,Autoconsumo
GT0705,Producción de Tejidos Mayas en Nahualá,Asociación de Productores y Comercializadores de Nahualá,true,Medio,402,2065,Diario,Mixto
GT0705,Cultivo de Hortalizas en Nahualá,Asociación de Productores y Comercializadores de Nahualá,true,Medio,1076,2340,Diario,Mixto
GT0705,Producción de Cestería en Nahualá,Asociación de Productores y Comercializadores de Nahualá,true,Medio,733,2862,Diario,Mixto
GT0706,Cultivo de Maíz en Santa Catarina Ixtahuacán,Cooperativa Integral de Producción Agrícola de Santa Catarina Ixtahuacán R.L.,false,Medio,1069,322,Mayo-Noviembre,Autoconsumo
GT0706,Cultivo de Frijol en Santa Catarina Ixtahuacán,,false,Bajo,588,151,Mayo-Septiembre,Autoconsumo
GT0706,Producción de Tejidos Mayas en Santa Catarina Ixtahuacán,Asociación de Productores y Comercializadores de Santa Catarina Ixtahuacán,true,Alto,1163,2033,Diario,Exportación
GT0706,Cultivo de Hortalizas en Santa Catarina Ixtahuacán,Asociación de Productores y Comercializadores de Santa Catarina Ixtahuacán,true,Alto,467,2926,Diario,Exportación
GT0706,Producción de Cestería en Santa Catarina Ixtahuacán,Asociación de Productores y Comercializadores de Santa Catarina Ixtahuacán,true,Alto,339,4068,Diario,Exportación
GT0707,Cultivo de Maíz en Santa Clara La Laguna,Cooperativa Integral de Producción Agrícola de Santa Clara La Laguna R.L.,false,Medio,506,329,Mayo-Noviembre,Autoconsumo
GT0707,Cultivo de Frijol en Santa Clara La Laguna,,false,Bajo,429,246,Mayo-Septiembre,Autoconsumo
GT0707,Producción de Tejidos Mayas en Santa Clara La Laguna,Asociación de Productores y Comercializadores de Santa Clara La Laguna,true,Medio,440,4199,Diario,Mercado Nacional
GT0707,Cultivo de Hortalizas en Santa Clara La Laguna,Asociación de Productores y Comercializadores de Santa Clara La Laguna,true,Medio,382,4089,Diario,Mercado Nacional
GT0707,Producción de Cestería en Santa Clara La Laguna,Asociación de Productores y Comercializadores de Santa Clara La Laguna,true,Medio,363,4889,Diario,Mercado Nacional
GT0708,Cultivo de Maíz en Concepción,Cooperativa Integral de Producción Agrícola de Concepción R.L.,false,Medio,906,252,Mayo-Noviembre,Autoconsumo
GT0708,Cultivo de Frijol en Concepción,,false,Bajo,220,239,Mayo-Septiembre,Autoconsumo
GT0708,Producción de Tejidos Mayas en Concepción,Asociación de Productores y Comercializadores de Concepción,true,Alto,612,1977,Diario,Autoconsumo
GT0708,Cultivo de Hortalizas en Concepción,Asociación de Productores y Comercializadores de Concepción,true,Alto,558,2939,Diario,Autoconsumo
GT0708,Producción de Cestería en Concepción,Asociación de Productores y Comercializadores de Concepción,true,Alto,534,3310,Diario,Autoconsumo
GT0709,Cultivo de Maíz en San Andrés Semetabaj,Cooperativa Integral de Producción Agrícola de San Andrés Semetabaj R.L.,false,Medio,846,388,Mayo-Noviembre,Autoconsumo
GT0709,Cultivo de Frijol en San Andrés Semetabaj,,false,Bajo,462,276,Mayo-Septiembre,Autoconsumo
GT0709,Producción de Tejidos Mayas en San Andrés Semetabaj,Asociación de Productores y Comercializadores de San Andrés Semetabaj,true,Medio,1055,1687,Diario,Mixto
GT0709,Cultivo de Hortalizas en San Andrés Semetabaj,Asociación de Productores y Comercializadores de San Andrés Semetabaj,true,Medio,534,4185,Diario,Mixto
GT0709,Producción de Cestería en San Andrés Semetabaj,Asociación de Productores y Comercializadores de San Andrés Semetabaj,true,Medio,635,4951,Diario,Mixto
GT0710,Cultivo de Maíz en Panajachel,Cooperativa Integral de Producción Agrícola de Panajachel R.L.,false,Medio,1037,205,Mayo-Noviembre,Autoconsumo
GT0710,Cultivo de Frijol en Panajachel,,false,Bajo,792,86,Mayo-Septiembre,Autoconsumo
GT0710,Producción de Tejidos Mayas en Panajachel,Asociación de Productores y Comercializadores de Panajachel,true,Alto,938,3358,Diario,Exportación
GT0710,Cultivo de Hortalizas en Panajachel,Asociación de Productores y Comercializadores de Panajachel,true,Alto,1068,2624,Diario,Exportación
GT0710,Producción de Cestería en Panajachel,Asociación de Productores y Comercializadores de Panajachel,true,Alto,706,1311,Diario,Exportación
GT0711,Cultivo de Maíz en Santa Catarina Palopó,Cooperativa Integral de Producción Agrícola de Santa Catarina Palopó R.L.,false,Medio,897,202,Mayo-Noviembre,Autoconsumo
GT0711,Cultivo de Frijol en Santa Catarina Palopó,,false,Bajo,508,297,Mayo-Septiembre,Autoconsumo
GT0711,Producción de Tejidos Mayas en Santa Catarina Palopó,Asociación de Productores y Comercializadores de Santa Catarina Palopó,true,Medio,547,4261,Diario,Mercado Nacional
GT0711,Cultivo de Hortalizas en Santa Catarina Palopó,Asociación de Productores y Comercializadores de Santa Catarina Palopó,true,Medio,1459,4205,Diario,Mercado Nacional
GT0711,Producción de Cestería en Santa Catarina Palopó,Asociación de Productores y Comercializadores de Santa Catarina Palopó,true,Medio,384,2422,Diario,Mercado Nacional
GT0712,Cultivo de Maíz en San Antonio Palopó,Cooperativa Integral de Producción Agrícola de San Antonio Palopó R.L.,false,Medio,1491,369,Mayo-Noviembre,Autoconsumo
GT0712,Cultivo de Frijol en San Antonio Palopó,,false,Bajo,579,97,Mayo-Septiembre,Autoconsumo
GT0712,Producción de Tejidos Mayas en San Antonio Palopó,Asociación de Productores y Comercializadores de San Antonio Palopó,true,Alto,1336,3652,Diario,Autoconsumo
GT0712,Cultivo de Hortalizas en San Antonio Palopó,Asociación de Productores y Comercializadores de San Antonio Palopó,true,Alto,998,1051,Diario,Autoconsumo
GT0712,Producción de Cestería en San Antonio Palopó,Asociación de Productores y Comercializadores de San Antonio Palopó,true,Alto,1160,4368,Diario,Autoconsumo
GT0713,Cultivo de Maíz en San Lucas Tolimán,Cooperativa Integral de Producción Agrícola de San Lucas Tolimán R.L.,false,Medio,1403,204,Mayo-Noviembre,Autoconsumo
GT0713,Cultivo de Frijol en San Lucas Tolimán,,false,Bajo,643,172,Mayo-Septiembre,Autoconsumo
GT0713,Producción de Tejidos Mayas en San Lucas Tolimán,Asociación de Productores y Comercializadores de San Lucas Tolimán,true,Medio,1241,3897,Diario,Mixto
GT0713,Cultivo de Hortalizas en San Lucas Tolimán,Asociación de Productores y Comercializadores de San Lucas Tolimán,true,Medio,613,2783,Diario,Mixto
GT0713,Producción de Cestería en San Lucas Tolimán,Asociación de Productores y Comercializadores de San Lucas Tolimán,true,Medio,660,4005,Diario,Mixto
GT0714,Cultivo de Maíz en Santa Cruz La Laguna,Cooperativa Integral de Producción Agrícola de Santa Cruz La Laguna R.L.,false,Medio,1468,483,Mayo-Noviembre,Autoconsumo
GT0714,Cultivo de Frijol en Santa Cruz La Laguna,,false,Bajo,476,237,Mayo-Septiembre,Autoconsumo
GT0714,Producción de Tejidos Mayas en Santa Cruz La Laguna,Asociación de Productores y Comercializadores de Santa Cruz La Laguna,true,Alto,1402,4172,Diario,Exportación
GT0714,Cultivo de Hortalizas en Santa Cruz La Laguna,Asociación de Productores y Comercializadores de Santa Cruz La Laguna,true,Alto,1290,2904,Diario,Exportación
GT0714,Producción de Cestería en Santa Cruz La Laguna,Asociación de Productores y Comercializadores de Santa Cruz La Laguna,true,Alto,1192,4382,Diario,Exportación
GT0715,Cultivo de Maíz en San Pablo La Laguna,Cooperativa Integral de Producción Agrícola de San Pablo La Laguna R.L.,false,Medio,949,315,Mayo-Noviembre,Autoconsumo
GT0715,Cultivo de Frijol en San Pablo La Laguna,,false,Bajo,451,292,Mayo-Septiembre,Autoconsumo
GT0715,Producción de Tejidos Mayas en San Pablo La Laguna,Asociación de Productores y Comercializadores de San Pablo La Laguna,true,Medio,477,2142,Diario,Mercado Nacional
GT0715,Cultivo de Hortalizas en San Pablo La Laguna,Asociación de Productores y Comercializadores de San Pablo La Laguna,true,Medio,1223,1998,Diario,Mercado Nacional
GT0715,Producción de Cestería en San Pablo La Laguna,Asociación de Productores y Comercializadores de San Pablo La Laguna,true,Medio,1251,3334,Diario,Mercado Nacional
GT0716,Cultivo de Maíz en San Marcos La Laguna,Cooperativa Integral de Producción Agrícola de San Marcos La Laguna R.L.,false,Medio,1176,322,Mayo-Noviembre,Autoconsumo
GT0716,Cultivo de Frijol en San Marcos La Laguna,,false,Bajo,229,206,Mayo-Septiembre,Autoconsumo
GT0716,Producción de Tejidos Mayas en San Marcos La Laguna,Asociación de Productores y Comercializadores de San Marcos La Laguna,true,Alto,965,1744,Diario,Autoconsumo
GT0716,Cultivo de Hortalizas en San Marcos La Laguna,Asociación de Productores y Comercializadores de San Marcos La Laguna,true,Alto,1298,1868,Diario,Autoconsumo
GT0716,Producción de Cestería en San Marcos La Laguna,Asociación de Productores y Comercializadores de San Marcos La Laguna,true,Alto,1026,4267,Diario,Autoconsumo
GT0717,Cultivo de Maíz en San Juan La Laguna,Cooperativa Integral de Producción Agrícola de San Juan La Laguna R.L.,false,Medio,929,324,Mayo-Noviembre,Autoconsumo
GT0717,Cultivo de Frijol en San Juan La Laguna,,false,Bajo,486,232,Mayo-Septiembre,Autoconsumo
GT0717,Producción de Tejidos Mayas en San Juan La Laguna,Asociación de Productores y Comercializadores de San Juan La Laguna,true,Medio,865,3276,Diario,Mixto
GT0717,Cultivo de Hortalizas en San Juan La Laguna,Asociación de Productores y Comercializadores de San Juan La Laguna,true,Medio,320,3116,Diario,Mixto
GT0717,Producción de Cestería en San Juan La Laguna,Asociación de Productores y Comercializadores de San Juan La Laguna,true,Medio,691,1350,Diario,Mixto
GT0718,Cultivo de Maíz en San Pedro La Laguna,Cooperativa Integral de Producción Agrícola de San Pedro La Laguna R.L.,false,Medio,894,518,Mayo-Noviembre,Autoconsumo
GT0718,Cultivo de Frijol en San Pedro La Laguna,,false,Bajo,616,205,Mayo-Septiembre,Autoconsumo
GT0718,Producción de Tejidos Mayas en San Pedro La Laguna,Asociación de Productores y Comercializadores de San Pedro La Laguna,true,Alto,1437,4105,Diario,Exportación
GT0718,Cultivo de Hortalizas en San Pedro La Laguna,Asociación de Productores y Comercializadores de San Pedro La Laguna,true,Alto,792,3828,Diario,Exportación
GT0718,Producción de Cestería en San Pedro La Laguna,Asociación de Productores y Comercializadores de San Pedro La Laguna,true,Alto,1275,3645,Diario,Exportación
GT0719,Cultivo de Maíz en Santiago Atitlán,Cooperativa Integral de Producción Agrícola de Santiago Atitlán R.L.,false,Medio,1405,379,Mayo-Noviembre,Autoconsumo
GT0719,Cultivo de Frijol en Santiago Atitlán,,false,Bajo,217,103,Mayo-Septiembre,Autoconsumo
GT0719,Producción de Tejidos Mayas en Santiago Atitlán,Asociación de Productores y Comercializadores de Santiago Atitlán,true,Medio,902,1907,Diario,Mercado Nacional
GT0719,Cultivo de Hortalizas en Santiago Atitlán,Asociación de Productores y Comercializadores de Santiago Atitlán,true,Medio,1128,3833,Diario,Mercado Nacional
GT0719,Producción de Cestería en Santiago Atitlán,Asociación de Productores y Comercializadores de Santiago Atitlán,true,Medio,798,2254,Diario,Mercado Nacional
GT0801,Cultivo de Maíz en Totonicapán,Cooperativa Integral de Producción Agrícola de Totonicapán R.L.,false,Medio,1155,392,Mayo-Noviembre,Autoconsumo
GT0801,Cultivo de Frijol en Totonicapán,,false,Bajo,766,215,Mayo-Septiembre,Autoconsumo
GT0801,Producción de Tejidos Mayas en Totonicapán,Asociación de Productores y Comercializadores de Totonicapán,true,Alto,1004,2742,Diario,Autoconsumo
GT0801,Producción de Muebles en Totonicapán,Asociación de Productores y Comercializadores de Totonicapán,true,Alto,1427,2354,Diario,Autoconsumo
GT0802,Cultivo de Maíz en San Cristóbal Totonicapán,Cooperativa Integral de Producción Agrícola de San Cristóbal Totonicapán R.L.,false,Medio,1120,509,Mayo-Noviembre,Autoconsumo
GT0802,Cultivo de Frijol en San Cristóbal Totonicapán,,false,Bajo,664,149,Mayo-Septiembre,Autoconsumo
GT0802,Producción de Tejidos Mayas en San Cristóbal Totonicapán,Asociación de Productores y Comercializadores de San Cristóbal Totonicapán,true,Medio,927,2029,Diario,Mixto
GT0802,Producción de Muebles en San Cristóbal Totonicapán,Asociación de Productores y Comercializadores de San Cristóbal Totonicapán,true,Medio,772,1494,Diario,Mixto
GT0803,Cultivo de Maíz en San Francisco El Alto,Cooperativa Integral de Producción Agrícola de San Francisco El Alto R.L.,false,Medio,794,311,Mayo-Noviembre,Autoconsumo
GT0803,Cultivo de Frijol en San Francisco El Alto,,false,Bajo,322,270,Mayo-Septiembre,Autoconsumo
GT0803,Producción de Tejidos Mayas en San Francisco El Alto,Asociación de Productores y Comercializadores de San Francisco El Alto,true,Alto,1397,4894,Diario,Exportación
GT0803,Producción de Muebles en San Francisco El Alto,Asociación de Productores y Comercializadores de San Francisco El Alto,true,Alto,679,1784,Diario,Exportación
GT0804,Cultivo de Maíz en San Andrés Xecul,Cooperativa Integral de Producción Agrícola de San Andrés Xecul R.L.,false,Medio,843,528,Mayo-Noviembre,Autoconsumo
GT0804,Cultivo de Frijol en San Andrés Xecul,,false,Bajo,695,150,Mayo-Septiembre,Autoconsumo
GT0804,Producción de Tejidos Mayas en San Andrés Xecul,Asociación de Productores y Comercializadores de San Andrés Xecul,true,Medio,1374,3444,Diario,Mercado Nacional
GT0804,Producción de Muebles en San Andrés Xecul,Asociación de Productores y Comercializadores de San Andrés Xecul,true,Medio,879,1411,Diario,Mercado Nacional
GT0805,Cultivo de Maíz en Momostenango,Cooperativa Integral de Producción Agrícola de Momostenango R.L.,false,Medio,797,301,Mayo-Noviembre,Autoconsumo
GT0805,Cultivo de Frijol en Momostenango,,false,Bajo,432,172,Mayo-Septiembre,Autoconsumo
GT0805,Producción de Tejidos Mayas en Momostenango,Asociación de Productores y Comercializadores de Momostenango,true,Alto,667,2238,Diario,Autoconsumo
GT0805,Producción de Muebles en Momostenango,Asociación de Productores y Comercializadores de Momostenango,true,Alto,328,3900,Diario,Autoconsumo
GT0806,Cultivo de Maíz en Santa María Chiquimula,Cooperativa Integral de Producción Agrícola de Santa María Chiquimula R.L.,false,Medio,1493,214,Mayo-Noviembre,Autoconsumo
GT0806,Cultivo de Frijol en Santa María Chiquimula,,false,Bajo,480,91,Mayo-Septiembre,Autoconsumo
GT0806,Producción de Tejidos Mayas en Santa María Chiquimula,Asociación de Productores y Comercializadores de Santa María Chiquimula,true,Medio,411,3266,Diario,Mixto
GT0806,Producción de Muebles en Santa María Chiquimula,Asociación de Productores y Comercializadores de Santa María Chiquimula,true,Medio,898,3856,Diario,Mixto
GT0807,Cultivo de Maíz en Santa Lucía La Reforma,Cooperativa Integral de Producción Agrícola de Santa Lucía La Reforma R.L.,false,Medio,658,476,Mayo-Noviembre,Autoconsumo
GT0807,Cultivo de Frijol en Santa Lucía La Reforma,,false,Bajo,702,106,Mayo-Septiembre,Autoconsumo
GT0807,Producción de Tejidos Mayas en Santa Lucía La Reforma,Asociación de Productores y Comercializadores de Santa Lucía La Reforma,true,Alto,325,3351,Diario,Exportación
GT0807,Producción de Muebles en Santa Lucía La Reforma,Asociación de Productores y Comercializadores de Santa Lucía La Reforma,true,Alto,882,2922,Diario,Exportación
GT0808,Cultivo de Maíz en San Bartolo,Cooperativa Integral de Producción Agrícola de San Bartolo R.L.,false,Medio,1380,375,Mayo-Noviembre,Autoconsumo
GT0808,Cultivo de Frijol en San Bartolo,,false,Bajo,548,127,Mayo-Septiembre,Autoconsumo
GT0808,Producción de Tejidos Mayas en San Bartolo,Asociación de Productores y Comercializadores de San Bartolo,true,Medio,405,2034,Diario,Mercado Nacional
GT0808,Producción de Muebles en San Bartolo,Asociación de Productores y Comercializadores de San Bartolo,true,Medio,1278,1467,Diario,Mercado Nacional
GT0901,Cultivo de Maíz en Quetzaltenango,Cooperativa Integral de Producción Agrícola de Quetzaltenango R.L.,false,Medio,533,355,Mayo-Noviembre,Autoconsumo
GT0901,Cultivo de Frijol en Quetzaltenango,,false,Bajo,703,98,Mayo-Septiembre,Autoconsumo
GT0901,Producción de Tejidos Mayas en Quetzaltenango,Asociación de Productores y Comercializadores de Quetzaltenango,true,Alto,1481,3578,Diario,Autoconsumo
GT0901,Cultivo de Hortalizas en Quetzaltenango,Asociación de Productores y Comercializadores de Quetzaltenango,true,Alto,409,1621,Diario,Autoconsumo
GT0902,Cultivo de Maíz en Salcajá,Cooperativa Integral de Producción Agrícola de Salcajá R.L.,false,Medio,705,565,Mayo-Noviembre,Autoconsumo
GT0902,Cultivo de Frijol en Salcajá,,false,Bajo,776,157,Mayo-Septiembre,Autoconsumo
GT0902,Producción de Tejidos Mayas en Salcajá,Asociación de Productores y Comercializadores de Salcajá,true,Medio,474,2016,Diario,Mixto
GT0902,Cultivo de Hortalizas en Salcajá,Asociación de Productores y Comercializadores de Salcajá,true,Medio,542,3285,Diario,Mixto
GT0903,Cultivo de Maíz en Olintepeque,Cooperativa Integral de Producción Agrícola de Olintepeque R.L.,false,Medio,1252,460,Mayo-Noviembre,Autoconsumo
GT0903,Cultivo de Frijol en Olintepeque,,false,Bajo,431,278,Mayo-Septiembre,Autoconsumo
GT0903,Producción de Tejidos Mayas en Olintepeque,Asociación de Productores y Comercializadores de Olintepeque,true,Alto,1370,2558,Diario,Exportación
GT0903,Cultivo de Hortalizas en Olintepeque,Asociación de Productores y Comercializadores de Olintepeque,true,Alto,1222,4721,Diario,Exportación
GT0904,Cultivo de Maíz en San Carlos Sija,Cooperativa Integral de Producción Agrícola de San Carlos Sija R.L.,false,Medio,1306,302,Mayo-Noviembre,Autoconsumo
GT0904,Cultivo de Frijol en San Carlos Sija,,false,Bajo,639,158,Mayo-Septiembre,Autoconsumo
GT0904,Producción de Tejidos Mayas en San Carlos Sija,Asociación de Productores y Comercializadores de San Carlos Sija,true,Medio,1464,3543,Diario,Mercado Nacional
GT0904,Cultivo de Hortalizas en San Carlos Sija,Asociación de Productores y Comercializadores de San Carlos Sija,true,Medio,423,3497,Diario,Mercado Nacional
GT0905,Cultivo de Maíz en Sibilia,Cooperativa Integral de Producción Agrícola de Sibilia R.L.,false,Medio,603,540,Mayo-Noviembre,Autoconsumo
GT0905,Cultivo de Frijol en Sibilia,,false,Bajo,412,240,Mayo-Septiembre,Autoconsumo
GT0905,Producción de Tejidos Mayas en Sibilia,Asociación de Productores y Comercializadores de Sibilia,true,Alto,732,2083,Diario,Autoconsumo
GT0905,Cultivo de Hortalizas en Sibilia,Asociación de Productores y Comercializadores de Sibilia,true,Alto,466,1643,Diario,Autoconsumo
GT0906,Cultivo de Maíz en Cabricán,Cooperativa Integral de Producción Agrícola de Cabricán R.L.,false,Medio,891,238,Mayo-Noviembre,Autoconsumo
GT0906,Cultivo de Frijol en Cabricán,,false,Bajo,765,99,Mayo-Septiembre,Autoconsumo
GT0906,Producción de Tejidos Mayas en Cabricán,Asociación de Productores y Comercializadores de Cabricán,true,Medio,620,1010,Diario,Mixto
GT0906,Cultivo de Hortalizas en Cabricán,Asociación de Productores y Comercializadores de Cabricán,true,Medio,1136,2845,Diario,Mixto
GT0907,Cultivo de Maíz en Cajolá,Cooperativa Integral de Producción Agrícola de Cajolá R.L.,false,Medio,1362,299,Mayo-Noviembre,Autoconsumo
GT0907,Cultivo de Frijol en Cajolá,,false,Bajo,233,139,Mayo-Septiembre,Autoconsumo
GT0907,Producción de Tejidos Mayas en Cajolá,Asociación de Productores y Comercializadores de Cajolá,true,Alto,890,3895,Diario,Exportación
GT0907,Cultivo de Hortalizas en Cajolá,Asociación de Productores y Comercializadores de Cajolá,true,Alto,879,3879,Diario,Exportación
GT0908,Cultivo de Maíz en San Miguel Sigüila,Cooperativa Integral de Producción Agrícola de San Miguel Sigüila R.L.,false,Medio,1329,186,Mayo-Noviembre,Autoconsumo
GT0908,Cultivo de Frijol en San Miguel Sigüila,,false,Bajo,439,147,Mayo-Septiembre,Autoconsumo
GT0908,Producción de Tejidos Mayas en San Miguel Sigüila,Asociación de Productores y Comercializadores de San Miguel Sigüila,true,Medio,705,2741,Diario,Mercado Nacional
GT0908,Cultivo de Hortalizas en San Miguel Sigüila,Asociación de Productores y Comercializadores de San Miguel Sigüila,true,Medio,535,3230,Diario,Mercado Nacional
GT0909,Cultivo de Maíz en Ostuncalco,Cooperativa Integral de Producción Agrícola de Ostuncalco R.L.,false,Medio,860,481,Mayo-Noviembre,Autoconsumo
GT0909,Cultivo de Frijol en Ostuncalco,,false,Bajo,352,148,Mayo-Septiembre,Autoconsumo
GT0909,Producción de Tejidos Mayas en Ostuncalco,Asociación de Productores y Comercializadores de Ostuncalco,true,Alto,591,1292,Diario,Autoconsumo
GT0909,Cultivo de Hortalizas en Ostuncalco,Asociación de Productores y Comercializadores de Ostuncalco,true,Alto,422,1679,Diario,Autoconsumo
GT0910,Cultivo de Maíz en San Mateo,Cooperativa Integral de Producción Agrícola de San Mateo R.L.,false,Medio,1029,454,Mayo-Noviembre,Autoconsumo
GT0910,Cultivo de Frijol en San Mateo,,false,Bajo,782,153,Mayo-Septiembre,Autoconsumo
GT0910,Producción de Tejidos Mayas en San Mateo,Asociación de Productores y Comercializadores de San Mateo,true,Medio,1199,1509,Diario,Mixto
GT0910,Cultivo de Hortalizas en San Mateo,Asociación de Productores y Comercializadores de San Mateo,true,Medio,1259,3820,Diario,Mixto
GT0911,Cultivo de Maíz en Concepción Chiquirichapa,Cooperativa Integral de Producción Agrícola de Concepción Chiquirichapa R.L.,false,Medio,1022,508,Mayo-Noviembre,Autoconsumo
GT0911,Cultivo de Frijol en Concepción Chiquirichapa,,false,Bajo,612,149,Mayo-Septiembre,Autoconsumo
GT0911,Producción de Tejidos Mayas en Concepción Chiquirichapa,Asociación de Productores y Comercializadores de Concepción Chiquirichapa,true,Alto,1324,3211,Diario,Exportación
GT0911,Cultivo de Hortalizas en Concepción Chiquirichapa,Asociación de Productores y Comercializadores de Concepción Chiquirichapa,true,Alto,1311,2793,Diario,Exportación
GT0912,Cultivo de Maíz en San Martín Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Martín Sacatepéquez R.L.,false,Medio,564,456,Mayo-Noviembre,Autoconsumo
GT0912,Cultivo de Frijol en San Martín Sacatepéquez,,false,Bajo,240,190,Mayo-Septiembre,Autoconsumo
GT0912,Producción de Tejidos Mayas en San Martín Sacatepéquez,Asociación de Productores y Comercializadores de San Martín Sacatepéquez,true,Medio,960,3472,Diario,Mercado Nacional
GT0912,Cultivo de Hortalizas en San Martín Sacatepéquez,Asociación de Productores y Comercializadores de San Martín Sacatepéquez,true,Medio,812,1105,Diario,Mercado Nacional
GT0913,Cultivo de Maíz en Almolonga,Cooperativa Integral de Producción Agrícola de Almolonga R.L.,false,Medio,587,267,Mayo-Noviembre,Autoconsumo
GT0913,Cultivo de Frijol en Almolonga,,false,Bajo,789,230,Mayo-Septiembre,Autoconsumo
GT0913,Producción de Tejidos Mayas en Almolonga,Asociación de Productores y Comercializadores de Almolonga,true,Alto,342,4132,Diario,Autoconsumo
