nombre,categoria,descripcion
Cultivo de Maíz en Nueva Santa Rosa,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Nueva Santa Rosa, departamento de Santa Rosa."
Cultivo de Frijol en Nueva Santa Rosa,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Nueva Santa Rosa, departamento de Santa Rosa."
Cultivo de Caña de Azúcar en Nueva Santa Rosa,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de Nueva Santa Rosa, Santa Rosa."
Cultivo de Banano en Nueva Santa Rosa,Agrícola,"Producción de banano y plátano para exportación en Nueva Santa Rosa, Santa Rosa."
Producción Ganadera en Nueva Santa Rosa,Pecuaria,"Crianza de ganado vacuno de doble propósito en Nueva Santa Rosa, Santa Rosa."
Cultivo de Maíz en Lago De Atitlan,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Lago De Atitlan, departamento de Sololá."
Cultivo de Frijol en Lago De Atitlan,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Lago De Atitlan, departamento de Sololá."
Producción de Tejidos Mayas en Lago De Atitlan,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Lago De Atitlan, Sololá."
Cultivo de Hortalizas en Lago De Atitlan,Agrícola,"Agricultura intensiva de hortalizas en Lago De Atitlan, Sololá."
Producción de Cestería en Lago De Atitlan,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Lago De Atitlan.
Cultivo de Maíz en Sololá,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Sololá, departamento de Sololá."
Cultivo de Frijol en Sololá,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Sololá, departamento de Sololá."
Producción de Tejidos Mayas en Sololá,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Sololá, Sololá."
Cultivo de Hortalizas en Sololá,Agrícola,"Agricultura intensiva de hortalizas en Sololá, Sololá."
Producción de Cestería en Sololá,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Sololá.
Cultivo de Maíz en San José Chacayá,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San José Chacayá, departamento de Sololá."
Cultivo de Frijol en San José Chacayá,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San José Chacayá, departamento de Sololá."
Producción de Tejidos Mayas en San José Chacayá,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San José Chacayá, Sololá."
Cultivo de Hortalizas en San José Chacayá,Agrícola,"Agricultura intensiva de hortalizas en San José Chacayá, Sololá."
Producción de Cestería en San José Chacayá,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en San José Chacayá.
Cultivo de Maíz en Santa María Visitación,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa María Visitación, departamento de Sololá."
Cultivo de Frijol en Santa María Visitación,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa María Visitación, departamento de Sololá."
Producción de Tejidos Mayas en Santa María Visitación,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santa María Visitación, Sololá."
Cultivo de Hortalizas en Santa María Visitación,Agrícola,"Agricultura intensiva de hortalizas en Santa María Visitación, Sololá."
Producción de Cestería en Santa María Visitación,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Santa María Visitación.
Cultivo de Maíz en Santa Lucía Utatlán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Lucía Utatlán, departamento de Sololá."
Cultivo de Frijol en Santa Lucía Utatlán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Lucía Utatlán, departamento de Sololá."
Producción de Tejidos Mayas en Santa Lucía Utatlán,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santa Lucía Utatlán, Sololá."
Cultivo de Hortalizas en Santa Lucía Utatlán,Agrícola,"Agricultura intensiva de hortalizas en Santa Lucía Utatlán, Sololá."
Producción de Cestería en Santa Lucía Utatlán,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Santa Lucía Utatlán.
Cultivo de Maíz en Nahualá,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Nahualá, departamento de Sololá."
Cultivo de Frijol en Nahualá,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Nahualá, departamento de Sololá."
Producción de Tejidos Mayas en Nahualá,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Nahualá, Sololá."
Cultivo de Hortalizas en Nahualá,Agrícola,"Agricultura intensiva de hortalizas en Nahualá, Sololá."
Producción de Cestería en Nahualá,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Nahualá.
Cultivo de Maíz en Santa Catarina Ixtahuacán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Catarina Ixtahuacán, departamento de Sololá."
Cultivo de Frijol en Santa Catarina Ixtahuacán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Catarina Ixtahuacán, departamento de Sololá."
Producción de Tejidos Mayas en Santa Catarina Ixtahuacán,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santa Catarina Ixtahuacán, Sololá."
Cultivo de Hortalizas en Santa Catarina Ixtahuacán,Agrícola,"Agricultura intensiva de hortalizas en Santa Catarina Ixtahuacán, Sololá."
Producción de Cestería en Santa Catarina Ixtahuacán,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Santa Catarina Ixtahuacán.
Cultivo de Maíz en Santa Clara La Laguna,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Clara La Laguna, departamento de Sololá."
Cultivo de Frijol en Santa Clara La Laguna,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Clara La Laguna, departamento de Sololá."
Producción de Tejidos Mayas en Santa Clara La Laguna,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santa Clara La Laguna, Sololá."
Cultivo de Hortalizas en Santa Clara La Laguna,Agrícola,"Agricultura intensiva de hortalizas en Santa Clara La Laguna, Sololá."
Producción de Cestería en Santa Clara La Laguna,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Santa Clara La Laguna.
Cultivo de Maíz en Concepción,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Concepción, departamento de Sololá."
Cultivo de Frijol en Concepción,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Concepción, departamento de Sololá."
Producción de Tejidos Mayas en Concepción,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Concepción, Sololá."
Cultivo de Hortalizas en Concepción,Agrícola,"Agricultura intensiva de hortalizas en Concepción, Sololá."
Producción de Cestería en Concepción,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Concepción.
Cultivo de Maíz en San Andrés Semetabaj,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Andrés Semetabaj, departamento de Sololá."
Cultivo de Frijol en San Andrés Semetabaj,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Andrés Semetabaj, departamento de Sololá."
Producción de Tejidos Mayas en San Andrés Semetabaj,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Andrés Semetabaj, Sololá."
Cultivo de Hortalizas en San Andrés Semetabaj,Agrícola,"Agricultura intensiva de hortalizas en San Andrés Semetabaj, Sololá."
Producción de Cestería en San Andrés Semetabaj,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en San Andrés Semetabaj.
Cultivo de Maíz en Panajachel,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Panajachel, departamento de Sololá."
Cultivo de Frijol en Panajachel,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Panajachel, departamento de Sololá."
Producción de Tejidos Mayas en Panajachel,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Panajachel, Sololá."
Cultivo de Hortalizas en Panajachel,Agrícola,"Agricultura intensiva de hortalizas en Panajachel, Sololá."
Producción de Cestería en Panajachel,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Panajachel.
Cultivo de Maíz en Santa Catarina Palopó,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Catarina Palopó, departamento de Sololá."
Cultivo de Frijol en Santa Catarina Palopó,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Catarina Palopó, departamento de Sololá."
Producción de Tejidos Mayas en Santa Catarina Palopó,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santa Catarina Palopó, Sololá."
Cultivo de Hortalizas en Santa Catarina Palopó,Agrícola,"Agricultura intensiva de hortalizas en Santa Catarina Palopó, Sololá."
Producción de Cestería en Santa Catarina Palopó,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Santa Catarina Palopó.
Cultivo de Maíz en San Antonio Palopó,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Antonio Palopó, departamento de Sololá."
Cultivo de Frijol en San Antonio Palopó,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Antonio Palopó, departamento de Sololá."
Producción de Tejidos Mayas en San Antonio Palopó,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Antonio Palopó, Sololá."
Cultivo de Hortalizas en San Antonio Palopó,Agrícola,"Agricultura intensiva de hortalizas en San Antonio Palopó, Sololá."
Producción de Cestería en San Antonio Palopó,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en San Antonio Palopó.
Cultivo de Maíz en San Lucas Tolimán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Lucas Tolimán, departamento de Sololá."
Cultivo de Frijol en San Lucas Tolimán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Lucas Tolimán, departamento de Sololá."
Producción de Tejidos Mayas en San Lucas Tolimán,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Lucas Tolimán, Sololá."
Cultivo de Hortalizas en San Lucas Tolimán,Agrícola,"Agricultura intensiva de hortalizas en San Lucas Tolimán, Sololá."
Producción de Cestería en San Lucas Tolimán,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en San Lucas Tolimán.
Cultivo de Maíz en Santa Cruz La Laguna,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Cruz La Laguna, departamento de Sololá."
Cultivo de Frijol en Santa Cruz La Laguna,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Cruz La Laguna, departamento de Sololá."
Producción de Tejidos Mayas en Santa Cruz La Laguna,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santa Cruz La Laguna, Sololá."
Cultivo de Hortalizas en Santa Cruz La Laguna,Agrícola,"Agricultura intensiva de hortalizas en Santa Cruz La Laguna, Sololá."
Producción de Cestería en Santa Cruz La Laguna,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Santa Cruz La Laguna.
Cultivo de Maíz en San Pablo La Laguna,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Pablo La Laguna, departamento de Sololá."
Cultivo de Frijol en San Pablo La Laguna,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Pablo La Laguna, departamento de Sololá."
Producción de Tejidos Mayas en San Pablo La Laguna,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Pablo La Laguna, Sololá."
Cultivo de Hortalizas en San Pablo La Laguna,Agrícola,"Agricultura intensiva de hortalizas en San Pablo La Laguna, Sololá."
Producción de Cestería en San Pablo La Laguna,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en San Pablo La Laguna.
Cultivo de Maíz en San Marcos La Laguna,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Marcos La Laguna, departamento de Sololá."
Cultivo de Frijol en San Marcos La Laguna,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Marcos La Laguna, departamento de Sololá."
Producción de Tejidos Mayas en San Marcos La Laguna,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Marcos La Laguna, Sololá."
Cultivo de Hortalizas en San Marcos La Laguna,Agrícola,"Agricultura intensiva de hortalizas en San Marcos La Laguna, Sololá."
Producción de Cestería en San Marcos La Laguna,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en San Marcos La Laguna.
Cultivo de Maíz en San Juan La Laguna,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Juan La Laguna, departamento de Sololá."
Cultivo de Frijol en San Juan La Laguna,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Juan La Laguna, departamento de Sololá."
Producción de Tejidos Mayas en San Juan La Laguna,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Juan La Laguna, Sololá."
Cultivo de Hortalizas en San Juan La Laguna,Agrícola,"Agricultura intensiva de hortalizas en San Juan La Laguna, Sololá."
Producción de Cestería en San Juan La Laguna,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en San Juan La Laguna.
Cultivo de Maíz en San Pedro La Laguna,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Pedro La Laguna, departamento de Sololá."
Cultivo de Frijol en San Pedro La Laguna,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Pedro La Laguna, departamento de Sololá."
Producción de Tejidos Mayas en San Pedro La Laguna,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Pedro La Laguna, Sololá."
Cultivo de Hortalizas en San Pedro La Laguna,Agrícola,"Agricultura intensiva de hortalizas en San Pedro La Laguna, Sololá."
Producción de Cestería en San Pedro La Laguna,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en San Pedro La Laguna.
Cultivo de Maíz en Santiago Atitlán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santiago Atitlán, departamento de Sololá."
Cultivo de Frijol en Santiago Atitlán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santiago Atitlán, departamento de Sololá."
Producción de Tejidos Mayas en Santiago Atitlán,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santiago Atitlán, Sololá."
Cultivo de Hortalizas en Santiago Atitlán,Agrícola,"Agricultura intensiva de hortalizas en Santiago Atitlán, Sololá."
Producción de Cestería en Santiago Atitlán,Artesanía/Textil,Tejido de canastas y sopladores con mimbre y fibras en Santiago Atitlán.
Cultivo de Maíz en Totonicapán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Totonicapán, departamento de Totonicapán."
Cultivo de Frijol en Totonicapán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Totonicapán, departamento de Totonicapán."
Producción de Tejidos Mayas en Totonicapán,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Totonicapán, Totonicapán."
Producción de Muebles en Totonicapán,Artesanía/Textil,Ebanistería y carpintería tradicional de muebles de madera en el municipio de Totonicapán.
Cultivo de Maíz en San Cristóbal Totonicapán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Cristóbal Totonicapán, departamento de Totonicapán."
Cultivo de Frijol en San Cristóbal Totonicapán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Cristóbal Totonicapán, departamento de Totonicapán."
Producción de Tejidos Mayas en San Cristóbal Totonicapán,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Cristóbal Totonicapán, Totonicapán."
Producción de Muebles en San Cristóbal Totonicapán,Artesanía/Textil,Ebanistería y carpintería tradicional de muebles de madera en el municipio de San Cristóbal Totonicapán.
Cultivo de Maíz en San Francisco El Alto,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Francisco El Alto, departamento de Totonicapán."
Cultivo de Frijol en San Francisco El Alto,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Francisco El Alto, departamento de Totonicapán."
Producción de Tejidos Mayas en San Francisco El Alto,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Francisco El Alto, Totonicapán."
Producción de Muebles en San Francisco El Alto,Artesanía/Textil,Ebanistería y carpintería tradicional de muebles de madera en el municipio de San Francisco El Alto.
Cultivo de Maíz en San Andrés Xecul,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Andrés Xecul, departamento de Totonicapán."
Cultivo de Frijol en San Andrés Xecul,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Andrés Xecul, departamento de Totonicapán."
Producción de Tejidos Mayas en San Andrés Xecul,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Andrés Xecul, Totonicapán."
Producción de Muebles en San Andrés Xecul,Artesanía/Textil,Ebanistería y carpintería tradicional de muebles de madera en el municipio de San Andrés Xecul.
Cultivo de Maíz en Momostenango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Momostenango, departamento de Totonicapán."
Cultivo de Frijol en Momostenango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Momostenango, departamento de Totonicapán."
Producción de Tejidos Mayas en Momostenango,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Momostenango, Totonicapán."
Producción de Muebles en Momostenango,Artesanía/Textil,Ebanistería y carpintería tradicional de muebles de madera en el municipio de Momostenango.
Cultivo de Maíz en Santa María Chiquimula,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa María Chiquimula, departamento de Totonicapán."
Cultivo de Frijol en Santa María Chiquimula,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa María Chiquimula, departamento de Totonicapán."
Producción de Tejidos Mayas en Santa María Chiquimula,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santa María Chiquimula, Totonicapán."
Producción de Muebles en Santa María Chiquimula,Artesanía/Textil,Ebanistería y carpintería tradicional de muebles de madera en el municipio de Santa María Chiquimula.
Cultivo de Maíz en Santa Lucía La Reforma,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Lucía La Reforma, departamento de Totonicapán."
Cultivo de Frijol en Santa Lucía La Reforma,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Lucía La Reforma, departamento de Totonicapán."
Producción de Tejidos Mayas en Santa Lucía La Reforma,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Santa Lucía La Reforma, Totonicapán."
Producción de Muebles en Santa Lucía La Reforma,Artesanía/Textil,Ebanistería y carpintería tradicional de muebles de madera en el municipio de Santa Lucía La Reforma.
Cultivo de Maíz en San Bartolo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Bartolo, departamento de Totonicapán."
Cultivo de Frijol en San Bartolo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Bartolo, departamento de Totonicapán."
Producción de Tejidos Mayas en San Bartolo,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Bartolo, Totonicapán."
Producción de Muebles en San Bartolo,Artesanía/Textil,Ebanistería y carpintería tradicional de muebles de madera en el municipio de San Bartolo.
Cultivo de Maíz en Quetzaltenango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Quetzaltenango, departamento de Quetzaltenango."
Cultivo de Frijol en Quetzaltenango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Quetzaltenango, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Quetzaltenango,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Quetzaltenango, Quetzaltenango."
Cultivo de Hortalizas en Quetzaltenango,Agrícola,"Agricultura intensiva de hortalizas en Quetzaltenango, Quetzaltenango."
Cultivo de Maíz en Salcajá,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Salcajá, departamento de Quetzaltenango."
Cultivo de Frijol en Salcajá,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Salcajá, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Salcajá,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Salcajá, Quetzaltenango."
Cultivo de Hortalizas en Salcajá,Agrícola,"Agricultura intensiva de hortalizas en Salcajá, Quetzaltenango."
Cultivo de Maíz en Olintepeque,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Olintepeque, departamento de Quetzaltenango."
Cultivo de Frijol en Olintepeque,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Olintepeque, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Olintepeque,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Olintepeque, Quetzaltenango."
Cultivo de Hortalizas en Olintepeque,Agrícola,"Agricultura intensiva de hortalizas en Olintepeque, Quetzaltenango."
Cultivo de Maíz en San Carlos Sija,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Carlos Sija, departamento de Quetzaltenango."
Cultivo de Frijol en San Carlos Sija,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Carlos Sija, departamento de Quetzaltenango."
Producción de Tejidos Mayas en San Carlos Sija,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Carlos Sija, Quetzaltenango."
Cultivo de Hortalizas en San Carlos Sija,Agrícola,"Agricultura intensiva de hortalizas en San Carlos Sija, Quetzaltenango."
Cultivo de Maíz en Sibilia,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Sibilia, departamento de Quetzaltenango."
Cultivo de Frijol en Sibilia,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Sibilia, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Sibilia,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Sibilia, Quetzaltenango."
Cultivo de Hortalizas en Sibilia,Agrícola,"Agricultura intensiva de hortalizas en Sibilia, Quetzaltenango."
Cultivo de Maíz en Cabricán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Cabricán, departamento de Quetzaltenango."
Cultivo de Frijol en Cabricán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Cabricán, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Cabricán,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Cabricán, Quetzaltenango."
Cultivo de Hortalizas en Cabricán,Agrícola,"Agricultura intensiva de hortalizas en Cabricán, Quetzaltenango."
Cultivo de Maíz en Cajolá,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Cajolá, departamento de Quetzaltenango."
Cultivo de Frijol en Cajolá,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Cajolá, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Cajolá,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Cajolá, Quetzaltenango."
Cultivo de Hortalizas en Cajolá,Agrícola,"Agricultura intensiva de hortalizas en Cajolá, Quetzaltenango."
Cultivo de Maíz en San Miguel Sigüila,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Miguel Sigüila, departamento de Quetzaltenango."
Cultivo de Frijol en San Miguel Sigüila,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Miguel Sigüila, departamento de Quetzaltenango."
Producción de Tejidos Mayas en San Miguel Sigüila,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Miguel Sigüila, Quetzaltenango."
Cultivo de Hortalizas en San Miguel Sigüila,Agrícola,"Agricultura intensiva de hortalizas en San Miguel Sigüila, Quetzaltenango."
Cultivo de Maíz en Ostuncalco,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Ostuncalco, departamento de Quetzaltenango."
Cultivo de Frijol en Ostuncalco,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Ostuncalco, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Ostuncalco,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Ostuncalco, Quetzaltenango."
Cultivo de Hortalizas en Ostuncalco,Agrícola,"Agricultura intensiva de hortalizas en Ostuncalco, Quetzaltenango."
Cultivo de Maíz en San Mateo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Mateo, departamento de Quetzaltenango."
Cultivo de Frijol en San Mateo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Mateo, departamento de Quetzaltenango."
Producción de Tejidos Mayas en San Mateo,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Mateo, Quetzaltenango."
Cultivo de Hortalizas en San Mateo,Agrícola,"Agricultura intensiva de hortalizas en San Mateo, Quetzaltenango."
Cultivo de Maíz en Concepción Chiquirichapa,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Concepción Chiquirichapa, departamento de Quetzaltenango."
Cultivo de Frijol en Concepción Chiquirichapa,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Concepción Chiquirichapa, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Concepción Chiquirichapa,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Concepción Chiquirichapa, Quetzaltenango."
Cultivo de Hortalizas en Concepción Chiquirichapa,Agrícola,"Agricultura intensiva de hortalizas en Concepción Chiquirichapa, Quetzaltenango."
Cultivo de Maíz en San Martín Sacatepéquez,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Martín Sacatepéquez, departamento de Quetzaltenango."
Cultivo de Frijol en San Martín Sacatepéquez,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Martín Sacatepéquez, departamento de Quetzaltenango."
Producción de Tejidos Mayas en San Martín Sacatepéquez,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en San Martín Sacatepéquez, Quetzaltenango."
Cultivo de Hortalizas en San Martín Sacatepéquez,Agrícola,"Agricultura intensiva de hortalizas en San Martín Sacatepéquez, Quetzaltenango."
Cultivo de Maíz en Almolonga,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Almolonga, departamento de Quetzaltenango."
Cultivo de Frijol en Almolonga,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Almolonga, departamento de Quetzaltenango."
Producción de Tejidos Mayas en Almolonga,Artesanía/Textil,"Tejido tradicional en telar de cintura y pie de prendas coloridas típicas en Almolonga, Quetzaltenango."
