nombre,municipio_pcode,dias_plaza,tipo_mercado,cantidad_vendedores_est,latitud,longitud,descripcion
Mercado Cantonal de Parramos,GT0414,Jueves y Domingos,Mixto,567,14.706400,-90.591300,Plaza y mercado cantonal de comercio vecinal en Parramos.
Mercado de Productores y Artesanos de Parramos,GT0414,Sábados,Mayorista,257,14.700400,-90.585300,Mercado de productores locales para venta al por mayor en Parramos.
Mercado Municipal Central de Zaragoza,GT0415,Diario,Cantonal/Municipal,935,14.708400,-90.593300,Mercado municipal de abastos y comercio cotidiano de Zaragoza.
Mercado Cantonal de Zaragoza,GT0415,Jueves y Domingos,Artesanal,568,14.711400,-90.596300,Plaza y mercado cantonal de comercio vecinal en Zaragoza.
Mercado de Productores y Artesanos de Zaragoza,GT0415,Sábados,Artesanal,362,14.705400,-90.590300,Mercado de productores locales para venta al por mayor en Zaragoza.
Mercado Municipal Central de El Tejar,GT0416,Diario,Cantonal/Municipal,1418,14.713400,-90.598300,Mercado municipal de abastos y comercio cotidiano de El Tejar.
Mercado Cantonal de El Tejar,GT0416,Jueves y Domingos,Mayorista,677,14.716400,-90.601300,Plaza y mercado cantonal de comercio vecinal en El Tejar.
Mercado de Productores y Artesanos de El Tejar,GT0416,Sábados,Mayorista,150,14.710400,-90.595300,Mercado de productores locales para venta al por mayor en El Tejar.
Mercado Municipal Central de Escuintla,GT0501,Diario,Cantonal/Municipal,1361,14.390800,-90.875800,Mercado municipal de abastos y comercio cotidiano de Escuintla.
Mercado Cantonal de Escuintla,GT0501,Jueves y Domingos,Cantonal/Municipal,527,14.393800,-90.878800,Plaza y mercado cantonal de comercio vecinal en Escuintla.
Mercado de Productores y Artesanos de Escuintla,GT0501,Sábados,Artesanal,568,14.387800,-90.872800,Mercado de productores locales para venta al por mayor en Escuintla.
Mercado Municipal Central de Santa Lucía Cotzumalguapa,GT0502,Diario,Cantonal/Municipal,816,14.723400,-90.608300,Mercado municipal de abastos y comercio cotidiano de Santa Lucía Cotzumalguapa.
Mercado Cantonal de Santa Lucía Cotzumalguapa,GT0502,Jueves y Domingos,Mixto,579,14.726400,-90.611300,Plaza y mercado cantonal de comercio vecinal en Santa Lucía Cotzumalguapa.
Mercado de Productores y Artesanos de Santa Lucía Cotzumalguapa,GT0502,Sábados,Mayorista,260,14.720400,-90.605300,Mercado de productores locales para venta al por mayor en Santa Lucía Cotzumalguapa.
Mercado Municipal Central de La Democracia,GT0503,Diario,Cantonal/Municipal,1247,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de La Democracia.
Mercado Cantonal de La Democracia,GT0503,Jueves y Domingos,Artesanal,246,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en La Democracia.
Mercado de Productores y Artesanos de La Democracia,GT0503,Sábados,Artesanal,388,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en La Democracia.
Mercado Municipal Central de Siquinalá,GT0504,Diario,Cantonal/Municipal,853,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de Siquinalá.
Mercado Cantonal de Siquinalá,GT0504,Jueves y Domingos,Mayorista,349,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en Siquinalá.
Mercado de Productores y Artesanos de Siquinalá,GT0504,Sábados,Mayorista,108,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en Siquinalá.
Mercado Municipal Central de Masagua,GT0505,Diario,Cantonal/Municipal,934,14.638400,-90.523300,Mercado municipal de abastos y comercio cotidiano de Masagua.
Mercado Cantonal de Masagua,GT0505,Jueves y Domingos,Cantonal/Municipal,766,14.641400,-90.526300,Plaza y mercado cantonal de comercio vecinal en Masagua.
Mercado de Productores y Artesanos de Masagua,GT0505,Sábados,Artesanal,578,14.635400,-90.520300,Mercado de productores locales para venta al por mayor en Masagua.
Mercado Municipal Central de Tiquisate,GT0506,Diario,Cantonal/Municipal,1255,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de Tiquisate.
Mercado Cantonal de Tiquisate,GT0506,Jueves y Domingos,Mixto,502,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en Tiquisate.
Mercado de Productores y Artesanos de Tiquisate,GT0506,Sábados,Mayorista,178,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en Tiquisate.
Mercado Municipal Central de La Gomera,GT0507,Diario,Cantonal/Municipal,801,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de La Gomera.
Mercado Cantonal de La Gomera,GT0507,Jueves y Domingos,Artesanal,537,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en La Gomera.
Mercado de Productores y Artesanos de La Gomera,GT0507,Sábados,Artesanal,217,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en La Gomera.
Mercado Municipal Central de Guanagazapa,GT0508,Diario,Cantonal/Municipal,1177,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de Guanagazapa.
Mercado Cantonal de Guanagazapa,GT0508,Jueves y Domingos,Mayorista,783,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en Guanagazapa.
Mercado de Productores y Artesanos de Guanagazapa,GT0508,Sábados,Mayorista,526,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en Guanagazapa.
Mercado Municipal Central de San José,GT0509,Diario,Cantonal/Municipal,903,14.658400,-90.543300,Mercado municipal de abastos y comercio cotidiano de San José.
Mercado Cantonal de San José,GT0509,Jueves y Domingos,Cantonal/Municipal,711,14.661400,-90.546300,Plaza y mercado cantonal de comercio vecinal en San José.
Mercado de Productores y Artesanos de San José,GT0509,Sábados,Artesanal,381,14.655400,-90.540300,Mercado de productores locales para venta al por mayor en San José.
Mercado Municipal Central de Iztapa,GT0510,Diario,Cantonal/Municipal,1091,14.663400,-90.548300,Mercado municipal de abastos y comercio cotidiano de Iztapa.
Mercado Cantonal de Iztapa,GT0510,Jueves y Domingos,Mixto,463,14.666400,-90.551300,Plaza y mercado cantonal de comercio vecinal en Iztapa.
Mercado de Productores y Artesanos de Iztapa,GT0510,Sábados,Mayorista,490,14.660400,-90.545300,Mercado de productores locales para venta al por mayor en Iztapa.
Mercado Municipal Central de Palín,GT0511,Diario,Cantonal/Municipal,1400,14.668400,-90.553300,Mercado municipal de abastos y comercio cotidiano de Palín.
Mercado Cantonal de Palín,GT0511,Jueves y Domingos,Artesanal,702,14.671400,-90.556300,Plaza y mercado cantonal de comercio vecinal en Palín.
Mercado de Productores y Artesanos de Palín,GT0511,Sábados,Artesanal,335,14.665400,-90.550300,Mercado de productores locales para venta al por mayor en Palín.
Mercado Municipal Central de San Vicente Pacaya,GT0512,Diario,Cantonal/Municipal,744,14.673400,-90.558300,Mercado municipal de abastos y comercio cotidiano de San Vicente Pacaya.
Mercado Cantonal de San Vicente Pacaya,GT0512,Jueves y Domingos,Mayorista,560,14.676400,-90.561300,Plaza y mercado cantonal de comercio vecinal en San Vicente Pacaya.
Mercado de Productores y Artesanos de San Vicente Pacaya,GT0512,Sábados,Mayorista,186,14.670400,-90.555300,Mercado de productores locales para venta al por mayor en San Vicente Pacaya.
Mercado Municipal Central de Nueva Concepción,GT0513,Diario,Cantonal/Municipal,686,14.678400,-90.563300,Mercado municipal de abastos y comercio cotidiano de Nueva Concepción.
Mercado Cantonal de Nueva Concepción,GT0513,Jueves y Domingos,Cantonal/Municipal,759,14.681400,-90.566300,Plaza y mercado cantonal de comercio vecinal en Nueva Concepción.
Mercado de Productores y Artesanos de Nueva Concepción,GT0513,Sábados,Artesanal,350,14.675400,-90.560300,Mercado de productores locales para venta al por mayor en Nueva Concepción.
Mercado Municipal Central de Sipacate,GT0514,Diario,Cantonal/Municipal,776,14.683400,-90.568300,Mercado municipal de abastos y comercio cotidiano de Sipacate.
Mercado Cantonal de Sipacate,GT0514,Jueves y Domingos,Mixto,755,14.686400,-90.571300,Plaza y mercado cantonal de comercio vecinal en Sipacate.
Mercado de Productores y Artesanos de Sipacate,GT0514,Sábados,Mayorista,428,14.680400,-90.565300,Mercado de productores locales para venta al por mayor en Sipacate.
Mercado Municipal Central de Cuilapa,GT0601,Diario,Cantonal/Municipal,520,14.227800,-90.358900,Mercado municipal de abastos y comercio cotidiano de Cuilapa.
Mercado Cantonal de Cuilapa,GT0601,Jueves y Domingos,Artesanal,736,14.230800,-90.361900,Plaza y mercado cantonal de comercio vecinal en Cuilapa.
Mercado de Productores y Artesanos de Cuilapa,GT0601,Sábados,Artesanal,117,14.224800,-90.355900,Mercado de productores locales para venta al por mayor en Cuilapa.
Mercado Municipal Central de Barberena,GT0602,Diario,Cantonal/Municipal,552,14.693400,-90.578300,Mercado municipal de abastos y comercio cotidiano de Barberena.
Mercado Cantonal de Barberena,GT0602,Jueves y Domingos,Mayorista,249,14.696400,-90.581300,Plaza y mercado cantonal de comercio vecinal en Barberena.
Mercado de Productores y Artesanos de Barberena,GT0602,Sábados,Mayorista,491,14.690400,-90.575300,Mercado de productores locales para venta al por mayor en Barberena.
Mercado Municipal Central de Santa Rosa de Lima,GT0603,Diario,Cantonal/Municipal,413,14.698400,-90.583300,Mercado municipal de abastos y comercio cotidiano de Santa Rosa de Lima.
Mercado Cantonal de Santa Rosa de Lima,GT0603,Jueves y Domingos,Cantonal/Municipal,622,14.701400,-90.586300,Plaza y mercado cantonal de comercio vecinal en Santa Rosa de Lima.
Mercado de Productores y Artesanos de Santa Rosa de Lima,GT0603,Sábados,Artesanal,170,14.695400,-90.580300,Mercado de productores locales para venta al por mayor en Santa Rosa de Lima.
Mercado Municipal Central de Casillas,GT0604,Diario,Cantonal/Municipal,873,14.703400,-90.588300,Mercado municipal de abastos y comercio cotidiano de Casillas.
Mercado Cantonal de Casillas,GT0604,Jueves y Domingos,Mixto,269,14.706400,-90.591300,Plaza y mercado cantonal de comercio vecinal en Casillas.
Mercado de Productores y Artesanos de Casillas,GT0604,Sábados,Mayorista,462,14.700400,-90.585300,Mercado de productores locales para venta al por mayor en Casillas.
Mercado Municipal Central de San Rafael Las Flores,GT0605,Diario,Cantonal/Municipal,709,14.708400,-90.593300,Mercado municipal de abastos y comercio cotidiano de San Rafael Las Flores.
Mercado Cantonal de San Rafael Las Flores,GT0605,Jueves y Domingos,Artesanal,209,14.711400,-90.596300,Plaza y mercado cantonal de comercio vecinal en San Rafael Las Flores.
Mercado de Productores y Artesanos de San Rafael Las Flores,GT0605,Sábados,Artesanal,211,14.705400,-90.590300,Mercado de productores locales para venta al por mayor en San Rafael Las Flores.
Mercado Municipal Central de Oratorio,GT0606,Diario,Cantonal/Municipal,1435,14.713400,-90.598300,Mercado municipal de abastos y comercio cotidiano de Oratorio.
Mercado Cantonal de Oratorio,GT0606,Jueves y Domingos,Mayorista,666,14.716400,-90.601300,Plaza y mercado cantonal de comercio vecinal en Oratorio.
Mercado de Productores y Artesanos de Oratorio,GT0606,Sábados,Mayorista,291,14.710400,-90.595300,Mercado de productores locales para venta al por mayor en Oratorio.
Mercado Municipal Central de San Juan Tecuaco,GT0607,Diario,Cantonal/Municipal,523,14.718400,-90.603300,Mercado municipal de abastos y comercio cotidiano de San Juan Tecuaco.
Mercado Cantonal de San Juan Tecuaco,GT0607,Jueves y Domingos,Cantonal/Municipal,694,14.721400,-90.606300,Plaza y mercado cantonal de comercio vecinal en San Juan Tecuaco.
Mercado de Productores y Artesanos de San Juan Tecuaco,GT0607,Sábados,Artesanal,437,14.715400,-90.600300,Mercado de productores locales para venta al por mayor en San Juan Tecuaco.
Mercado Municipal Central de Chiquimulilla,GT0608,Diario,Cantonal/Municipal,1399,14.723400,-90.608300,Mercado municipal de abastos y comercio cotidiano de Chiquimulilla.
Mercado Cantonal de Chiquimulilla,GT0608,Jueves y Domingos,Mixto,216,14.726400,-90.611300,Plaza y mercado cantonal de comercio vecinal en Chiquimulilla.
Mercado de Productores y Artesanos de Chiquimulilla,GT0608,Sábados,Mayorista,103,14.720400,-90.605300,Mercado de productores locales para venta al por mayor en Chiquimulilla.
Mercado Municipal Central de Taxisco,GT0609,Diario,Cantonal/Municipal,1489,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de Taxisco.
Mercado Cantonal de Taxisco,GT0609,Jueves y Domingos,Artesanal,764,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en Taxisco.
Mercado de Productores y Artesanos de Taxisco,GT0609,Sábados,Artesanal,310,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en Taxisco.
Mercado Municipal Central de Santa María Ixhuatán,GT0610,Diario,Cantonal/Municipal,424,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de Santa María Ixhuatán.
Mercado Cantonal de Santa María Ixhuatán,GT0610,Jueves y Domingos,Mayorista,217,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en Santa María Ixhuatán.
Mercado de Productores y Artesanos de Santa María Ixhuatán,GT0610,Sábados,Mayorista,371,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en Santa María Ixhuatán.
Mercado Municipal Central de Guazacapán,GT0611,Diario,Cantonal/Municipal,962,14.638400,-90.523300,Mercado municipal de abastos y comercio cotidiano de Guazacapán.
Mercado Cantonal de Guazacapán,GT0611,Jueves y Domingos,Cantonal/Municipal,748,14.641400,-90.526300,Plaza y mercado cantonal de comercio vecinal en Guazacapán.
Mercado de Productores y Artesanos de Guazacapán,GT0611,Sábados,Artesanal,600,14.635400,-90.520300,Mercado de productores locales para venta al por mayor en Guazacapán.
Mercado Municipal Central de Santa Cruz Naranjo,GT0612,Diario,Cantonal/Municipal,987,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de Santa Cruz Naranjo.
Mercado Cantonal de Santa Cruz Naranjo,GT0612,Jueves y Domingos,Mixto,217,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en Santa Cruz Naranjo.
Mercado de Productores y Artesanos de Santa Cruz Naranjo,GT0612,Sábados,Mayorista,357,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en Santa Cruz Naranjo.
Mercado Municipal Central de Pueblo Nuevo Viñas,GT0613,Diario,Cantonal/Municipal,1281,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de Pueblo Nuevo Viñas.
Mercado Cantonal de Pueblo Nuevo Viñas,GT0613,Jueves y Domingos,Artesanal,383,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en Pueblo Nuevo Viñas.
Mercado de Productores y Artesanos de Pueblo Nuevo Viñas,GT0613,Sábados,Artesanal,154,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en Pueblo Nuevo Viñas.
Mercado Municipal Central de Nueva Santa Rosa,GT0614,Diario,Cantonal/Municipal,597,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de Nueva Santa Rosa.
Mercado Cantonal de Nueva Santa Rosa,GT0614,Jueves y Domingos,Mayorista,736,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en Nueva Santa Rosa.
Mercado de Productores y Artesanos de Nueva Santa Rosa,GT0614,Sábados,Mayorista,176,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en Nueva Santa Rosa.
Mercado Municipal Central de Lago De Atitlan,GT0700,Diario,Cantonal/Municipal,893,14.658400,-90.543300,Mercado municipal de abastos y comercio cotidiano de Lago De Atitlan.
Mercado Cantonal de Lago De Atitlan,GT0700,Jueves y Domingos,Cantonal/Municipal,396,14.661400,-90.546300,Plaza y mercado cantonal de comercio vecinal en Lago De Atitlan.
Mercado de Productores y Artesanos de Lago De Atitlan,GT0700,Sábados,Artesanal,417,14.655400,-90.540300,Mercado de productores locales para venta al por mayor en Lago De Atitlan.
Mercado Municipal Central de Sololá,GT0701,Diario,Cantonal/Municipal,1478,14.807600,-91.220600,Mercado municipal de abastos y comercio cotidiano de Sololá.
Mercado Cantonal de Sololá,GT0701,Jueves y Domingos,Mixto,458,14.810600,-91.223600,Plaza y mercado cantonal de comercio vecinal en Sololá.
Mercado de Productores y Artesanos de Sololá,GT0701,Sábados,Mayorista,517,14.804600,-91.217600,Mercado de productores locales para venta al por mayor en Sololá.
Mercado Municipal Central de San José Chacayá,GT0702,Diario,Cantonal/Municipal,1125,14.668400,-90.553300,Mercado municipal de abastos y comercio cotidiano de San José Chacayá.
Mercado Cantonal de San José Chacayá,GT0702,Jueves y Domingos,Artesanal,473,14.671400,-90.556300,Plaza y mercado cantonal de comercio vecinal en San José Chacayá.
Mercado de Productores y Artesanos de San José Chacayá,GT0702,Sábados,Artesanal,507,14.665400,-90.550300,Mercado de productores locales para venta al por mayor en San José Chacayá.
Mercado Municipal Central de Santa María Visitación,GT0703,Diario,Cantonal/Municipal,1212,14.673400,-90.558300,Mercado municipal de abastos y comercio cotidiano de Santa María Visitación.
Mercado Cantonal de Santa María Visitación,GT0703,Jueves y Domingos,Mayorista,280,14.676400,-90.561300,Plaza y mercado cantonal de comercio vecinal en Santa María Visitación.
Mercado de Productores y Artesanos de Santa María Visitación,GT0703,Sábados,Mayorista,291,14.670400,-90.555300,Mercado de productores locales para venta al por mayor en Santa María Visitación.
Mercado Municipal Central de Santa Lucía Utatlán,GT0704,Diario,Cantonal/Municipal,1231,14.678400,-90.563300,Mercado municipal de abastos y comercio cotidiano de Santa Lucía Utatlán.
Mercado Cantonal de Santa Lucía Utatlán,GT0704,Jueves y Domingos,Cantonal/Municipal,670,14.681400,-90.566300,Plaza y mercado cantonal de comercio vecinal en Santa Lucía Utatlán.
Mercado de Productores y Artesanos de Santa Lucía Utatlán,GT0704,Sábados,Artesanal,389,14.675400,-90.560300,Mercado de productores locales para venta al por mayor en Santa Lucía Utatlán.
Mercado Municipal Central de Nahualá,GT0705,Diario,Cantonal/Municipal,898,14.683400,-90.568300,Mercado municipal de abastos y comercio cotidiano de Nahualá.
Mercado Cantonal de Nahualá,GT0705,Jueves y Domingos,Mixto,431,14.686400,-90.571300,Plaza y mercado cantonal de comercio vecinal en Nahualá.
Mercado de Productores y Artesanos de Nahualá,GT0705,Sábados,Mayorista,253,14.680400,-90.565300,Mercado de productores locales para venta al por mayor en Nahualá.
Mercado Municipal Central de Santa Catarina Ixtahuacán,GT0706,Diario,Cantonal/Municipal,565,14.688400,-90.573300,Mercado municipal de abastos y comercio cotidiano de Santa Catarina Ixtahuacán.
Mercado Cantonal de Santa Catarina Ixtahuacán,GT0706,Jueves y Domingos,Artesanal,232,14.691400,-90.576300,Plaza y mercado cantonal de comercio vecinal en Santa Catarina Ixtahuacán.
Mercado de Productores y Artesanos de Santa Catarina Ixtahuacán,GT0706,Sábados,Artesanal,147,14.685400,-90.570300,Mercado de productores locales para venta al por mayor en Santa Catarina Ixtahuacán.
Mercado Municipal Central de Santa Clara La Laguna,GT0707,Diario,Cantonal/Municipal,1230,14.693400,-90.578300,Mercado municipal de abastos y comercio cotidiano de Santa Clara La Laguna.
Mercado Cantonal de Santa Clara La Laguna,GT0707,Jueves y Domingos,Mayorista,588,14.696400,-90.581300,Plaza y mercado cantonal de comercio vecinal en Santa Clara La Laguna.
Mercado de Productores y Artesanos de Santa Clara La Laguna,GT0707,Sábados,Mayorista,293,14.690400,-90.575300,Mercado de productores locales para venta al por mayor en Santa Clara La Laguna.
Mercado Municipal Central de Concepción,GT0708,Diario,Cantonal/Municipal,1374,14.698400,-90.583300,Mercado municipal de abastos y comercio cotidiano de Concepción.
Mercado Cantonal de Concepción,GT0708,Jueves y Domingos,Cantonal/Municipal,257,14.701400,-90.586300,Plaza y mercado cantonal de comercio vecinal en Concepción.
Mercado de Productores y Artesanos de Concepción,GT0708,Sábados,Artesanal,426,14.695400,-90.580300,Mercado de productores locales para venta al por mayor en Concepción.
Mercado Municipal Central de San Andrés Semetabaj,GT0709,Diario,Cantonal/Municipal,419,14.703400,-90.588300,Mercado municipal de abastos y comercio cotidiano de San Andrés Semetabaj.
Mercado Cantonal de San Andrés Semetabaj,GT0709,Jueves y Domingos,Mixto,375,14.706400,-90.591300,Plaza y mercado cantonal de comercio vecinal en San Andrés Semetabaj.
Mercado de Productores y Artesanos de San Andrés Semetabaj,GT0709,Sábados,Mayorista,142,14.700400,-90.585300,Mercado de productores locales para venta al por mayor en San Andrés Semetabaj.
Mercado Municipal Central de Panajachel,GT0710,Diario,Cantonal/Municipal,1423,14.708400,-90.593300,Mercado municipal de abastos y comercio cotidiano de Panajachel.
Mercado Cantonal de Panajachel,GT0710,Jueves y Domingos,Artesanal,644,14.711400,-90.596300,Plaza y mercado cantonal de comercio vecinal en Panajachel.
Mercado de Productores y Artesanos de Panajachel,GT0710,Sábados,Artesanal,430,14.705400,-90.590300,Mercado de productores locales para venta al por mayor en Panajachel.
Mercado Municipal Central de Santa Catarina Palopó,GT0711,Diario,Cantonal/Municipal,1078,14.713400,-90.598300,Mercado municipal de abastos y comercio cotidiano de Santa Catarina Palopó.
Mercado Cantonal de Santa Catarina Palopó,GT0711,Jueves y Domingos,Mayorista,779,14.716400,-90.601300,Plaza y mercado cantonal de comercio vecinal en Santa Catarina Palopó.
Mercado de Productores y Artesanos de Santa Catarina Palopó,GT0711,Sábados,Mayorista,600,14.710400,-90.595300,Mercado de productores locales para venta al por mayor en Santa Catarina Palopó.
Mercado Municipal Central de San Antonio Palopó,GT0712,Diario,Cantonal/Municipal,595,14.718400,-90.603300,Mercado municipal de abastos y comercio cotidiano de San Antonio Palopó.
Mercado Cantonal de San Antonio Palopó,GT0712,Jueves y Domingos,Cantonal/Municipal,740,14.721400,-90.606300,Plaza y mercado cantonal de comercio vecinal en San Antonio Palopó.
Mercado de Productores y Artesanos de San Antonio Palopó,GT0712,Sábados,Artesanal,570,14.715400,-90.600300,Mercado de productores locales para venta al por mayor en San Antonio Palopó.
Mercado Municipal Central de San Lucas Tolimán,GT0713,Diario,Cantonal/Municipal,487,14.723400,-90.608300,Mercado municipal de abastos y comercio cotidiano de San Lucas Tolimán.
Mercado Cantonal de San Lucas Tolimán,GT0713,Jueves y Domingos,Mixto,435,14.726400,-90.611300,Plaza y mercado cantonal de comercio vecinal en San Lucas Tolimán.
Mercado de Productores y Artesanos de San Lucas Tolimán,GT0713,Sábados,Mayorista,208,14.720400,-90.605300,Mercado de productores locales para venta al por mayor en San Lucas Tolimán.
Mercado Municipal Central de Santa Cruz La Laguna,GT0714,Diario,Cantonal/Municipal,1373,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de Santa Cruz La Laguna.
Mercado Cantonal de Santa Cruz La Laguna,GT0714,Jueves y Domingos,Artesanal,477,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en Santa Cruz La Laguna.
Mercado de Productores y Artesanos de Santa Cruz La Laguna,GT0714,Sábados,Artesanal,123,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en Santa Cruz La Laguna.
Mercado Municipal Central de San Pablo La Laguna,GT0715,Diario,Cantonal/Municipal,552,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de San Pablo La Laguna.
Mercado Cantonal de San Pablo La Laguna,GT0715,Jueves y Domingos,Mayorista,487,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en San Pablo La Laguna.
Mercado de Productores y Artesanos de San Pablo La Laguna,GT0715,Sábados,Mayorista,560,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en San Pablo La Laguna.
Mercado Municipal Central de San Marcos La Laguna,GT0716,Diario,Cantonal/Municipal,467,14.638400,-90.523300,Mercado municipal de abastos y comercio cotidiano de San Marcos La Laguna.
Mercado Cantonal de San Marcos La Laguna,GT0716,Jueves y Domingos,Cantonal/Municipal,383,14.641400,-90.526300,Plaza y mercado cantonal de comercio vecinal en San Marcos La Laguna.
Mercado de Productores y Artesanos de San Marcos La Laguna,GT0716,Sábados,Artesanal,575,14.635400,-90.520300,Mercado de productores locales para venta al por mayor en San Marcos La Laguna.
Mercado Municipal Central de San Juan La Laguna,GT0717,Diario,Cantonal/Municipal,1044,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de San Juan La Laguna.
Mercado Cantonal de San Juan La Laguna,GT0717,Jueves y Domingos,Mixto,216,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en San Juan La Laguna.
Mercado de Productores y Artesanos de San Juan La Laguna,GT0717,Sábados,Mayorista,592,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en San Juan La Laguna.
Mercado Municipal Central de San Pedro La Laguna,GT0718,Diario,Cantonal/Municipal,824,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de San Pedro La Laguna.
Mercado Cantonal de San Pedro La Laguna,GT0718,Jueves y Domingos,Artesanal,347,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en San Pedro La Laguna.
Mercado de Productores y Artesanos de San Pedro La Laguna,GT0718,Sábados,Artesanal,485,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en San Pedro La Laguna.
Mercado Municipal Central de Santiago Atitlán,GT0719,Diario,Cantonal/Municipal,1215,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de Santiago Atitlán.
Mercado Cantonal de Santiago Atitlán,GT0719,Jueves y Domingos,Mayorista,278,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en Santiago Atitlán.
Mercado de Productores y Artesanos de Santiago Atitlán,GT0719,Sábados,Mayorista,253,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en Santiago Atitlán.
Mercado Municipal Central de Totonicapán,GT0801,Diario,Cantonal/Municipal,732,14.940800,-91.391100,Mercado municipal de abastos y comercio cotidiano de Totonicapán.
Mercado Cantonal de Totonicapán,GT0801,Jueves y Domingos,Cantonal/Municipal,777,14.943800,-91.394100,Plaza y mercado cantonal de comercio vecinal en Totonicapán.
Mercado de Productores y Artesanos de Totonicapán,GT0801,Sábados,Artesanal,223,14.937800,-91.388100,Mercado de productores locales para venta al por mayor en Totonicapán.
Mercado Municipal Central de San Cristóbal Totonicapán,GT0802,Diario,Cantonal/Municipal,1196,14.663400,-90.548300,Mercado municipal de abastos y comercio cotidiano de San Cristóbal Totonicapán.
Mercado Cantonal de San Cristóbal Totonicapán,GT0802,Jueves y Domingos,Mixto,753,14.666400,-90.551300,Plaza y mercado cantonal de comercio vecinal en San Cristóbal Totonicapán.
Mercado de Productores y Artesanos de San Cristóbal Totonicapán,GT0802,Sábados,Mayorista,269,14.660400,-90.545300,Mercado de productores locales para venta al por mayor en San Cristóbal Totonicapán.
Mercado Municipal Central de San Francisco El Alto,GT0803,Diario,Cantonal/Municipal,1186,14.668400,-90.553300,Mercado municipal de abastos y comercio cotidiano de San Francisco El Alto.
Mercado Cantonal de San Francisco El Alto,GT0803,Jueves y Domingos,Artesanal,343,14.671400,-90.556300,Plaza y mercado cantonal de comercio vecinal en San Francisco El Alto.
Mercado de Productores y Artesanos de San Francisco El Alto,GT0803,Sábados,Artesanal,504,14.665400,-90.550300,Mercado de productores locales para venta al por mayor en San Francisco El Alto.
Mercado Municipal Central de San Andrés Xecul,GT0804,Diario,Cantonal/Municipal,560,14.673400,-90.558300,Mercado municipal de abastos y comercio cotidiano de San Andrés Xecul.
Mercado Cantonal de San Andrés Xecul,GT0804,Jueves y Domingos,Mayorista,712,14.676400,-90.561300,Plaza y mercado cantonal de comercio vecinal en San Andrés Xecul.
Mercado de Productores y Artesanos de San Andrés Xecul,GT0804,Sábados,Mayorista,481,14.670400,-90.555300,Mercado de productores locales para venta al por mayor en San Andrés Xecul.
Mercado Municipal Central de Momostenango,GT0805,Diario,Cantonal/Municipal,1108,14.678400,-90.563300,Mercado municipal de abastos y comercio cotidiano de Momostenango.
Mercado Cantonal de Momostenango,GT0805,Jueves y Domingos,Cantonal/Municipal,254,14.681400,-90.566300,Plaza y mercado cantonal de comercio vecinal en Momostenango.
Mercado de Productores y Artesanos de Momostenango,GT0805,Sábados,Artesanal,150,14.675400,-90.560300,Mercado de productores locales para venta al por mayor en Momostenango.
