actividad_nombre,materia_nombre,es_indispensable
Cultivo de Maíz en Quetzaltenango,Semilla de Maíz de Quetzaltenango,true
Cultivo de Frijol en Quetzaltenango,Semilla de Frijol de Quetzaltenango,true
Cultivo de Maíz en Quetzaltenango,Abono Orgánico de Quetzaltenango,false
Cultivo de Maíz en Salcajá,Semilla de Maíz de Salcajá,true
Cultivo de Frijol en Salcajá,Semilla de Frijol de Salcajá,true
Cultivo de Maíz en Salcajá,Abono Orgánico de Salcajá,false
Cultivo de Maíz en Olintepeque,Semilla de Maíz de Olintepeque,true
Cultivo de Frijol en Olintepeque,Semilla de Frijol de Olintepeque,true
Cultivo de Maíz en Olintepeque,Abono Orgánico de Olintepeque,false
Cultivo de Maíz en San Carlos Sija,Semilla de Maíz de San Carlos Sija,true
Cultivo de Frijol en San Carlos Sija,Semilla de Frijol de San Carlos Sija,true
Cultivo de Maíz en San Carlos Sija,Abono Orgánico de San Carlos Sija,false
Cultivo de Maíz en Sibilia,Semilla de Maíz de Sibilia,true
Cultivo de Frijol en Sibilia,Semilla de Frijol de Sibilia,true
Cultivo de Maíz en Sibilia,Abono Orgánico de Sibilia,false
Cultivo de Maíz en Cabricán,Semilla de Maíz de Cabricán,true
Cultivo de Frijol en Cabricán,Semilla de Frijol de Cabricán,true
Cultivo de Maíz en Cabricán,Abono Orgánico de Cabricán,false
Cultivo de Maíz en Cajolá,Semilla de Maíz de Cajolá,true
Cultivo de Frijol en Cajolá,Semilla de Frijol de Cajolá,true
Cultivo de Maíz en Cajolá,Abono Orgánico de Cajolá,false
Cultivo de Maíz en San Miguel Sigüila,Semilla de Maíz de San Miguel Sigüila,true
Cultivo de Frijol en San Miguel Sigüila,Semilla de Frijol de San Miguel Sigüila,true
Cultivo de Maíz en San Miguel Sigüila,Abono Orgánico de San Miguel Sigüila,false
Cultivo de Maíz en Ostuncalco,Semilla de Maíz de Ostuncalco,true
Cultivo de Frijol en Ostuncalco,Semilla de Frijol de Ostuncalco,true
Cultivo de Maíz en Ostuncalco,Abono Orgánico de Ostuncalco,false
Cultivo de Maíz en San Mateo,Semilla de Maíz de San Mateo,true
Cultivo de Frijol en San Mateo,Semilla de Frijol de San Mateo,true
Cultivo de Maíz en San Mateo,Abono Orgánico de San Mateo,false
Cultivo de Maíz en Concepción Chiquirichapa,Semilla de Maíz de Concepción Chiquirichapa,true
Cultivo de Frijol en Concepción Chiquirichapa,Semilla de Frijol de Concepción Chiquirichapa,true
Cultivo de Maíz en Concepción Chiquirichapa,Abono Orgánico de Concepción Chiquirichapa,false
Cultivo de Maíz en San Martín Sacatepéquez,Semilla de Maíz de San Martín Sacatepéquez,true
Cultivo de Frijol en San Martín Sacatepéquez,Semilla de Frijol de San Martín Sacatepéquez,true
Cultivo de Maíz en San Martín Sacatepéquez,Abono Orgánico de San Martín Sacatepéquez,false
Cultivo de Maíz en Almolonga,Semilla de Maíz de Almolonga,true
Cultivo de Frijol en Almolonga,Semilla de Frijol de Almolonga,true
Cultivo de Maíz en Almolonga,Abono Orgánico de Almolonga,false
Cultivo de Maíz en Cantel,Semilla de Maíz de Cantel,true
Cultivo de Frijol en Cantel,Semilla de Frijol de Cantel,true
Cultivo de Maíz en Cantel,Abono Orgánico de Cantel,false
Cultivo de Maíz en Huitán,Semilla de Maíz de Huitán,true
Cultivo de Frijol en Huitán,Semilla de Frijol de Huitán,true
Cultivo de Maíz en Huitán,Abono Orgánico de Huitán,false
Cultivo de Maíz en Zunil,Semilla de Maíz de Zunil,true
Cultivo de Frijol en Zunil,Semilla de Frijol de Zunil,true
Cultivo de Maíz en Zunil,Abono Orgánico de Zunil,false
Cultivo de Maíz en Colomba,Semilla de Maíz de Colomba,true
Cultivo de Frijol en Colomba,Semilla de Frijol de Colomba,true
Cultivo de Maíz en Colomba,Abono Orgánico de Colomba,false
Cultivo de Maíz en San Francisco La Unión,Semilla de Maíz de San Francisco La Unión,true
Cultivo de Frijol en San Francisco La Unión,Semilla de Frijol de San Francisco La Unión,true
Cultivo de Maíz en San Francisco La Unión,Abono Orgánico de San Francisco La Unión,false
Cultivo de Maíz en El Palmar,Semilla de Maíz de El Palmar,true
Cultivo de Frijol en El Palmar,Semilla de Frijol de El Palmar,true
Cultivo de Maíz en El Palmar,Abono Orgánico de El Palmar,false
Cultivo de Maíz en Coatepeque,Semilla de Maíz de Coatepeque,true
Cultivo de Frijol en Coatepeque,Semilla de Frijol de Coatepeque,true
Cultivo de Maíz en Coatepeque,Abono Orgánico de Coatepeque,false
Cultivo de Maíz en Génova,Semilla de Maíz de Génova,true
Cultivo de Frijol en Génova,Semilla de Frijol de Génova,true
Cultivo de Maíz en Génova,Abono Orgánico de Génova,false
Cultivo de Maíz en Flores Costa Cuca,Semilla de Maíz de Flores Costa Cuca,true
Cultivo de Frijol en Flores Costa Cuca,Semilla de Frijol de Flores Costa Cuca,true
Cultivo de Maíz en Flores Costa Cuca,Abono Orgánico de Flores Costa Cuca,false
Cultivo de Maíz en La Esperanza,Semilla de Maíz de La Esperanza,true
Cultivo de Frijol en La Esperanza,Semilla de Frijol de La Esperanza,true
Cultivo de Maíz en La Esperanza,Abono Orgánico de La Esperanza,false
Cultivo de Maíz en Palestina de Los Altos,Semilla de Maíz de Palestina de Los Altos,true
Cultivo de Frijol en Palestina de Los Altos,Semilla de Frijol de Palestina de Los Altos,true
Cultivo de Maíz en Palestina de Los Altos,Abono Orgánico de Palestina de Los Altos,false
Cultivo de Maíz en Mazatenango,Semilla de Maíz de Mazatenango,true
Cultivo de Frijol en Mazatenango,Semilla de Frijol de Mazatenango,true
Cultivo de Maíz en Mazatenango,Abono Orgánico de Mazatenango,false
Cultivo de Maíz en Cuyotenango,Semilla de Maíz de Cuyotenango,true
Cultivo de Frijol en Cuyotenango,Semilla de Frijol de Cuyotenango,true
Cultivo de Maíz en Cuyotenango,Abono Orgánico de Cuyotenango,false
Cultivo de Maíz en San Francisco Zapotitlán,Semilla de Maíz de San Francisco Zapotitlán,true
Cultivo de Frijol en San Francisco Zapotitlán,Semilla de Frijol de San Francisco Zapotitlán,true
Cultivo de Maíz en San Francisco Zapotitlán,Abono Orgánico de San Francisco Zapotitlán,false
Cultivo de Maíz en San Bernardino,Semilla de Maíz de San Bernardino,true
Cultivo de Frijol en San Bernardino,Semilla de Frijol de San Bernardino,true
Cultivo de Maíz en San Bernardino,Abono Orgánico de San Bernardino,false
Cultivo de Maíz en San José El Ídolo,Semilla de Maíz de San José El Ídolo,true
Cultivo de Frijol en San José El Ídolo,Semilla de Frijol de San José El Ídolo,true
Cultivo de Maíz en San José El Ídolo,Abono Orgánico de San José El Ídolo,false
Cultivo de Maíz en Santo Domingo Suchitepéquez,Semilla de Maíz de Santo Domingo Suchitepéquez,true
Cultivo de Frijol en Santo Domingo Suchitepéquez,Semilla de Frijol de Santo Domingo Suchitepéquez,true
Cultivo de Maíz en Santo Domingo Suchitepéquez,Abono Orgánico de Santo Domingo Suchitepéquez,false
Cultivo de Maíz en San Lorenzo,Semilla de Maíz de San Lorenzo,true
Cultivo de Frijol en San Lorenzo,Semilla de Frijol de San Lorenzo,true
Cultivo de Maíz en San Lorenzo,Abono Orgánico de San Lorenzo,false
Cultivo de Maíz en Samayac,Semilla de Maíz de Samayac,true
Cultivo de Frijol en Samayac,Semilla de Frijol de Samayac,true
Cultivo de Maíz en Samayac,Abono Orgánico de Samayac,false
Cultivo de Maíz en San Pablo Jocopilas,Semilla de Maíz de San Pablo Jocopilas,true
Cultivo de Frijol en San Pablo Jocopilas,Semilla de Frijol de San Pablo Jocopilas,true
Cultivo de Maíz en San Pablo Jocopilas,Abono Orgánico de San Pablo Jocopilas,false
Cultivo de Maíz en San Antonio Suchitepéquez,Semilla de Maíz de San Antonio Suchitepéquez,true
Cultivo de Frijol en San Antonio Suchitepéquez,Semilla de Frijol de San Antonio Suchitepéquez,true
Cultivo de Maíz en San Antonio Suchitepéquez,Abono Orgánico de San Antonio Suchitepéquez,false
Cultivo de Maíz en San Miguel Panán,Semilla de Maíz de San Miguel Panán,true
Cultivo de Frijol en San Miguel Panán,Semilla de Frijol de San Miguel Panán,true
Cultivo de Maíz en San Miguel Panán,Abono Orgánico de San Miguel Panán,false
Cultivo de Maíz en San Gabriel,Semilla de Maíz de San Gabriel,true
Cultivo de Frijol en San Gabriel,Semilla de Frijol de San Gabriel,true
Cultivo de Maíz en San Gabriel,Abono Orgánico de San Gabriel,false
Cultivo de Maíz en Chicacao,Semilla de Maíz de Chicacao,true
Cultivo de Frijol en Chicacao,Semilla de Frijol de Chicacao,true
Cultivo de Maíz en Chicacao,Abono Orgánico de Chicacao,false
Cultivo de Maíz en Patulul,Semilla de Maíz de Patulul,true
Cultivo de Frijol en Patulul,Semilla de Frijol de Patulul,true
Cultivo de Maíz en Patulul,Abono Orgánico de Patulul,false
Cultivo de Maíz en Santa Bárbara,Semilla de Maíz de Santa Bárbara,true
Cultivo de Frijol en Santa Bárbara,Semilla de Frijol de Santa Bárbara,true
Cultivo de Maíz en Santa Bárbara,Abono Orgánico de Santa Bárbara,false
Cultivo de Maíz en San Juan Bautista,Semilla de Maíz de San Juan Bautista,true
Cultivo de Frijol en San Juan Bautista,Semilla de Frijol de San Juan Bautista,true
Cultivo de Maíz en San Juan Bautista,Abono Orgánico de San Juan Bautista,false
Cultivo de Maíz en Santo Tomás La Unión,Semilla de Maíz de Santo Tomás La Unión,true
Cultivo de Frijol en Santo Tomás La Unión,Semilla de Frijol de Santo Tomás La Unión,true
Cultivo de Maíz en Santo Tomás La Unión,Abono Orgánico de Santo Tomás La Unión,false
Cultivo de Maíz en Zunilito,Semilla de Maíz de Zunilito,true
Cultivo de Frijol en Zunilito,Semilla de Frijol de Zunilito,true
Cultivo de Maíz en Zunilito,Abono Orgánico de Zunilito,false
Cultivo de Maíz en Pueblo Nuevo,Semilla de Maíz de Pueblo Nuevo,true
Cultivo de Frijol en Pueblo Nuevo,Semilla de Frijol de Pueblo Nuevo,true
Cultivo de Maíz en Pueblo Nuevo,Abono Orgánico de Pueblo Nuevo,false
Cultivo de Maíz en Río Bravo,Semilla de Maíz de Río Bravo,true
Cultivo de Frijol en Río Bravo,Semilla de Frijol de Río Bravo,true
Cultivo de Maíz en Río Bravo,Abono Orgánico de Río Bravo,false
Cultivo de Maíz en San José La Máquina,Semilla de Maíz de San José La Máquina,true
Cultivo de Frijol en San José La Máquina,Semilla de Frijol de San José La Máquina,true
Cultivo de Maíz en San José La Máquina,Abono Orgánico de San José La Máquina,false
Cultivo de Maíz en Retalhuleu,Semilla de Maíz de Retalhuleu,true
Cultivo de Frijol en Retalhuleu,Semilla de Frijol de Retalhuleu,true
Cultivo de Maíz en Retalhuleu,Abono Orgánico de Retalhuleu,false
Cultivo de Maíz en San Sebastián,Semilla de Maíz de San Sebastián,true
Cultivo de Frijol en San Sebastián,Semilla de Frijol de San Sebastián,true
Cultivo de Maíz en San Sebastián,Abono Orgánico de San Sebastián,false
Cultivo de Maíz en Santa Cruz Muluá,Semilla de Maíz de Santa Cruz Muluá,true
Cultivo de Frijol en Santa Cruz Muluá,Semilla de Frijol de Santa Cruz Muluá,true
Cultivo de Maíz en Santa Cruz Muluá,Abono Orgánico de Santa Cruz Muluá,false
Cultivo de Maíz en San Martín Zapotitlán,Semilla de Maíz de San Martín Zapotitlán,true
Cultivo de Frijol en San Martín Zapotitlán,Semilla de Frijol de San Martín Zapotitlán,true
Cultivo de Maíz en San Martín Zapotitlán,Abono Orgánico de San Martín Zapotitlán,false
Cultivo de Maíz en San Felipe,Semilla de Maíz de San Felipe,true
Cultivo de Frijol en San Felipe,Semilla de Frijol de San Felipe,true
Cultivo de Maíz en San Felipe,Abono Orgánico de San Felipe,false
Cultivo de Maíz en San Andrés Villa Seca,Semilla de Maíz de San Andrés Villa Seca,true
Cultivo de Frijol en San Andrés Villa Seca,Semilla de Frijol de San Andrés Villa Seca,true
Cultivo de Maíz en San Andrés Villa Seca,Abono Orgánico de San Andrés Villa Seca,false
Cultivo de Maíz en Champerico,Semilla de Maíz de Champerico,true
Cultivo de Frijol en Champerico,Semilla de Frijol de Champerico,true
Cultivo de Maíz en Champerico,Abono Orgánico de Champerico,false
Cultivo de Maíz en Nuevo San Carlos,Semilla de Maíz de Nuevo San Carlos,true
Cultivo de Frijol en Nuevo San Carlos,Semilla de Frijol de Nuevo San Carlos,true
Cultivo de Maíz en Nuevo San Carlos,Abono Orgánico de Nuevo San Carlos,false
Cultivo de Maíz en El Asintal,Semilla de Maíz de El Asintal,true
Cultivo de Frijol en El Asintal,Semilla de Frijol de El Asintal,true
Cultivo de Maíz en El Asintal,Abono Orgánico de El Asintal,false
Cultivo de Maíz en San Marcos,Semilla de Maíz de San Marcos,true
Cultivo de Frijol en San Marcos,Semilla de Frijol de San Marcos,true
Cultivo de Maíz en San Marcos,Abono Orgánico de San Marcos,false
Cultivo de Maíz en San Pedro Sacatepéquez,Semilla de Maíz de San Pedro Sacatepéquez,true
Cultivo de Frijol en San Pedro Sacatepéquez,Semilla de Frijol de San Pedro Sacatepéquez,true
Cultivo de Maíz en San Pedro Sacatepéquez,Abono Orgánico de San Pedro Sacatepéquez,false
Cultivo de Maíz en San Antonio Sacatepéquez,Semilla de Maíz de San Antonio Sacatepéquez,true
Cultivo de Frijol en San Antonio Sacatepéquez,Semilla de Frijol de San Antonio Sacatepéquez,true
Cultivo de Maíz en San Antonio Sacatepéquez,Abono Orgánico de San Antonio Sacatepéquez,false
Cultivo de Maíz en Comitancillo,Semilla de Maíz de Comitancillo,true
Cultivo de Frijol en Comitancillo,Semilla de Frijol de Comitancillo,true
Cultivo de Maíz en Comitancillo,Abono Orgánico de Comitancillo,false
Cultivo de Maíz en San Miguel Ixtahuacán,Semilla de Maíz de San Miguel Ixtahuacán,true
Cultivo de Frijol en San Miguel Ixtahuacán,Semilla de Frijol de San Miguel Ixtahuacán,true
Cultivo de Maíz en San Miguel Ixtahuacán,Abono Orgánico de San Miguel Ixtahuacán,false
Cultivo de Maíz en Concepción Tutuapa,Semilla de Maíz de Concepción Tutuapa,true
Cultivo de Frijol en Concepción Tutuapa,Semilla de Frijol de Concepción Tutuapa,true
Cultivo de Maíz en Concepción Tutuapa,Abono Orgánico de Concepción Tutuapa,false
Cultivo de Maíz en Tacaná,Semilla de Maíz de Tacaná,true
Cultivo de Frijol en Tacaná,Semilla de Frijol de Tacaná,true
Cultivo de Maíz en Tacaná,Abono Orgánico de Tacaná,false
Cultivo de Maíz en Sibinal,Semilla de Maíz de Sibinal,true
Cultivo de Frijol en Sibinal,Semilla de Frijol de Sibinal,true
Cultivo de Maíz en Sibinal,Abono Orgánico de Sibinal,false
Cultivo de Maíz en Tajumulco,Semilla de Maíz de Tajumulco,true
Cultivo de Frijol en Tajumulco,Semilla de Frijol de Tajumulco,true
Cultivo de Maíz en Tajumulco,Abono Orgánico de Tajumulco,false
Cultivo de Maíz en Tejutla,Semilla de Maíz de Tejutla,true
Cultivo de Frijol en Tejutla,Semilla de Frijol de Tejutla,true
Cultivo de Maíz en Tejutla,Abono Orgánico de Tejutla,false
Cultivo de Maíz en San Rafael Pie de la Cuesta,Semilla de Maíz de San Rafael Pie de la Cuesta,true
Cultivo de Frijol en San Rafael Pie de la Cuesta,Semilla de Frijol de San Rafael Pie de la Cuesta,true
Cultivo de Maíz en San Rafael Pie de la Cuesta,Abono Orgánico de San Rafael Pie de la Cuesta,false
Cultivo de Maíz en Nuevo Progreso,Semilla de Maíz de Nuevo Progreso,true
Cultivo de Frijol en Nuevo Progreso,Semilla de Frijol de Nuevo Progreso,true
Cultivo de Maíz en Nuevo Progreso,Abono Orgánico de Nuevo Progreso,false
Cultivo de Maíz en El Tumbador,Semilla de Maíz de El Tumbador,true
Cultivo de Frijol en El Tumbador,Semilla de Frijol de El Tumbador,true
Cultivo de Maíz en El Tumbador,Abono Orgánico de El Tumbador,false
Cultivo de Maíz en El Rodeo,Semilla de Maíz de El Rodeo,true
Cultivo de Frijol en El Rodeo,Semilla de Frijol de El Rodeo,true
Cultivo de Maíz en El Rodeo,Abono Orgánico de El Rodeo,false
Cultivo de Maíz en Malacatán,Semilla de Maíz de Malacatán,true
Cultivo de Frijol en Malacatán,Semilla de Frijol de Malacatán,true
Cultivo de Maíz en Malacatán,Abono Orgánico de Malacatán,false
Cultivo de Maíz en Catarina,Semilla de Maíz de Catarina,true
Cultivo de Frijol en Catarina,Semilla de Frijol de Catarina,true
Cultivo de Maíz en Catarina,Abono Orgánico de Catarina,false
Cultivo de Maíz en Ayutla,Semilla de Maíz de Ayutla,true
Cultivo de Frijol en Ayutla,Semilla de Frijol de Ayutla,true
Cultivo de Maíz en Ayutla,Abono Orgánico de Ayutla,false
Cultivo de Maíz en Ocós,Semilla de Maíz de Ocós,true
Cultivo de Frijol en Ocós,Semilla de Frijol de Ocós,true
Cultivo de Maíz en Ocós,Abono Orgánico de Ocós,false
Cultivo de Maíz en San Pablo,Semilla de Maíz de San Pablo,true
Cultivo de Frijol en San Pablo,Semilla de Frijol de San Pablo,true
Cultivo de Maíz en San Pablo,Abono Orgánico de San Pablo,false
Cultivo de Maíz en El Quetzal,Semilla de Maíz de El Quetzal,true
Cultivo de Frijol en El Quetzal,Semilla de Frijol de El Quetzal,true
Cultivo de Maíz en El Quetzal,Abono Orgánico de El Quetzal,false
Cultivo de Maíz en La Reforma,Semilla de Maíz de La Reforma,true
Cultivo de Frijol en La Reforma,Semilla de Frijol de La Reforma,true
Cultivo de Maíz en La Reforma,Abono Orgánico de La Reforma,false
Cultivo de Maíz en Pajapita,Semilla de Maíz de Pajapita,true
Cultivo de Frijol en Pajapita,Semilla de Frijol de Pajapita,true
Cultivo de Maíz en Pajapita,Abono Orgánico de Pajapita,false
Cultivo de Maíz en Ixchiguán,Semilla de Maíz de Ixchiguán,true
Cultivo de Frijol en Ixchiguán,Semilla de Frijol de Ixchiguán,true
Cultivo de Maíz en Ixchiguán,Abono Orgánico de Ixchiguán,false
Cultivo de Maíz en San José Ojetenam,Semilla de Maíz de San José Ojetenam,true
Cultivo de Frijol en San José Ojetenam,Semilla de Frijol de San José Ojetenam,true
Cultivo de Maíz en San José Ojetenam,Abono Orgánico de San José Ojetenam,false
Cultivo de Maíz en San Cristóbal Cucho,Semilla de Maíz de San Cristóbal Cucho,true
Cultivo de Frijol en San Cristóbal Cucho,Semilla de Frijol de San Cristóbal Cucho,true
Cultivo de Maíz en San Cristóbal Cucho,Abono Orgánico de San Cristóbal Cucho,false
Cultivo de Maíz en Sipacapa,Semilla de Maíz de Sipacapa,true
Cultivo de Frijol en Sipacapa,Semilla de Frijol de Sipacapa,true
Cultivo de Maíz en Sipacapa,Abono Orgánico de Sipacapa,false
Cultivo de Maíz en Esquipulas Palo Gordo,Semilla de Maíz de Esquipulas Palo Gordo,true
Cultivo de Frijol en Esquipulas Palo Gordo,Semilla de Frijol de Esquipulas Palo Gordo,true
Cultivo de Maíz en Esquipulas Palo Gordo,Abono Orgánico de Esquipulas Palo Gordo,false
Cultivo de Maíz en Río Blanco,Semilla de Maíz de Río Blanco,true
Cultivo de Frijol en Río Blanco,Semilla de Frijol de Río Blanco,true
Cultivo de Maíz en Río Blanco,Abono Orgánico de Río Blanco,false
Cultivo de Maíz en San Lorenzo,Semilla de Maíz de San Lorenzo,true
Cultivo de Frijol en San Lorenzo,Semilla de Frijol de San Lorenzo,true
Cultivo de Maíz en San Lorenzo,Abono Orgánico de San Lorenzo,false
Cultivo de Maíz en La Blanca,Semilla de Maíz de La Blanca,true
Cultivo de Frijol en La Blanca,Semilla de Frijol de La Blanca,true
Cultivo de Maíz en La Blanca,Abono Orgánico de La Blanca,false
Cultivo de Maíz en Huehuetenango,Semilla de Maíz de Huehuetenango,true
Cultivo de Frijol en Huehuetenango,Semilla de Frijol de Huehuetenango,true
Cultivo de Maíz en Huehuetenango,Abono Orgánico de Huehuetenango,false
Cultivo de Maíz en Chiantla,Semilla de Maíz de Chiantla,true
Cultivo de Frijol en Chiantla,Semilla de Frijol de Chiantla,true
Cultivo de Maíz en Chiantla,Abono Orgánico de Chiantla,false
Cultivo de Maíz en Malacatancito,Semilla de Maíz de Malacatancito,true
Cultivo de Frijol en Malacatancito,Semilla de Frijol de Malacatancito,true
Cultivo de Maíz en Malacatancito,Abono Orgánico de Malacatancito,false
Cultivo de Maíz en Cuilco,Semilla de Maíz de Cuilco,true
Cultivo de Frijol en Cuilco,Semilla de Frijol de Cuilco,true
Cultivo de Maíz en Cuilco,Abono Orgánico de Cuilco,false
Cultivo de Maíz en Nentón,Semilla de Maíz de Nentón,true
Cultivo de Frijol en Nentón,Semilla de Frijol de Nentón,true
Cultivo de Maíz en Nentón,Abono Orgánico de Nentón,false
Cultivo de Maíz en San Pedro Necta,Semilla de Maíz de San Pedro Necta,true
Cultivo de Frijol en San Pedro Necta,Semilla de Frijol de San Pedro Necta,true
Cultivo de Maíz en San Pedro Necta,Abono Orgánico de San Pedro Necta,false
Cultivo de Maíz en Jacaltenango,Semilla de Maíz de Jacaltenango,true
Cultivo de Frijol en Jacaltenango,Semilla de Frijol de Jacaltenango,true
Cultivo de Maíz en Jacaltenango,Abono Orgánico de Jacaltenango,false
Cultivo de Maíz en Soloma,Semilla de Maíz de Soloma,true
Cultivo de Frijol en Soloma,Semilla de Frijol de Soloma,true
Cultivo de Maíz en Soloma,Abono Orgánico de Soloma,false
Cultivo de Maíz en Ixtahuacán,Semilla de Maíz de Ixtahuacán,true
Cultivo de Frijol en Ixtahuacán,Semilla de Frijol de Ixtahuacán,true
Cultivo de Maíz en Ixtahuacán,Abono Orgánico de Ixtahuacán,false
Cultivo de Maíz en Santa Bárbara,Semilla de Maíz de Santa Bárbara,true
Cultivo de Frijol en Santa Bárbara,Semilla de Frijol de Santa Bárbara,true
Cultivo de Maíz en Santa Bárbara,Abono Orgánico de Santa Bárbara,false
Cultivo de Maíz en La Libertad,Semilla de Maíz de La Libertad,true
Cultivo de Frijol en La Libertad,Semilla de Frijol de La Libertad,true
Cultivo de Maíz en La Libertad,Abono Orgánico de La Libertad,false
Cultivo de Maíz en La Democracia,Semilla de Maíz de La Democracia,true
Cultivo de Frijol en La Democracia,Semilla de Frijol de La Democracia,true
Cultivo de Maíz en La Democracia,Abono Orgánico de La Democracia,false
Cultivo de Maíz en San Miguel Acatán,Semilla de Maíz de San Miguel Acatán,true
Cultivo de Frijol en San Miguel Acatán,Semilla de Frijol de San Miguel Acatán,true
Cultivo de Maíz en San Miguel Acatán,Abono Orgánico de San Miguel Acatán,false
Cultivo de Maíz en San Rafael La Independencia,Semilla de Maíz de San Rafael La Independencia,true
Cultivo de Frijol en San Rafael La Independencia,Semilla de Frijol de San Rafael La Independencia,true
Cultivo de Maíz en San Rafael La Independencia,Abono Orgánico de San Rafael La Independencia,false
Cultivo de Maíz en Todos Santos Cuchumatán,Semilla de Maíz de Todos Santos Cuchumatán,true
Cultivo de Frijol en Todos Santos Cuchumatán,Semilla de Frijol de Todos Santos Cuchumatán,true
Cultivo de Maíz en Todos Santos Cuchumatán,Abono Orgánico de Todos Santos Cuchumatán,false
Cultivo de Maíz en San Juan Atitán,Semilla de Maíz de San Juan Atitán,true
Cultivo de Frijol en San Juan Atitán,Semilla de Frijol de San Juan Atitán,true
Cultivo de Maíz en San Juan Atitán,Abono Orgánico de San Juan Atitán,false
Cultivo de Maíz en Santa Eulalia,Semilla de Maíz de Santa Eulalia,true
Cultivo de Frijol en Santa Eulalia,Semilla de Frijol de Santa Eulalia,true
Cultivo de Maíz en Santa Eulalia,Abono Orgánico de Santa Eulalia,false
Cultivo de Maíz en San Mateo Ixtatán,Semilla de Maíz de San Mateo Ixtatán,true
Cultivo de Frijol en San Mateo Ixtatán,Semilla de Frijol de San Mateo Ixtatán,true
Cultivo de Maíz en San Mateo Ixtatán,Abono Orgánico de San Mateo Ixtatán,false
Cultivo de Maíz en Colotenango,Semilla de Maíz de Colotenango,true
Cultivo de Frijol en Colotenango,Semilla de Frijol de Colotenango,true
Cultivo de Maíz en Colotenango,Abono Orgánico de Colotenango,false
Cultivo de Maíz en San Sebastián Huehuetenango,Semilla de Maíz de San Sebastián Huehuetenango,true
Cultivo de Frijol en San Sebastián Huehuetenango,Semilla de Frijol de San Sebastián Huehuetenango,true
Cultivo de Maíz en San Sebastián Huehuetenango,Abono Orgánico de San Sebastián Huehuetenango,false
Cultivo de Maíz en Tectitán,Semilla de Maíz de Tectitán,true
Cultivo de Frijol en Tectitán,Semilla de Frijol de Tectitán,true
Cultivo de Maíz en Tectitán,Abono Orgánico de Tectitán,false
Cultivo de Maíz en Concepción Huista,Semilla de Maíz de Concepción Huista,true
Cultivo de Frijol en Concepción Huista,Semilla de Frijol de Concepción Huista,true
Cultivo de Maíz en Concepción Huista,Abono Orgánico de Concepción Huista,false
Cultivo de Maíz en San Juan Ixcoy,Semilla de Maíz de San Juan Ixcoy,true
Cultivo de Frijol en San Juan Ixcoy,Semilla de Frijol de San Juan Ixcoy,true
Cultivo de Maíz en San Juan Ixcoy,Abono Orgánico de San Juan Ixcoy,false
Cultivo de Maíz en San Antonio Huista,Semilla de Maíz de San Antonio Huista,true
Cultivo de Frijol en San Antonio Huista,Semilla de Frijol de San Antonio Huista,true
Cultivo de Maíz en San Antonio Huista,Abono Orgánico de San Antonio Huista,false
Cultivo de Maíz en San Sebastián Coatán,Semilla de Maíz de San Sebastián Coatán,true
Cultivo de Frijol en San Sebastián Coatán,Semilla de Frijol de San Sebastián Coatán,true
Cultivo de Maíz en San Sebastián Coatán,Abono Orgánico de San Sebastián Coatán,false
Cultivo de Maíz en Barillas,Semilla de Maíz de Barillas,true
Cultivo de Frijol en Barillas,Semilla de Frijol de Barillas,true
Cultivo de Maíz en Barillas,Abono Orgánico de Barillas,false
Cultivo de Maíz en Aguacatán,Semilla de Maíz de Aguacatán,true
Cultivo de Frijol en Aguacatán,Semilla de Frijol de Aguacatán,true
Cultivo de Maíz en Aguacatán,Abono Orgánico de Aguacatán,false
Cultivo de Maíz en San Rafael Petzal,Semilla de Maíz de San Rafael Petzal,true
Cultivo de Frijol en San Rafael Petzal,Semilla de Frijol de San Rafael Petzal,true
Cultivo de Maíz en San Rafael Petzal,Abono Orgánico de San Rafael Petzal,false
Cultivo de Maíz en San Gaspar Ixchil,Semilla de Maíz de San Gaspar Ixchil,true
Cultivo de Frijol en San Gaspar Ixchil,Semilla de Frijol de San Gaspar Ixchil,true
Cultivo de Maíz en San Gaspar Ixchil,Abono Orgánico de San Gaspar Ixchil,false
Cultivo de Maíz en Santiago Chimaltenango,Semilla de Maíz de Santiago Chimaltenango,true
Cultivo de Frijol en Santiago Chimaltenango,Semilla de Frijol de Santiago Chimaltenango,true
Cultivo de Maíz en Santiago Chimaltenango,Abono Orgánico de Santiago Chimaltenango,false
Cultivo de Maíz en Santa Ana Huista,Semilla de Maíz de Santa Ana Huista,true
Cultivo de Frijol en Santa Ana Huista,Semilla de Frijol de Santa Ana Huista,true
Cultivo de Maíz en Santa Ana Huista,Abono Orgánico de Santa Ana Huista,false
Cultivo de Maíz en Unión Cantinil,Semilla de Maíz de Unión Cantinil,true
Cultivo de Frijol en Unión Cantinil,Semilla de Frijol de Unión Cantinil,true
Cultivo de Maíz en Unión Cantinil,Abono Orgánico de Unión Cantinil,false
Cultivo de Maíz en Petatán,Semilla de Maíz de Petatán,true
Cultivo de Frijol en Petatán,Semilla de Frijol de Petatán,true
Cultivo de Maíz en Petatán,Abono Orgánico de Petatán,false
Cultivo de Maíz en Santa Cruz del Quiché,Semilla de Maíz de Santa Cruz del Quiché,true
Cultivo de Frijol en Santa Cruz del Quiché,Semilla de Frijol de Santa Cruz del Quiché,true
