nombre,tipo,municipio_pcode,capacidad_estimada
Centro de Acopio Agrícola Municipal de Santa Catarina Ixtahuacán,Centro de Acopio,GT0706,1578 quintales por día
Taller Textil y Artesanal Municipal de Santa Catarina Ixtahuacán,Taller Artesanal,GT0706,344 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Catarina Ixtahuacán,Centro de Acopio,GT0706,200 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Clara La Laguna,Centro de Acopio,GT0707,1179 quintales por día
Taller Textil y Artesanal Municipal de Santa Clara La Laguna,Taller Artesanal,GT0707,203 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Clara La Laguna,Aserradero,GT0707,333 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Concepción,Centro de Acopio,GT0708,1197 quintales por día
Taller Textil y Artesanal Municipal de Concepción,Taller Artesanal,GT0708,190 prendas tejidas por semana
Planta Procesadora Agroindustrial de Concepción,Procesadora,GT0708,531 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Andrés Semetabaj,Centro de Acopio,GT0709,621 quintales por día
Taller Textil y Artesanal Municipal de San Andrés Semetabaj,Taller Artesanal,GT0709,111 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Andrés Semetabaj,Beneficio de Café,GT0709,351 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Panajachel,Centro de Acopio,GT0710,1701 quintales por día
Taller Textil y Artesanal Municipal de Panajachel,Taller Artesanal,GT0710,172 prendas tejidas por semana
Planta Procesadora Agroindustrial de Panajachel,Taller Artesanal,GT0710,992 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Catarina Palopó,Centro de Acopio,GT0711,727 quintales por día
Taller Textil y Artesanal Municipal de Santa Catarina Palopó,Taller Artesanal,GT0711,369 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Catarina Palopó,Centro de Acopio,GT0711,573 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Antonio Palopó,Centro de Acopio,GT0712,648 quintales por día
Taller Textil y Artesanal Municipal de San Antonio Palopó,Taller Artesanal,GT0712,291 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Antonio Palopó,Aserradero,GT0712,921 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Lucas Tolimán,Centro de Acopio,GT0713,1856 quintales por día
Taller Textil y Artesanal Municipal de San Lucas Tolimán,Taller Artesanal,GT0713,302 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Lucas Tolimán,Procesadora,GT0713,800 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Cruz La Laguna,Centro de Acopio,GT0714,706 quintales por día
Taller Textil y Artesanal Municipal de Santa Cruz La Laguna,Taller Artesanal,GT0714,272 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Cruz La Laguna,Beneficio de Café,GT0714,509 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pablo La Laguna,Centro de Acopio,GT0715,1160 quintales por día
Taller Textil y Artesanal Municipal de San Pablo La Laguna,Taller Artesanal,GT0715,169 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pablo La Laguna,Taller Artesanal,GT0715,361 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Marcos La Laguna,Centro de Acopio,GT0716,1999 quintales por día
Taller Textil y Artesanal Municipal de San Marcos La Laguna,Taller Artesanal,GT0716,323 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Marcos La Laguna,Centro de Acopio,GT0716,854 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Juan La Laguna,Centro de Acopio,GT0717,1497 quintales por día
Taller Textil y Artesanal Municipal de San Juan La Laguna,Taller Artesanal,GT0717,262 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Juan La Laguna,Aserradero,GT0717,378 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pedro La Laguna,Centro de Acopio,GT0718,1948 quintales por día
Taller Textil y Artesanal Municipal de San Pedro La Laguna,Taller Artesanal,GT0718,387 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pedro La Laguna,Procesadora,GT0718,910 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santiago Atitlán,Centro de Acopio,GT0719,1756 quintales por día
Taller Textil y Artesanal Municipal de Santiago Atitlán,Taller Artesanal,GT0719,282 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santiago Atitlán,Beneficio de Café,GT0719,428 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Totonicapán,Centro de Acopio,GT0801,1863 quintales por día
Taller Textil y Artesanal Municipal de Totonicapán,Taller Artesanal,GT0801,189 prendas tejidas por semana
Planta Procesadora Agroindustrial de Totonicapán,Taller Artesanal,GT0801,587 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Cristóbal Totonicapán,Centro de Acopio,GT0802,1128 quintales por día
Taller Textil y Artesanal Municipal de San Cristóbal Totonicapán,Taller Artesanal,GT0802,250 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Cristóbal Totonicapán,Centro de Acopio,GT0802,330 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Francisco El Alto,Centro de Acopio,GT0803,863 quintales por día
Taller Textil y Artesanal Municipal de San Francisco El Alto,Taller Artesanal,GT0803,100 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Francisco El Alto,Aserradero,GT0803,918 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Andrés Xecul,Centro de Acopio,GT0804,1673 quintales por día
Taller Textil y Artesanal Municipal de San Andrés Xecul,Taller Artesanal,GT0804,300 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Andrés Xecul,Procesadora,GT0804,989 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Momostenango,Centro de Acopio,GT0805,1662 quintales por día
Taller Textil y Artesanal Municipal de Momostenango,Taller Artesanal,GT0805,116 prendas tejidas por semana
Planta Procesadora Agroindustrial de Momostenango,Beneficio de Café,GT0805,386 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa María Chiquimula,Centro de Acopio,GT0806,1733 quintales por día
Taller Textil y Artesanal Municipal de Santa María Chiquimula,Taller Artesanal,GT0806,262 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa María Chiquimula,Taller Artesanal,GT0806,826 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Lucía La Reforma,Centro de Acopio,GT0807,952 quintales por día
Taller Textil y Artesanal Municipal de Santa Lucía La Reforma,Taller Artesanal,GT0807,389 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Lucía La Reforma,Centro de Acopio,GT0807,306 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Bartolo,Centro de Acopio,GT0808,1516 quintales por día
Taller Textil y Artesanal Municipal de San Bartolo,Taller Artesanal,GT0808,172 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Bartolo,Aserradero,GT0808,539 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Quetzaltenango,Centro de Acopio,GT0901,659 quintales por día
Taller Textil y Artesanal Municipal de Quetzaltenango,Taller Artesanal,GT0901,221 prendas tejidas por semana
Planta Procesadora Agroindustrial de Quetzaltenango,Procesadora,GT0901,555 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Salcajá,Centro de Acopio,GT0902,1154 quintales por día
Taller Textil y Artesanal Municipal de Salcajá,Taller Artesanal,GT0902,185 prendas tejidas por semana
Planta Procesadora Agroindustrial de Salcajá,Beneficio de Café,GT0902,851 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Olintepeque,Centro de Acopio,GT0903,681 quintales por día
Taller Textil y Artesanal Municipal de Olintepeque,Taller Artesanal,GT0903,271 prendas tejidas por semana
Planta Procesadora Agroindustrial de Olintepeque,Taller Artesanal,GT0903,657 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Carlos Sija,Centro de Acopio,GT0904,523 quintales por día
Taller Textil y Artesanal Municipal de San Carlos Sija,Taller Artesanal,GT0904,235 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Carlos Sija,Centro de Acopio,GT0904,414 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sibilia,Centro de Acopio,GT0905,1011 quintales por día
Taller Textil y Artesanal Municipal de Sibilia,Taller Artesanal,GT0905,134 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sibilia,Aserradero,GT0905,558 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cabricán,Centro de Acopio,GT0906,1025 quintales por día
Taller Textil y Artesanal Municipal de Cabricán,Taller Artesanal,GT0906,155 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cabricán,Procesadora,GT0906,937 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cajolá,Centro de Acopio,GT0907,502 quintales por día
Taller Textil y Artesanal Municipal de Cajolá,Taller Artesanal,GT0907,124 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cajolá,Beneficio de Café,GT0907,595 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Miguel Sigüila,Centro de Acopio,GT0908,1397 quintales por día
Taller Textil y Artesanal Municipal de San Miguel Sigüila,Taller Artesanal,GT0908,314 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Miguel Sigüila,Taller Artesanal,GT0908,370 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Ostuncalco,Centro de Acopio,GT0909,1347 quintales por día
Taller Textil y Artesanal Municipal de Ostuncalco,Taller Artesanal,GT0909,352 prendas tejidas por semana
Planta Procesadora Agroindustrial de Ostuncalco,Centro de Acopio,GT0909,587 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Mateo,Centro de Acopio,GT0910,1219 quintales por día
Taller Textil y Artesanal Municipal de San Mateo,Taller Artesanal,GT0910,379 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Mateo,Aserradero,GT0910,584 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Concepción Chiquirichapa,Centro de Acopio,GT0911,707 quintales por día
Taller Textil y Artesanal Municipal de Concepción Chiquirichapa,Taller Artesanal,GT0911,345 prendas tejidas por semana
Planta Procesadora Agroindustrial de Concepción Chiquirichapa,Procesadora,GT0911,791 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Martín Sacatepéquez,Centro de Acopio,GT0912,1833 quintales por día
Taller Textil y Artesanal Municipal de San Martín Sacatepéquez,Taller Artesanal,GT0912,215 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Martín Sacatepéquez,Beneficio de Café,GT0912,366 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Almolonga,Centro de Acopio,GT0913,1424 quintales por día
Taller Textil y Artesanal Municipal de Almolonga,Taller Artesanal,GT0913,137 prendas tejidas por semana
Planta Procesadora Agroindustrial de Almolonga,Taller Artesanal,GT0913,234 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cantel,Centro de Acopio,GT0914,1103 quintales por día
Taller Textil y Artesanal Municipal de Cantel,Taller Artesanal,GT0914,110 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cantel,Centro de Acopio,GT0914,526 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Huitán,Centro de Acopio,GT0915,1034 quintales por día
Taller Textil y Artesanal Municipal de Huitán,Taller Artesanal,GT0915,153 prendas tejidas por semana
Planta Procesadora Agroindustrial de Huitán,Aserradero,GT0915,275 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Zunil,Centro de Acopio,GT0916,1200 quintales por día
Taller Textil y Artesanal Municipal de Zunil,Taller Artesanal,GT0916,187 prendas tejidas por semana
Planta Procesadora Agroindustrial de Zunil,Procesadora,GT0916,584 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Colomba,Centro de Acopio,GT0917,829 quintales por día
Taller Textil y Artesanal Municipal de Colomba,Taller Artesanal,GT0917,138 prendas tejidas por semana
Planta Procesadora Agroindustrial de Colomba,Beneficio de Café,GT0917,760 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Francisco La Unión,Centro de Acopio,GT0918,690 quintales por día
Taller Textil y Artesanal Municipal de San Francisco La Unión,Taller Artesanal,GT0918,273 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Francisco La Unión,Taller Artesanal,GT0918,808 toneladas métricas por año
Centro de Acopio Agrícola Municipal de El Palmar,Centro de Acopio,GT0919,1756 quintales por día
Taller Textil y Artesanal Municipal de El Palmar,Taller Artesanal,GT0919,347 prendas tejidas por semana
Planta Procesadora Agroindustrial de El Palmar,Centro de Acopio,GT0919,921 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Coatepeque,Centro de Acopio,GT0920,563 quintales por día
Taller Textil y Artesanal Municipal de Coatepeque,Taller Artesanal,GT0920,320 prendas tejidas por semana
Planta Procesadora Agroindustrial de Coatepeque,Aserradero,GT0920,869 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Génova,Centro de Acopio,GT0921,837 quintales por día
Taller Textil y Artesanal Municipal de Génova,Taller Artesanal,GT0921,322 prendas tejidas por semana
Planta Procesadora Agroindustrial de Génova,Procesadora,GT0921,360 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Flores Costa Cuca,Centro de Acopio,GT0922,609 quintales por día
Taller Textil y Artesanal Municipal de Flores Costa Cuca,Taller Artesanal,GT0922,151 prendas tejidas por semana
Planta Procesadora Agroindustrial de Flores Costa Cuca,Beneficio de Café,GT0922,539 toneladas métricas por año
Centro de Acopio Agrícola Municipal de La Esperanza,Centro de Acopio,GT0923,920 quintales por día
Taller Textil y Artesanal Municipal de La Esperanza,Taller Artesanal,GT0923,197 prendas tejidas por semana
Planta Procesadora Agroindustrial de La Esperanza,Taller Artesanal,GT0923,619 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Palestina de Los Altos,Centro de Acopio,GT0924,1927 quintales por día
Taller Textil y Artesanal Municipal de Palestina de Los Altos,Taller Artesanal,GT0924,383 prendas tejidas por semana
Planta Procesadora Agroindustrial de Palestina de Los Altos,Centro de Acopio,GT0924,939 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Mazatenango,Centro de Acopio,GT1001,1994 quintales por día
Taller Textil y Artesanal Municipal de Mazatenango,Taller Artesanal,GT1001,376 prendas tejidas por semana
Planta Procesadora Agroindustrial de Mazatenango,Aserradero,GT1001,471 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cuyotenango,Centro de Acopio,GT1002,1852 quintales por día
Taller Textil y Artesanal Municipal de Cuyotenango,Taller Artesanal,GT1002,244 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cuyotenango,Procesadora,GT1002,504 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Francisco Zapotitlán,Centro de Acopio,GT1003,986 quintales por día
Taller Textil y Artesanal Municipal de San Francisco Zapotitlán,Taller Artesanal,GT1003,149 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Francisco Zapotitlán,Beneficio de Café,GT1003,250 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Bernardino,Centro de Acopio,GT1004,1304 quintales por día
Taller Textil y Artesanal Municipal de San Bernardino,Taller Artesanal,GT1004,392 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Bernardino,Taller Artesanal,GT1004,762 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San José El Ídolo,Centro de Acopio,GT1005,1505 quintales por día
Taller Textil y Artesanal Municipal de San José El Ídolo,Taller Artesanal,GT1005,178 prendas tejidas por semana
Planta Procesadora Agroindustrial de San José El Ídolo,Centro de Acopio,GT1005,255 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santo Domingo Suchitepéquez,Centro de Acopio,GT1006,1238 quintales por día
Taller Textil y Artesanal Municipal de Santo Domingo Suchitepéquez,Taller Artesanal,GT1006,101 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santo Domingo Suchitepéquez,Aserradero,GT1006,637 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Lorenzo,Centro de Acopio,GT1007,679 quintales por día
Taller Textil y Artesanal Municipal de San Lorenzo,Taller Artesanal,GT1007,250 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Lorenzo,Procesadora,GT1007,877 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Samayac,Centro de Acopio,GT1008,1780 quintales por día
Taller Textil y Artesanal Municipal de Samayac,Taller Artesanal,GT1008,345 prendas tejidas por semana
Planta Procesadora Agroindustrial de Samayac,Beneficio de Café,GT1008,404 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pablo Jocopilas,Centro de Acopio,GT1009,698 quintales por día
Taller Textil y Artesanal Municipal de San Pablo Jocopilas,Taller Artesanal,GT1009,113 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pablo Jocopilas,Taller Artesanal,GT1009,411 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Antonio Suchitepéquez,Centro de Acopio,GT1010,849 quintales por día
Taller Textil y Artesanal Municipal de San Antonio Suchitepéquez,Taller Artesanal,GT1010,249 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Antonio Suchitepéquez,Centro de Acopio,GT1010,283 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Miguel Panán,Centro de Acopio,GT1011,1469 quintales por día
Taller Textil y Artesanal Municipal de San Miguel Panán,Taller Artesanal,GT1011,159 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Miguel Panán,Aserradero,GT1011,515 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Gabriel,Centro de Acopio,GT1012,1314 quintales por día
Taller Textil y Artesanal Municipal de San Gabriel,Taller Artesanal,GT1012,341 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Gabriel,Procesadora,GT1012,700 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chicacao,Centro de Acopio,GT1013,1853 quintales por día
Taller Textil y Artesanal Municipal de Chicacao,Taller Artesanal,GT1013,235 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chicacao,Beneficio de Café,GT1013,293 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Patulul,Centro de Acopio,GT1014,1814 quintales por día
Taller Textil y Artesanal Municipal de Patulul,Taller Artesanal,GT1014,378 prendas tejidas por semana
Planta Procesadora Agroindustrial de Patulul,Taller Artesanal,GT1014,596 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Bárbara,Centro de Acopio,GT1015,878 quintales por día
Taller Textil y Artesanal Municipal de Santa Bárbara,Taller Artesanal,GT1015,289 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Bárbara,Centro de Acopio,GT1015,590 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Juan Bautista,Centro de Acopio,GT1016,1256 quintales por día
Taller Textil y Artesanal Municipal de San Juan Bautista,Taller Artesanal,GT1016,195 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Juan Bautista,Aserradero,GT1016,656 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santo Tomás La Unión,Centro de Acopio,GT1017,591 quintales por día
Taller Textil y Artesanal Municipal de Santo Tomás La Unión,Taller Artesanal,GT1017,234 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santo Tomás La Unión,Procesadora,GT1017,650 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Zunilito,Centro de Acopio,GT1018,1452 quintales por día
Taller Textil y Artesanal Municipal de Zunilito,Taller Artesanal,GT1018,234 prendas tejidas por semana
Planta Procesadora Agroindustrial de Zunilito,Beneficio de Café,GT1018,431 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Pueblo Nuevo,Centro de Acopio,GT1019,1050 quintales por día
Taller Textil y Artesanal Municipal de Pueblo Nuevo,Taller Artesanal,GT1019,388 prendas tejidas por semana
Planta Procesadora Agroindustrial de Pueblo Nuevo,Taller Artesanal,GT1019,263 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Río Bravo,Centro de Acopio,GT1020,809 quintales por día
Taller Textil y Artesanal Municipal de Río Bravo,Taller Artesanal,GT1020,149 prendas tejidas por semana
Planta Procesadora Agroindustrial de Río Bravo,Centro de Acopio,GT1020,287 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San José La Máquina,Centro de Acopio,GT1021,1868 quintales por día
Taller Textil y Artesanal Municipal de San José La Máquina,Taller Artesanal,GT1021,276 prendas tejidas por semana
Planta Procesadora Agroindustrial de San José La Máquina,Aserradero,GT1021,754 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Retalhuleu,Centro de Acopio,GT1101,1347 quintales por día
Taller Textil y Artesanal Municipal de Retalhuleu,Taller Artesanal,GT1101,216 prendas tejidas por semana
Planta Procesadora Agroindustrial de Retalhuleu,Procesadora,GT1101,766 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Sebastián,Centro de Acopio,GT1102,624 quintales por día
Taller Textil y Artesanal Municipal de San Sebastián,Taller Artesanal,GT1102,298 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Sebastián,Beneficio de Café,GT1102,735 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Cruz Muluá,Centro de Acopio,GT1103,1357 quintales por día
Taller Textil y Artesanal Municipal de Santa Cruz Muluá,Taller Artesanal,GT1103,374 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Cruz Muluá,Taller Artesanal,GT1103,903 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Martín Zapotitlán,Centro de Acopio,GT1104,1472 quintales por día
Taller Textil y Artesanal Municipal de San Martín Zapotitlán,Taller Artesanal,GT1104,393 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Martín Zapotitlán,Centro de Acopio,GT1104,441 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Felipe,Centro de Acopio,GT1105,1475 quintales por día
Taller Textil y Artesanal Municipal de San Felipe,Taller Artesanal,GT1105,253 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Felipe,Aserradero,GT1105,280 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Andrés Villa Seca,Centro de Acopio,GT1106,1308 quintales por día
Taller Textil y Artesanal Municipal de San Andrés Villa Seca,Taller Artesanal,GT1106,117 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Andrés Villa Seca,Procesadora,GT1106,714 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Champerico,Centro de Acopio,GT1107,1669 quintales por día
Taller Textil y Artesanal Municipal de Champerico,Taller Artesanal,GT1107,364 prendas tejidas por semana
Planta Procesadora Agroindustrial de Champerico,Beneficio de Café,GT1107,785 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Nuevo San Carlos,Centro de Acopio,GT1108,1887 quintales por día
Taller Textil y Artesanal Municipal de Nuevo San Carlos,Taller Artesanal,GT1108,175 prendas tejidas por semana
Planta Procesadora Agroindustrial de Nuevo San Carlos,Taller Artesanal,GT1108,323 toneladas métricas por año
Centro de Acopio Agrícola Municipal de El Asintal,Centro de Acopio,GT1109,1419 quintales por día
Taller Textil y Artesanal Municipal de El Asintal,Taller Artesanal,GT1109,188 prendas tejidas por semana
Planta Procesadora Agroindustrial de El Asintal,Centro de Acopio,GT1109,371 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Marcos,Centro de Acopio,GT1201,933 quintales por día
Taller Textil y Artesanal Municipal de San Marcos,Taller Artesanal,GT1201,198 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Marcos,Aserradero,GT1201,329 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pedro Sacatepéquez,Centro de Acopio,GT1202,587 quintales por día
Taller Textil y Artesanal Municipal de San Pedro Sacatepéquez,Taller Artesanal,GT1202,316 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pedro Sacatepéquez,Procesadora,GT1202,280 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Antonio Sacatepéquez,Centro de Acopio,GT1203,1899 quintales por día
Taller Textil y Artesanal Municipal de San Antonio Sacatepéquez,Taller Artesanal,GT1203,322 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Antonio Sacatepéquez,Beneficio de Café,GT1203,406 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Comitancillo,Centro de Acopio,GT1204,1784 quintales por día
Taller Textil y Artesanal Municipal de Comitancillo,Taller Artesanal,GT1204,175 prendas tejidas por semana
Planta Procesadora Agroindustrial de Comitancillo,Taller Artesanal,GT1204,809 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Miguel Ixtahuacán,Centro de Acopio,GT1205,1028 quintales por día
Taller Textil y Artesanal Municipal de San Miguel Ixtahuacán,Taller Artesanal,GT1205,263 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Miguel Ixtahuacán,Centro de Acopio,GT1205,944 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Concepción Tutuapa,Centro de Acopio,GT1206,637 quintales por día
Taller Textil y Artesanal Municipal de Concepción Tutuapa,Taller Artesanal,GT1206,144 prendas tejidas por semana
Planta Procesadora Agroindustrial de Concepción Tutuapa,Aserradero,GT1206,597 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tacaná,Centro de Acopio,GT1207,1639 quintales por día
Taller Textil y Artesanal Municipal de Tacaná,Taller Artesanal,GT1207,303 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tacaná,Procesadora,GT1207,765 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sibinal,Centro de Acopio,GT1208,1167 quintales por día
Taller Textil y Artesanal Municipal de Sibinal,Taller Artesanal,GT1208,241 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sibinal,Beneficio de Café,GT1208,732 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tajumulco,Centro de Acopio,GT1209,1438 quintales por día
Taller Textil y Artesanal Municipal de Tajumulco,Taller Artesanal,GT1209,106 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tajumulco,Taller Artesanal,GT1209,917 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tejutla,Centro de Acopio,GT1210,1776 quintales por día
Taller Textil y Artesanal Municipal de Tejutla,Taller Artesanal,GT1210,400 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tejutla,Centro de Acopio,GT1210,735 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Rafael Pie de la Cuesta,Centro de Acopio,GT1211,1359 quintales por día
Taller Textil y Artesanal Municipal de San Rafael Pie de la Cuesta,Taller Artesanal,GT1211,157 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Rafael Pie de la Cuesta,Aserradero,GT1211,624 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Nuevo Progreso,Centro de Acopio,GT1212,806 quintales por día
Taller Textil y Artesanal Municipal de Nuevo Progreso,Taller Artesanal,GT1212,175 prendas tejidas por semana
Planta Procesadora Agroindustrial de Nuevo Progreso,Procesadora,GT1212,780 toneladas métricas por año
Centro de Acopio Agrícola Municipal de El Tumbador,Centro de Acopio,GT1213,1704 quintales por día
Taller Textil y Artesanal Municipal de El Tumbador,Taller Artesanal,GT1213,398 prendas tejidas por semana
Planta Procesadora Agroindustrial de El Tumbador,Beneficio de Café,GT1213,976 toneladas métricas por año
Centro de Acopio Agrícola Municipal de El Rodeo,Centro de Acopio,GT1214,705 quintales por día
Taller Textil y Artesanal Municipal de El Rodeo,Taller Artesanal,GT1214,154 prendas tejidas por semana
Planta Procesadora Agroindustrial de El Rodeo,Taller Artesanal,GT1214,776 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Malacatán,Centro de Acopio,GT1215,706 quintales por día
Taller Textil y Artesanal Municipal de Malacatán,Taller Artesanal,GT1215,246 prendas tejidas por semana
Planta Procesadora Agroindustrial de Malacatán,Centro de Acopio,GT1215,748 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Catarina,Centro de Acopio,GT1216,1204 quintales por día
Taller Textil y Artesanal Municipal de Catarina,Taller Artesanal,GT1216,310 prendas tejidas por semana
