municipio_pcode,actividad_nombre,certificacion_nombre,porcentaje_produccion,fecha_auditoria
GT0505,Cultivo de Frijol en Masagua,Certificación Orgánica y de Origen - Reg COOP-GT0505-B,59.00,2026-03-15
GT0505,Cultivo de Caña de Azúcar en Masagua,Certificación Orgánica y de Origen - Reg ASO-GT0505-C,97.00,2026-03-15
GT0505,Cultivo de Banano en Masagua,Certificación Orgánica y de Origen - Reg ASO-GT0505-C,92.00,2026-03-15
GT0505,Producción Ganadera en Masagua,Certificación Orgánica y de Origen - Reg ASO-GT0505-C,97.00,2026-03-15
GT0506,Cultivo de Maíz en Tiquisate,Certificación Orgánica y de Origen - Reg COOP-GT0506-A,92.00,2026-03-15
GT0506,Cultivo de Frijol en Tiquisate,Certificación Orgánica y de Origen - Reg COOP-GT0506-B,88.00,2026-03-15
GT0506,Cultivo de Caña de Azúcar en Tiquisate,Certificación Orgánica y de Origen - Reg ASO-GT0506-C,91.00,2026-03-15
GT0506,Cultivo de Banano en Tiquisate,Certificación Orgánica y de Origen - Reg ASO-GT0506-C,73.00,2026-03-15
GT0506,Producción Ganadera en Tiquisate,Certificación Orgánica y de Origen - Reg ASO-GT0506-C,92.00,2026-03-15
GT0507,Cultivo de Maíz en La Gomera,Certificación Orgánica y de Origen - Reg COOP-GT0507-A,63.00,2026-03-15
GT0507,Cultivo de Frijol en La Gomera,Certificación Orgánica y de Origen - Reg COOP-GT0507-B,78.00,2026-03-15
GT0507,Cultivo de Caña de Azúcar en La Gomera,Certificación Orgánica y de Origen - Reg ASO-GT0507-C,95.00,2026-03-15
GT0507,Cultivo de Banano en La Gomera,Certificación Orgánica y de Origen - Reg ASO-GT0507-C,84.00,2026-03-15
GT0507,Producción Ganadera en La Gomera,Certificación Orgánica y de Origen - Reg ASO-GT0507-C,100.00,2026-03-15
GT0508,Cultivo de Maíz en Guanagazapa,Certificación Orgánica y de Origen - Reg COOP-GT0508-A,67.00,2026-03-15
GT0508,Cultivo de Frijol en Guanagazapa,Certificación Orgánica y de Origen - Reg COOP-GT0508-B,56.00,2026-03-15
GT0508,Cultivo de Caña de Azúcar en Guanagazapa,Certificación Orgánica y de Origen - Reg ASO-GT0508-C,95.00,2026-03-15
GT0508,Cultivo de Banano en Guanagazapa,Certificación Orgánica y de Origen - Reg ASO-GT0508-C,89.00,2026-03-15
GT0508,Producción Ganadera en Guanagazapa,Certificación Orgánica y de Origen - Reg ASO-GT0508-C,89.00,2026-03-15
GT0509,Cultivo de Maíz en San José,Certificación Orgánica y de Origen - Reg COOP-GT0509-A,66.00,2026-03-15
GT0509,Cultivo de Frijol en San José,Certificación Orgánica y de Origen - Reg COOP-GT0509-B,85.00,2026-03-15
GT0509,Cultivo de Caña de Azúcar en San José,Certificación Orgánica y de Origen - Reg ASO-GT0509-C,71.00,2026-03-15
GT0509,Cultivo de Banano en San José,Certificación Orgánica y de Origen - Reg ASO-GT0509-C,86.00,2026-03-15
GT0509,Producción Ganadera en San José,Certificación Orgánica y de Origen - Reg ASO-GT0509-C,73.00,2026-03-15
GT0510,Cultivo de Maíz en Iztapa,Certificación Orgánica y de Origen - Reg COOP-GT0510-A,70.00,2026-03-15
GT0510,Cultivo de Frijol en Iztapa,Certificación Orgánica y de Origen - Reg COOP-GT0510-B,90.00,2026-03-15
GT0510,Cultivo de Caña de Azúcar en Iztapa,Certificación Orgánica y de Origen - Reg ASO-GT0510-C,73.00,2026-03-15
GT0510,Cultivo de Banano en Iztapa,Certificación Orgánica y de Origen - Reg ASO-GT0510-C,97.00,2026-03-15
GT0510,Producción Ganadera en Iztapa,Certificación Orgánica y de Origen - Reg ASO-GT0510-C,76.00,2026-03-15
GT0511,Cultivo de Maíz en Palín,Certificación Orgánica y de Origen - Reg COOP-GT0511-A,83.00,2026-03-15
GT0511,Cultivo de Frijol en Palín,Certificación Orgánica y de Origen - Reg COOP-GT0511-B,60.00,2026-03-15
GT0511,Cultivo de Caña de Azúcar en Palín,Certificación Orgánica y de Origen - Reg ASO-GT0511-C,93.00,2026-03-15
GT0511,Cultivo de Banano en Palín,Certificación Orgánica y de Origen - Reg ASO-GT0511-C,79.00,2026-03-15
GT0511,Producción Ganadera en Palín,Certificación Orgánica y de Origen - Reg ASO-GT0511-C,92.00,2026-03-15
GT0512,Cultivo de Maíz en San Vicente Pacaya,Certificación Orgánica y de Origen - Reg COOP-GT0512-A,88.00,2026-03-15
GT0512,Cultivo de Frijol en San Vicente Pacaya,Certificación Orgánica y de Origen - Reg COOP-GT0512-B,82.00,2026-03-15
GT0512,Cultivo de Caña de Azúcar en San Vicente Pacaya,Certificación Orgánica y de Origen - Reg ASO-GT0512-C,85.00,2026-03-15
GT0512,Cultivo de Banano en San Vicente Pacaya,Certificación Orgánica y de Origen - Reg ASO-GT0512-C,93.00,2026-03-15
GT0512,Producción Ganadera en San Vicente Pacaya,Certificación Orgánica y de Origen - Reg ASO-GT0512-C,97.00,2026-03-15
GT0513,Cultivo de Maíz en Nueva Concepción,Certificación Orgánica y de Origen - Reg COOP-GT0513-A,66.00,2026-03-15
GT0513,Cultivo de Frijol en Nueva Concepción,Certificación Orgánica y de Origen - Reg COOP-GT0513-B,59.00,2026-03-15
GT0513,Cultivo de Caña de Azúcar en Nueva Concepción,Certificación Orgánica y de Origen - Reg ASO-GT0513-C,90.00,2026-03-15
GT0513,Cultivo de Banano en Nueva Concepción,Certificación Orgánica y de Origen - Reg ASO-GT0513-C,81.00,2026-03-15
GT0513,Producción Ganadera en Nueva Concepción,Certificación Orgánica y de Origen - Reg ASO-GT0513-C,80.00,2026-03-15
GT0514,Cultivo de Maíz en Sipacate,Certificación Orgánica y de Origen - Reg COOP-GT0514-A,68.00,2026-03-15
GT0514,Cultivo de Frijol en Sipacate,Certificación Orgánica y de Origen - Reg COOP-GT0514-B,57.00,2026-03-15
GT0514,Cultivo de Caña de Azúcar en Sipacate,Certificación Orgánica y de Origen - Reg ASO-GT0514-C,97.00,2026-03-15
GT0514,Cultivo de Banano en Sipacate,Certificación Orgánica y de Origen - Reg ASO-GT0514-C,76.00,2026-03-15
GT0514,Producción Ganadera en Sipacate,Certificación Orgánica y de Origen - Reg ASO-GT0514-C,84.00,2026-03-15
GT0601,Cultivo de Maíz en Cuilapa,Certificación Orgánica y de Origen - Reg COOP-GT0601-A,86.00,2026-03-15
GT0601,Cultivo de Frijol en Cuilapa,Certificación Orgánica y de Origen - Reg COOP-GT0601-B,50.00,2026-03-15
GT0601,Cultivo de Caña de Azúcar en Cuilapa,Certificación Orgánica y de Origen - Reg ASO-GT0601-C,77.00,2026-03-15
GT0601,Cultivo de Banano en Cuilapa,Certificación Orgánica y de Origen - Reg ASO-GT0601-C,96.00,2026-03-15
GT0601,Producción Ganadera en Cuilapa,Certificación Orgánica y de Origen - Reg ASO-GT0601-C,95.00,2026-03-15
GT0602,Cultivo de Maíz en Barberena,Certificación Orgánica y de Origen - Reg COOP-GT0602-A,90.00,2026-03-15
GT0602,Cultivo de Frijol en Barberena,Certificación Orgánica y de Origen - Reg COOP-GT0602-B,71.00,2026-03-15
GT0602,Cultivo de Caña de Azúcar en Barberena,Certificación Orgánica y de Origen - Reg ASO-GT0602-C,79.00,2026-03-15
GT0602,Cultivo de Banano en Barberena,Certificación Orgánica y de Origen - Reg ASO-GT0602-C,86.00,2026-03-15
GT0602,Producción Ganadera en Barberena,Certificación Orgánica y de Origen - Reg ASO-GT0602-C,75.00,2026-03-15
GT0603,Cultivo de Maíz en Santa Rosa de Lima,Certificación Orgánica y de Origen - Reg COOP-GT0603-A,65.00,2026-03-15
GT0603,Cultivo de Frijol en Santa Rosa de Lima,Certificación Orgánica y de Origen - Reg COOP-GT0603-B,67.00,2026-03-15
GT0603,Cultivo de Caña de Azúcar en Santa Rosa de Lima,Certificación Orgánica y de Origen - Reg ASO-GT0603-C,81.00,2026-03-15
GT0603,Cultivo de Banano en Santa Rosa de Lima,Certificación Orgánica y de Origen - Reg ASO-GT0603-C,92.00,2026-03-15
GT0603,Producción Ganadera en Santa Rosa de Lima,Certificación Orgánica y de Origen - Reg ASO-GT0603-C,94.00,2026-03-15
GT0604,Cultivo de Maíz en Casillas,Certificación Orgánica y de Origen - Reg COOP-GT0604-A,86.00,2026-03-15
GT0604,Cultivo de Frijol en Casillas,Certificación Orgánica y de Origen - Reg COOP-GT0604-B,73.00,2026-03-15
GT0604,Cultivo de Caña de Azúcar en Casillas,Certificación Orgánica y de Origen - Reg ASO-GT0604-C,90.00,2026-03-15
GT0604,Cultivo de Banano en Casillas,Certificación Orgánica y de Origen - Reg ASO-GT0604-C,91.00,2026-03-15
GT0604,Producción Ganadera en Casillas,Certificación Orgánica y de Origen - Reg ASO-GT0604-C,77.00,2026-03-15
GT0605,Cultivo de Maíz en San Rafael Las Flores,Certificación Orgánica y de Origen - Reg COOP-GT0605-A,69.00,2026-03-15
GT0605,Cultivo de Frijol en San Rafael Las Flores,Certificación Orgánica y de Origen - Reg COOP-GT0605-B,83.00,2026-03-15
GT0605,Cultivo de Caña de Azúcar en San Rafael Las Flores,Certificación Orgánica y de Origen - Reg ASO-GT0605-C,83.00,2026-03-15
GT0605,Cultivo de Banano en San Rafael Las Flores,Certificación Orgánica y de Origen - Reg ASO-GT0605-C,95.00,2026-03-15
GT0605,Producción Ganadera en San Rafael Las Flores,Certificación Orgánica y de Origen - Reg ASO-GT0605-C,77.00,2026-03-15
GT0606,Cultivo de Maíz en Oratorio,Certificación Orgánica y de Origen - Reg COOP-GT0606-A,68.00,2026-03-15
GT0606,Cultivo de Frijol en Oratorio,Certificación Orgánica y de Origen - Reg COOP-GT0606-B,77.00,2026-03-15
GT0606,Cultivo de Caña de Azúcar en Oratorio,Certificación Orgánica y de Origen - Reg ASO-GT0606-C,83.00,2026-03-15
GT0606,Cultivo de Banano en Oratorio,Certificación Orgánica y de Origen - Reg ASO-GT0606-C,99.00,2026-03-15
GT0606,Producción Ganadera en Oratorio,Certificación Orgánica y de Origen - Reg ASO-GT0606-C,83.00,2026-03-15
GT0607,Cultivo de Maíz en San Juan Tecuaco,Certificación Orgánica y de Origen - Reg COOP-GT0607-A,89.00,2026-03-15
GT0607,Cultivo de Frijol en San Juan Tecuaco,Certificación Orgánica y de Origen - Reg COOP-GT0607-B,83.00,2026-03-15
GT0607,Cultivo de Caña de Azúcar en San Juan Tecuaco,Certificación Orgánica y de Origen - Reg ASO-GT0607-C,95.00,2026-03-15
GT0607,Cultivo de Banano en San Juan Tecuaco,Certificación Orgánica y de Origen - Reg ASO-GT0607-C,91.00,2026-03-15
GT0607,Producción Ganadera en San Juan Tecuaco,Certificación Orgánica y de Origen - Reg ASO-GT0607-C,81.00,2026-03-15
GT0608,Cultivo de Maíz en Chiquimulilla,Certificación Orgánica y de Origen - Reg COOP-GT0608-A,61.00,2026-03-15
GT0608,Cultivo de Frijol en Chiquimulilla,Certificación Orgánica y de Origen - Reg COOP-GT0608-B,78.00,2026-03-15
GT0608,Cultivo de Caña de Azúcar en Chiquimulilla,Certificación Orgánica y de Origen - Reg ASO-GT0608-C,74.00,2026-03-15
GT0608,Cultivo de Banano en Chiquimulilla,Certificación Orgánica y de Origen - Reg ASO-GT0608-C,94.00,2026-03-15
GT0608,Producción Ganadera en Chiquimulilla,Certificación Orgánica y de Origen - Reg ASO-GT0608-C,70.00,2026-03-15
GT0609,Cultivo de Maíz en Taxisco,Certificación Orgánica y de Origen - Reg COOP-GT0609-A,93.00,2026-03-15
GT0609,Cultivo de Frijol en Taxisco,Certificación Orgánica y de Origen - Reg COOP-GT0609-B,54.00,2026-03-15
GT0609,Cultivo de Caña de Azúcar en Taxisco,Certificación Orgánica y de Origen - Reg ASO-GT0609-C,72.00,2026-03-15
GT0609,Cultivo de Banano en Taxisco,Certificación Orgánica y de Origen - Reg ASO-GT0609-C,80.00,2026-03-15
GT0609,Producción Ganadera en Taxisco,Certificación Orgánica y de Origen - Reg ASO-GT0609-C,80.00,2026-03-15
GT0610,Cultivo de Maíz en Santa María Ixhuatán,Certificación Orgánica y de Origen - Reg COOP-GT0610-A,85.00,2026-03-15
GT0610,Cultivo de Frijol en Santa María Ixhuatán,Certificación Orgánica y de Origen - Reg COOP-GT0610-B,60.00,2026-03-15
GT0610,Cultivo de Caña de Azúcar en Santa María Ixhuatán,Certificación Orgánica y de Origen - Reg ASO-GT0610-C,83.00,2026-03-15
GT0610,Cultivo de Banano en Santa María Ixhuatán,Certificación Orgánica y de Origen - Reg ASO-GT0610-C,71.00,2026-03-15
GT0610,Producción Ganadera en Santa María Ixhuatán,Certificación Orgánica y de Origen - Reg ASO-GT0610-C,82.00,2026-03-15
GT0611,Cultivo de Maíz en Guazacapán,Certificación Orgánica y de Origen - Reg COOP-GT0611-A,62.00,2026-03-15
GT0611,Cultivo de Frijol en Guazacapán,Certificación Orgánica y de Origen - Reg COOP-GT0611-B,92.00,2026-03-15
GT0611,Cultivo de Caña de Azúcar en Guazacapán,Certificación Orgánica y de Origen - Reg ASO-GT0611-C,99.00,2026-03-15
GT0611,Cultivo de Banano en Guazacapán,Certificación Orgánica y de Origen - Reg ASO-GT0611-C,90.00,2026-03-15
GT0611,Producción Ganadera en Guazacapán,Certificación Orgánica y de Origen - Reg ASO-GT0611-C,74.00,2026-03-15
GT0612,Cultivo de Maíz en Santa Cruz Naranjo,Certificación Orgánica y de Origen - Reg COOP-GT0612-A,96.00,2026-03-15
GT0612,Cultivo de Frijol en Santa Cruz Naranjo,Certificación Orgánica y de Origen - Reg COOP-GT0612-B,53.00,2026-03-15
GT0612,Cultivo de Caña de Azúcar en Santa Cruz Naranjo,Certificación Orgánica y de Origen - Reg ASO-GT0612-C,90.00,2026-03-15
GT0612,Cultivo de Banano en Santa Cruz Naranjo,Certificación Orgánica y de Origen - Reg ASO-GT0612-C,92.00,2026-03-15
GT0612,Producción Ganadera en Santa Cruz Naranjo,Certificación Orgánica y de Origen - Reg ASO-GT0612-C,95.00,2026-03-15
GT0613,Cultivo de Maíz en Pueblo Nuevo Viñas,Certificación Orgánica y de Origen - Reg COOP-GT0613-A,93.00,2026-03-15
GT0613,Cultivo de Frijol en Pueblo Nuevo Viñas,Certificación Orgánica y de Origen - Reg COOP-GT0613-B,68.00,2026-03-15
GT0613,Cultivo de Caña de Azúcar en Pueblo Nuevo Viñas,Certificación Orgánica y de Origen - Reg ASO-GT0613-C,83.00,2026-03-15
GT0613,Cultivo de Banano en Pueblo Nuevo Viñas,Certificación Orgánica y de Origen - Reg ASO-GT0613-C,82.00,2026-03-15
GT0613,Producción Ganadera en Pueblo Nuevo Viñas,Certificación Orgánica y de Origen - Reg ASO-GT0613-C,98.00,2026-03-15
GT0614,Cultivo de Maíz en Nueva Santa Rosa,Certificación Orgánica y de Origen - Reg COOP-GT0614-A,95.00,2026-03-15
GT0614,Cultivo de Frijol en Nueva Santa Rosa,Certificación Orgánica y de Origen - Reg COOP-GT0614-B,69.00,2026-03-15
GT0614,Cultivo de Caña de Azúcar en Nueva Santa Rosa,Certificación Orgánica y de Origen - Reg ASO-GT0614-C,93.00,2026-03-15
GT0614,Cultivo de Banano en Nueva Santa Rosa,Certificación Orgánica y de Origen - Reg ASO-GT0614-C,93.00,2026-03-15
GT0614,Producción Ganadera en Nueva Santa Rosa,Certificación Orgánica y de Origen - Reg ASO-GT0614-C,80.00,2026-03-15
GT0700,Cultivo de Maíz en Lago De Atitlan,Certificación Orgánica y de Origen - Reg COOP-GT0700-A,82.00,2026-03-15
GT0700,Cultivo de Frijol en Lago De Atitlan,Certificación Orgánica y de Origen - Reg COOP-GT0700-B,50.00,2026-03-15
GT0700,Producción de Tejidos Mayas en Lago De Atitlan,Certificación Orgánica y de Origen - Reg ASO-GT0700-C,96.00,2026-03-15
GT0700,Cultivo de Hortalizas en Lago De Atitlan,Certificación Orgánica y de Origen - Reg ASO-GT0700-C,78.00,2026-03-15
GT0700,Producción de Cestería en Lago De Atitlan,Certificación Orgánica y de Origen - Reg ASO-GT0700-C,98.00,2026-03-15
GT0701,Cultivo de Maíz en Sololá,Certificación Orgánica y de Origen - Reg COOP-GT0701-A,93.00,2026-03-15
GT0701,Cultivo de Frijol en Sololá,Certificación Orgánica y de Origen - Reg COOP-GT0701-B,89.00,2026-03-15
GT0701,Producción de Tejidos Mayas en Sololá,Certificación Orgánica y de Origen - Reg ASO-GT0701-C,99.00,2026-03-15
GT0701,Cultivo de Hortalizas en Sololá,Certificación Orgánica y de Origen - Reg ASO-GT0701-C,74.00,2026-03-15
GT0701,Producción de Cestería en Sololá,Certificación Orgánica y de Origen - Reg ASO-GT0701-C,92.00,2026-03-15
GT0702,Cultivo de Maíz en San José Chacayá,Certificación Orgánica y de Origen - Reg COOP-GT0702-A,85.00,2026-03-15
GT0702,Cultivo de Frijol en San José Chacayá,Certificación Orgánica y de Origen - Reg COOP-GT0702-B,78.00,2026-03-15
GT0702,Producción de Tejidos Mayas en San José Chacayá,Certificación Orgánica y de Origen - Reg ASO-GT0702-C,90.00,2026-03-15
GT0702,Cultivo de Hortalizas en San José Chacayá,Certificación Orgánica y de Origen - Reg ASO-GT0702-C,76.00,2026-03-15
GT0702,Producción de Cestería en San José Chacayá,Certificación Orgánica y de Origen - Reg ASO-GT0702-C,98.00,2026-03-15
GT0703,Cultivo de Maíz en Santa María Visitación,Certificación Orgánica y de Origen - Reg COOP-GT0703-A,94.00,2026-03-15
GT0703,Cultivo de Frijol en Santa María Visitación,Certificación Orgánica y de Origen - Reg COOP-GT0703-B,89.00,2026-03-15
GT0703,Producción de Tejidos Mayas en Santa María Visitación,Certificación Orgánica y de Origen - Reg ASO-GT0703-C,95.00,2026-03-15
GT0703,Cultivo de Hortalizas en Santa María Visitación,Certificación Orgánica y de Origen - Reg ASO-GT0703-C,89.00,2026-03-15
GT0703,Producción de Cestería en Santa María Visitación,Certificación Orgánica y de Origen - Reg ASO-GT0703-C,90.00,2026-03-15
GT0704,Cultivo de Maíz en Santa Lucía Utatlán,Certificación Orgánica y de Origen - Reg COOP-GT0704-A,88.00,2026-03-15
GT0704,Cultivo de Frijol en Santa Lucía Utatlán,Certificación Orgánica y de Origen - Reg COOP-GT0704-B,94.00,2026-03-15
GT0704,Producción de Tejidos Mayas en Santa Lucía Utatlán,Certificación Orgánica y de Origen - Reg ASO-GT0704-C,81.00,2026-03-15
GT0704,Cultivo de Hortalizas en Santa Lucía Utatlán,Certificación Orgánica y de Origen - Reg ASO-GT0704-C,98.00,2026-03-15
GT0704,Producción de Cestería en Santa Lucía Utatlán,Certificación Orgánica y de Origen - Reg ASO-GT0704-C,95.00,2026-03-15
GT0705,Cultivo de Maíz en Nahualá,Certificación Orgánica y de Origen - Reg COOP-GT0705-A,85.00,2026-03-15
GT0705,Cultivo de Frijol en Nahualá,Certificación Orgánica y de Origen - Reg COOP-GT0705-B,62.00,2026-03-15
GT0705,Producción de Tejidos Mayas en Nahualá,Certificación Orgánica y de Origen - Reg ASO-GT0705-C,98.00,2026-03-15
GT0705,Cultivo de Hortalizas en Nahualá,Certificación Orgánica y de Origen - Reg ASO-GT0705-C,79.00,2026-03-15
GT0705,Producción de Cestería en Nahualá,Certificación Orgánica y de Origen - Reg ASO-GT0705-C,72.00,2026-03-15
GT0706,Cultivo de Maíz en Santa Catarina Ixtahuacán,Certificación Orgánica y de Origen - Reg COOP-GT0706-A,62.00,2026-03-15
GT0706,Cultivo de Frijol en Santa Catarina Ixtahuacán,Certificación Orgánica y de Origen - Reg COOP-GT0706-B,84.00,2026-03-15
GT0706,Producción de Tejidos Mayas en Santa Catarina Ixtahuacán,Certificación Orgánica y de Origen - Reg ASO-GT0706-C,80.00,2026-03-15
GT0706,Cultivo de Hortalizas en Santa Catarina Ixtahuacán,Certificación Orgánica y de Origen - Reg ASO-GT0706-C,82.00,2026-03-15
GT0706,Producción de Cestería en Santa Catarina Ixtahuacán,Certificación Orgánica y de Origen - Reg ASO-GT0706-C,93.00,2026-03-15
GT0707,Cultivo de Maíz en Santa Clara La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0707-A,68.00,2026-03-15
GT0707,Cultivo de Frijol en Santa Clara La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0707-B,83.00,2026-03-15
GT0707,Producción de Tejidos Mayas en Santa Clara La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0707-C,87.00,2026-03-15
GT0707,Cultivo de Hortalizas en Santa Clara La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0707-C,79.00,2026-03-15
GT0707,Producción de Cestería en Santa Clara La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0707-C,76.00,2026-03-15
GT0708,Cultivo de Maíz en Concepción,Certificación Orgánica y de Origen - Reg COOP-GT0708-A,65.00,2026-03-15
GT0708,Cultivo de Frijol en Concepción,Certificación Orgánica y de Origen - Reg COOP-GT0708-B,82.00,2026-03-15
GT0708,Producción de Tejidos Mayas en Concepción,Certificación Orgánica y de Origen - Reg ASO-GT0708-C,87.00,2026-03-15
GT0708,Cultivo de Hortalizas en Concepción,Certificación Orgánica y de Origen - Reg ASO-GT0708-C,79.00,2026-03-15
GT0708,Producción de Cestería en Concepción,Certificación Orgánica y de Origen - Reg ASO-GT0708-C,86.00,2026-03-15
GT0709,Cultivo de Maíz en San Andrés Semetabaj,Certificación Orgánica y de Origen - Reg COOP-GT0709-A,81.00,2026-03-15
GT0709,Cultivo de Frijol en San Andrés Semetabaj,Certificación Orgánica y de Origen - Reg COOP-GT0709-B,90.00,2026-03-15
GT0709,Producción de Tejidos Mayas en San Andrés Semetabaj,Certificación Orgánica y de Origen - Reg ASO-GT0709-C,75.00,2026-03-15
GT0709,Cultivo de Hortalizas en San Andrés Semetabaj,Certificación Orgánica y de Origen - Reg ASO-GT0709-C,70.00,2026-03-15
GT0709,Producción de Cestería en San Andrés Semetabaj,Certificación Orgánica y de Origen - Reg ASO-GT0709-C,70.00,2026-03-15
GT0710,Cultivo de Maíz en Panajachel,Certificación Orgánica y de Origen - Reg COOP-GT0710-A,94.00,2026-03-15
GT0710,Cultivo de Frijol en Panajachel,Certificación Orgánica y de Origen - Reg COOP-GT0710-B,87.00,2026-03-15
GT0710,Producción de Tejidos Mayas en Panajachel,Certificación Orgánica y de Origen - Reg ASO-GT0710-C,78.00,2026-03-15
GT0710,Cultivo de Hortalizas en Panajachel,Certificación Orgánica y de Origen - Reg ASO-GT0710-C,77.00,2026-03-15
GT0710,Producción de Cestería en Panajachel,Certificación Orgánica y de Origen - Reg ASO-GT0710-C,96.00,2026-03-15
GT0711,Cultivo de Maíz en Santa Catarina Palopó,Certificación Orgánica y de Origen - Reg COOP-GT0711-A,79.00,2026-03-15
GT0711,Cultivo de Frijol en Santa Catarina Palopó,Certificación Orgánica y de Origen - Reg COOP-GT0711-B,77.00,2026-03-15
GT0711,Producción de Tejidos Mayas en Santa Catarina Palopó,Certificación Orgánica y de Origen - Reg ASO-GT0711-C,86.00,2026-03-15
GT0711,Cultivo de Hortalizas en Santa Catarina Palopó,Certificación Orgánica y de Origen - Reg ASO-GT0711-C,73.00,2026-03-15
GT0711,Producción de Cestería en Santa Catarina Palopó,Certificación Orgánica y de Origen - Reg ASO-GT0711-C,93.00,2026-03-15
GT0712,Cultivo de Maíz en San Antonio Palopó,Certificación Orgánica y de Origen - Reg COOP-GT0712-A,63.00,2026-03-15
GT0712,Cultivo de Frijol en San Antonio Palopó,Certificación Orgánica y de Origen - Reg COOP-GT0712-B,73.00,2026-03-15
GT0712,Producción de Tejidos Mayas en San Antonio Palopó,Certificación Orgánica y de Origen - Reg ASO-GT0712-C,78.00,2026-03-15
GT0712,Cultivo de Hortalizas en San Antonio Palopó,Certificación Orgánica y de Origen - Reg ASO-GT0712-C,90.00,2026-03-15
GT0712,Producción de Cestería en San Antonio Palopó,Certificación Orgánica y de Origen - Reg ASO-GT0712-C,86.00,2026-03-15
GT0713,Cultivo de Maíz en San Lucas Tolimán,Certificación Orgánica y de Origen - Reg COOP-GT0713-A,82.00,2026-03-15
GT0713,Cultivo de Frijol en San Lucas Tolimán,Certificación Orgánica y de Origen - Reg COOP-GT0713-B,57.00,2026-03-15
GT0713,Producción de Tejidos Mayas en San Lucas Tolimán,Certificación Orgánica y de Origen - Reg ASO-GT0713-C,71.00,2026-03-15
GT0713,Cultivo de Hortalizas en San Lucas Tolimán,Certificación Orgánica y de Origen - Reg ASO-GT0713-C,94.00,2026-03-15
GT0713,Producción de Cestería en San Lucas Tolimán,Certificación Orgánica y de Origen - Reg ASO-GT0713-C,90.00,2026-03-15
GT0714,Cultivo de Maíz en Santa Cruz La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0714-A,67.00,2026-03-15
GT0714,Cultivo de Frijol en Santa Cruz La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0714-B,78.00,2026-03-15
GT0714,Producción de Tejidos Mayas en Santa Cruz La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0714-C,79.00,2026-03-15
GT0714,Cultivo de Hortalizas en Santa Cruz La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0714-C,88.00,2026-03-15
GT0714,Producción de Cestería en Santa Cruz La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0714-C,93.00,2026-03-15
GT0715,Cultivo de Maíz en San Pablo La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0715-A,60.00,2026-03-15
GT0715,Cultivo de Frijol en San Pablo La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0715-B,79.00,2026-03-15
GT0715,Producción de Tejidos Mayas en San Pablo La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0715-C,80.00,2026-03-15
GT0715,Cultivo de Hortalizas en San Pablo La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0715-C,77.00,2026-03-15
GT0715,Producción de Cestería en San Pablo La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0715-C,95.00,2026-03-15
GT0716,Cultivo de Maíz en San Marcos La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0716-A,97.00,2026-03-15
GT0716,Cultivo de Frijol en San Marcos La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0716-B,86.00,2026-03-15
GT0716,Producción de Tejidos Mayas en San Marcos La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0716-C,92.00,2026-03-15
GT0716,Cultivo de Hortalizas en San Marcos La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0716-C,98.00,2026-03-15
GT0716,Producción de Cestería en San Marcos La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0716-C,100.00,2026-03-15
GT0717,Cultivo de Maíz en San Juan La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0717-A,100.00,2026-03-15
GT0717,Cultivo de Frijol en San Juan La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0717-B,92.00,2026-03-15
GT0717,Producción de Tejidos Mayas en San Juan La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0717-C,87.00,2026-03-15
GT0717,Cultivo de Hortalizas en San Juan La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0717-C,97.00,2026-03-15
GT0717,Producción de Cestería en San Juan La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0717-C,89.00,2026-03-15
GT0718,Cultivo de Maíz en San Pedro La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0718-A,74.00,2026-03-15
GT0718,Cultivo de Frijol en San Pedro La Laguna,Certificación Orgánica y de Origen - Reg COOP-GT0718-B,72.00,2026-03-15
GT0718,Producción de Tejidos Mayas en San Pedro La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0718-C,79.00,2026-03-15
GT0718,Cultivo de Hortalizas en San Pedro La Laguna,Certificación Orgánica y de Origen - Reg ASO-GT0718-C,79.00,2026-03-15
